ParlaMint-BE_2018-04-25-54-commissie-ic879x.u1	Questions Nos 22993 and 22995 by Mrs Galant are converted into written questions.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u2	Mr. Minister, Alexandre Bompard, CEO of the Groupe Carrefour, revealed his strategic plan on Tuesday 23 January 2018. The plan is to fire 10% of the 1 233 employees in Belgium. There have been many actions, in France and Belgium. Meanwhile, under pressure from the unions, the management no longer intends to close two hypermarkets, which could save about 200 jobs. The management of Carrefour does require more polyactivity from its employees, which is a good word for more flexibility. Workers and trade unions are, of course, still not satisfied with this and are therefore in favour of maintaining all jobs. We fully understand this and support the workers in their struggle. I would remind you that Carrefour is earning more than EUR 1 billion worldwide. I'm updating my question a little bit with the information available today. Negotiations are under way between workers' and employers' organisations, but it seems that it is still unclear where the management of Carrefour wants to land and how many jobs it is about: is it possible under Carrefour's plan to retain all jobs or are there not enough jobs? There are actually two versions, hence my question, Minister: what information do you have and how many jobs do you have in the end? I also have a question about government subsidies. Has there been a table on the number of grants Carrefour has received in our country? Finally, where are we on the procedure of the Renault Act? Do you think we will reach an agreement for the summer holidays?
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u3	Minister, according to the latest announcements, Carrefour's restructuring plan puts more than 1,000 workers on the job. The day after the announcement, the Prime Minister met with the company's management and told us in plenary that the situation was normal given the digital transformation of the sector. We cannot accede to this declaration. In fact, we cannot confront it with reality, since the majority refused to hold hearings in this committee. The Prime Minister said the government will do everything it can to avoid social damage. He recalled your willingness to reform the Renault law, to involve the social partners in the management of the digital and collaborative economy. Beyond these initiatives, it would be necessary to begin a real reflection on the redundancies of stock exchanges. My group has tabled a bill to that effect. Workers cannot be considered as a budgetary adjustment variable. Minister, can you tell us where the government is in the follow-up to Carrefour? What have you put in place for the 1,000 affected workers? What is your schedule of work and the initiatives taken to reform the Renault law and what objectives do you want to achieve? Have you had confirmation from the company of the 191 jobs that would be saved, especially in the hypermarkets of Angleur and Genk?
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u4	Mr Minister, on Thursday 25 January the Executive Board of Carrefour announced on a special works council that 1 233 jobs were under threat. You know the details: 180 jobs at the headquarters in Evere and 1 053 jobs in the hypermarkets. Since a thousand people now work at headquarters, about one in five staff should leave there. In the large hypermarkets and in a number of Carrefour Markets, which are run by the chain itself, some 10 500 people work. That is about 10% of the jobs that would disappear. Two hypermarkets completely close: Genk and Angleur; those stores make structural losses. In a press release, the board repeats what it had already communicated in Paris about the French branches. The group wants to save money to invest more in e-commerce, fresh food and home brands. At the same time, this year Carrefour Belgium will open more than thirty new Market supermarkets and Express neighbourhood stores, as well as seventy e-commerce pick-up points. Mr. Secretary, I'd like to have an answer to the following questions. Firstly, what initiatives have you taken in recent weeks following the announcement of redundancies? Was there any consultation with the management of Carrefour? Secondly, was a possible government negotiator appointed? If so, on what assignment? Thirdly, has the government supported the Groupe Carrefour in recent years? If so, how many and in what form? Fourthly, what measures does the government intend to take to help the redundant workers find new jobs? Will there be maximum coordination with the regions in this area? Fifthly, do you think that a possible application of the single payment system would be appropriate?
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u5	This question is now a little dated, since the situation has evolved in the positive direction. However, I still think the question is important enough to hold on to it. On the day of the Works Council on the announcement of restructuring in France, the newspapers announced that the redundancies at Carrefour were very limited. In our country, two days later, the newspapers talked about a massacre, when the intention was announced at the Belgian works council. Indeed, we cannot ignore the fact that the number of redundancies announced in our country was proportionately much higher than in France. Do not misunderstand me, I regret any dismissal in any country, especially if this is the result of failing management with a lack of vision for the future, as is the case here. In the case of redundancies at Caterpillar and in the case of your proposals for adjusting the procedure of the Renault Act, we also suggested that we should ask ourselves whether the nature of the dismissal legislation in the case of collective redundancies does not lead to international groups looking at our country in the first instance. In De Standaard of 29 January 2018, Mr Timmermans of the VBO referred to the high level of protection according to the OECD. The OECD makes a very specific and very controversial scale, with every pure formality counting heavily. In his International Dismissal Survey Deloitte writes: "In most countries, the legal grounds for employees to dismiss employees are restricted and subject to strict formalities. Belgium is one of the few exceptions to this rule." In collective agreement No. Article 2 defines collective redundancies as "each dismissal for one or more reasons not relating to the person of the worker'. From the comments accompanying that article, I have quoted a piece that has been transferred to you; I am not going to read it to you in full. However, I have a few questions about this. In the meantime, we have learned that the intention to close Genk completely is being revised, that one will probably end up in a smaller scale. But after Carrefour's announcement, you said that you would look at this together with management and trade unions. Did that meeting happen? Was it a non-committal conversation with the management or did you also demand that hard business data show why the Belgian branches were particularly affected? Do you also have these supporting documents examined by the services of your administration? Are you considering any changes to the collective redundancies rules, for example the economic and technical reasons invoked being checked for their validity by a judicial authority or an arbitration body? I know that you also said a while ago that you wanted to amend the Renault Act and that you sent the advice to the social partners. Perhaps you could also explain how far you stand with that.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u6	Minister, in January of this year, the Carrefour Group announced a major restructuring of its company. The consequence appears to be a social disaster, i.e. a massive dismissal of employees has been announced. We are talking about 1,233 jobs that would be lost at the national level! In Froyennes, the group announced the removal of 10.5 full-time equivalents. Since the hourly average of Carrefour Froyennes workers is 22 hours per week, the number of workers at risk of being laid off is equivalent to 17 persons. Minister, do you confirm to me that there are 17 people who could lose their jobs? What follow-up has your administration provided since the announcement of Carrefour's restructuring? With the regional authorities, what measures are you putting in place to ensure the conversion of these unfortunate workers?
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u7	Minister, I have no doubt that my colleagues have recalled the context. So I'm not going to repeat it. Minister, what actions has the government taken since the announcement of the restructuring at Carrefour? A series of meetings have been launched. It's probably a positive thing. Is there already a more general schedule of these meetings? As a minister, have you yourself considered measures to accompany workers who will be laid off to a new job? What's your file? There is, of course, Carrefour, but at the same time, there are important issues concerning the RCC (unemployment scheme with additional business), the outplacement, the Vocational Reorientation and Training Fund and the whole aspect of collaboration with the Regions. Through the Carrefour file – even if other companies are involved – it is an opportunity to re-examine the situation. Decisions were taken and discussions took place within the CNT (National Labour Council) on the effects of digitalisation on the economy. This is Carrefour's argument to justify dismissals. More broadly, what can you tell us about the digitisation aspect and the policies that can be pursued to prevent restructuring, still linked to the impact of the digitalisation of the economy on employment?
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u8	Minister, my question also dates back to 26 January. I am also curious about the state of play in the dossier, including with regard to the agreements with the Regions. I've made the link with workable work and the training days. The new scheme related to the training days would be evaluated from January 2018. What is the state of play in that? What additional measures could be taken there? Such a restructuring will always look at competences and training. How far is the evaluation of the Renault Act? Is there any agreement on this?
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u9	Mr President, ladies and gentlemen, you know that, after a special works council at Carrefour, my services of the FOD WASO were informed on 25 January of the intention of that company to resign collectively. As a result of the restructuring, there were a total of 1,233 redundancies caused by the closure of stores in Genk and Angleur, the transformation of three hypermarkets and supermarkets in Westerlo, Bruges and Haine-Saint-Pierre, a smaller hypermarket in Turnhout and a loss of jobs at the head office in Evere. Note, however, that these figures were mentioned as part of the announcement! Following this sad announcement, I came back early from my work visit to Davos and met with a number of government colleagues both the management and the trade unions of Carrefour on 26 January. During this interview, all parties were given the opportunity to express their views. I remember very vividly that the trade unions stressed that they were in phase 1 of the Renault Act. They also expressed their desire to conduct the negotiations. We told them that, in addition to providing the necessary support, we could also appoint a mediator. As in other cases, we have offered all our services. It has been taken note of, but the initial aim was to conduct the consultation in the company. I will not go into individual statements by other members of the government, but I can tell you that the most important point for me is that, in the first phase of the Renault Act, a maximum number of jobs can be saved by consultation. It would be premature to talk about the next steps now and so no longer focus on maximum job retention. Some believe that the second stage should already be considered with guidance and so on. I think that we should first try to reduce the number of 1 233 redundancies to a minimum. The trade unions are working very intensively on this, in response to their explicit question. Moreover, we are told that the first results have already been achieved. These results are due to the consultation within the company. The hypermarkets in Genk and Angleur would be transformed into supermarkets instead of closing. This allows some of the employment to be retained. Also in the shops of Westerlo, Bruges, Turnhout and Haine-Saint-Pierre the job losses could be reduced. We hope that the discussions can continue on this momentum and that as many people as possible can keep their jobs. As regards the further negotiations at Carrefour, I can only say that the social partners, the management and the trade unions have confirmed their ambition to negotiate and to reach an overall agreement on all aspects of the transformation plan. This includes, in addition to measures against the announced job losses, all the necessary structural elements of the plan to enable the return to profitability and to address the challenges of the future, such as the implementation of a new work organisation, polyactivity and the introduction of new technologies and digitalisation. Meetings between the parties will therefore be actively pursued. For the rest, the management reports that nine special works councils have already been held and six local consultation meetings in Genk, Angleur, Westerlo, Bruges-Saint-Kruis, Haine-Saint-Pierre and Turnhout and that more than 475 questions were answered in writing. A number of questions were also raised here about the reform of the Renault Act and other forthcoming legislative changes. In this respect, I can only repeat what I said earlier, namely that the social partners have been given additional time on their own request to reach an agreement on the amendment of the Renault Act. As you know, I also wrote a letter to the Group of Ten in September 2016, in which I suggested a number of slopes for such a reform. The social partners are, of course, free to consider these pistes or to make additional proposals, as expressed in this committee by several members. In any case, my suggestions concerned the obligation to inform public authorities and parliaments, a mandatory impact analysis of a closure on the direct subcontractors, and the drafting of proposals to deal with this. The role of the social mediator could also be strengthened and a social plan could become mandatory. I speak in the conditional sense, because I assume that the social partners either agree with that or add other things to it. Finally, I put forward the slopes where a social plan would cover all employees employed at the time of the announcement of restructuring. It also asked for cases falling within the competence of the Regions. You know that the social plan, the formation of workers and the adaptation of the regulatory framework of the Renault Act are part of the federal powers and are therefore our responsibility. However, the Regions are responsible for economic aid to companies through subsidies and for guidance to work, for whom they are dismissed. The deer employment is also a competence of the Regions. They must therefore play their part in this, and I understand that they will. The questions about these powers are, of course, addressed in the Land Parliaments, where regional ministers can answer them. I can tell you that the Carrefour dossier was on the agenda of the Inter-Ministerial Conference of Work on 28 February in the Walloon Minister's office. I will answer a number of specific questions. Mr Vercamer asked for the evaluation of the five training days, as provided for in the law on workable and manoeuvrable work. At present, it is too early to evaluate this measure on the ground. We can see that many sectors have already developed a collective agreement on the training objective, which is a good indication. Currently, the counter is at 57 collective agreements. I will also answer the questions of colleagues who are not here, because this may also interest colleagues present. There is Mr Gilkinet's question about the appointment of a social mediator, as requested by another colleague, and I have already replied. Our social mediators are at our disposal, but we have not yet received an application from Carrefour. In the press, certain workers have played the card of flexi-jobs, but this form of employment is neither the cause nor the cause of the announced restructuring in this file. This is a company that is trying to safeguard its market share in a highly competitive landscape of supermarkets and in the context of increasing online sales. I remember very well that in the discussions we had with the trade unions, they also referred to this. Are they going to recruit people for flexi jobs or have they already? I have already asked the board whether there were flexi-jobs and whether that intention was there. They said that they will not continue to work with flexi-jobs. Not only you but also we will of course follow up to what extent one will call upon it. I can only say that this point is very sensitive to the Carrefour trade unions. This may be re-examined in the consultations currently under way. Of course, I can't rule that out. In any case, it has been discussed, and I have put the question to the management. In reply to Mr Willaert's question, which is not here either, I can say the following. The social plan hasn't been completed yet. Of course, I cannot give details of a social plan that is not yet in place. Mrs Fonck, we have not yet received the final recommendations from the social partners, but I am happy to refer to the joint statement by the Group of Ten of 7 March 2018 regarding numeration as a key element of the work already started in the last interprofessional agreements. The partners rightly argue that everything requires a comprehensive, coherent, complementary and harmonious approach. I therefore assume that this can also be addressed further. One last element concerns the official figures that were delivered to my administration. As regards the number of employees in collective redundancies, there is no compulsory division per establishment. Further communication by the company itself about specific establishments can of course always happen. I also refer to an earlier remark that the information and consultation procedure is still under way and that it can and will be pursued as far as possible in the field of job retention. Mr President, ladies and gentlemen, I shall conclude. Firstly, we played the ball fairly quickly and invited both the management and the trade unions. It was very clear to the trade unions, apart from the public reactions, that they absolutely wanted to use the first phase of the Renaut Act to significantly reduce the number of announced redundancies. The first messages we receive, like you, go in that direction. A lot of jobs have been saved. That process is not over yet. We have offered to support them. If there are any questions to investigate, we are prepared to do so, but no specific question has yet been asked. If that question comes, we will make it absolutely a priority. Secondly, as far as the management is concerned, we have had a conversation with her and have stressed to her that we believe that the number of redundancies announced can be greatly reduced. It was also asked whether Belgium was more affected than France. This question has also been addressed. They tried to show that France was also badly hit, but there the final picture is still not clear. We have specifically asked what margin the management has here in Belgium in relation to its headquarters and whether it has sufficient room for manoeuvre. It has been emphasized that in Belgium 'freely autonomous' it is possible to deal with matters further and not simply to carry out the instructions. Thirdly, there is the Renault Act. In this respect, I like to see progress made, like many committee members, but I think that we should give all the opportunities and time to the social partners. That requires patience, not only from me, but also from you. As soon as the first phase is completed and there is a social plan, we will consider how we can respond to it and how we can work with the regions responsible for the employment cells and so on. I understand that Flanders but also Wallonia is ready. An Inter-Ministerial Conference was held. The Regions are ready to take over in that second phase.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u10	I am surprised that the minister did not address this request from Carrefour management. When we talk about flexibility, we think about flexi-jobs, but visibly the demand expressed in the works council was rather to bring all the workers of CP 312 into CP 202, the joint commission of department stores being a little more favourable. Did Carrefour's management tell you about it? I thought it was already a step further, because they are quite offensive in this matter. I will not expand further, because I have a lot to say about this matter on which we have already spoken in plenary, but this issue is of particular interest to me.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u11	Thank you, Minister, for the explanation. You explained that the first phase of the Renault Act should be given every opportunity. Although many people have given up that first phase, I believe that we should take it seriously and give them every opportunity. Evolution shows that this pays off. I'm still a little hungry. It is good that you appoint social mediators and that your services are at your disposal, but we have been holding this debate for a long time, not only on the basis of Carrefour. We've been through several major closures. We have had hearings here in this committee on the Renault Act. In your reply, you indicated that in 2016 you were shocked when you said it, and sent a letter to the Group of Ten. We must, of course, be patient and there must be support for a change. However, I now have the impression that we have been waiting for two years. We didn't get an answer, and that's why there's nothing we can do. I would ask you, however, to be somewhat more ambitious on that point and not just to wait for an answer. I expect you to take a little more initiative to create a basis for support than simply sending a letter. After all, it is important. There are no major closures being discussed in the media now, but this does not mean that we should take this issue seriously. We can keep saying the same thing after every big announcement, but there has to be a time when that stops. I believe that we are making little progress here, and I would like to recommend or ask you to step up the gear and make an extra effort. Secondly, you replied to the story of the flexi-jobs. That was a legitimate concern on the part of the trade unions. We were not in favour of extending flexi-jobs. Your party wasn't in favour of that either at first. It was intended that this could be done in the catering industry. You agreed to that. However, these flexi-jobs should not replace full-time jobs. We'll have to watch for that. I would like to call on you to build in sufficient guarantees. Thirdly, there is another point that I know is not within your competence, but I would like to give it to you again. This whole story was just about whether we're going with time or not. Are the employees ready to shape the digitisation that is coming with it or not? We also experienced in ING's restructuring that the CEO said that people were only doing what they were used to doing. At Carrefour people say that digitization causes employees to lose their jobs. If we want to make people self-directed, we will have to take action and make people aware of it. I would like to call on you to deal with this, together with the regional ministers, and to work out an arrangement to make progress.
