Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2018-11-21-54-commissie-ic1002x	ParlaMint-BE_2018-11-21-54-commissie-ic1002x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-11-2018	2018-11-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	VanVaerenberghKristien	Van Vaerenbergh, Kristien	F	1978	
ParlaMint-BE-en_2018-11-21-54-commissie-ic1002x	ParlaMint-BE_2018-11-21-54-commissie-ic1002x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-11-2018	2018-11-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	RenardBertrand	Renard, Bertrand	U	-	
ParlaMint-BE-en_2018-11-21-54-commissie-ic1002x	ParlaMint-BE_2018-11-21-54-commissie-ic1002x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-11-2018	2018-11-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	DeMoorSabine	De Moor, Sabine	U	-	
ParlaMint-BE-en_2018-11-21-54-commissie-ic1002x	ParlaMint-BE_2018-11-21-54-commissie-ic1002x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-11-2018	2018-11-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	StappersCaroline	Stappers, Caroline	U	-	
ParlaMint-BE-en_2018-11-21-54-commissie-ic1002x	ParlaMint-BE_2018-11-21-54-commissie-ic1002x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-11-2018	2018-11-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	RenardBertrand	Renard, Bertrand	U	-	
ParlaMint-BE-en_2018-11-21-54-commissie-ic1002x	ParlaMint-BE_2018-11-21-54-commissie-ic1002x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-11-2018	2018-11-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	VanVaerenberghKristien	Van Vaerenbergh, Kristien	F	1978	
ParlaMint-BE-en_2018-11-21-54-commissie-ic1002x	ParlaMint-BE_2018-11-21-54-commissie-ic1002x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-11-2018	2018-11-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	DeWitSophie	De Wit, Sophie	F	1973	
ParlaMint-BE-en_2018-11-21-54-commissie-ic1002x	ParlaMint-BE_2018-11-21-54-commissie-ic1002x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-11-2018	2018-11-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	VanHeckeStefaan	Van Hecke, Stefaan	M	1973	
ParlaMint-BE-en_2018-11-21-54-commissie-ic1002x	ParlaMint-BE_2018-11-21-54-commissie-ic1002x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-11-2018	2018-11-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	VanVaerenberghKristien	Van Vaerenbergh, Kristien	F	1978	
ParlaMint-BE-en_2018-11-21-54-commissie-ic1002x	ParlaMint-BE_2018-11-21-54-commissie-ic1002x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-11-2018	2018-11-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	RenardBertrand	Renard, Bertrand	U	-	
ParlaMint-BE-en_2018-11-21-54-commissie-ic1002x	ParlaMint-BE_2018-11-21-54-commissie-ic1002x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-11-2018	2018-11-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	VanderBekenTom	Vander Beken, Tom	U	-	
