ParlaMint-BE_2018-06-05-54-commissie-ic912x.u1	Ladies and gentlemen, we are starting our work, which will be stopped at 5 p.m.
ParlaMint-BE_2018-06-05-54-commissie-ic912x.u2	Madam Secretary, I was a little surprised that you would have jurisdiction for this too. The question was addressed to the Minister for the Interior, but the services told me that I should address you or the Minister for Economic Affairs. Drunkness would be under your jurisdiction. This is an introduction. If you want to start a new catering business, you have to put yourself in order with all kinds of rules. One of these is the provision of the paper document that we all know about when we visit the pub, which deals with the decision-making law to curb drunkenness in a drinking place. That document must be displayed in a clearly visible place. It is good that the services closely monitor the hospitality industry in order to continue to protect the quality of the catering industry. However, is the paper document with this Decree-Law of 14 November 1939 a contribution to it or is it merely a formality? Both the services of the municipality of which I may be mayor and the people of the hospitality industry are wondering if this is still necessary. Apparently, an additional condition is that this paper document must be printed with the Decree-Law in a printing works officially approved by the Ministry of Finance. Madam Minister, this is about curbing drunkenness, and it is up to Health to do so. This question was also submitted to the Minister for Economic Affairs. First of all, what do you think of this? Do the operators of the public establishments still have to display that decision-making law? Is that supposed to be on paper that comes from an authorized printing company? Secondly, if you comply with the decision-making law, you will agree with me that this is a very outdated hospitality regulation. Wouldn't it be a good idea to revise that decision-making law, purely and exclusively in the interests of the people of the hospitality industry? They already have to comply with fewer formalities. This could be addressed in a more modern way. If you were to regulate this, you would in turn be immortalized, as we find the 1939 Decree-Law in every bar. So you can immortalize your name on the wall of many cafés, if that's your ambition, but judging from your mimicry, that's not so.
ParlaMint-BE_2018-06-05-54-commissie-ic912x.u3	Mr Terwingen, such questions were always answered by the Minister of Justice in the past. The measures taken in the event of a breach of the law of 14 November 1939 are criminal law provisions. A drinking place still has to be the decision-making law. That's a legal obligation. I share your opinion on that law. In substance, I continue to support the law, but the way it is laid down that the extract has to be hung on special paper is a remnant of another era. We could certainly modernise that. The objective is, of course, still valid. It is also an aspect of protecting public order and morality, which is outside my competence. An adaptation would therefore require consultation with the Minister of Justice, given the criminal law provisions contained in the law. In 2018, there are many other ways to alert citizens to the problem of alcohol abuse. I am thinking, for example, of the Bob Campaigns. However, the idea behind the law still applies and must continue to apply. It is, after all, irresponsible and socially unacceptable to continue to give drinks to people who are drunk. Operators of drinking establishments must remain aware of the role they can play in this. You wondered if I would hang on the walls of drinking places with a new law in order to become immortally famous. I'd rather fit in. I am prepared to explore more modern ways together with the Minister of Justice. If necessary, I will do the same with the Minister for Economic Affairs.
ParlaMint-BE_2018-06-05-54-commissie-ic912x.u4	Madam Secretary, I am very pleased with your answer. We're on the same page. Maybe a bill can help, too. That might help me get familiar in all the cafes. I'm not a big pub visitor, but it could be. I just want to remind you of one more sentence. One of the rules is that customers need to be equipped with adequate hygienic and decent waterplaces and private premises. That's the language of the royal decree, quite telling. It is also necessary to ensure a prompt discharge of the dregs. I'll give it to you, make it difficult for the translators. What "drinks" are, they will probably never be able to translate. Thank you for your answer. We are going to visit the Ministers for Economic Affairs and Justice again. We will see what we can learn from their answers. Thank you for your answer.
ParlaMint-BE_2018-06-05-54-commissie-ic912x.u5	Madam President, Minister, it was announced in October 2015 that the government would introduce a soft drink tax. There is some evidence of this tax, for example that only soft drinks are targeted, while other sugared products are not subject to it. The debate on the differentiation of excise duties on soft drinks with or without sweeteners is under way, and I note that both competent ministers think that something should be done about this, but that the hot potato is being moved rather easily between you and Minister Van Overtveldt. I already asked Minister Van Overtveldt about this. The Minister indicated that his cabinet regulates tax-technical matters on soft drinks, but no changes can be proposed on the basis of the impact of the tax on public health. Your cabinet then points to the fiscal aspect in order to shift responsibility. Madam Secretary, the adjustment of the soft drink tax is a matter for both of you. It is important to include both the health impact and the fiscal aspects and to work together in order to introduce the necessary differentiation of the tax during this legislative period. Is an extension or improvement of the soft drink tax being investigated? Is this being discussed? If so, has a decision been taken? Is there going to be a differentiation between soft drinks with and without sweeteners in the future?
ParlaMint-BE_2018-06-05-54-commissie-ic912x.u6	Madam President, Mrs Van Hoof, I will give you the answers I have here, to earlier questions from Mrs Van Camp and others on this subject, in particular on the discussions that are taking place with the Minister for Finance, on the impact of the soft drinks tax. An extension is not currently on the table, nor is the introduction of a tax on the other categories of products containing sugar. It is true that a tax-technical arrangement has already been drawn up for aromatized beverages. We had asked that from the beginning, but that was not possible at first. That's what's happened now. Flavoured waters containing zero calories and zero sugars have been removed. The question is whether we will continue to differentiate and also work on zero products, which, although they contain little sugar but also contain harmful acids, are confirmed by the dentists. I believe that we should continue this exercise, in conjunction with the sector. Either way, they're involved. I am also kept informed of their efforts to reduce sugar content in soft drinks and to use alternatives. I think we are not quite there yet, but I gave you a more technical answer on this matter last time. In the meantime, there is no evolution in this dossier and there is no intention to extend the soft drink tax.
ParlaMint-BE_2018-06-05-54-commissie-ic912x.u7	Madam Minister, it is clear that there is no prospect of enlargement. However, preparations are being made in the field of research into what can and cannot be done. However, this will be for another government. I'll be back to pick up the technical data later.
ParlaMint-BE_2018-06-05-54-commissie-ic912x.u8	Madam President, Minister, like us, I think you have received various letters about the integration and representation of nurses in clinical hospital networks. When I tabled my question on 4 April, I received only the letter from the General Union of Nurses of Belgium (UGIB), which also wrote to you. Since then, it has been true that I have received other letters, including from trade union organizations, but I have also had the opportunity to meet and be aware of other difficulties identified by other caregivers, including pharmacists and physiotherapists. The message relayed by the health care providers contains regret that it has not been heard or consulted in the context of this reform concerning the establishment of clinical hospital networks. They also make a series of requests which they consider essential for nurses to have a clear and equitable place in this reform and in the organisation of the hospital landscape. They also put forward a series of possibilities: the participation of nurses in the organisation of networks, the establishment of local nursing councils, the creation of the function of chief nurse of the network, the systematic integration of the nursing profession into the future bill on clinical networking between hospitals, the involvement of nurses in the implementation of the INAMI agreements and the right to participate and vote on the distribution of the financial envelope generated by nurses. Is it worth reminding again that nurses represent the largest number of staff in hospital institutions? Minister, why have you not had any consultation, at least so far - unless this has been the case since the beginning of April - with the nurses' representatives as part of this clinical hospital network reform? I am thinking in particular of the UGIB, which is an important player in this field. How do you respond to all of the requests in their March 26, 2018 letter? Have you already in the meantime or will you now that the text has been forwarded to the Council of State set up a consultation with the representatives of nurses?
ParlaMint-BE_2018-06-05-54-commissie-ic912x.u9	Madam Minister, I was also questioned at the end of March by nurses' organizations, but on this subject I had already asked you at the end of January about their concerns. In fact, they were excluded from the discussions and arrangements provided for in the organisation of hospital locoregional clinical networks. By the end of January, you had not given any precise follow-up, clear response, or strong commitment to involve them and involve them in the management, organisation and coordination bodies of future networks. So they came back to me with more specific questions about the function of nurse network head, medical advice, nursing advice, the right of decision and the right to vote in the distribution of the financial envelope generated by nurses, as well as their involvement in the INAMI conventions. Since then, have there been any consultations? What follow-up did you give to these requests? Overall, nurses will need to be involved with physicians in future care organizations as well as in decision-making, especially as changes in functions and tasks between care providers are required.
ParlaMint-BE_2018-06-05-54-commissie-ic912x.u10	Dear colleagues, I have also received a letter from the General Union of Nurses of Belgium (UGIB) and taking up some points of attention following the draft law on collaboration with hospitals forming part of the locoregional clinical networks. We are aware of the fact that the reform we are proposing has a significant impact on all parties concerned. During the preparation of the project, we took a lot of time to discuss with many stakeholders. The tasks of the networks are, in the first place, to define the medical strategy with regard to the locoregional missions and the collaboration with the reference points. The definition of this strategy will also have an impact on the investment policy of hospitals, which in most cases depends on doctors' fees. The draft law on locoregional clinical networks reflects various aspects of the current Hospitals Act. The role of chief medical officer and the existence of a medical board have long been part of the organic legislation. The Hospitals Act makes no mention of any nursing council. The UGIB's criticism therefore relates to the existing legislation on hospitals and not to the draft law on networks. In addition, since patient care remains a mission of the individual hospital, it would be inappropriate to have a nursing department or a nursing director at the network level. However, it is not prohibited to create an advisory board specifically dedicated to nursing at the network level. Be aware, however, that it will not be anchored in the law. Finally, I would like to point out that I have been careful to include health care expertise within the network's management bodies. In accordance with the draft law approved by the Council of Ministers at first reading, at least one third of the management body of the clinical hospital network must be composed of members with specific expertise in health care. It is better not to have these people connected to one of the hospitals in the network, in order to ensure the autonomy necessary for decision-making. I sincerely believe that including nursing expertise in management will have a greater impact on thoughtful medical decision-making than providing for representation of nurses' interests at the network level. There are already sufficient mechanisms and bodies that can assume such representation in the field of labour law.
ParlaMint-BE_2018-06-05-54-commissie-ic912x.u11	Minister, I will relay your comments to the nurses. In my opinion, they will not be satisfied and I can understand them. Consulting doctors and hospital federations was obviously a must, but it did not prevent you from taking a step to ensure representation for nurses, whose role is increasingly important in and outside the hospital. You could have, at the very least, also had this attention and become aware of the issues at stake. I take note that you're sending the thing back to hospitals. It is disappointing that, as you know as well as I do, if you want the networks to be successful, you must avoid any situation of closure of units in hospitals. The result would be a cascade effect of job losses in the personnel of these units. It's an obvious risk. I thank you for your answer, although I admit that I find it very disappointing overall.
