ParlaMint-BE_2018-01-09-54-commissie-ic792x.u1	Debates of the European Parliament Mr Blanchart's 17020 will be converted into a written question.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u2	Madam Minister, during the discussion in the Social Affairs Committee of the draft law on the financing of social security, there was a whole debate on the abuse of legislation. During that debate, the Minister for Small and Medium-sized Enterprises referred to an interpretation paper by the RSZ on the technical unit for the application of the RSZ reduction in the framework of plus plans. Indeed, a number of SMEs have recently received recoveries of grants, which relate to the period of the first adjustment of the relevant legislation during the current legislative period, namely the year 2015. In the accompanying letter, the RSZ recalls its assessment criteria for technical unit, taking into account inter alia the distance between the legal entities, the nature of the products in those entities, the common employment of the same employee in those entities and the common use of the instruments. Madam Secretary, were the right holders informed of the criteria? When do the criteria and the interpretative note date? In the meantime, has the RSZ accompanied the companies in the interpretation? After all, my question dates back to March 2017. How is it possible that the RSZ granted the reduction to the companies concerned for years before it intervenes in cases which do not comply with its interpretation of technical unit? Can the employers concerned ask for a waiver or at least obtain a payment plan?
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u3	Mrs Kitir, as I said at the time, the principle of the technical unit of business is not new. It was already used in the so-called plus 1 plan, which was introduced in 1989. It was the forerunner of the target group reduction for first recruitments. Private sector employers who employ workers subject to the RSZ Act can benefit from the target group reductions for initial recruitments, insofar as they can be considered as new employers for initial recruitment of workers and for up to six. The employer shall not benefit from the reduction in the target group for initial recruitment if the newly employed worker replaces an employee who has been employed in the same technical unit during the four quarters preceding recruitment. The legislator's intention was to avoid a mere adaptation of the legal status of the employer without real job creation giving entitlement to the reduction of contributions. Since the legislation does not determine what is to be understood by "the same technical unit," the concept was developed in the caselaw. First of all, the concept of "technical unit of business" cannot be clearly defined by analogy with the same concept contained in the Law of 20 September 1948 on the organisation of business, since that legislation has a specific objective. In addition, according to settled case-law of the Court of Cassation, the existence of a technical unit of business should be determined on the basis of social and economic criteria. It is necessary to verify whether the entity in which the newly employed employee is employed is socially and economically linked to the entity in which a worker has been employed in the course of 12 months or four quarters prior to his employment, which he replaces. A new recruitment shall not entitle the said contribution reduction if it is not accompanied by a real job creation in the same technical unit. Indeed, the target group reduction is granted first and then the verification of the conditions of application is carried out on the basis of a subsequent check of the DmfA family social security declaration. The control is very intensive and takes some time. The employer is sometimes informed after some time that he does not comply with the conditions of application of the technical unit. You're asking how he's supposed to know that. The way in which the RSZ fills in the concept of a technical unit is always communicated to social secretariats, service providers and employers. Since the regulation came into force, the concept of a technical unit has also been included in the administrative instructions. As from the instructions of the third quarter of 2004, the RSZ will clarify how it works to verify whether there is a replacement in the same technical unit. You can find this on the website www.socialsecurity.be on the DmfA/multifunctional declaration page. From the instructions of the first quarter of 2016, what is communicated to employers and service providers in relation to the concept of a technical unit of business shall also be explicitly included in the administrative instructions relating to the DmfA. The RSZ does not accompany specific employers' groups, but does explain the views when requested. In addition, the RSZ proactively informs service providers and social secretariats who wish to participate in the monthly consultation meetings. In addition, the employer or his social secretariat or social service provider can always contact the RSZ with his questions. In certain cases, the RSZ can only provide a preliminary reply, for example in the absence of concrete data or in the absence of recruitment. Where the target group reduction for first recruitment is refused because the conditions of application are not met, there is no sanction and therefore no remission can be granted. Employers who face temporary difficulties in payment and who meet the legal requirements have the possibility to obtain a pay-off plan. So that sigh is met.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u4	Madam Secretary, thank you for your comprehensive reply. I will ask a written question on this later. I understand that several steps have been taken to keep the companies informed and that it is normal that a discount is given first and that it is only subsequently checked whether there should be a refund. I hope that the time-limit between the granting of the discount and the announcement that someone is not entitled to the reduction is not too long, because that often means that employers have to work with a pay-off plan.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u5	Mr President, first of all I would like to point out the typical example of some kind of parliamentary or political inertia: my questions date back to May 2017! How, almost a year later, have these issues not been able to travel through the corridors of the House and the ministry? The subjects I want to address are important, so I wanted to introduce oral questions. Perhaps if I had written them, an earlier answer would have been given to me or perhaps it would have taken two years. Minister, I have two questions for you. You know I'm very interested in the reality of patients affected by asbestos. At the hearings on 3 May 2017, the need to improve the information of the public and health professionals on asbestos was raised. The same applies to the possibility of compensation for diseases related to these diseases, so as to limit or even eliminate under-reporting of these diseases. It is interesting to note the difference between the statistical data of the Cancer Registry Foundation and those of the Asbestos Fund for Mesotheliomas. In 2014, 294 mesotheliomas were registered - 48 women and 246 men - but only 167 patients were reportedly compensated. Minister, can you provide me in writing with the statistics for the last five years on the number of mesotheliomas recorded by the Cancer Registry Foundation and the number of mesotheliomas compensated by AFA (Asbestos Fund)? Basically, what concrete measures can be taken to improve AFA's knowledge and to increase the possibilities for compensation for asbestos-related diseases through the AFA Fund, thus enabling as many patients as possible to benefit from it? This is obviously problematic when we know the extraordinarily long latency time between exposure to asbestos and the onset of the diseases that result from it, including mesothelioma: sometimes 25 to 30 years. Let me turn to my second part of the question, again on the asbestos fund. I will not recall all the provisions of the Royal Decree implementing Chapter 6, Title 4, of the Programme Law of 27 December 2006, which established a Fund for the Compensation of Victims of Asbestos. I would like to quote from Article 9, which states that the Fund must take a decision within two months of the completion of the application. On the other hand, I am very concerned because, following my contacts in the field, it is my responsibility that the processing time is about 300 days, almost a year. During the hearings, I saw what was happening in other European countries, even though there is a long delay between exposure to asbestos and the onset of the disease. I note that for the same disease, with the same delays between exposure and symptoms, as for example in France, all files are closed in a few months. Could you provide us with information on the processing times of AFA-managed files? What is the evolution of these deadlines in recent years? If the legal deadlines, which are two to four months depending on the disease, are not yet applicable at present, it is absolutely necessary to take charge of this matter. These deadlines should be shortened. This is important: mesothelioma is a serious disease. The later the award of compensation, the more likely the patient is to die when the decision is made.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u6	Ms.Fonck, the 60-day investigation period is met in the vast majority of mesothelioma cases, as the average duration of investigation for the 210 cases was 50 days in 2016. It should be noted that this period is calculated, as you indicated, from the moment the AFA receives the parts to confirm the diagnosis. Only then can the application be considered complete. For the seven cases of asbestosis and the thirty-four cases that are legally assimilated, the average investigation period was 296 days in 2016. These records are quite complex both in terms of exposure – for asbestosis, the criteria provide for a quantitative estimate of the number of asbestos fibres throughout the worker's career – and in terms of diagnosis. As shown in the table I will give you, the situation has improved somewhat from 2012 to 2015 but this was not confirmed in 2016. The administration needs to improve its investigation procedure in order to be more closely aligned with the objective of length of education. For your question about the number of cases recognized by AFA and registered in the Cancer Registry, there is a difference. I'll give you all the figures from 2007 to 2016. In 2016, 210 cases were recognized by the Asbestos Victims Compensation Fund. As for the number of mesotheliomas, for example, there are 294 cases in 2014. For this year, the figures are not the same. That is the problem. Contacts have been made between the Cancer Registry and Fedris, which houses the Asbestos Fund, to organize an information campaign with pneumonologists to inform their patients. A few years ago, the Asbestos Fund investigated the possibility of comparing the databases of the Asbestos Fund and the Cancer Registry to send a letter of information to victims about their rights, but in view of the privacy legislation, this was not possible, only the doctor could notify his patient in this case. It was obviously a simpler way to speed up the process, but it was banned by the Privacy Commission. We will try to work through pneumonologists because, in fact, people with this mesothelioma are followed by these specialists.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u7	Madam Minister, thank you for your answers and for the tables you are going to send me. As far as deadlines are concerned, 50 days is an average for mesothelioma but the concern comes when the coins are received. That's a problem. I wonder if there is no way to draw up a canvas – which could be available on the fund's website – containing all the documents necessary for the introduction of a file. This would ensure that there is no longer time-limits due to missing documents in the file. You know like me that in the case of a mesothelioma, the time factor is important given the life expectancy of the patients. The same applies to asbestosis, with a delay of 296 days. Steps should be taken to assist in the preparation and processing of upstream files. There are efforts to be made because this is a very time-consuming time. There is a differential between the asbestos bottom and the significantly greater number of patients with mesothelioma listed in the cancer registry. We cannot afford to leave the situation as it is. Minister, I hear you are going to conduct an information campaign for pneumonologists. This is a good thing, but I believe that general practitioners should be involved because they are piloting the DMG in a large majority of cases and they can also be a channel for transmitting additional information in the context of compensation through the asbestos fund. This is certainly a good initiative, but I do not think it will be enough. It would be interesting to explore other avenues, and I will allow myself to make proposals in this regard. I picked up the privacy issue for the cancer registry. In my opinion, it's possible to find more and I'm going to dig into it.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u8	Thank you, Mr. President. My question is from May. There have therefore been developments since then. However, I would like to receive more specific answers to the questions raised about volunteering and the evolution of the 2005 Act. In April-May, numbers to identify volunteers were announced. More than a million Belgians are involved. Of these, 9 per cent are job seekers, 15 per cent are workers, 21 per cent are 15-29 year olds, 10 per cent are over 60 years old. The most numerous are between 40 and 50 years old. My questions are as follows. The new legislation on SIIP (individual integration projects for beneficiaries of social integration income) incorporates volunteerism as a component of SIIP contracts under the name of 'Community service'. At the time of the adoption of these provisions, many questions arose: how to reconcile respect for the free choice of activity by volunteers with compulsory registration in a community service, given that they benefit from a RIS. Doubts remained in the circulars. I would like to know the status of the discussions on these provisions. Negotiations had taken place within the government and resulted in the'recovery' mechanism that we are considering in committee, but it seems to me that these are issues of another order. It was also intended to improve the costs for volunteers, including travel and occasional gifts. The sector had asked for equal treatment between volunteers and workers. Is this aspect taken into account in the ongoing reflection? Requests had also been made to better reflect respect for professional secrecy. The information of volunteers in this regard needs to be improved. The High Council of Volunteers also requested, at that time, the recognition of a status and the abolition of the pre-NEM declaration of job seekers via the famous form C45B because it is really experienced as a manifestation of suspicion and discrimination against the job seeker volunteer compared to the volunteers who do not receive unemployment benefits. Minister, at exchanges and meetings, you seemed to be relatively in favour of reducing the obligations for these workers. What about today? What is the government's position on the subject? Finally, there was a desire to strengthen the use of skills acquired through informal training as a result of volunteering, in connection with the 2015 European Directive, which will be implemented in 2018. I would like to have an update on all these provisions.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u9	Mr President, Madam Minister, ladies and gentlemen, there is a certain anachronism, in the sense that the question that I am now asking was introduced in May 2017. I wonder how this debate can take place only in January 2018. At the time, we were alerted by press articles that evoked ideas of associative and other work. My question is completely overtaken by events, since we have already discussed at length at first reading the project "Economic recovery and strengthening of social cohesion", which includes a chapter on this subject. I found that the tenth anniversary of the law had already passed for more than two years at the time of the issue. Today is almost in the thirteenth year. It is well known that the Supreme Council was seeking an assessment and probably an adaptation of the law on certain points, as mentioned by my colleague. I therefore associate myself with the questions posed by Muriel Gerkens. The Supreme Council has given its opinion on the bill which is now part of another matter which will come back to this commission. I do not recall the fact that the voluntary sector, the Francophone platform or the Conseil supérieur national are not in favour of the content of the project, as proposed to us today. This is in any case a bad answer to one of the questions asked. There is certainly the will to work with them and, according to them, it is necessary to do so in consultation and dialogue on the "grey zone". But the sector's expectations do not match the content of the project. We are moving towards a commercialization of volunteerism, which is not the philosophy of the law as voted, especially by you, Madam Minister. The status of the core volunteer was linked to the concept of free. I am not going to go back to the discussion, but on the other aspects, beyond this grey area and the voluntary work that we are talking about, it is requested that this law be followed up, that it be updated on the basis of discussions with the sector. I hope that this evaluation of the legislation will be done after hearing from the industry. I also wanted to know if there was a draft bill and what stage of development it was at. When will you come to committee with a bill? Do you also want to hear from the sector before proposing changes?
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u10	Madam Minister, I could also start by saying that my question dates from May 2017, but well. You are reviewing the 2005 Voluntary Act together with your colleagues Geens and Peeters. I believe that voluntary law is a good beacon for volunteering in our country. Like my predecessors, I am curious about the changes that will be made. I would like to focus on the reporting obligation for voluntary work, as mentioned by Mrs Gerkens. The Flemish Volunteers Support Point is concerned that the reporting obligation for unemployed and bridge-retired persons would still be included in the revised version. Can you confirm this? This reporting to the RVA is perceived as a threshold for candidate volunteers by organisations that just work with volunteers. We share that view. In our view, this is an expression of distrust of people who want to do something selfless like volunteering. Like the VSV or the High Council for Volunteers, we do not see the supposed protective effect of this reporting. What could be a possibility is some kind of right of notification. Those who are convinced that the volunteering fits in with their CV and can also increase the chances of finding a job, are free to include that volunteering in the file that keeps track of the track guide. Can you explain to me your position and your plans? When do you intend to submit a draft of this revised voluntary law to Parliament? Thank you in advance for your answers.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u11	A declaration to the employment office remains mandatory. Notification to the National Employment Office may constitute a barrier to volunteering, both for organisations and for voluntary applicants. Last May, I met with representatives of all organizations. They gave me a list of all the barriers that exist and informed me of the time it takes for an unemployed person to be installed in the voluntary task he asked for. In fact, it takes many months. That is why I am in favour of deleting the declaration to the ONEM for non-profit associations. Of course, I'm not alone in this. This competence is shared with the Minister for Labour and the Länder are also involved through VDAB, FOREM and Actiris. I believe that the removal of the declaration would encourage the unemployed to volunteer so that they can invest in our society and acquire new skills. It would really be a good thing if people could find work and structure again and make a commitment through volunteering, so that they might be reactivated. The idea of a possible right of notification in the context of the valorisation of the acquired competences during a volunteering period is also certainly a possible piste. All this, of course, is the subject of discussions with the Minister for Labour. In this way we will examine how we can make adjustments to this. The bill amending the law on the rights of volunteers will be submitted – I think – in March or April, because we are still at the stage of the preliminary draft and then we will have to go through the Council of Ministers and the Council of State. Then, as usual, the text will be forwarded to the House of Representatives for discussion and evaluation in the Social Affairs Committee.
