Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2018-01-24-54-commissie-ic804x	ParlaMint-BE_2018-01-24-54-commissie-ic804x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-01-2018	2018-01-24	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	DelannoisPaulOlivier	Delannois, Paul-Olivier	M	1966	
ParlaMint-BE-en_2018-01-24-54-commissie-ic804x	ParlaMint-BE_2018-01-24-54-commissie-ic804x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-01-2018	2018-01-24	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2018-01-24-54-commissie-ic804x	ParlaMint-BE_2018-01-24-54-commissie-ic804x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-01-2018	2018-01-24	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	DelannoisPaulOlivier	Delannois, Paul-Olivier	M	1966	
ParlaMint-BE-en_2018-01-24-54-commissie-ic804x	ParlaMint-BE_2018-01-24-54-commissie-ic804x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-01-2018	2018-01-24	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	GoffinPhilippe	Goffin, Philippe	M	1967	
ParlaMint-BE-en_2018-01-24-54-commissie-ic804x	ParlaMint-BE_2018-01-24-54-commissie-ic804x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-01-2018	2018-01-24	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	PasBarbara	Pas, Barbara	F	1981	
ParlaMint-BE-en_2018-01-24-54-commissie-ic804x	ParlaMint-BE_2018-01-24-54-commissie-ic804x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-01-2018	2018-01-24	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2018-01-24-54-commissie-ic804x	ParlaMint-BE_2018-01-24-54-commissie-ic804x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-01-2018	2018-01-24	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	PasBarbara	Pas, Barbara	F	1981	
ParlaMint-BE-en_2018-01-24-54-commissie-ic804x	ParlaMint-BE_2018-01-24-54-commissie-ic804x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-01-2018	2018-01-24	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	GoffinPhilippe	Goffin, Philippe	M	1967	
ParlaMint-BE-en_2018-01-24-54-commissie-ic804x	ParlaMint-BE_2018-01-24-54-commissie-ic804x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-01-2018	2018-01-24	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	CalomneGautier	Calomne, Gautier	M	1980	
ParlaMint-BE-en_2018-01-24-54-commissie-ic804x	ParlaMint-BE_2018-01-24-54-commissie-ic804x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-01-2018	2018-01-24	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2018-01-24-54-commissie-ic804x	ParlaMint-BE_2018-01-24-54-commissie-ic804x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-01-2018	2018-01-24	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	CalomneGautier	Calomne, Gautier	M	1980	
ParlaMint-BE-en_2018-01-24-54-commissie-ic804x	ParlaMint-BE_2018-01-24-54-commissie-ic804x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-01-2018	2018-01-24	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	UyttersprotGoedele	Uyttersprot, Goedele	F	1980	
ParlaMint-BE-en_2018-01-24-54-commissie-ic804x	ParlaMint-BE_2018-01-24-54-commissie-ic804x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-01-2018	2018-01-24	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2018-01-24-54-commissie-ic804x	ParlaMint-BE_2018-01-24-54-commissie-ic804x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-01-2018	2018-01-24	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	UyttersprotGoedele	Uyttersprot, Goedele	F	1980	
ParlaMint-BE-en_2018-01-24-54-commissie-ic804x	ParlaMint-BE_2018-01-24-54-commissie-ic804x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-01-2018	2018-01-24	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	UyttersprotGoedele	Uyttersprot, Goedele	F	1980	
