ParlaMint-BE_2018-05-30-54-commissie-ic909x.u1	The response will be provided by the Minister of Justice.
ParlaMint-BE_2018-05-30-54-commissie-ic909x.u2	Mr Minister, the case of Osama Atar remains a mystery, but its involvement in the attacks in Paris and Brussels is not a shadow of doubt. He has been known to the State Security Agency since 2006. He was then detained for terrorism in Abu Ghraib prison. In September 2012, he was expelled from Iraq. On his return to Belgium, the man had to be closely monitored. It wasn't. He visits, in prison, his cousins Khalid and Ibrahim El Bakraoui 20 times without anyone moving. He travels to Tunisia, Turkey and then Syria where he is said to have died, according to information gathered by our intelligence services. Tunisian authorities called on Osama Atar in 2012 and expelled him. During an identity check, they observe that Osama Atar is the subject of an Interpol report, in particular because of his imprisonment in Iraq. As regards a Belgian from Belgium and reported by Interpol, it is not conceivable that the Tunisian police, with whom Belgium maintains good relations, did not contact its Belgian counterparts to obtain information and inquire about the attitude to be adopted. Minister, could you confirm to me that this has been the case? Could you tell me what was the nature of Osama Atar's Interpol report (Red Notice or something else)? For what reason? By whom was it reported, the Belgian, Iraqi or other authorities? What were the exchanges of information between Belgians and Tunisians? Why wasn't Osama Atar expelled to Belgium? Why did Belgium not request his arrest when it was supposed not to leave Belgian territory, according to the promise Belgium had made to the Iraqi authorities?
ParlaMint-BE_2018-05-30-54-commissie-ic909x.u3	Mr Dallemagne, I note that your question concerns persons involved in judicial proceedings and are therefore covered by the secrecy of the investigation. However, I am authorized by the Public Prosecutor's Office to provide you with the following information. Your question seems to be based on information published in the press and referring to an arrest of Osama Atar in Tunisia in 2013. There was no Interpol report of Osama Atar issued by Belgium during this period. Although he was charged on 18 December 2012 for involvement in the activities of a terrorist group, given the conviction in Iraq and the risk of non bis in idem, the competent judicial authority decided not to impose any condition on the person's freedom, let alone the use of pre-trial detention. If an Interpol report existed at that time, it was likely issued on the initiative of another State. According to an analysis carried out by the central services of the Federal Police, the Tunisian police services did not contact their Belgian counterparts in connection with this arrest. It is likely that they contacted the state police services that issued the report in question. Alerted on the basis of an article in the Tunisian press on 30 November 2013 which mentions the arrest of a Belgian national in Tunisia – not to mention identity – the federal police had at the time contacted the Tunisian Interpol office but did not get a reaction. There will be a Belgian report in 2015 against the person concerned, but this does not concern the period covered by your question.
ParlaMint-BE_2018-05-30-54-commissie-ic909x.u4	Minister, thank you for sharing the information that the Public Prosecutor's Office has been willing to provide. I have no comment at this stage on these elements. I continue to be interested in this issue because it remains an important security and terrorism puzzle. What was his role? What was his action? How did it pass between the meshes of the net? However, this remains an important political element. If there are any other questions, I will come back to you.
ParlaMint-BE_2018-05-30-54-commissie-ic909x.u5	Mr Minister, you are aware that there is a market in Belgium for the resale of ghost companies. For several years, commercial courts have found a large number of these so-called "pre-pack" companies bought for various fraudulent purposes. On the basis of this observation, we, together with the Committee on Commercial Law and yourself, during the parliamentary year 2016-2017, put forward a proposal for a law to combat these phantom societies. It was adopted on 4 May 2017. As a brief reminder, this law intended to establish a rapid, flexible and effective procedure, with a view to suppressing phantom companies and stimulating negligent managers to get back on track. A year later, the figures of the National Bank of Belgium allow us to take a partial look at the effect of this law. On examination of these accounts, it appears that in 2017, out of 433,000 accounts deposited with the BNB, 181,000 were deposited beyond the seven-month period after the end of the accounting year, i.e. 42% of the accounts. Of these 181,000 accounts, 54,466 accounts were deposited beyond the eighth month. These figures are quite comparable to those of previous years, as shown in the table which I have reproduced in the annex and which you will doubtably have received. These figures therefore indicate that, despite the threat of dissolution of late-filing companies, the behaviour of companies with regard to the publication of accounts has not changed as a result of the entry into force of this law, in any case until now. Minister, can you tell me what measures you are recommending to ensure better implementation of this legislation?
ParlaMint-BE_2018-05-30-54-commissie-ic909x.u6	Mr Clarinval, I will not be as pessimistic as you about the effects of the new law on the dissolution of ghost societies. However, it cannot yet be reflected in the figures you quote. When it is found that commercial investigation services are pursuing a more active policy of research, dissolution and prosecution, we can expect a change in mentality. I am rather optimistic, as I observe that the presidents of the company's courts take advantage of this legislative amendment to instill a new dynamic in the business investigation services. A joint best practice policy is being pursued. The flashing database, which is needed for more efficient and timely detection, is deployed in all departments. In Brussels, which is mainly concerned with this subject in view of its characteristics, a working group consists of representatives of the public prosecutor's offices, the company's courts, the administrative authorities, the inspection services of the various authorities and, also, my strategic unit. The experience gained will then be shared with the actors in the other two Regions. This method will reduce the number of ghost societies and shadow seats. If further action is needed, I will not hesitate to take it.
ParlaMint-BE_2018-05-30-54-commissie-ic909x.u7	Minister, thank you for your answer. There is an awareness, and so it is positive. As you suggest, I hope it will have effects in the coming months.
ParlaMint-BE_2018-05-30-54-commissie-ic909x.u8	Debates of the European Parliament Mr Degroote's 25480 will be converted into a written question.
ParlaMint-BE_2018-05-30-54-commissie-ic909x.u9	Mr President, Minister, last week an ex-member of the extreme right-wing Westland New Post dropped out of confession. According to the witness, the methods used by the Gang of Nivelles were the same as those taught at Westland New Post. The witness was interrogated by the Gang explorers. He hopes that other WNP members will follow his example and go to court. Once again, this demonstrates the need for an apology scheme to advance the investigation of the Gang of Nivelles. There may still be people who have important information and can provide useful tips for the investigation, but who do not now come out because of fear of persecution. Mr Minister, in the interests of the victims and of public opinion, cannot an ad hoc emergency scheme be drawn up now, rather than a legislation which may take months and perhaps even years to come, specifically to clarify the Gang file?
ParlaMint-BE_2018-05-30-54-commissie-ic909x.u10	Mr President, Mrs Lambrecht, the draft law amending the Code of Criminal Procedure with a view to the introduction of a legislation on regrets is currently before your Committee on Justice. The design will be discussed in the coming weeks. It is my wish to have it approved before the summer recess, together with the draft law on civil infiltrators. I thought there was an agreement on this within the Justice Commission. The development of an ad hoc arrangement through the Public Prosecutor's Office encounters several practical and legal objections. The prosecution can only decide during the investigation not to prosecute. Once the criminal proceedings have been instituted, for example by a subpoena, the claim of a judicial inquiry or a complaint with a civil party award, the prosecution can no longer legally have the criminal proceedings available. If agreements are concluded between the prosecution and a defendant, the judge is not currently bound by them. That is why legislation must be developed and why a letter of conversion is not appropriate at this stage of the procedure.
ParlaMint-BE_2018-05-30-54-commissie-ic909x.u11	Thank you, Minister, for your reply. It would be good news if that bill were adopted before the summer recess. I can only hope so.
