Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2018-04-17-54-commissie-ic864x	ParlaMint-BE_2018-04-17-54-commissie-ic864x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-04-2018	2018-04-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	GrovoniusGwenaëlle	Grovonius, Gwenaëlle	F	1978	
ParlaMint-BE-en_2018-04-17-54-commissie-ic864x	ParlaMint-BE_2018-04-17-54-commissie-ic864x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-04-2018	2018-04-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	DeCrooAlexander	De Croo, Alexander	M	1975	
ParlaMint-BE-en_2018-04-17-54-commissie-ic864x	ParlaMint-BE_2018-04-17-54-commissie-ic864x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-04-2018	2018-04-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	GrovoniusGwenaëlle	Grovonius, Gwenaëlle	F	1978	
ParlaMint-BE-en_2018-04-17-54-commissie-ic864x	ParlaMint-BE_2018-04-17-54-commissie-ic864x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-04-2018	2018-04-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	GrovoniusGwenaëlle	Grovonius, Gwenaëlle	F	1978	
ParlaMint-BE-en_2018-04-17-54-commissie-ic864x	ParlaMint-BE_2018-04-17-54-commissie-ic864x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-04-2018	2018-04-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	DeCrooAlexander	De Croo, Alexander	M	1975	
ParlaMint-BE-en_2018-04-17-54-commissie-ic864x	ParlaMint-BE_2018-04-17-54-commissie-ic864x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-04-2018	2018-04-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	GrovoniusGwenaëlle	Grovonius, Gwenaëlle	F	1978	
ParlaMint-BE-en_2018-04-17-54-commissie-ic864x	ParlaMint-BE_2018-04-17-54-commissie-ic864x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-04-2018	2018-04-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	GrovoniusGwenaëlle	Grovonius, Gwenaëlle	F	1978	
ParlaMint-BE-en_2018-04-17-54-commissie-ic864x	ParlaMint-BE_2018-04-17-54-commissie-ic864x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-04-2018	2018-04-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	GrovoniusGwenaëlle	Grovonius, Gwenaëlle	F	1978	
ParlaMint-BE-en_2018-04-17-54-commissie-ic864x	ParlaMint-BE_2018-04-17-54-commissie-ic864x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-04-2018	2018-04-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	DeCrooAlexander	De Croo, Alexander	M	1975	
ParlaMint-BE-en_2018-04-17-54-commissie-ic864x	ParlaMint-BE_2018-04-17-54-commissie-ic864x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-04-2018	2018-04-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	GrovoniusGwenaëlle	Grovonius, Gwenaëlle	F	1978	
ParlaMint-BE-en_2018-04-17-54-commissie-ic864x	ParlaMint-BE_2018-04-17-54-commissie-ic864x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-04-2018	2018-04-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	GrovoniusGwenaëlle	Grovonius, Gwenaëlle	F	1978	
ParlaMint-BE-en_2018-04-17-54-commissie-ic864x	ParlaMint-BE_2018-04-17-54-commissie-ic864x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-04-2018	2018-04-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	HellingsBenoit	Hellings, Benoit	M	1978	
ParlaMint-BE-en_2018-04-17-54-commissie-ic864x	ParlaMint-BE_2018-04-17-54-commissie-ic864x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-04-2018	2018-04-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	DeCrooAlexander	De Croo, Alexander	M	1975	
ParlaMint-BE-en_2018-04-17-54-commissie-ic864x	ParlaMint-BE_2018-04-17-54-commissie-ic864x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-04-2018	2018-04-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	HellingsBenoit	Hellings, Benoit	M	1978	
ParlaMint-BE-en_2018-04-17-54-commissie-ic864x	ParlaMint-BE_2018-04-17-54-commissie-ic864x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-04-2018	2018-04-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	GrovoniusGwenaëlle	Grovonius, Gwenaëlle	F	1978	
