ParlaMint-BE_2018-04-18-54-commissie-ic870x.u1	Mr. Van Peteghem has just left the committee meeting.
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u2	Mr President, Minister, it is already mid-April, but my question dates from 5 March last. The first sentence of my question was: 'The last week was an eventful week in the Brexit negotiations'. Actually, there's something to say about the Brexit every week. Certain elements of my question have already become obsolete or have already been answered by practice or by your reactions. That is why I will shorten my question. In general, I would ask you to shed light on the current state of Brexit. More specifically, I have the following question. In her speech, Prime Minister May expressed the British wish to be part of a number of EU agencies, including medicines, space and chemicals. It seemed that the British would like to leave, but still want to keep the beautiful pieces for them. How do you stand on this cherry picking? Do you think this is admissible? Not as far as I am concerned, but I would have liked to have heard your opinion on this. What is the current state of affairs?
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u3	Minister, on Friday, 2 March, British Prime Minister Theresa May delivered a speech on her vision of an economic partnership between the United Kingdom and the European Union. Following his statement, we have confirmation that the British are looking for a "soft Brexit" which, at first glance, may seem the best option for the European Union and would avoid further disruptions in Northern Ireland. It is also essential that the European Union and the United Kingdom maintain partnerships and collaborations in areas such as space, health and security and defence policy. However, if we do not aim to plunge Britain into the crisis, Britain must understand that it cannot benefit from the advantages of the single market without the inherent obligations. Minister, what is your analysis of Mrs Theresa May's speech and Britain's position on future Brexit negotiations? On what points do you consider that Belgium should be particularly attentive in its bilateral and multilateral relations with Great Britain? I would point out that my question was introduced on 5 March. Almost every week, there are new elements.
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u4	Ladies and gentlemen, thank you for these questions. We have sometimes postponed the questions to the end of the meeting. First of all, I would like to make it clear that it is true that the Prime Minister's speech was really more realistic than some of the speeches previously made by other politicians. I have also been in contact with Michel Barnier to give him the evolution of our opinion on the second phase of the Brexit negotiations. To date, it has been first and foremost a confirmation, as in Mrs May's speech, of the red line in Britain. However, I would also like to say that an approach with three possible baskets is unacceptable to the European Union. We must stick to the same point of view. The additional guidelines adopted by the European Council under Article 50 on 23 March respect the current red line of the United Kingdom and are therefore based on the model of a free trade agreement, which can be complemented by cooperation in other areas of EU interest. The guidelines also leave open the possibility of developing a more extensive form of cooperation with the United Kingdom in case the United Kingdom adjusts its red line. These guidelines form the basis for the negotiation of the political declaration on the future framework for relations between the United Kingdom and the European Union. The interests of the EU 27 are not always exactly the same, as Mr Luykx said. There's a difference between the first and second stages. In a first phase, everyone wanted to defend Ireland. In the second phase, however, the different Member States have different interests. At the same time, each Member State is aware that unity is the only way to achieve a satisfactory outcome. Our country advocates a comprehensive trade agreement with trade facilities and broad cooperation in several areas for the future relationship between the United Kingdom and the European Union. At the same time, the European regulatory autonomy and role of the Court of Justice of the European Union must be maintained and the unity of the internal market must not be undermined. Any agreement with the United Kingdom should maintain a balance of rights and obligations and preserve a level playing field. Mr Flahaux, at the request of a number of countries, including ours, the guidelines specify that the United Kingdom cannot participate in the decisions of the agencies, bodies and offices of the European Union, including the three mentioned by you. This does not exclude a presence, but nothing has yet been decided on this, in any case not a participation in the decision. Chief negotiator Michel Barnier, in order to fulfil his duties and in the absence of proposals from the United Kingdom, has legally translated into a protocol in the draft withdrawal agreement the first two options for solutions to the Northern Ireland problem, the third option being the fallback option. On the EU side, the message has also been sent several times that this option is only a relapse option that will not apply if the UK comes up with another acceptable solution. The United Kingdom now recognises the need to include a legally workable fallback option in a withdrawal agreement, but still wishes to work on the text. From the Belgian point of view, it is of paramount importance to provide for an adequate mechanism that does not compromise the integrity of the internal market, in accordance with the April 2017 guidelines, the negotiating mandate of May 2017, the December 2017 progress report and the 23 March 2018 guidelines. Relations within the British Government are internal to the British Government. I am not going to comment on that. I want to say something about my last contact with Michel Barnier. We have confirmed that we want to evolve into a real unity of the 27 as in the first phase. We are not yet at the end of the debate on the first stage, especially when it comes to Ireland. With regard to Ireland, there is now an EU proposal. However, no agreement has yet been reached on the part of the United Kingdom. We must be sure that a good solution is found for Ireland, but that must also be a good solution for the European Union. I am thinking, for example, of Northern Ireland's participation in the internal market, but also of that. To date, however, there has been no agreement from London. For the future, we must also think of European Union aid, for example in the budgetary field, for those countries which may be heavily affected by the Brexit. I am thinking in the first instance of the ports and SMEs in our country, which may have very serious consequences. In the discussion with Michel Barnier there is no agreement on this but a clear orientation to use part of the European budget for stabilisation in Europe. Such budgetary intervention is possible with a view to stabilising Europe if there are very serious consequences of the Brexit. I would like to appeal to some of our partners, such as the Benelux countries, France and the Scandinavian countries. Negotiations with the United Kingdom are therefore under way. There are also common interests with a number of partners in the EU. We also advocate, for example, budgetary intervention, if necessary, in order to support a number of economic actors that would have direct consequences. I have received a very positive response from Michel Barnier in this regard.
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u5	Thank you, Minister, for your reply, which is in line with the answers we received from the Prime Minister in the Federal Advisory Committee on European Affairs. Of course, this case will continue to be followed.
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u6	Minister, thank you for your answer. Obviously, this is a file that we follow from week to week. Finally, without having a debate today, we can even wonder whether Britain itself will not adopt an attitude of renunciation. I don't hide that that's what I hope.
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u7	Mr President, Minister, these events took place at the end of February and they are shocking. Rwandan security forces shot Congolese refugees. This was also confirmed by the UN High Commissioner for Refugees. These were hundreds of refugees from the refugee camp in Kiziba, in the western part of Rwanda, who had gone to the local UNHCR office in Karongi to protest against the reduction of food rations and the harsh conditions in the refugee camps. UNHCR itself stated that it is a tragedy: "This tragedy should have been avoided and disproportionately use of force against desperate refugees is not acceptable." It is known that thousands of refugees from the DRC and Burundi live in Rwanda. I myself went there a few years ago, together with the then chairman of this committee, Mr de Donnea. It's a very unusual situation that police forces are shooting at people on the run. They are Congolese refugees in Rwanda, they speak the language and they are Rwandan. In 2012 you yourself visited a Congolese refugee camp in Rwanda. At that time, you said you were very impressed. We've been six years and there's still no recovery. Minister, what was the reaction of our government to the incident in Karongi? Have there been any diplomatic contacts? What is your assessment and analysis of the current refugee situation in the camps in Rwanda? In what way can Belgium or other countries better assist the competent agencies in the reception of these displaced Congolese people?
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u8	As you have already mentioned, on 22 February the site near the UNHCR office in Kibuye in the western province was the scene of incidents. In doing so, the police shot real bullets at Congolese refugees from the camp in Kiziba. Since 20 February they had met there to express their dissatisfaction with their situation, which is getting worse from month to month. According to the police report, five of the refugees were killed. However, UNHCR speaks of eleven deaths, eight in Kibuye and three in the camp itself. The protest relates to the situation in the camps, but also to opposition to biometric registration. According to several sources, a minority of influential refugees, including members of the executive camp committee, would have manipulated the majority of campers and escalated the situation. The immediate trigger for the demonstration was the decline in WFP food rations. There were apparently other underlying reasons, including the possible presence of weapons in the camp and the relatively poor relationship between the government and the leaders of the camp. Due to a funding gap between the two major UN humanitarian organisations UNHCR and the World Food Programme, the World Food Programme was committed to reducing food rations by 10% in November 2017, and again by 25% in January 2018. Current budgetary provisions allow these rations to be maintained from 75% until July 2018. The Belgian humanitarian aid financed refugee response in Rwanda. In the context of forgotten and underfunded crises, Belgian humanitarian aid released EUR 1 million for the World Food Programme to provide food aid to refugees in Rwanda. At the same time, EUR 500 000 was delivered to UNHCR. Belgium also provides indirect funding. In general, Belgium calls for increased humanitarian aid to the countries of the Great Lakes region. I'm concerned about the violence by the Rwandan security service. I've asked our embassy to follow this closely. As UNHCR noted, such a police response is excessive and measures need to be taken to protect refugees. There must be guarantees that such an incident cannot occur again. This also requires a thorough investigation. The situation was discussed during a contact between the diplomatic corps and Minister Mushikiwabo. In the meantime, the Rwandan government has set up a task force to investigate the case. Filippo Grandi, UN High Commissioner for Refugees, was in Rwanda early this month and discussed the incident with the government and President Kagame. UNHCR wants to make clearer agreements with the government on the civil nature of the refugee camps. The case was also discussed by our embassy with Mr Grandi. With regard to the global refugee situation in Rwanda, I note that the ongoing crises in Congo and Burundi mean that refugees remain in Rwanda for a long time. More than 170 000 refugees are currently in six camps, leading to much frustration. As far as the DRC is concerned, at the humanitarian donor conference in Geneva on 13 April, my colleague of Development Cooperation specifically called for additional attention from both the Congolese authorities and the international community to be given to this worrying situation in the country. So we need to go further and see how it is possible for the Rwandan government to take a number of measures to avoid such an incident and provide protection on the ground for refugees. We are also trying to provide humanitarian aid to the refugees and also to find a solution in the two crises, but you know that so far it is not easy in Burundi or in the DRC.
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u9	It is good that we are focusing not only on Congo and Burundi, but also on Rwanda. We have also included that point in your approved note on Central Africa. Although Rwanda is located within one area with Congo and Burundi, there are considerable differences in terms of problems. That does not mean that there are no problems or that there would be no need to follow that situation there. I will try to ask you more questions about that.
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u10	Minister, a lot of water has already flowed to the sea when it comes to Russia. My question originally focused on the progress of the reform process, on the implementation of the Minsk agreements and on the situation in eastern Ukraine. That was just after the attack in Salisbury, over which a lot of ink has flowed. It is an understatement that the tensions between Russia and Europe, and especially the United Kingdom, arose at that time. At that time, I asked whether the additional tensions have an impact on the EU-Russia relationship. Maybe that was prophetic, because today is indeed the case. However, I would like your opinion on this. There was also the statement by the Foreign Affairs Council on the attack in Salisbury. Russia was called upon to respond urgently to the questions of the United Kingdom and the international community. European sanctions were also discussed in case Russia fails to do so. Finally, on 7 February, you stated in the Chamber that little progress has been made in recent years on the implementation of the Minsk agreements. Perhaps you could give me some insight into the results of the exchange of views you had in the Foreign Affairs Council? The EU continues to support the policy of non-recognition and implementation of the Minsk agreements. What is the EU's long-term vision on this issue? How do you see the situation in Crimea evolving?
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u11	EU policy towards Ukraine is based on the EU's unconditional support for Ukraine's territorial integrity and sovereignty. The EU condemns the illegal annexation of Crimea and Russian interference in Eastern Ukraine. The EU calls on Russia and Ukraine to implement the Minsk agreements fully and without delay. The EU has a strict sanction regime against Russia to encourage the Kremlin to take a more constructive stance in the conflict. In addition, the EU, including Belgium, places a strong emphasis on the reform agenda in Ukraine. The government in Kiev has already taken important steps, but there is still a great deal of work to be done, especially in the area of strengthening the rule of law. The parameters of this EU policy remain valid. This was confirmed during the discussion on Ukraine at the Foreign Affairs Council on 19 March 2018. During the meeting of the Foreign Affairs Council in Luxembourg on Monday 16 April 2018, we heard that members of the Normandy format might sit around the table again. France and Germany have tried to do so. So far no progress has been made in implementing the Minsk agreements. The Foreign Affairs Council and the European Council indeed called on Russia to cooperate fully in the investigation into the facts in Salisbury of the United Kingdom and the Organisation for the Prohibition of Chemical Weapons. However, the rhetoric from Moscow raises doubts about Russia's willingness to register in that process. Today a discussion will take place in The Hague on the technical analysis carried out by the Organization for the Prohibition of Chemical Weapons on the chemical substance used in Salisbury. As a member of the executive board of the organisation, Belgium will participate actively in the debate. I have asked my colleagues to follow the same line on the executive board of the organisation. During his intervention, our ambassador will call for respect for the provisions of the Convention on the Prohibition of Chemical Weapons and for the work of the organisation. We cannot accept further erosion of the international standard on the prohibition of chemical weapons. Any additional European sanctions are not dealt with in the current context. This was also apparent from the debate at the Foreign Affairs Council in Luxembourg last Monday. As has been said, we are maintaining the current sanctions, as no progress has been made on the implementation of the Minsk agreements. In addition, the European Union will take steps in the coming months to increase the European Union's resilience to chemical, biological, radiological and nuclear risks, including through closer European cooperation. At the same time, the European Union and the Member States will increase their capacity to address hybrid threats, such as cyber attacks. This is the case for all Member States, including Belgium, which had to deal with such attacks a few times already. We need to pay more attention to the security of this sector, perhaps through more cooperation with other partners and not just the other European Member States. Furthermore, there has been no real progress in the Minsk process on the ground in Ukraine since 7 February, either in terms of security or in terms of politics. The humanitarian situation also remains appalling. However, the implementation of the Minsk agreements remains the only way forward. This was also the case at the Foreign Affairs Council on 19 March. There is also unanimous agreement on the European policy of sanctions against Russia for Krimannexation and interference in the Donbass. It will have to be seen whether President Putin's re-election will bring about a change in the Kremlin's foreign policy, but the current context certainly gives little cause for optimism. You have also seen developments following the new events in Syria. Nor was it easy to reach an agreement on this issue at Security Council level. We have had a number of discussions on this in the European Union. As far as our relationship with Russia is concerned, we must continue with the same open dialogue, where, on the one hand, we have a very strong position on Ukraine and a number of other dossiers, but, on the other hand, we should also discuss and cooperate on a possible way out of certain crises, such as Syria, for example in the fight against climate change or in the field of energy. We are always trying to maintain dialogue with Russia. This has now been accepted at European level. I have heard comments on the Prime Minister's and myself's visit to Russia in the preparation of the committee. That was before the events in Syria. At the recent meeting of the Foreign Affairs Council, I learned that my Dutch colleague was in Moscow last week for a discussion with Minister Lavrov. My Austrian colleague will now go to Russia for contact with Minister Lavrov and President Macron will go to Saint Petersburg in May for contacts with President Putin. So we are not the only ones with such an approach. In short, we must take a very strong position, while at the same time keeping open the possibility of direct talks with our Russian colleagues. There is often criticism here, as if Belgium were the only country trying to maintain contacts with certain partners. In a few weeks' time, however, it will be possible to see that the Netherlands, Austria and France are following our example.
