Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BG-en_2019-11-07	ParlaMint-BG_2019-11-07.u1	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 8, Meeting 310 (2019-11-07)	2019-11-07	Unicameralism	Четиридесет и четвърто народно събрание	8 парламентарна сесия	310 пленарно заседание	2019-11-07	-	Reference	English	Chairperson	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	HristovEmil	Hristov, Emil Marinov	M	1957	
ParlaMint-BG-en_2019-11-07	ParlaMint-BG_2019-11-07.u2	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 8, Meeting 310 (2019-11-07)	2019-11-07	Unicameralism	Четиридесет и четвърто народно събрание	8 парламентарна сесия	310 пленарно заседание	2019-11-07	-	Reference	English	Regular	MP	notMinister	BSPFB	Parliamentary Group: BSP for Bulgaria	Opposition	Centre-left	KanevPetar	Kanev, Petar Georgiev	M	1953	
ParlaMint-BG-en_2019-11-07	ParlaMint-BG_2019-11-07.u3	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 8, Meeting 310 (2019-11-07)	2019-11-07	Unicameralism	Четиридесет и четвърто народно събрание	8 парламентарна сесия	310 пленарно заседание	2019-11-07	-	Reference	English	Chairperson	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	HristovEmil	Hristov, Emil Marinov	M	1957	
ParlaMint-BG-en_2019-11-07	ParlaMint-BG_2019-11-07.u4	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 8, Meeting 310 (2019-11-07)	2019-11-07	Unicameralism	Четиридесет и четвърто народно събрание	8 парламентарна сесия	310 пленарно заседание	2019-11-07	-	Reference	English	Regular	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	NikolovValentin	Nikolov, Valentin Aleksiev	M	1971	
ParlaMint-BG-en_2019-11-07	ParlaMint-BG_2019-11-07.u5	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 8, Meeting 310 (2019-11-07)	2019-11-07	Unicameralism	Четиридесет и четвърто народно събрание	8 парламентарна сесия	310 пленарно заседание	2019-11-07	-	Reference	English	Chairperson	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	HristovEmil	Hristov, Emil Marinov	M	1957	
ParlaMint-BG-en_2019-11-07	ParlaMint-BG_2019-11-07.u6	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 8, Meeting 310 (2019-11-07)	2019-11-07	Unicameralism	Четиридесет и четвърто народно събрание	8 парламентарна сесия	310 пленарно заседание	2019-11-07	-	Reference	English	Regular	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	NikolovValentin	Nikolov, Valentin Aleksiev	M	1971	
ParlaMint-BG-en_2019-11-07	ParlaMint-BG_2019-11-07.u7	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 8, Meeting 310 (2019-11-07)	2019-11-07	Unicameralism	Четиридесет и четвърто народно събрание	8 парламентарна сесия	310 пленарно заседание	2019-11-07	-	Reference	English	Chairperson	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	HristovEmil	Hristov, Emil Marinov	M	1957	
ParlaMint-BG-en_2019-11-07	ParlaMint-BG_2019-11-07.u8	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 8, Meeting 310 (2019-11-07)	2019-11-07	Unicameralism	Четиридесет и четвърто народно събрание	8 парламентарна сесия	310 пленарно заседание	2019-11-07	-	Reference	English	Regular	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	PetrovaTanya	Petrova, Tanya Todorova	F	1961	
ParlaMint-BG-en_2019-11-07	ParlaMint-BG_2019-11-07.u9	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 8, Meeting 310 (2019-11-07)	2019-11-07	Unicameralism	Четиридесет и четвърто народно събрание	8 парламентарна сесия	310 пленарно заседание	2019-11-07	-	Reference	English	Chairperson	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	HristovEmil	Hristov, Emil Marinov	M	1957	
ParlaMint-BG-en_2019-11-07	ParlaMint-BG_2019-11-07.u10	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 8, Meeting 310 (2019-11-07)	2019-11-07	Unicameralism	Четиридесет и четвърто народно събрание	8 парламентарна сесия	310 пленарно заседание	2019-11-07	-	Reference	English	Regular	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	DaritkovaDaniela	Daritkova-prodanova, Daniela Anastasova	F	1966	
ParlaMint-BG-en_2019-11-07	ParlaMint-BG_2019-11-07.u11	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 8, Meeting 310 (2019-11-07)	2019-11-07	Unicameralism	Четиридесет и четвърто народно събрание	8 парламентарна сесия	310 пленарно заседание	2019-11-07	-	Reference	English	Chairperson	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	HristovEmil	Hristov, Emil Marinov	M	1957	
