ParlaMint-BG_2019-02-20.u1	We have a quorum. I'm opening the meeting.
ParlaMint-BG_2019-02-20.u2	Ladies and gentlemen, I present to your attention the Project of the Programme for Work of the National Assembly 20 February 2019: "1." Draft Law on the ratification of the Protocol to the North Atlantic Treaty on the Accession of the Republic of Northern Macedonia. Importer is the Council of Ministers on 14 February 2019. 2. New discussion of the Law on Amendment and Supplement to the Personal Data Act adopted by the National Assembly on 24 January 2019, returned for a new discussion with Decree No 20 of 4 February 2019 to the President of the Republic under art. 101 of the Constitution of the Republic of Bulgaria. 3. Annual Youth Report 2016 and Annual Youth Report 2017 with Decision Projects. Importer is the Council of Ministers on 20 April 2018 and 14 December 2018. 4. Termination of the term of office of the Chair of the Financial Supervision Commission. resigned from Karina Karaivanova, Chairman of the Financial Supervision Commission on 19 February 2019, first item on Thursday, 21 February 2019. 5. Draft decision on the adoption of Rules of Procedure on the terms and conditions for proposing candidates for Chairman of the Commission for Financial Supervision and Presentation and Public Disclosure of Documents and Hearing of Candidates in the Committee on Budget and Finance, as well as the procedure for election of the National Assembly. Importer is the Committee on Budget and Finance, item 2 for Thursday, 21 February 2019. 6. Draft decision on the adoption of procedural rules on the terms and conditions for proposing members of the Central Election Commission, the presentation and public disclosure of documents and their hearing in the Committee on Legal Affairs, the proposal and election of a Chair, Vice-Presidents and Secretary of the Central Election Commission. Importer is the Committee on Legal Affairs, item 3 for Thursday, 21 February 2019. 7. Second vote on the Bill on Population Census and Housing Fund in the Republic of Bulgaria in 2021. Importer is the Council of Ministers on 4 December 2018. Adopted at first vote on 30 January 2019. Point 4 for Thursday 21 February 2019 8. Second vote on the Draft Law amending and supplementing the Railway Transport Act. Importer is the Council of Ministers on 22 January 2019. Adopted in first vote on 7 February 2019. Point 5 for Thursday 21 February 2019 9. Draft Law on the ratification of the Additional Agreement to the Memorandum of Understanding on the maintenance and operation of the detector between the Ministry of Education and Science of the Republic of Bulgaria and the European Organisation for Nuclear Research (CERN) No 10, signed on 28 November 2018 in Sofia. Importer is the Council of Ministers on 31 January 2019, item 1 for Friday, 22 February 2019. 10. Parliamentary control. Please vote on the proposed draft agenda. They voted 145 MPs: 134, none, abstention 11. The motion is accepted. Colleagues, we are moving to the first item of today's agenda: THE LAW FOR THE RATEFICING OF THE ARCHIVER TO THE SEVERNOATLANTIC AGREEMENT ON THE RECOGNITION OF THE REPUBLIC OF NEIGHBORAL MACEDONIA. Dear colleagues, the President of the Assembly of the Republic of Northern Macedonia is at the balcony of the plenary. He is a guest of the National Assembly on the upcoming vote on the Draft Law on ratification of the Protocol to the North Atlantic Treaty on the Accession of the Republic of Northern Macedonia. [[(Everyone's up. (Applause)]] Colleagues, the Foreign Policy Committee report will introduce us to Mrs. Grozdanova. Here you go.
ParlaMint-BG_2019-02-20.u3	Madam President, honourable Members! ♪ I can't believe on a bill for ratification of the Protocol to the North Atlantic Treaty concerning the accession of the Republic of Northern Macedonia, No 902-02-5, submitted by the Council of Ministers on 14 February 2019. At an extraordinary meeting held on 15 February 2019, the Foreign Policy Committee examined the Draft Law on the ratification of the Protocol to the North Atlantic Treaty on the accession of the Republic of Northern Macedonia, signed on 6 February 2019 in Brussels. The reasons for the bill were presented by the Deputy Minister of Foreign Affairs Emilia Kraleva. In April 2008, in Bucharest, the North Atlantic Treaty Organisation Summit decided to invite the Republic of Macedonia to join after finding a mutually acceptable solution to the dispute with the Hellenic Republic over the country's name. This process and the procedures for the implementation of the compromise reached ended with the ratification of the Agreement signed on 17 June 2018. The Agreement of Prespa by the parliaments of the two countries, respectively on 11 January 2019 by the Republic of Northern Macedonia and on 25 January 2019 by the Hellenic Republic. On this basis, the draft Protocol to the North Atlantic Treaty on the accession of the Republic of Northern Macedonia was approved by the North Atlantic Council at the level of permanent representatives on 28 January 2019. On 6 February 2019 the Protocol was signed by the NATO Member States in Brussels. The Republic of Bulgaria actively contributed to the decision to include the Republic of Northern Macedonia in the enhanced partnership dialogue with NATO as early as 2008. In a bilateral plan signed on 1 August 2017 in Skopje, the Treaty of Friendship, Good Neighborhood and Cooperation, Bulgaria reaffirmed its support for the Euro-Atlantic integration of the Republic of Northern Macedonia. The ratification of the Protocol to the North Atlantic Treaty on the accession of the Republic of Northern Macedonia is a confirmation of the consistent policy of the Republic of Bulgaria for the establishment of lasting security and prosperity in the region. With the entry into force of this Protocol, the Secretary-General of the North Atlantic Treaty Organisation will invite the Government of the Republic of Northern Macedonia to join the Alliance. In accordance with art. 10 of the North Atlantic Treaty, the Republic of Northern Macedonia will become party to the Treaty from the date of deposit of its accession document. This Protocol shall enter into force after each of the Parties to the North Atlantic Treaty has notified the Government of the United States of America of its adoption. The Protocol is subject to ratification by a law of the National Assembly on the basis of art. 85, para. 1, t. 1 of the Constitution of the Republic of Bulgaria. On the basis of the discussion held and the subsequent vote, the Committee on Foreign Policy unanimously with 13 votes for the Council of the Republic of Northern Macedonia, No 902-02-5, submitted by the Council of Ministers on 14 February 2019, proposed to the National Assembly to ratify the Protocol to the North Atlantic Treaty on the Accession of the Republic of Northern Macedonia by law.
ParlaMint-BG_2019-02-20.u4	Thank you, dear Mrs. Grozdanova. The second report belongs to the Defence Committee. Here you are, General Popov.
ParlaMint-BG_2019-02-20.u5	Madam President, colleagues! ♪ I can't believe to the Defence Committee on a Draft Law on the ratification of the Protocol to the North Atlantic Treaty on the Accession of the Republic of Northern Macedonia, No 902-02-5, submitted by the Council of Ministers on 14 February 2019. At a meeting held on 15 February 2019, the Defence Committee examined the Draft Law on the ratification of the Protocol to the North Atlantic Treaty on the accession of the Republic of Northern Macedonia, No 902-02-5, submitted by the Council of Ministers on 14 February 2019. The bill was presented on behalf of the importers by the Deputy Minister of Foreign Affairs Emilia Kraleva and by the Deputy Minister of Defence Anatoly Velichkov. The Protocol to the North Atlantic Treaty on the accession of the Republic of Northern Macedonia was signed on 6 February 2019 in Brussels. It is an addition to the North Atlantic Treaty and it is necessary to be ratified by the National Assembly on the basis of art. 85, para. 1, t. 1 of the Constitution of the Republic of Bulgaria. The Chairman of the Defence Committee, People's Representative Konstantin Popov, pointed out that the accession of the Republic of Northern Macedonia is a very important step towards the establishment of lasting security and prosperity in the region. There is still much work to be done in the process of joining NATO, which we have already been through in Bulgaria. There is a broad field of cooperation and the Ministry of Defence and the Ministry of Foreign Affairs should respond positively to a request for assistance. During the discussion of the draft by the MPs Petar Vitanov, Boris Vangelov, Tasco Ermenkov, Milen Mihov, Jayhan Ibryamov and Valentin Radev was expressed support of the Bill and underlined that the European and Euro-Atlantic perspective is the most stable guarantee for the security and stability of the Western Balkans. A question was raised about the possible role of the instrument of ratification as a diplomatic instrument for activating partnership and interstate relations. Deputy Minister Emilia Kraleva thanked for the unanimous support and stressed the importance of consensus in making important decisions for the security of the country. In response to the question asked, Ratification is in short terms an expression of consistent policy and it is very positive that Bulgaria is among the first countries to ratify the Protocol. At the same time, he assured that the Ministry of Foreign Affairs is very closely monitoring the problems and that no compromise will be allowed in any area with regard to the agreements and national interests reached. In the subsequent vote by 19 votes for the defence committee adopted the following opinion: He proposed to the National Assembly on the basis of art. 85, para. 1, t. 1 of the Constitution of the Republic of Bulgaria, to adopt a Draft Law on the ratification of the Protocol to the North Atlantic Treaty on the Accession of the Republic of Northern Macedonia, No 902-02-5, submitted by the Council of Ministers on 14 February 2019
ParlaMint-BG_2019-02-20.u6	Thank you, dear General Popov. Colleagues, I give the floor to the motives of Deputy Minister of Justice and Minister of Foreign Affairs Mrs. Ekaterina Zaharieva. Here you are, Mrs. Deputy Prime Minister.
ParlaMint-BG_2019-02-20.u7	Madam President, Mr President of the Meeting of the Republic of Northern Macedonia, ladies and gentlemen of the Parliament! I would like to thank you for the opportunity to present to you the Bill on the ratification of the Protocol to the North Atlantic Treaty on the accession of the Republic of Northern Macedonia on behalf of the Bulgarian Government. The moment is historic for NATO enlargement, as this year we celebrate the 70th anniversary of the Alliance and in the year of the 70th anniversary the Republic of Northern Macedonia will become the 30th ally in the Alliance. The Republic of Bulgaria is a consistent supporter of the European and Euro-Atlantic integration of the Western Balkan candidates. This has also been clearly demonstrated during the Bulgarian Presidency of the Council of the European Union in the first half of 2018. Almost one year ago on 14 February 2018, the Treaty of Friendship, Good Neighborhood and Cooperation between our two countries entered into force. I would like here, from this highest tribune in Bulgaria, to thank, on behalf of the Bulgarian people and the Bulgarian government, I suppose, you will also join these thanks for the fact that, during the signing of the Protocol in Brussels, my colleague Nikola Dimitrov expressed his express gratitude to the Bulgarian government, to the Bulgarian people for the clear and lasting support of their aspiration for alliance in NATO and for membership in the European Union. Just a few days ago in Munich, Prime Minister Zaev expressed his personal gratitude and shared the award he received with Prime Minister Tsipras and the Bulgarian Prime Minister. As soon as it joined NATO in 2004, the Republic of Bulgaria has made a clear commitment to work to promote the process of Euro-Atlantic integration of the countries seeking membership. This consistent support is conditional on our confidence in the importance of integration processes as an incentive for internal reforms, for strengthening security and stability in the region and for building good neighbourly relations. NATO enlargement policy is seen as one of the most successful instruments of the Euro-Atlantic community to expand the area of peace, security and prosperity. Leaded by these beliefs, several Bulgarian governments decided to conclude memorandums of co-operation in the field of European and Euro-Atlantic integration with the governments of then still the Republic of Macedonia in 2004, 2008 and 2011. The path of joining NATO was not short for our neighbours. As early as 1993, the Skopje Assembly adopted a resolution to support NATO membership. In 1999 he went into the next phase of the integration process with the so-called membership plan and implementation of annual national programmes. At the 2008 NATO Summit, with Bulgaria's active role, the allies decided to invite the then Republic of Macedonia to join, as soon as a mutually acceptable solution to the bilateral name dispute with Greece was found. In our national interest, it is our southwest neighbour to be part of the area of shared democratic values, to assume her share of the responsibilities and obligations arising from NATO membership and to contribute to Euro-Atlantic security. Within NATO, the horizons for future co-operation are further expanding. The recent membership of the Republic of Northern Macedonia in the Alliance will make us allies able to take part in solving global regional problems, as well as the required complex solutions in the areas of combating radicalisation, extremism, terrorism, disinformation, hybrid wars and so on. The joint teachings between our armies will contribute both to the development of our defense capabilities and help to overcome the unfair prejudices of the past. At the same time, accession itself does not mean an end to efforts for internal changes and democratic transformation of the country. The Republic of Bulgaria will continue to encourage the Republic of Northern Macedonia and support the process of continuing the internal reforms needed to start membership negotiations. I can assure you that our diplomatic efforts to make a final decision in June this year to open accession negotiations with the European Union will continue. NATO membership marks a new stage of co-operation between our two countries. I hope that it will be filled with mutual trust and increased dynamics of interstate relations, which will directly reflect the extremely strong attachment between the citizens of our countries. I also sincerely believe that very soon, as I have already said in June 2019, you will also begin membership negotiations. I am convinced that, like our two governments, our parliaments, our citizens and our business, we are willing to fulfil the commitments we made with the Treaty, which we signed a year and a half ago and which came into force a year ago, leading in this regard, is the maintenance of good neighbourly relations, a key element on which the pace of progress of reforms will really depend. It is also our role here to correct a historical injustice - historical errors - I would call them, for example, the lack of sufficient connectivity and infrastructure between the two countries. The work on improving infrastructure on Corridor 8 continues to be of paramount importance, including the construction of fast, quality roads, highways and roads. It is precisely with the construction of the combined Intermodal Transport Networks that will reveal completely new opportunities for potential investors, which will favour our socio-economic cohesion. I would like to congratulate the President of the Assembly of the Republic of Northern Macedonia, Mr. Talat Jaferi, that he is here with us, to assure him that I know how difficult and long this process has been, and to express confidence that the right lessons from the mistakes in the past have been made and the future before us is common, as is common with our past. I would like to call on all Members of the National Assembly, as in the committees you unanimously supported the Council of Ministers' proposal for ratification, to do so in this House as well. Once again, let me express my gratitude for having the opportunity to express the government's motives to you. [[Applause from GERB.]]
ParlaMint-BG_2019-02-20.u8	Thank you, dear Mrs. Deputy Prime Minister. Colleagues, I'm opening the debate. You have the floor to speak. Here you are, General Popov.
ParlaMint-BG_2019-02-20.u9	Dear Madam President, Mr. Jafferi, Chairman of the Meeting of the Republic of Northern Macedonia, Mrs. Deputy Prime Minister, honourable Members! I take the floor with a clear conscience that today we are going to talk about an important topic. We may be repeating ourselves, but a good deed must be spoken of, and if necessary, it must be repeated. The good words should sound in the Bulgarian Parliament. Here I will join the Deputy Prime Minister yes, a lot of work has been done both in recent years and in recent months. So did we believe so strongly just two or three years ago that this day would come that we would really... [[Reply by MP Delyan Dobrev.]] Thank you, Mr. Dobrev. So did we believe so strongly that this day would come when the Bulgarian National Assembly would ratify this protocol? Here we must also pay tribute to the government, to Mr. Boyko Borisov, to the Deputy Prime Minister, to all the ministers and to all the people who participated in this process with great strength, with great will, with a lot of energy, with a lot of kindness, with a lot of diplomacy to get to this day when we will consider and, hopefully, unanimously confirm a good deed. I believe that with the ratification of the Protocol we will indeed do a historic case because with the accession of the Republic of Northern Macedonia to the North Atlantic Treaty we not only provide our southwest border, where, instead of a neighbour, we will have an ally, but with the accession of the Republic of Northern Macedonia we will say a value system, which we all share with the members of NATO, namely the principle of one for all. I do not want to politicize this process, but to me it seems a bit sad that colleagues from the Bulgarian Socialist Party are not here on such an important day for Bulgaria and that the party took over the national responsible. I'm sure they'll regret that they missed that day and I'm sure those after us will say the same, because when we talk about national unity, when we talk about security, about stability, we should all be together. I'll join you in what the Deputy Prime Minister said before me. We really have a lot of work ahead of us and we are ready to help the Republic of Northern Macedonia when it comes to making a decision in the North Atlantic Treaty, when it comes to building defence capabilities, when it comes to defensive planning, when it comes to building personnel and many, many other cases, but I am sure that pragmatism will bring us to a good end. And in today's day, we can afford a little emotion. Here, from Sofia, from Bulgaria clearly and loudly say and hear: welcome, friends, to us, welcome, brothers and sisters! [[Applause from GERB.]]
ParlaMint-BG_2019-02-20.u10	Thank you, dear Mr. Popov. Any lines to Mr. Popov's statement? I can't see. Mr. Karadayi, come in for a statement.
ParlaMint-BG_2019-02-20.u11	Thank you. Madam President, Mr. Chairman of the Meeting of the Republic of Northern Macedonia, ladies and gentlemen of the Parliament, Your Excellency, Mrs. Deputy Prime Minister! We, the MPs from the Movement for Rights and Freedoms, strongly support the decision and we will vote for it. Convincedly, consistently and uncompromisingly we follow this course of our Euro-Atlantic development as early as 1990, in 1992, when Bulgaria officially recognised Macedonia's independence, in 1999, 2004 and 2007, and we continue steadily because we believe and know that this is the right way for national security and state sovereignty, for peace and democracy. In this regard, a brief reference to the historic speech of our Honorary President Dr. Ahmed Dogan on Bulgaria's road to Europe through the Bosporus, as well as to the active role of the Movement for Rights and Freedoms, for our membership in NATO and the European Union. To our joy and pride, membership in both alliances was realized in our participation in the country's rule. Describing where the value stands, the Movement for Rights and Freedoms took over as a mission the realization and deepening of Euro-Atlantic integration at the dawn of democracy. It continues to uphold Euro-Atlantic values today, the values of peace and democracy, the rule of law, the rights and freedoms of citizens and human dignity. The ideas for the Euro-Atlantic orientation of the Western Balkans, including Macedonia, are our commitment from the 1990s. We are convinced that this is the way to build strong and stable Balkans, to strengthen stability in the region and in Europe, to ensure peace and prosperity. This is the way to oppose populism and nationalism, to any cynical policy that threatens peace. By supporting this decision today, we reaffirm our allegiance to those Euro-Atlantic values that protect peace and democracy, the rights and freedoms of European citizens. At the same time, through the support of this decision, we deny any form of hatred, xenophobia, nationalism and populism. We call on all nationally responsible parties to reaffirm our common unwavering will to be actively engaged in this unique community of values dedicated to the principles of individual freedom, democracy, human rights and the rule of law, to achieve security and stability, lasting peace and prosperity. We remind you that shared values require not only declarations, but also deeds, will and determination, require responsibility, require compliance with the Constitution and compliance of the country's laws with the basic law, with European directives, especially in the area of civil and human rights. Today's decision is political and strategic for the security of the country and the region and we support it. We believe that the Republic of Northern Macedonia, becoming part of shared democratic values, will assume its share of the responsibilities and obligations arising from NATO membership, as well as contribute to Euro-Atlantic security. We wish you luck! Thank you for your attention. [[Applause from DPS and GERB.]]
