ParlaMint-BG_2019-04-04.u1	There's a quorum. I'm opening the meeting. Procedure, Mr. Nunev, come in.
ParlaMint-BG_2019-04-04.u2	Thank you, Madam President. Honourable Members, I propose point seven of the adopted program for the working week "A bill for amendment and supplement of the Law on Bulgarian Personal Documents," No 954-01-10, submitted by the National Representative Andon Donchev and a group of MPs on 27 February 2019, to drop out, as the Council of Ministers at its meeting yesterday approved the Law amending and supplementing the Bulgarian Personal Documents Act submitted by the Ministry of Interior. The bills will be discussed and voted in plenary according to the order of art. 81 of the Rules of Procedure of the National Assembly.
ParlaMint-BG_2019-04-04.u3	Thank you, Mr. Nunev. Are you suggesting that the item be withdrawn from the agenda? [[Reply from the National Representative Plamen Nunev.]] Please vote on the procedure so made. They voted 132 MPs: 114, against 4, abstention 14. The motion is accepted. [[Noise and lines.]] Colleagues, I see there's some concern about the vote. Mr. Donchev will explain. We have coordination in the Internal Security and Public Order Committee. [[Relation from the National Representative Andon Donchev.]] It's all right, isn't it, Mr. Donchev? Okay. Colleagues, I'm gonna read you two messages: On 3 April 2019 he received and sent to the National Representative a general bill of laws amending and supplementing the Social Assistance Act adopted at the first vote on 3 April 2019. The project was drawn up by the Labour, Social and Demographic Policy Committee on the grounds of art. 81, para. 2 of the Rules of Procedure of the National Assembly. Deputy Prime Minister for Public Order, Security and Defence Minister of the Republic of Bulgaria informs the National Assembly that in implementation of art. 18 of the Law on the passage through (and residence on the territory of the Republic of Bulgaria of Allied and Foreign Armed Forces by its order has authorised the passage through the territorial sea, the non-military residence in the inland waters of the Republic of Bulgaria and the visit of the port of Varna in the period from 4 to 6 April 2019 including a ship of the composition of the Canadian Navy. The notification was received on 3 April 2019 with the following information: No 903-09-16 and granted to the Defence Committee. Moving on to the first item of today's agenda: FIRST VOICE OF THE LAW OF RECOGNITION, ENFORCEMENT AND RECOGNITION OF JUDGE DECISIONS TO PROVIDE DISCLOSURE FROM FREENESS OR MEASURES INCLUDING DISCLOSURE OF FREEDNESS. Importer is the Council of Ministers. The report of the Committee on Legal Affairs will introduce us to Ms. Anna Alexandrova. Mrs. Alexandrova, come in.
ParlaMint-BG_2019-04-04.u4	Thank you, Madam President. Before the report, I would like to ask for a procedure for the admission of Deputy Minister Nikolay Prodanov and Mr. Dimitar Terziivanov an expert in International Legal Cooperation.
ParlaMint-BG_2019-04-04.u5	Thank you. We are voting on the proposal for admission to this House. They voted 122 MPs: 120, none, abstention 2. The motion is accepted. Please invite the Quaestors to the hall. Please, let's continue with the Legal Commission report.
ParlaMint-BG_2019-04-04.u6	Dear Mr. Chairman, colleagues! ♪ I can't believe for the first vote on a bill of recognition, enforcement and transmission of enforcement acts Punishment of imprisonment or measures involving imprisonment, No 902-01-12, submitted by the Council of Ministers on 11 March 2019. At its meeting held on 3 April 2019, the Committee on Legal Affairs discussed a bill of recognition, enforcement and transmission of judicial acts imposing imprisonment or measures involving imprisonment, No 902-01-12, submitted by the Council of Ministers on 11 March 2019. The meeting was attended by the Ministry of Justice: Mr. Nikolay Prodanov On behalf of the importers, the bill was presented by Mr. Nikolay Prodanov, who pointed out that it aims to introduce the requirements of Framework Decision 2008/909/Justice and Internal Order of the Council of 27 November 2008 on the application of the principle of mutual recognition to judgments in criminal matters requiring imprisonment or measures involving imprisonment for the purposes of their implementation in the European Union. The bill shall designate as a competent authority for the recognition and enforcement of foreign judicial acts the district court of residence or usual residence of the person to whom the penalty or measure has been imposed. If the residence of the person in the country is unknown or does not live in the country competent to recognise the act is the Sofia City Court. Mr. Prodanov noted that a condition for sending a judicial order for execution in the Republic of Bulgaria is the act to which he refers to, to constitute a crime under Bulgarian law. Double penalties shall not be required where the sentence or measure is given on the occasion of terrorism, participation in an organised criminal group, corruption, human trafficking, fraud, including one that affects the financial interests of the European Union, counterfeiting of monetary signs and other specifically referred crimes. The procedure for the recognition of foreign judgments shall include the possibility of consultation with the competent authority of the issuing Member State prior to the submission of the judgment. In accordance with the requirements of the Framework Decision, the Court of Justice shall be given the opportunity to adapt the punishment imposed by the issuing Member State by adapting it to the closest punishment provided for such acts under Bulgarian law. Punishment of imprisonment and of a measure involving imprisonment cannot be replaced by a fine or other form of monetary penalty. The bill regulates the possibility of appeal against the decision on recognition, the time limits of proceedings and the consequences of the recognition of the judgment of another Member State. A provision has been provided for the termination of execution in the event of withdrawal of the certificate or other case as a result of which the penalty ceases to be enforceable, including the granting of amnesty or pardon. The bill is proposed to enter into force from 1 January 2020, as it would have an impact on the state budget of the Republic of Bulgaria for 2020, with its adoption creating conditions for a faster procedure for carrying out the transfer of convicted persons, which is expected to increase them by up to 200 persons per year. The draft was adopted by the Supreme Court of Cassation of the Republic of Bulgaria. The discussion was attended by the MPs Danail Kirilov, Dimitar Lazarov, Simeon Naydenov and Christian Mitev. Members of the National Assembly expressed their support for the bill, noting that there is a need to refine certain provisions between first and second votes. Mr. Naydenov pointed out that it should be extended the catalogue of criminal acts in art. 8, para. 2 with other criminal groups. Mr. Lazarov noted that inaccurate and literal translations are received when introducing the requirements of directives and framework solutions. In response to the questions asked, the representatives of the Ministry of Justice pointed out that the Bulgarian legislation introduces a certain Framework Decision and the Republic of Bulgaria is bound by it, and it is a standard provision among the different legal systems to use common concepts in order to reach a compromise. As a result of the discussion held, the Committee on Legal Affairs unanimously with 13 votes in favour, without abstention and abstention, proposed to the National Assembly to adopt a bill of recognition, enforcement and enforcement of judicial acts for the execution of imprisonment or measures involving imprisonment, No 902-01-12, submitted by the Council of Ministers on 11 March 2019.
ParlaMint-BG_2019-04-04.u7	Thank you, Mrs. Alexandrova. Following is the Report of the Commission on European Affairs and Control of European Funds. Here you go.
ParlaMint-BG_2019-04-04.u8	Dear Mr. Chairman, colleagues! ♪ I can't believe on a bill of recognition, enforcement and transmission of judicial acts imposing imprisonment or measures involving imprisonment, No 902-01-12, submitted by the Council of Ministers on 11 March 2019. At its regular meeting held on 27 March 2019, the Commission on European Affairs and Control of the European Funds examined the Bill on Recognition, Implementation and Sending of Judgments for Punishment of Prisons or Measures Including Prisons, No 902-01-12, submitted by the Council of Ministers on 11 March 2019. The bill was presented by Evgeni Stoyanov "Deputy Minister of Justice." The meeting was attended by Aleksandar Stefanov, State Expert at the Department of Law and Dimitar Terziivanov, Chief Expert at the Directorate of International Legal Cooperation and European Affairs at the same Ministry. The bill aims to introduce in the Bulgarian legislation the requirements of Council Framework Decision 2008/909/JHA of 27 November 2008 on the application of the principle of mutual recognition to judgments in criminal matters imposing imprisonment or measures involving imprisonment for the purposes of their implementation in the European Union (OB, L 327/27 of 5 December 2008).), as amended by Council Framework Decision 2009/299/JHA of 26 February 2009. In accordance with the requirements of the Framework Decision, the Court of Justice shall be given the opportunity to adapt the punishment imposed by the issuing Member State by adapting it to the closest punishment provided for such acts under Bulgarian law. Punishment of imprisonment or measure involving imprisonment may not be replaced by a fine or other form of monetary penalty. The bill contains detailed arrangements for the rules for sending Bulgarian judicial acts for the imposition of imprisonment or measures involving imprisonment. As a result of the vote held after the discussion, the Committee on European Affairs and Control of the European Funds proposed by 5 votes for the National Assembly to adopt in the first vote a bill of recognition, enforcement and sending of judicial acts for the imposition of imprisonment or measures involving imprisonment, No 902 01 12, submitted by the Council of Ministers on 11 March 2019.
ParlaMint-BG_2019-04-04.u9	Thank you, Mrs. Grozdanova. I open the debate on the Draft Law on recognition, enforcement and transmission of judicial acts for the imposition of imprisonment or measures involving imprisonment submitted by the Council of Ministers on 11 March 2019. Are there any Members of the National Assembly who wish to speak? Let's assume there are no requests. I'm closing the debate and moving on to the vote. Honourable Members of the National Assembly, we are voting on a bill of recognition, enforcement and transmission of judicial acts imposing imprisonment or measures involving imprisonment, No 902-01-12, submitted by the Council of Ministers on 11 March 2019. They voted 102 MPs: for 102, against and abstention there is no. At first reading, we adopted a bill of recognition, enforcement and enforcement of judicial acts imposing imprisonment or measures involving imprisonment, No 902-01-12, submitted by the Council of Ministers on 11 March 2019. Moving on to the next point of our daily program: Therefore, the Commission considers that there is a need for the Commission to assess whether the aid is compatible with the internal market within the meaning of Article 107 (3) (c) of the Treaty on the Functioning of the European Union and whether it is compatible with Who will introduce us to the Committee on Labour, Social and Demographic Policy Report? Dr. Ademov, you have the floor, please.
ParlaMint-BG_2019-04-04.u10	Thank you, Mr. Chairman. ♪ I can't believe on a draft law supplementing the Social Security Code, No 954-01-17, submitted by Svetlana Angelova, Menda Stoyanova, Rumen Genov, Claudia Gancheva, Julian Papasimov, Dimitar Gechev, Nikolay Sirakov, Galya Zhelyazkova, Ralitsa Dobreva and Lilyana Pavlova on 27 March 2019. The Committee on Labour, Social and Demographic Policy at a regular meeting held on 3 March 2019 discussed and discussed the Draft for Supplement to the Social Security Code, No 954-01-17, submitted by Svetlana Angelova and a group of MPs. The meeting was attended by Biser Petkov, Minister of Labour and Social Policy, and Ivaylo Ivanov, Governor of the National Insurance Institute. The bill was presented by the MP Svetlana Angelova. At the beginning of the presentation, she recalled that since 1 January 2019 changes in the Code of Social Security related to the method of determining the individual coefficient in the formula for calculating the amount of pensions for employment are in force. The insurance income from which employment pensions are calculated does not include the insurance income for a period of three consecutive years, selected by the person from the last 15 years of insurance service until 1 January 1997, as well as the insurance income for the period 1997-1999, which was possible by the end of 2018. This is essentially a new methodology for calculating the individual coefficient when determining the amount of employment pensions that is fundamentally different from that applied to this point of time. The importers of the Bill take into account the fact that still with many people who are retiring at the moment, the prevailing insurance service and the corresponding insurance income were acquired before 2000. Some of them during this period received high wages on which they were actually provided, and subsequently, at the end of their career, for various reasons, including being able to accumulate the necessary insurance service for retirement, have undergone lower paid work. Thus, the application of the new provisions for the calculation of pensions starting from 31 December 2018 is less favourable to those persons who, irrespective of their actual contribution, cannot draw on the relevant social security rights. The main objective set by the importers of the bill is by § 22w of the Transitional and Final Provisions of the Social Security Code to enable persons to choose the amount of their pension to be determined by an individual coefficient calculated according to the old order, i.e. by including the income for the three most favourable years before 1997 and the entire period from 1 January 1997 until their retirement. In order to prevent inequalities in respect of persons who have already submitted applications for an employment pension starting after 31 December 2018 or who have had one before the entry into force of the proposed change, Paragraph 2 in § 22w is proposed. On the basis of that paragraph 2, they may, within six months of the entry into force of this Law, exercise their single right of choice, in which case the pension shall be granted at the new amount of the same starting date. It is proposed that the possibility for individuals to choose the amount of their pension to be determined by an individual coefficient calculated according to the old rate to be applied by 2023 when the share of people expected to be significantly reduced by the calculation of the individual rate of the old order is more favourable. The Commission received the opinions of the Ministry of Labour and Social Policy, the National Insurance Institute, the Industrial Capital Association in Bulgaria, the Bulgarian Chamber of Commerce and Industry and the Confederation of Independent Trade Unions in Bulgaria. Minister Biser Petkov defended the opinion of the Ministry of Labour and Social Policy, stressing that he supported the proposed by the Law the possibility for individuals to choose the amount of their pension to be determined by an individual coefficient calculated according to the "Old."................................................................................................................................................................................................................................... The manager of NOI Ivaylo Ivanov also stated his support for the Bill and stressed that an organization was established in the NSI to facilitate and assist the rapid functioning of the new legal norm. A preliminary assessment of the impact of the bill has been applied to the Bill. It states that the effect on pension expenditure on the State social security budget for 2019 will be 13 million. 673 thousand. £600. (trust of 0,1%) additional cost. The adoption of the Bill will ensure maximum protection of the rights of persons, therefore the benefits of its adoption are greater than the necessary additional costs. In the discussion held the President of the Commission Hasan Ademov asked the importers questions which essentially relate to the ability of the people to make this choice, which offered them the Bill.................................................................................. Mr. Ademov expressed concern that the information about the new bill will not reach the stakeholders who are about to retire, especially those who live in smaller municipalities and settlements. In addition, it is an interesting case for individuals who have chosen to receive a pension under art. 68a of the Social Security Code. At the end of the discussion and the vote held with results: 15 votes for....................................................................................................................................................................................................................................................... He proposed to the National Assembly to support in the first vote a bill for supplementing the Social Security Code, No 954-01-17, submitted by Svetlana Angelova and a group of MPs on 27 March 2019. Just one remark, Mr. Chairman, a mistake has been made. The sitting was not held on 3 March but on 3 April 2019.
ParlaMint-BG_2019-04-04.u11	Thank you. Technical error, we correct it with the knowledge and agreement of the plenary. There are no reports from other committees. Opportunity to present the bill by the importer Mrs. Angelova. Here you are, Mrs. Angelova, you have the floor to present the bill.
