ParlaMint-NO_2020-10-09.ana.ud305e37	The representative of Mr Åsunn Lyngedal will present a proposal for a representative.
ParlaMint-NO_2020-10-09.ana.ud305e42	On behalf of Kirsti Leirtrø, Ingarill Olsen, Fredric Holen Bjørdal, Ruth Grung, Øystein Langholm Hansen, Stein Erik Lauvås and myself, I am delighted to make a proposal to reduce the minimum advance for ferry discounts to NOK 1000.
ParlaMint-NO_2020-10-09.ana.ud305e47	The representative of the Bears Moxnes will present a proposal for a representative.
ParlaMint-NO_2020-10-09.ana.ud305e52	Red promotes a proposal on child protection for the benefit of children, not private profit.
ParlaMint-NO_2020-10-09.ana.ud305e57	The representative, Nicholas Wilkinson, will present a proposal for a representative.
ParlaMint-NO_2020-10-09.ana.ud305e62	I am delighted to make a proposal on behalf of Audun Lysbakken, Karin Andersen, Solfrid Lerbreck, Freddy André Hövstegård and myself to give people the security back into the system of redundancy payments.
ParlaMint-NO_2020-10-09.ana.ud305e67	The proposals will be dealt with in a regulatory manner. The President will draw attention to the fact that case No. 3 on today's map has not been out in the regulatory time, i.e. 48 hours, cf. Rules of Procedure § 46. However, the President will propose that the matter be examined. – It shall be deemed to have been adopted. At the request of the Financial Committee, cases will be brought before the Court of Justice of the European Communities. 1 and 2 are treated as a whole.
ParlaMint-NO_2020-10-09.ana.ud305e101	At the request of the Finance Committee, the President will arrange the debate as follows: 5 minutes for each party group and 5 minutes for members of the Government. In addition, there will be an opportunity to reply to comments from members of the government, and those who have to sign up to the list of speakers in addition to the allocated speaking time will have a speaking time of up to 3 minutes.
ParlaMint-NO_2020-10-09.ana.ud305e108	Let me start by thanking the Committee and the parties at Stortinget for constructive cooperation and for their contribution to the rapid handling of this matter. Since 12 March we have adopted measures in response to the virus outbreak on the Stortinget in seven rounds, including today. In March the world was turned upside down too many. The uncertainty is still great for those who are involved, although we now see that things are starting to go better in many places. But everyday life is and will be different. Fortunately, in Norway we have economic muscles to make it easier for many. In recent months, developments in the Norwegian economy have been more positive than expected, and although both infection rates and the prospects remain uncertain, we see that more people now want to bet and come back to work, and that is also the consequence of this package of measures. But we must not forget that unemployment is still high compared to before the pandemic, and we must prevent it from attaching itself to a high level. The Korona crisis is far from over, but it's over in a new phase. In the future, we need to continue the necessary transformation of the Norwegian economy while managing the effects of the pandemic. The way out of the crisis is about creating more and including more. Our most important task now is to create new jobs and get people back to work. There is a clear focus on the matter we are dealing with today. The wage support scheme should motivate and help companies to take more people back to work, and we are now introducing it for three new months. For those who are not able to take employees back all the time yet, we have to extend the permit scheme to 52 weeks and make sure they get more time. Those who are on leave – those who are waiting to get the job back, those who are in uncertainty – are now going to give us the opportunity to take education and fill in with competence while they wait. This makes them better equipped to face the situation when they return to work. It will also make them better rusted into maybe going into other industries, other jobs, than the ones they left. That's how we create new opportunities for those who are outside today. I think these are good measures, as we propose in Stortinget. I hope that it can contribute to increased optimism, and not least to the fact that more people look at a way back to work. For good reasons, there is a lot of focus on the challenges of travel today, both in the media and in this room. In order to include the various parties in the process of creating a new compensation scheme for this industry, the government has announced that it will present its own proposition on this matter quite soon. Trade fair, conference and event organisers shall be included in this arrangement. We're doing this to be absolutely certain. We do it because we see that there's always a long tail after these kinds of crises, and then it's important that we now go into the phase where we reverse where it's necessary, but also differentiate where we can. However, we are presenting some measures immediately today. We extend and extend the travel conversion scheme, create a new subsidy scheme for the tourism industry in Svalbard and establish a local compensation scheme through the municipalities. I've been talking to a lot of companies lately. Some are already too full of better results than before the crisis. But there are also many who are struggling. Part of business is still in an extremely demanding situation. The aim of government policy is to ensure that as many jobs as possible, which would otherwise be viable, survive the crisis. With this matter we will adopt today, together with the good agreement we have reached with the Progress Party, we will also ensure that we get more activity going in road and maintenance. We ensure that the compensation system for self-employed and freelancers continues well. There are also other good measures, which I am sure the Progress Party will go into, and which are well known from before. The Korona crisis is forcing both innovation and change. But if we handle it well, the crisis can turn out to be a seven-mile step towards a greener and more digitised society, a society where we can create more and include more. Finally, I take up the suggestions that the right hand side is part of.
ParlaMint-NO_2020-10-09.ana.ud305e133	The representative Mudasar Kapur has taken up the suggestions he referred to.
ParlaMint-NO_2020-10-09.ana.ud305e138	It cannot be repeated too often: the current crisis shows the strength of a society with small differences, high trust between people and close cooperation between the social partners. It has made us better equipped to handle the economic setback. We solve the big problems together and don't leave each one to himself, neither every single business nor every single person. It also makes us better able to get the necessary speed in the economy again, but then we have to take care of these qualities in our social model in a better way than government policy does. Although luckily fewer people are available now, unemployment is unusually high. 200,000 are still registered as jobseekers at Nav, twice as many as before the crisis, and we need 25 years back in time to find a higher unemployment rate. That's why all the unemployed are our greatest challenge now. The outlook in the draft budget shows that the decline in unemployment and the recovery of the economy seems to be slowing down. It'll go too slow. Even with the little speed, many people ask if the government is too optimistic. So it can go even slower. If this goes too slowly, our ability to create value and distribute is weakened. The high unemployment rate must not get stuck. The Corona crisis must not create even greater differences between people. Both this crisis package and the draft budget are insufficient to reduce unemployment quickly enough, correct the injustice of burden-sharing and give predictability to business. But even more wealth tax legislation for the richest of the country is provided for in the draft budget. That is the pattern of this package of measures and of the draft budget for next year. The scheme set up to ensure that apprentices and self-employed persons do not remain on the barside, and that low pay would not be extra hard hit, liquidated now or notified of termination. Over a month after the termination of the business compensation scheme, the compensation is still not in place, and travel life still hovers in uncertainty as to what the scheme will be like for them. This puts workplaces at risk. Before the summer, the Workers' Party left in Innst. 360 S put forward a broad and strong package to ensure health and well-being, increased activity and forward-looking growth – a strong policy to avoid a crisis that is going to get crooked up in society. Here was a lot of good suggestions the government could and should use. We believe that, in the last months of the year, there is still a great need to use fiscal policy actively to combat both unemployment and inequality. In this setting, we propose measures that will lead to a fairer burden-sharing, speeding up wheel movement, speeding down availability and ensuring our shared welfare services in municipalities. There has been a broad consensus on a lot in the package of measures adopted, including this, but not all. For us, it has been essential to give the crisis package a clearer social profile. The country’s closure hit workers with low income and low education hardest. It was therefore necessary to provide better income protection for vulnerable groups, both low-paid, sick or quarantined parents, self-employed and long-term apprentices. Several of these arrangements are now being phased out – too early, in our view. The uncertainty is too high, the number of unemployed is still too many. Other speakers from our side will address these measures, but let me point in particular to the students' vulnerable economic situation as a result of the coronary crisis. It is a political responsibility to prevent the pandemic from creating greater social inequality. Half of the so-called student billion is unused, and the government should enter into dialogue with student organisations as soon as possible to find a solution. We have a proposal on this in the vote that I am now considering, together with the other proposals from the Labour Party. Throughout the crisis management process, the Workers' Party has stressed that it is not necessary for the Community to take on the costs of loss and economic downturn, while the gains, some of them in such crises, end up in private pockets. It is precisely to ensure trust and small economic differences that we not only need a strong safety net that ensures people's income but also make clear demands for companies that receive state support. This is how we face the crisis of solidarity, while stopping the fall in the economy and laying the foundation for faster recovery.
