ParlaMint-NO_2020-06-19.ana.ud168e128	His Fredrik Gruvan will present a draft constitution.
ParlaMint-NO_2020-06-19.ana.ud168e133	On behalf of the representatives of Jorunn Gleditsch Lossius, Geir Sigbjørn Tuskedal, Steinar Reiten, Torill Selsvold Nyborg and myself, I am delighted to promote a proposal to amend Section 93 of the Constitution on the protection of life from conception to natural death.
ParlaMint-NO_2020-06-19.ana.ud168e138	The representative, Solvency Horne, will present a draft constitution.
ParlaMint-NO_2020-06-19.ana.ud168e143	On behalf of the big business representative Terje Halleland and myself, I am pleased to promote a constitutional proposal to repeal Section 117 on the abolition of the right to vote and to sit down.
ParlaMint-NO_2020-06-19.ana.ud168e148	The representative, Dag Terje Andersen, will present four draft constitutions.
ParlaMint-NO_2020-06-19.ana.ud168e153	I have the pleasure of submitting four constitutional proposals. The first is based on the proposal of the Electoral Committee for amendments to the Electoral Act. It is a cross-political group of members of the Control and Constitutional Committee who have found it appropriate to promote all those proposals in order to facilitate an open debate at the next big stage. It goes without saying that one cannot agree with all the proposals, but it provides a basis for next major treatment. The draft constitution is promoted by Eva Kristin Hansen, Magne Rommetveit, Svein Harberg, Bente Stein Mathisen, Solveig Horne, Terje Breivik, Ulf Leirstein and myself. Then there are three proposals discussed during this period, where there has been a broad consensus on the intention, but not agreement on wording. We have then tried to do a job to sew together a basis for discussion in the next period. The first proposal concerns gatherings as indigenous peoples in the Basic Law § 108, which is promoted by Eva Kristin Hansen, Magne Rommetveit, Svein Harberg, Hans Fredrik Gruvan, Freddy André Øvstegård, Terje Breivik, Nils T. Bjørke, Une Bastholm, Bjørnen Moxnes and myself. Then there is a change in the Basic Act § 112a on Free Living Marine Resources. There is a draft constitution from representatives Eva Kristin Hansen, Magne Rommetveit, Svein Harberg, Bente Stein Mathisen, Nils T. Bjørke, Terje Breivik and myself. Finally, it is a proposal for the foundation of the Allemannsrecht, promoted by the representatives of Svein Harberg, Magne Rommetveit, Eva Kristin Hansen, Bente Stein Mathisen, Freddy André Øvstegård, Karin Andersen, Terje Breivik, Une Bastholm, Bjørna Moxnes and myself.
ParlaMint-NO_2020-06-19.ana.ud168e168	The representative, Lars Haltbrecken, will present a draft constitution.
ParlaMint-NO_2020-06-19.ana.ud168e173	On behalf of the representatives Karin Andersen, Kari Elisabeth Kaski, Petter Eide, Solveig Schytz, Terje Breivik, Une Bastholm, Bjørn Moxnes and myself, I would like to put forward a draft constitution to legislate on the right to asylum.
ParlaMint-NO_2020-06-19.ana.ud168e179	The representative, Freddy André Oberstegård, will present three draft constitutions.
ParlaMint-NO_2020-06-19.ana.ud168e184	I have a great pleasure in putting forward three constitutional proposals. The first is on behalf of the representatives of Mona Fagerås, Lars Haltbrecken, Kari Elisabeth Kaski, Solfrid Lerbreck and myself on the introduction of the 16-year voting rights. The second is a proposal on behalf of the big business representative Audun Lysbakken and myself to amend § 68 of the Constitution that Stortinget meets earlier. The last is a proposal on behalf of Karin Andersen, Nicholas Wilkinson, Audun Lysbakken and myself on a new section 107 on the right to housing.
ParlaMint-NO_2020-06-19.ana.ud168e195	Constitutional proposals will be dealt with in a regulatory manner. The representative, Mr Bård Hoksrud, will present a proposal for a representative.
