ParlaMint-NO_2020-02-26.ana.ud57e28	The representative of Marit Knutsdatter Strand will present a proposal for a representative.
ParlaMint-NO_2020-02-26.ana.ud57e33	On behalf of the representatives of Marit Arnstad, Kari Anne Bøkestad Andreassen, Siv Mossleth and myself, I would like to put forward a proposal that State Building should not sell the buildings at the place of study Nesna.
ParlaMint-NO_2020-02-26.ana.ud57e38	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2020-02-26.ana.ud57e54	On Monday, the Stortinget received notice from the Prime Minister's office that the Councils of State Nikolai Astrup, Iselin Nybø and Henrik Asheim will meet for oral Question Time. The announced members of the government are present, and we are ready to start the oral question procedure. We start with the first main questions, from the representative Tuva Moflag.
ParlaMint-NO_2020-02-26.ana.ud57e63	My question goes to Astrup. As former rapporteur, my heart beats for the municipality. I don't think that's so nice. For what is the municipality? It's kindergartens and schools, health and home care, brooding and child protection. The municipality, the employees, takes care of our kids while we're at work. It's in the municipality they do the job of building people of benefit. Our kids play and learn with employees as comforters and organizers. It is primarily the people who are the municipality – people who go to work every day to provide good services to the inhabitants, employees who have a wage to live off, employees who cost money. This house places great demands on the services provided by the municipality. Manning standards and pedagogical standards have been introduced in kindergartens and schools, without enough money. What follows, however, is the keynote finger and the admonition that it is only a priority – it is only a priority within a municipal scheme that is the most stringent in 15 years. When large parts of the municipal budget are tied up by unfunded staffing standards, the country’s older people have to pick up the bill. The rapporteur, Mr Groette, in the Committee on Economic and Monetary Affairs and Industrial Policy, said the following in the Committee on Economic and Monetary Affairs and Industrial Policy: ‘It puts the municipalities in a checkmate. In the sense of all municipalities, significant savings in health care are now being made, despite the fact that the challenges in this sector will only increase.’ [[...]] I wonder what the new municipal minister will contribute to Kommune-Norway and the country's elderly – money or still indexing fingers?
ParlaMint-NO_2020-02-26.ana.ud57e79	The government has already contributed significant income growth for the municipalities in the years we have been sitting. Since 2013, the revenues of municipalities have increased by 30 billion. kr. The free income of the municipalities has increased more each year on average over the period of that government, compared to the previous government. We want to give the municipalities space for action to deliver good services to their inhabitants and equivalent services regardless of where they live. So I think it's important that both the state and the municipality in the future think anew about how we're doing the problems, because we're going to go into a period when the economy is going to be tighter for the country as a whole. This means that we need to focus on innovation and digitisation and new ways to solve these problems, to ensure that citizens get the services they expect, deserve and have demands.
ParlaMint-NO_2020-02-26.ana.ud57e86	Now it's not digital teachers the crew norm has pointed out. It's people, it's employees. KS and the municipalities have been aware that the standard of staffing in kindergarten and school is underfunded by 1 billion. kr. This is money that must be taken from other areas of the municipal budget. Everyone who has been a municipal politician knows that health and care are the second big budget line. If this is not to affect the elderly in the country, in which areas does the Minister of State think it is 1 billion? kr to collect from the budgets of Norwegian municipalities?
ParlaMint-NO_2020-02-26.ana.ud57e91	The economy of municipalities and the starting point for 2020 is good. This is because we have had good municipal arrangements for several years, and that there have been VAT receipts to the municipalities, which means that we have a record number of municipalities on the ROBEK list. Now we are down in eight municipalities, which is a significant decrease from when we took over the government power in 2013. The municipalities, I think, have a good economic base for solving the problems they're going to solve. It is not possible to get under the chair that municipalities also need priority in order to raise the economy, but the starting point is, as I said, good in 2020 – as it has been in the previous years. We are engaged in good services for the inhabitants and equivalent services throughout the country. You should be able to live across the country and get good services – no matter what kind of services it is – and you should get the services you require.
ParlaMint-NO_2020-02-26.ana.ud57e98	There will be follow-up questions – first Tuva Moflag.
ParlaMint-NO_2020-02-26.ana.ud57e103	Then we got the index finger here, too, in other words. Let's go directly to the care of the elderly. There'll be twice as many older people in the next 20 years. At the same time, it means doubling the number of people with dementia – a diagnosis that represents a heavy burden both for those affected and for their relatives. Daily activities places for people with dementia have been an important common promise for the country and the municipality. On 1 January 2020, the Government suspended the grant scheme in which the State contributed 50 pst. the costs of such a space. The money was included in the municipal framework, but there is not enough money here either. The government has only compensated the municipalities for half of the places they expect the municipalities to establish. This problem doesn't go up either. Why does the government cut in the offer of vulnerable demen's spacers and their families?
ParlaMint-NO_2020-02-26.ana.ud57e112	I think it's a little special to be accused of just giving the index when the example used is that we have moved money from a grant scheme into the framework, which, of course, just means that the municipalities themselves, who have the shoe on and know where it prints, can do their priorities. I think the sense is evenly distributed in this country, and that municipal politicians around the country are good at making priorities locally. Therefore, as far as possible, we should give the money to the municipalities as free revenues and not as earmarked grants, so that the municipalities themselves can make their priorities. Everyone is concerned that the elderly will receive a good and worthwhile offer whether they are demented or not, and that the municipalities will be able to give them the offer they both deserve and are entitled to. Expenditure increases are recorded over time in the municipal income system and will also be reflected for the municipalities concerned.
