ParlaMint-NO_2020-11-05.ana.ud400e60	The representative, Kjersti Toppe, will present a proposal for a representative.
ParlaMint-NO_2020-11-05.ana.ud400e65	I would like to make a proposal on behalf of the representatives of Storing Jenny Klinge, Geir Adelsten Iversen, Emilie Enger Mehl and myself to evaluate the 2017 change in the Mental Health Act on the introduction of consent requirements for inclusion in mandatory mental health protection.
ParlaMint-NO_2020-11-05.ana.ud400e70	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2020-11-05.ana.ud400e86	Since Minister of Health and Health Bent Höie was here and explained on 13 October, the situation has changed dramatically — both in Europe and here in Norway. My main message today is that the next few weeks will have to stay at home as much as possible and limit social contact with other people. Only in the last three weeks have we had more than 6,000 infected people in Norway. Although far fewer sick people were tested at the beginning of the pandemic, it is thoughtful that this represents almost a third of all those who have been confirmed infected since March. The curve gets steeper week by week. This past week, we've recorded almost as many infections as we did in September, and we're waking up to ever-new infectious cords. The real number of people infected is even higher than what we catch. The Public Health Institute expects that 60 pst. the cases of infection are not detected. Isolation, infection detection and quarantine are not initiated when the infection is not detected. In addition, the source of infection is unknown for one of the trees that test positive for covid-19. The situation is very serious. If infection continues to develop in the same way, we can experience the same thing as more and more countries in Europe experience. In the Czech Republic, the number of deaths in the last two weeks exceeds 20 per 100,000 inhabitants. Over the same period, over 1.5 pst. the population tested positive for covid-19. Similar contagion rates can be seen in Belgium. Other countries come after. Fear is a health service that collapses. France’s President Macron recently stated that the virus is spreading at a speed that even the most pessimistic predictions could not predict. In the United Kingdom, the spread of infection is far greater than that taken into account by health authorities in their ‘worst-case scenario’. In Norway, we are not yet in that phase. But we can also be on our way there. And here, too, the virus spreads faster than we anticipated. All counties now have more than 20 cases per 100,000 inhabitants in the last 14 days. For Norway as a whole, the figure is 91.8. We haven't lost control of the situation, but we have less control than we want, and it goes in the wrong direction. It is increasingly demanding to find the source of infection for more and more infected people. It weakens the control of the spread of infection. The municipalities still have control over the work on testing, isolation, tracking and quarantine, what we call TISK, but the capacity is under pressure, and in some municipalities under strong pressure. If the infection continues to increase, we may lose control. Most importantly, hospitals may be overwhelmed by the number of patients in need of treatment. We're not there right now. But if that happens, we've lost control of the situation. Developments can be reversed if we put in place stronger measures to limit mobility and reduce social contact between people. This means that people have to stay at home as far as possible and have the least possible contact with others than their closest. All counties and nearly 60 municipalities experience an increase in infection. Right now the situation is particularly serious in and around Oslo and Bergen, but also many smaller municipalities experience significant outbreaks. The measures taken have not been sufficient to stop the spread of infection. All European countries are now introducing or reintroducing stringent measures. The tendency is for countries to go from local to national measures when local measures do not extend to and there is a risk that healthcare capacity will be challenged. We have to be able to limit the spread in urban areas such as Oslo, Drammen and Bergen, shut down outbreaks we see across the country, and significantly limit the infection of imports. If we don't succeed, it's very likely that the infection will come out of control. Infectious detection, testing and management of outbreaks are essential to stop and prevent further outbreaks. We know that many municipalities are struggling with the capacity, especially in terms of infection tracking. Cooperation between municipalities, creative solutions to deploy additional personnel, etc. is unable to cope in the long run with the combination of many outbreaks and many infected people who again have many close contacts. The Health Directorate’s assessment is that the capacity of municipalities to handle the pandemic will collapse long before the capacity of the intensive care units in hospitals. Since spring, the capacity to treat patients with covid-19 in hospitals has been strengthened. More equipment has been acquired, more personnel have been trained, better plans have been made, and we have more experience. However, it is not desirable that we get into a situation where we are forced to use the increased preparedness. The Health Directorate has estimated that we will see a significant increase in the number of patients requiring intensive care, the nearest weeks. At the end of November, we may risk that many patients need intensive treatment for covid-19. If we do not manage to break the trend together, the reserve capacity for intensive treatment will be covered within a few months. In such a situation, health businesses need to redeploy resources and reduce planned activities. A large coating of covid-19 patients requiring intensive treatment will lead to less intensive capacity for other acute health care. Since April, hospitals have been able to take back many of the studies and treatments that were exposed during the winter. With such a development we now see, many studies and treatments can once again be postponed. On 7 May the Government adopted a long-term strategy and plan for the management of the coronary apathy and adjustment of the measures. The aim of the strategy was to keep the spread of infection under control. The strategy was followed up by a contingency plan for disease prevention measures that can be implemented by increasing the spread of infection. When, in spring, we reduced the level of action, we were clear that action aimed at children was to be removed first, then measures affecting employment and economic interests, and finally other measures. This order of priority still applies. This means that when we tighten up, we want to protect children, young people and vulnerable groups as far as possible. As we step up the measures, the objective is to reduce the burden on the disease and to allow health and care services to manage the number of patients. Last week the Government decided on the following changes to the measures: advice not to have more than five guests in private homes general advice on fewer social contacts a limit of 50 persons for private gatherings in public places or in rented or borrowed premises; requirements for fixed seats at outdoor events where three times 200 participants may be present strengthening the control, supervision and increased resources of local authorities for this work; requirements for the quarantine of foreign workers coming to Norway from countries with a particularly high level of infection; the requirement that non-resident workers in recreational quarantine be accommodated in single rooms; high-infection municipalities were asked to consider further concrete measures It is premature to assess the effectiveness of these measures. However, over the past week, infection increased even more than the government feared when the measures were designed. The risk of losing control has increased. There is therefore a need for further intensification. The Government has therefore decided on the following new changes to the measures: We recommend that all stay at home as much as possible in the coming weeks and limit social contact with other people. Maybe that's the most important recommendation we have, because it makes the local authorities' infection tracking easier. Young and adults who have been in situations where it has been difficult to keep at least one metre away should keep at least two metres away when visiting persons in the risk groups. We introduce a limit of up to 20 people at private gatherings and 50 people at indoor events without fixed seats. Indoors there may still be up to 200 people at events where everyone in the audience is sitting in fixed seats. Unnecessary domestic travel should be avoided. Work trips deemed necessary and trips to recreational estates that can be carried out without contact with others are excluded. National bulwark stop is introduced at 0 p.m. 24th@item: inlistbox New guests cannot be allowed in after 0 p.m. 22nd@item: inlistbox This applies from midnight to Saturday 7 November. Foreign travellers to Norway coming from red countries or regions must present negative covid-19 tests before entering Norway. The test must have been taken less than 72 hours before entry. This will be implemented from midnight night to Monday 9 November. Persons coming without a permanent stay or work or contracting entity in Norway must stay at a quarantine hotel and test themselves for a period of up to 10 days. The period may be reduced when the effect of negative tests before entry and testing in Norway is further assessed. The Directorate for Health has been entrusted with the task of clarifying how these requirements can be implemented. A number of new measures are added to the list to be assessed by high-infection municipalities. In addition, the Directorate for Health is entrusted with several tasks, for example: to assess measures to protect people in risk groups and to protect vulnerable groups in society. The measures are targeted at situations where we see the infection happening. In addition, I would like to stress what I started with: in the coming weeks, everyone has to stay at home as much as possible and limit social contact with other people. I will now go a little deeper through some of the new measures. We are introducing measures to limit imports and changes in quarantine legislation. Infections involving persons crossing the border into Norway constitute a significant burden on municipalities and have led to several major outbreaks. The control mechanisms and rules we have had for travellers to and from Norway worked when the infection in Europe was at a lower level. Increased infection in the countries with which we have a lot of contact has given rise to a need to tighten up. Last week we tightened up as mentioned for work travellers. The government is now further tightening up the entry code. The requirement for a certificate to carry out tests is similar to the one they have in Denmark. We introduce it to all travellers from countries that we categorize as red. With us, it comes in addition to the requirement of quarantine for the first ten days in the country. This requirement shall not apply to the Nordics or persons residing in Norway. Some exemptions from the requirement for negative testing are granted, including: for persons regularly arriving in Norway from Sweden for work and for personnel in critical social functions necessary to avoid danger to life and health. The requirement to stay at a quarantine hotel will apply to anyone who comes here without having a stay in Norway or who does not have a job or employer in Norway who can provide an appropriate place of residence. This is an intrusion that will affect both tourists, visitors and workers. The change of rules means that a grandmother or another relative may still come to visit, but the first period in the country must remain at a hotel. This assessment is based on the fact that private homes are not a suitable place of quarantine for guests from high levels of infection. Mandatory testing on arrival in Norway has been discussed. It will be a very resource-intensive measure. There is a question of whether the measure provides sufficient added value to defend the current use of scarce human resources. Mandatory testing could potentially weaken the TISK work by shifting resources to testing at border stations. Experience from Iceland also shows that many infected people enter the country despite testing on arrival, because the test only gives a snapshot. For workers who may use exceptions in the covid-19 regulation to work during quarantine, regular testing is already required, which the employer or contracting entity is responsible for both organising and financing. In order to ensure compliance with the rules on entry quarantine, it is important that all travellers are given appropriate information in their respective languages. The Health Directorate will therefore ensure that the information provided to travellers arriving in Norway is sufficiently known and that it is good. If we are to stop the infection and facilitate the work of tracking infection, we must now reduce the number of people we meet. It is about keeping at home as much as possible and limiting mobility and social contact. We also reintroduce the National Council to avoid unnecessary travel in Norway. It also applies to work trips which are not considered necessary. Journeys to recreational properties that can be carried out without contact with others can still be carried out. Last week we tightened the boundaries of events. Now there is a limit of up to 50 people for private gatherings in public places and rented premises. For other indoor events, such as: Sports competitions and cultural events are currently 200 persons. So we're going to tighten it up a little bit further. Several outbreaks are linked to major indoor events, in particular private gatherings. There should continue to be stricter regulation of private gatherings, where the form of conversation is more dense than at other events. So we set a limit of 20 people for private gatherings in public places and rented premises. We also impose a maximum limit of 50 people at indoor events that do not all sit in fixed seats. This means, for example: that you can normally attend 50 seminars, religious gatherings, wedding ceremonies and funerals where there are no fixed seats – benches are not fixed seats – and sports events in indoors. Should a group of more than 50 persons be present at such events, fixed seats must be provided. Then the limit for the number of participants is still 200. At midnight, the rule was until October 13. The measure was replaced by a call for municipalities to assess the need for local action. Oslo and other high-infection municipalities have imposed local restriction. The Health Directorate and the Public Health Institute are now recommending the reintroduction of national tipping stops at midnight. It is necessary in the light of the new situation with a worrying growth in the infectious pressure. We have several examples that collections of people combined with alcohol, including in food establishments, have caused several major infections. And workers in the food industry are the most frequently detected profession, as well as health professionals and taxi drivers. Some claim that early tipping will lead to more private parties. The answer to that is: Now it must be the end of the parties for a period of time. We have to reduce social meeting places, both at home and in the outdoors. Early tipping will reduce access to alcohol and thus places where people can meet in an intoxicated state. We're also introducing a national rule that won't allow new guests to enter after noon. 22nd@item: inlistbox So there will be fewer going from place to place late in the evening. The level of infection in parts of the country is so serious that in the future the police will be more aware of the consequences of infringements of the rules on the protection of infection. The police will actively use the means they have. Police will now also use more resources to follow up on infectious diseases. Nevertheless, serious crime will be a priority. The police will also enforce violations of assembly rules. We also expect municipalities to strengthen the supervision of infectious diseases. In the 2021 budget, we are proposing 321 million. kr to the municipalities of the framework grant of posts related to the monitoring of compliance with the rules on events, catering facilities and workers. In all countries, including Norway, there are, to a large extent, the oldest and those with chronic diseases that are most likely to be serious. Outbreaks in hospitals and other health services appear to spread rapidly. With increasing infection rates, it is necessary to protect these groups by introducing additional measures. These measures concern both relatives and visitors in the form of access restrictions and measures aimed at staff to reduce the risk of dissemination. Unfortunately, we see that infection is increasing in younger age groups. As I said, the government will give priority to protecting children and young people. We did that when we reopened society. We still do that when we tighten up. However, an increased level of risk suggests that measures are necessary also for young people to stop the infection. The government has established a traffic lighting system for schools and kindergartens. This is incorporated into the sector, and most of them are now on a yellow level. In order to control the growth of infection, we need to ensure that schools comply with the yellow level of action. The overall objective at yellow level is that students and employees have a limited number of contacts and that they are kept under review. In areas with a high risk of infection, we now recommend that the secondary schools move to a red level, and secondary schools should prepare to move to a red level. We will also review the guidelines for the protection of public transport infection and make intensifications. It is particularly important in school buses, where young people have to feel that there is a connection between what they meet at school and what they meet on the school bus. This must include, inter alia: See if students can start school at different times in order to reduce the pressure. The most important thing we do to protect vulnerable groups is to reduce the spread of infection. If we can keep control, the children can still go to kindergarten and school, the health care provider is there when it knocks on the door, the nurse at the hospital can get a visit, and addicts can get treatment. We should not forget that the disease prevention measures also have a negative impact on vulnerable groups and can contribute to more solitude. That's why, through the pandemic, we've been working on measures to reduce the negative consequences. It ranges from maintaining treatment provision in mental health and drug treatment when much else is closed or put at risk, to funding through the Dam Foundation, so that volunteers can work in new ways to reach lonely and vulnerable people. The risk of exclusion and solitude is greater when people cannot meet, and we need to consider good measures that can counteract this. The government has set up its own working group to support the provision of services to children and young people. The Minister of Health and Health has given clear signals and indications that personnel should not be re-disposed to work on testing and tracing infection. This is still important. The Government now entrusts the Health Directorate with the task of updating all relevant professional advice on health and care services. They shall draw up guidelines and guidance material ensuring predictability, access to and individual planning of necessary services for home-dwelling recipients and their dependants. More stringent national measures are now necessary. At the same time, we must continue to recommend to municipalities the introduction of reinforced local measures where necessary. There is also a need to clear and coordinate measures in municipalities in the same region. The development of infectious diseases is particularly worrying in urban areas around Oslo and Bergen. The spread of infectious diseases is becoming regionally established due to high mobility from these cities to neighbouring municipalities. The Health Directorate considers that these areas are approaching scenario 2(a) of the Government's contingency plan. This is justified by the fact that the TISK work is under pressure. This means that one has passed l b, where one has control of clusters, and now is in a situation with only partial control. In these areas, vigorous action is now needed to return to a lower level. Nearby municipalities must also act now, and not wait until the infection spreads. Because it will. We've learned a lot since the coronary apathy seriously came upon us in March. Based on the experience we have gained, and the development we see in Europe, everything speaks to put in place measures as early as possible to slow down and stop escalating developments. The measures shall be targeted as closely as possible at the time of transmission, while at the same time limiting mobility and social contact in general. In outbreak areas with high infection rates, the government recommends that municipalities assess concrete measures for the next 15–30 days. These measures are covered by a separate circular from the Ministry of Health and Welfare of the municipalities. If the infection situation is very serious, it may, for example: be relevant to the full shut-down of training centres, sports halls, swimming pools, museums, libraries, event venues without fixed seats and other public places where many meet indoors. The Health Directorate and the Public Health Institute believe that in high-pressure municipalities it may be necessary to stop fighting, Cups and clubs for children and young people in sports with close contact and to stop wide-ranging contact with adults. It will also reduce overall mobility and reduce the risk of infection. In these areas, we now recommend two meters away from indoor physical activity. We hope that the measures taken by the government last week, and the additional measures I have mentioned now, can reduce the spread of the virus together, and that we can thus maintain control. In addition, the reinforced measures adopted locally where outbreaks occur. We want to know more about the impact of the measures in place over the next 14 days. Unfortunately, we cannot exclude that the infection finds new ways and increases further. Both here at home and outside, we see that the situation is changing rapidly. Several countries have tried to tighten up, but have ended up shutting down. The government, together with the Health Directorate and the Public Health Institute, has therefore started to prepare for further tightening if necessary to avoid the collapse of our health services. Most of the measures will then be implemented at national level, in order to avoid a national crisis situation. Around us, land by land is shut down. Fill up the hospitals. More people die. More people lose their jobs. Businesses are going bankrupt. Without doing anything, this will also happen here. We therefore have to act, and I therefore have an urgent call to the Norwegian people for the coming weeks: Be at home as much as possible. Go for a walk. But limit social contact with people outside your own household as much as possible. In this way, we can keep schools open for our children and as much as possible at work, while not giving the virus the opportunity to spread from human to human. I know that this means disadvantages for many. We have to cancel a lot of things we would like to have done. Every day is going to be more heavy for business. Some companies will experience that the customer base is being lost once more. But remember, we do this for each other — to avoid serious illness and death among people at risk, to avoid loss of jobs if we lose control and Norway has to be shut down again, and to avoid getting back to where we were in March. What we're all going to do the next few weeks towards Christmas, we do in solidarity with each other.
ParlaMint-NO_2020-11-05.ana.ud400e228	The President will now, according to the Rules of Procedure of the Storting § 45, open a brief comment round, limited to one post of up to 5 minutes from each party group, and final statements from the Prime Minister.
ParlaMint-NO_2020-11-05.ana.ud400e233	I would like to thank the Prime Minister for the distribution. The life and health of people is the most important thing, and when infection increases, of course, new measures for the protection of infection are also necessary. The government has access to the unfiltered professional councils of the Health Directorate and the Public Health Institute and therefore also asks for the responsibility for correctly dimensioning the measures. We in the Labour Party have argued that careful consideration has been given to whether the measures currently put forward are necessary and proportionate to the need. It is also true that the size is being informed. It has been asked by the Labour Party, for it is about significant and, at the same time, intervention that has been introduced, partly based on policy assessments. Then it is natural that the government has close contact with Stortinget. There is a lot of the infected image that you cannot see. All political parties must respect that. Some adjustments must be made by the government while things are still in development – this is the only way. But also political Norway has to learn, because coronary infection is no longer a new situation. He has stayed from March to now, and he seems to want to be for many more months. The working party will pay particular attention to three lessons, which we will ask the government to include: Firstly, infectious diseases and financial measures must go hand in hand. The financial measures that were put forward shortly after the first tightening in March were not in the vicinity of meeting people's security needs. The next package(s) were delayed. Travel has only recently received some necessary clarifications, and only now could we read in the media that the income insurance schemes for the unemployed should be extended to 31 March. We all need to be humble in order for the situation to be demanding, and that it may be difficult to keep up with developments or to be sufficiently careful. But already in March, a new infection peak was predicted for the fall, and now it happens. It is reasonable to expect that the health and economic crisis response is now better coordinated. The working party will at least contribute to the best possible delivery of life, health and jobs in this difficult time. Secondly, we have now learned that there are many people who do not follow quarantine rules and infectious diseases councils. We must continue to be clear that these rules are also of solidarity with those who are most vulnerable to infection, but we must also introduce additional insurance where possible. It is particularly important now that we know that imports are increasing and have increased through October. It is good to have requirements for testing when entering the borders and aerodromes. The batch will have mandatory testing at the border. We also mean that we can not just leave it to the municipalities to be responsible for it. The state must take responsibility for that. If the municipality of Ullensaker, as one example, is to take responsibility for the Gardermo with the new rules proposed by the government, it goes without saying that it will attract a lot of the resources to the municipality. It will be able to go out on the dormitory and other important services. In addition, the Labour Inspectorate, the police and others who will contribute to compliance need not only to be responsible for it but also to have the resources to do so. It's about protecting and preventing, so that vulnerable groups don't become frames, so that our health care system doesn't get overburdened, and so that we can as far as possible avoid a long-term shut-down with great consequences for health and the economy. It's related to the third: we know that the pandemic reinforces the second, underlying problem. This is particularly true of the increasing social and economic differences in our country. The most economically difficult framework is one of the lowest paid, the lowest paid, the lowest paid, the lowest paid, the lowest paid, the lowest paid. The healthiest frames can be any one of us. There may be kids who need to be home and miss a friend's game There may be women who must be home with a chosen party. Older people may be forced to isolate themselves. For the Workers' Party, it is important that no one should sit alone with heavy thoughts, that no young people should be left to themselves, and that no one should be allowed to die alone because the pandemic shut them down. This must be set of means to follow up. Isolation is a very high price to pay for a society and can have long-lasting consequences. In a few years' time, we can count on the economic costs of the pandemic and the measures of infection, but the human costs cannot be counted in dollars and cents, and we ask for equal responsibility for human beings in this.
ParlaMint-NO_2020-11-05.ana.ud400e258	Thank you to the Prime Minister and thank you to the government for a clear message. Now it's serious. Now we all have to contribute. Now we have to fight the infection back. It has been – and it is done – a formidable job every day. Health professionals are at the forefront of helping those who get sick. The infectious tracking teams we've got across the country are nitite and targeted. They're making an amazing effort. Teachers, bus drivers, volunteers, people in sport and culture – all should have a great deal of thanks for helping our children to keep up their courage and to keep up with what they are happy about. Thanks also to all the Northmen who take covid-19 seriously. I drive a car from Drammen every day when I go into Stortinget – an electric car – and I see that the reminders are useful. Today, there was no hint of E18 queues. It's the first time I've experienced since March. I think people are leading were, know that it's now tightening, and taking this seriously. That's good. At the store, more and more people wear mouthbands, and we see that people take the advice seriously. Then there are a few that may not have been as good, and we also have to bring them. But most people follow the advice, and now everyone has to follow the advice. Social action has to go back to Teams and FaceTime, even if we're getting a little tired of it – but it's important. Home offices are needed for a period of time, and we all need to help get control. I think the government has balanced the measures well. We have learned a lot since March, and I also think that the measures that are now being proposed reflect. Stricter measures and financial measures to compensate for the need to go hand in hand. It was Hadia Tajik inside, and I think the government will also follow it up because we now also know more about the effects it has when we go to different measures. The right will, of course, give its full support to the measures and hope that the Storting can also continue its work quickly, efficiently and collectively in order to bring this crisis under control.
ParlaMint-NO_2020-11-05.ana.ud400e271	Thank you to the Prime Minister for the presentation. Let me first say that the message the Prime Minister came with today was very clear and not to be misunderstood, unlike last week, as I think very many thought it was confusing advice and recommendations presented by the government. And that's really my first main point: it's unusually important with clear communication that is sustainable and not possible to misunderstand, when you encourage all citizens to follow very interventional measures. I am pleased that the government has finally seen the need for clearer measures to limit the import contamination. As early as August, we proposed mandatory testing at borders and have been able to do it on its own until now. I now register that the Workers' Party also believes that this is a wise measure. But I have trouble understanding the argument that this is going to be resource-intensive. I understand that it is resource-intensive, but we have personnel groups that it could be possible to deploy if that is how you really want to limit the import infection to Norway, and I want to challenge the government on it. I think it's strange that you can't be even clearer when it comes to implementing measures that we know will help limit the infection to Norway. All these interventional measures have considerable costs for our society. More and more people are experiencing mental health challenges. The question is also whether this does not start to put increasing pressure on family life, with increased divorces, community break-ups, etc. In the case of elderly people living in nursing homes, we know from the statistics that the average number of people living in nursing homes is now two years. Now many of the residents have been close to isolation in almost one of these years. I think there's reason to worry that you probably spend your last years of life in total isolation. I think that's a problem. There is also a challenge related to the management of other somatic diseases, which unfortunately can lead to increased mortality due to the decline of resources in the country’s hospitals. Then, of course, it's all the consequences this has for jobs and businesses. The government's remedial measures or compensation schemes have not been sufficient, and the government has been on the back all the way since March. It's understandable that it was like this in the beginning, but now you've had plenty of time to prepare for these things and good time to have a dialogue with different industries that are affected by this. I think many people still experience that the measures do not take those who are affected, and that for this reason you risk companies going out of business, and that people lose their jobs unnecessarily. I now expect that the government with the package of measures they have announced has taken on board the challenges that very many industries and businesses now face, and that we will see it again in the measures coming to the Stortinget. But be safe: the party of progress, and certainly the rest of the Stortinget, is now also ready to reinforce the measures that the government comes with, if they do not prove to be sufficient. In conclusion, the management of all the infectious and invasive measures has been and is the responsibility of the government, and of course there is a high level of government responsibility in such a context. Then it's about being open about the professional advice you lean on, and you clearly explain why, in that case, you don't choose to follow the professional advice that comes from the health authorities at all times. There has been a lot of unrest and discussion in the Norwegian community, but transparency will anyway be important in a situation where the government is responsible for this, and wants to be responsible for this, without involving the Storting in the decisions taken. When there are so clear calls from the country's prime minister as we have heard today, I agree that it is important that each of us follow those advices and contribute to the reduction of the infection. It should be possible and affordable for most, but there is every reason to worry about the consequences and the costs this has for individuals in society.
ParlaMint-NO_2020-11-05.ana.ud400e290	I would like to thank you for your statement. There are a lot of things that have gathered us in the last few months, and all the parties have basically been behind the job that Norwegian health authorities have done. But I think that's reason to say, as several other parties have also stressed here today, that it's not the virtue of the Great Britain, it's the government's responsibility, what is now being undertaken by measures. At the beginning of this pandemic, the Centre Party had some particular concerns related to health care in Norway, and we have also addressed the issue of the situation of the elderly and disabled who, due to the corona rules, have lived in isolation for too long. We share the assessment with the government that the situation is now serious and that there is a need to be more stringent for a period to prevent a new, large wave of infection. Then we think it is important that the measures are transparent and easy to deal with, because if the measures become complicated, they are difficult to comply with, and then we also weaken the legitimacy of the measures. Let me mention a few moments in what the Prime Minister was concerned about. In contrast to what we saw in our individual cases, in a new situation we have to make sure that no one risks dying alone, whether in a hospital or in a hospital. With regard to both hospital and hospital capacity, the State must also contribute to strengthening and securing that capacity. We still have a low intensive capacity in Norway, compared with other OECD countries. I experience the Prime Minister so that she says that the solution is testing and infection tracking. There is also a need for the state to step in and help the different municipalities. The centre lot agrees with those who have said that the import centre needs to be reduced and that mandatory cross-border testing is now necessary, in addition to reduced cross-country travel. With the strong measures that one now wants to take, the economy will again become important, and in terms of economics and jobs, the picture of national efforts has become much more unclear over time. The government has chosen to move away from the broad and large solutions of the Storting and has chosen to join forces with the Advance Party. This means that we are in a situation where we now have strong, interventional measures on the health side that will also have major ring-fenced effects on the economy. In such a situation, the government continues to hold on by, for example: A passenger charge shall be reintroduced, the travel VAT shall be doubled, in which case it will be much harder than a thought one month or two back. The centre party fears that we have to blame ourselves for the fact that the Corona situation is going to be with us at least until the summer of 2021, and with more stringent measures to fight a lot of infection, we are concerned about jobs, business and the economy. We believe that it is no longer in keeping with clumsy and unbridled crisis measures and crisis packages. What Norway needs now is a contingency plan for the next year for businesses and jobs, a contingency plan that lasts over time and provides predictability. Now we have to provide the necessary long-termity for business as well. We feel that the government is now almost hesitating from month to month, and that people who depend on measures to get through the crisis must wait and wait. So it's 'too little, too late'. Many industries suffer from it today, and they will also feel strongly if these measures are implemented. The centre party agrees that we now need stronger measures for a period of time, and we agree that this is necessary to prevent a new, large wave of infection.
ParlaMint-NO_2020-11-05.ana.ud400e318	Let me start by saying that I share the seriousness that the Prime Minister conveys, and we want to put behind the call for people to follow all the new measures. There is also a very clear act of solidarity in it, because, as with so much else in our society, the infected is also socially skeptical. It is only possible to look at the list of occupational groups hit hardest by the infection in the fall: bartenders, waiters, café and street kitchen workers, flight hosts, boatmasters, taxi drivers, hotel receptionists, hairdressers, personal trainers, kindergarten assistants, train instructors. Workers are the hardest hit, and following them is an act of solidarity with people in the most vulnerable professions. There are a lot of people in this country who have to meet physically at work to get society to go around. Drocers cannot be run in Zoom, food cannot be served on Teams. Workers are the most vulnerable. Workers — and many of the same groups of professionals — are also the most affected by the economic downturn. I would also like to highlight very clearly the need for the government to act quickly on new and targeted crisis measures. With regard to the social and economic consequences of the situation we're in, we've seen too many times over these months that the government has acted too late and lack of action. A good example is the extension of the social measures for the unemployed, which luckily came, but which should have been clarified earlier. We have hard hit industries that now need an outstretched hand. The challenges of travel are well-known, but absenteeism lacks action. 80 pst. employees of lighting, sound and stage production are permissive but are excluded from the emergency measures. Local authorities now need help to ensure that there are enough people where there is a need, that there are resources to take action for all the children who miss education because of increased absence, and that there is effort for isolated elderly people. A mental health crisis package and a plan are needed to tackle solitude, which is also a major mental challenge in this situation. There is little going on in our municipalities and in our hospitals. We need action to address the social and economic problems that this creates. Then it is very important to keep schools and kindergartens open and to be able to keep children's leisure activities and sports going. We in Stortingen cannot do so much more than encourage people to follow the measures taken by the government. This means that on the SV side, we will not go in and decide on each of the actions, as Stortinget is not invited to do so. That responsibility must be taken by the government alone, as the government also insists on doing so alone. It places very clear responsibility for this at the government. We believe that it would have been wiser in this situation to share power. This could have been done by amending the law, so that the most interventional measures are dealt with here in the Stortingen, but it could also have been done on the government's own initiative. We now see in Europe that in many countries, the national Parliament is dealing with the most interventional measures. We think it's wise, because it's part of ensuring legitimacy, it's part of ensuring good spirit and cohesion in a difficult time for the country. And as it's fixed many times now, it's possible to do it without a big law audit. The government could do it itself, or the Storting could implement a small legislative change that could be made quickly and have no impact on the power of action. We must all now follow the measures. We encourage the government to come quickly with social and economic measures in the wake of this, and I would also encourage the government to think again about whether it is not wise now to share more power in these matters.
ParlaMint-NO_2020-11-05.ana.ud400e335	Thank you to the Prime Minister for a thorough, secure briefing. There is no doubt that the government is very close to the pandemic, with infectious and health measures, with social and nutritional measures. So, no matter what measures the government has taken, whether it's in charge of municipal decisions, government or the Storing, we're totally dependent on each of us taking responsibility – for ourselves, for our own family, for the community circle – being good role models and keeping distance, limiting social and travel activity to a minimum, and continuing to be the purest version of ourselves ever: We wash our hands as often as we can, using alcohol when it's not possible to wash, and using mouthbands where it's necessary. Now it's serious. If we are to avoid a new shut-down at the level of what we had in ours, we must jointly close down by limiting the spread of infection. The developments in Norway until now suggest that we are able to do so, for there is one word that best describes what politicians have met through the Korona era – from businesses, entrepreneurs, self-employed, freelancers, organizations, sports teams, workers, public additions, very common people – is the word ‘impressive’. The way we as society, as a community, have set each other up – showing patience, solidarity, acceptance and compliance with the restrictions – shows something of the quality of Norway and Norwegian democracy. It's in times of crisis that we're all new to a society where the trust between the government and the people is as great as in Norway, where we're so well organized and not least have access to resources few other countries are in the vicinity of. Nevertheless, we know that the time since March 13 has been very demanding for most and extremely difficult for many. Before we in the Storting can finally thank everyone for the effort and tolerance, we must again ask for a renewed understanding, a renewed patience and a renewed effort to get through the pandemic with least possible tragic outcomes – in solidarity with those of us who do not have the same good intentions to deal with being infected, with a hard-hitting business, our workplaces, with cultural, art and eventmakers who live in great uncertainty, and not least in solidarity with a community and cohesion we all are so happy and happy about – and depending on when it comes to it.
