ParlaMint-NO_2020-06-16.ana.ud39e93	The representative, Kjersti Toppe, will present a proposal for a representative.
ParlaMint-NO_2020-06-16.ana.ud39e98	I will, on behalf of the representatives of Une Bastholm, Bjørna Moxnes, Nicholas Wilkinson, Ingvild Kjerkol and myself, make a proposal for a national hearing plan.
ParlaMint-NO_2020-06-16.ana.ud39e103	The proposal will be dealt with in a regulatory manner. The agenda for today's meeting has not been outside the regulatory 24 hours set out in the Rules of Procedure. Paragraph 33 of the Rules of Procedure, but the President will nevertheless propose its approval. – It shall be deemed to have been adopted. Furthermore, the President will draw attention to the fact that cases No. 1–4, 7 and 8 on the current map have not been out of the regulatory period, i.e. 48 hours, cf. Paragraph 46 of the Rules of Procedure. However, the President will propose that matters be dealt with. – No objection has been raised, and it is deemed to have been adopted. The President will state that today's meeting will continue, if necessary, beyond noon. 16th@item: inlistbox At the request of the Financial Committee, cases will be brought before the Court of Justice of the European Communities. 1 and 2 are treated as a whole.
ParlaMint-NO_2020-06-16.ana.ud39e141	At the request of the Finance Committee, the President will arrange the debate as follows: 5 minutes for each party group and 5 minutes for members of the Government. In addition, there will be an opportunity to reply to comments from members of the government, and those who have to sign up to the list of speakers in addition to the allocated speaking time will have a speaking time of up to 3 minutes.
ParlaMint-NO_2020-06-16.ana.ud39e148	Today, we are dealing with the tax matters that belong to both the revised national budget and the government's proposals for Phase 3 to create more and include more. I would like to thank the Committee on Good Cooperation. Since 2013, the four non-socialist parties have had 14 budget units, with different government configurations. Through these agreements, the transport budget has increased by over 80 p.m., the defence and the police have been given a strong boost, and taxes and taxes have been cut by about 25 billion. kr. If there's one thing that's certain, it's that the policy that's created from a community between these four parties is very different from what a cooperation between the left-hand five parties would have looked like. No parties agree in all matters, but the Right Party, the Advance Party, the Left Party and the Christian People's Party have jointly set out a course for the country that works. We have been in continuous crisis management for the last few months, both in the government and here at Stortinget. In particular, the Financial Committee has been in many major, costly and difficult cases since 16 March. Although society is now gradually opening up again, we are still in a state of crisis. The economic projections for Norway show negative developments in GDP. The world economy, on which Norway is very dependent, swings violently, and the uncertainty that is there because other countries are now in a very difficult situation with the handling of covid-19, demands that the state use its economic muscles to speed up the economy and allow the necessary conversion. There has rarely been a more important time for Norway to halt our international relations, both in Europe through the EEA Agreement and further through the UN, NATO, WHO and climate agreements. For small countries like us, it is crucial that this works, especially in times of crisis. When we see increasing major activization, this is really not the time to cut ties with the outside world or challenge the international agreements we're part of. I can't get to stress the following strongly enough: I'm always going to strongly disagree with those who say that a lonely nation state is the way out of this and future crises. International crises must have international solutions. It will be a hollow argument only to highlight the nation state as the best means of meeting this crisis, when we know that the economic muscles we own in the state pension fund abroad are as connected to a healthy world economy as against exports of oil and gas. It becomes even more hollow when the Norwegian economy is then exposed to the demands of the outside world, and although national wealth consists mainly of the labour force in this country, it is the sale of the goods that this workforce produces, we live on. Then we have to have customers, then we have to have a market – a market larger than Norway. In the matters we are dealing with today, the government proposes more grips. Let me briefly mention some of them: We are in favour of increasing the depreciation discount on the property tax on working capital, which is important for maintaining Norwegian ownership and giving Norwegian owners a hand bill at a time when the profits they often need to pay for property tax are no longer present. We improve the tax incentives for start-up companies and the purchase of shares in our own company. If there's something we're going to depend on in the future, it's that wise and risky people in this country take the chance and create new jobs. Following agreement with the Progress Party, the maximum property tax for dwellings and recreational dwellings is reduced to four per cent from next year and the majority have reached an agreement on the Maritime Fund which is being dealt with on Friday. Furthermore, the government is following up several measures adopted by the Stortinget. This applies, inter alia, to: reduced VAT, employer’s tax and increased depreciation rates for machinery in the first year. Finally, it has been a very hectic six months, and I believe we still have a lot of work to do in the handling of the covid-19 outbreak. In the autumn, I assume that we will see a government budget that is still marked by the crisis we are now facing, and the accelerated conversion of the Norwegian economy. It is easy to adopt increased use of the country’s resources for the necessary emergency measures. It's going to be a little bit worse to reverse these back to normal. But normally must be the goal, even after this crisis.
ParlaMint-NO_2020-06-16.ana.ud39e181	There's a marked line of division in tax matters, where the government, with the support of the Progress Party, thinks that in times of crisis, we have to fit those with the greatest wealth, and then those who have little in the past get even a little less. This with the property tax comes at a time when we have 320,000 without a job. The thousands of lay-offs don't get the money they're entitled to, while those who have big assets on the stock exchange are going to be glad to pay a little less in taxes. I can't imagine a worse match between needs and actions. For the Labour Party, work is for all first priority, and cuts in wealth taxes do not create jobs. The wealth tax, on the other hand, ensures that even the wealthiest contributors to the community, and helps to reduce the differences. He's not perfect, but ensures that those who have the least, in general, can pay less taxes, while those who have the most, pay something more. It also ensures fewer zero-tax providers, and without being able to document the effects of wealth tax cuts on growth and employment. For 2015, the government was honest enough to acknowledge this in clear terms and wrote itself in the budget: ‘There is no basis for budgeting with dynamic effects in 2015 of the proposals for tax change.’ Furthermore, they wrote: ‘Since the capital markets in Norway are largely functioning well, the wealth tax will probably primarily affect saving.’ The economic differences have already increased under the prevailing government, and the corona pandemic frames them with the least income and weaknesses associated with working life the hardest. It increases the economic differences, and then measures are needed to prevent the crisis from shifting the balance of power further – in favour of the owners of the capital. At the same time, we have with us that the government's proposal in the first crisis package was to let the workers pay to reduce their payroll. Of course, this wouldn't talk about anything, but it's a fact that if the opposition hadn't put the foot down, one could have had a situation where the workers had only been paid two days' full pay on leave and then got reduced payment to about 66 pst. of wages and salaries. We made sure that this was 20 days pay, and that one then held 80 pst. of wages and salaries — because it was legitimate and fair. The same is true of the government's reluctance to exchange restrictions when the community presents itself with loan guarantees, cash support and, for example, changes in the oil tax. Here, the EU is aware of the limitations of the exchange tax, and it is difficult to understand that exchange restrictions are impossible in Norway. The Labour Party would rather give less tax to the employees who are trade-unioned, and we are demanding exchange limits, rents and bonuses. What the government is doing is increasing the differences in Norway. The tax base has been imposed on significant extra tasks as a result of the decisions taken by Stortinget because of covid-19. It is therefore very incomprehensible that the government party will not agree to defer the transfer of tax offices from the municipalities to the state, both to ensure continuity in the work of tax collectors, to free up capacity and to reduce uncertainty and consequences for their additions. Property tax is the only municipal tax that the municipalities themselves decide on, and the Labour Party believes it is an important principle to keep the room for action locally within today's legislation. It makes it easier to secure a social profile where bottom deductions and different rates can be used to ensure that they are the most valuable. In local design, it is also possible to have schemes for exemptions, geographical differentiation and other measures to ensure a good, needy profile. The government's lack of transfers to municipalities to ensure health, the elderly and the school have caused record municipalities to introduce property taxes to maintain good welfare, schooling, health and the elderly. I'm taking up the suggestions that the Workers' Party is part of.
ParlaMint-NO_2020-06-16.ana.ud39e202	The representative Ingrid Heggø has taken up the suggestions she referred to.
ParlaMint-NO_2020-06-16.ana.ud39e207	This spring, Stortinget has taken many important decisions on tax deferrals and reliefs. The Progress Party would have liked us to use several fiscal instruments to help businesses and individuals through a very demanding and difficult time. I record that some parties believe that the majority in this room are most concerned about helping the business owners and the so-called rich, while most people have to take the bill. Since Nav up until now has paid out 13.4 billion. kr to 360 000 jobseekers, there is no reason to doubt the majority's desire to contribute to the protection of the income of the out-of-work and the unemployed in combination with other necessary business crisis aid. The party to the progress has had an impact on reducing the maximum property tax rate for housing and recreational housing to 4 per million from 2021, and not from 2022 as proposed by the government. That's because the property tax is very unsocial. It affects families with children in the establishment phase as well as pensioners, regardless of income and credit. Then we have to admit that too many Workers' Party and Center Party-led municipalities are going to deprive the inhabitants of this throughput to the Advance Party because they are changing the local calculation models for property taxes. But let me warn you about this, even though we know that it happens, because it really undermines the Storting's decision to reduce property taxes. The progress party will go against the change in government forecasts of a reduced valuation discount on housing values above 15 million. kr. This change is likely to give a marginal income, but the main objection is that we fear that there is only the beginning of increased taxes on housing, and for us a dwelling is a home and not a tax item. The Progress Party is engaged in non-discrimination and local Norwegian ownership of Norwegian workplaces. It's a little surprising that the Center Party isn't busy with the same thing, but in the Inner East. 362 L goes against the Central Party to attack an important measure to strengthen Norwegian ownership in a demanding economic situation, i.e. the increased depreciation discount on ownership interests in Norwegian jobs. The result of this attitude is that it is more profitable for non-residents, who do not pay taxes on wealth, to own Norwegian enterprises than it would have been for the Nordics to own the same companies. This weakens Norwegian ownership and affects Norwegian communities and corner stone holdings throughout the country. Improvements in the option tax for employees, which the Progress Party has previously proposed, and better tax incentives for start-up enterprises are important measures in a situation where we need private ownership and investment in new businesses. This year, many of us are going to vacation in Norway, and Norway is a fantastic holiday country with great nature and many opportunities for experiences for small and large. The party of progress has repeatedly taken action that simplifies Norway's holiday for most people, and so do we this year. We have removed the boat engine fee for the boat people. We have removed the inheritance fee, so that most people finally got the opportunity to inherit the old family cabin without having to borrow to pay the inheritance fee. Now it's the camper people's turn. There's a lot of them, and there could be even more of them. The progress party has been made to simplify and amend the legislation on motor caravans and to notify the conversion of the one-off charge for the same cars shall be non-profit-making. It is a contribution to even more can enjoy Sommer-Norway in the future. Finally, let me point out that the settings we are dealing with here today show that there is a clear and clear distinction between the parties on Stortinget. The Progress Party has taken the Corona situation seriously, and the Progress Party believes that today’s economic situation means that the most important thing now is to facilitate growth, development and Norwegian-led jobs. I think we're contributing to that. Let me also thank the parties we have collaborated with and jointly found good solutions with – solutions with which the Stortinget is now invited to adopt.
ParlaMint-NO_2020-06-16.ana.ud39e226	I noticed that case-rapporteur Wang Soleim from the Right took us on a journey of nearly seven years with blue-blue policy, but he forgot the main summary of tax policy to the sitting majority, namely that there have been huge tax cuts for those who have the most from before, while there have been strong tax increases that have hit both the people and business throughout Norway. I have noticed that the Progress Party in the Opposition is now conducting a hard fight to try to reverse some of the deeply unsocial and anti-business tax increases that they themselves were at the forefront of implementing when they were in government and sat with the Minister of Finance for over six years. However, taxes still exist in Norway at more than 5 billion. kr higher than when the Senterpartie sat in government. I record that the representative Limi is concerned with the property tax and the device on it. Well, if the Progress Party was concerned about targeting the small and medium-sized enterprises around Norway, it is a little special that, for example, in the proposal for Act No 14-2 paragraph 3 of Section 14-2 paragraph 3 of the Act, a concrete statement is that the stock discount should be increased when investing in foreign companies. It is not a specifically targeted measure to take care of Norwegian businesses around Norway. What would be a targeted measure, on the other hand, is the proposal of the Centre, by reducing the valuation of operating resources, but by ensuring that the existing discount on shares – which may as well lead to investment in other countries without any ring-fence in Norway and the crisis we are facing. In this room, we have previously implemented important measures through a number of crisis packages, which we have been broadly integrated in the Stortinget. We also expect that there will be a targeted follow-up to the decisions taken there. One of the tax decisions that were taken was that one should provide a relief that led to new investments in ships. I record that the government – and that is so understandable – has been demanding to design a new temporary balancing group for parts of today's balancing group e, i.e. for ships engaged in short sea shipping primarily. But instead of cancelling and pushing action, one should rather make sure that the measures are strengthened by improving the write-off arrangements in balancing groups e, i.e. making it more favourable in today's situation, which is particularly demanding for both shipyards and shipping companies, to invest in both ships and rigs. As part of the crisis packages, we have also supported the temporary reduction of the employer’s fee in Norway by 4 pst. over two months. At the same time, one said that one would give a compensation to Finnmark of 250 million. kr. The excess – when you have given a compensation of 4 pst. in that area – 83 million. kr, I note that the majority believe that a state fund should be involved, instead of implementing further measures in Nord-Troms and Finnmark, a vulnerable part of Norway, which is severely affected by the crisis. We believe that a boat needs to reintroduce the special Appendix in Nord-Troms and Finnmark and implement other measures in that area. In conclusion, there is a reference to the rule of circumvention in this case. It is a very important principle we have through the exemption model that one can reinvest funds through its own businesses. But when a person withdraws the funds, they are to be taxed on dividends. What one has seen are more examples, and actually more recent examples, is that one organizes away from paying taxes. It is unwise and, therefore, a few amendments and clarifications need to be made in line with this regulation. I'll bring this up with the proposal of the Center Party.
ParlaMint-NO_2020-06-16.ana.ud39e243	The representative, Sigbjørn Gülsvik, then mentioned the proposal he referred to.
ParlaMint-NO_2020-06-16.ana.ud39e248	Prior to the meeting of the corona pandemic in Norway, Norway was in a situation where economic differences increased. We saw that the rich withdrew, while they were left with the least. We know that the differences in society are increasing in the wake of an economic crisis. We had not yet returned to normal, as the representative Wang Soleim spoke about, after the financial crisis occurred in 2008. Those who earn least had not experienced a real wage growth of ten years. While the wages of cleaners, shop workers and health professionals stagnate, there are people living in a completely different world. Those with the greatest assets have really had good years. They have, with the good help of the tax cuts from this government, deducted. In Norway, we have greater inequalities in wealth than countries such as France, Spain or Italy. It is with this hindrance that SV has entered into the negotiations and concluded the settlement of this spring, in order to secure the jobs of people, get a more social day-care scheme and more social provision of money for those who are already out of work, because we know that it is those who are hardest hit in the crisis we are facing. It is, as many have pointed out in this debate so far, in fiscal policy that we really see the difference between the right and the left. It looks like the Right Party, the Advance Party, the Left Party and the Christian People's Party think it's those who have the greatest assets, or those who have so much money left over that they can invest a little in start-up companies, say, that need the help now. To put it that way: Right-wing policies are and become right-wing policies – they do. Instead of giving targeted tax cuts to the richest – and we have repeatedly asked the government if it is possible to prove that it can create jobs, and it cannot – one could have spent this money on tax cuts for the low-paid, or spent money on targeted investments to create work. It's almost parochial that after a spring when we've already postponed payments in taxes on wealth, even though we know that it's a little targeted measure, we're now notifying new taxes on wealth after the taxes on wealth have been reduced since 2013, we're seeing how those with the biggest assets are going to take advantage of this situation just to ask for more. The NHO then called for the tax on wealth and other taxes to be reduced by no less than 100 billion. NOK in by 2030. I think this room should notice that after a spring when a united political Norway has gone in order to give both tax cuts and large tax packages in the billions of years to business, the answer from business is to ask for tax cuts in that order, while the country is in the greatest economic crisis since World War II and people are both out of work and have not received a daily allowance and have to go to the Salvation Army to get food. I honestly think that is shameful. So I notice that there are some points of light in what has been presented by the government here. One point of light is that the majority will increase the valuation of primary dwellings in property taxes. Interestingly, the argument is that business is more likely to invest in jobs rather than in property. This is something that SV has pointed out for many years, in line exchanges here in the Chamber with representatives from, among other things. Right. I can only see that the message has begun to sink in. We need the money to be invested in productive jobs and not to be hunted down into housing. I look forward to seeing the policy followed up when the government presents its government budget in the autumn. Then we need a policy to create and secure jobs, and we need a policy to reduce the differences in Norway. With this I address the proposal that SV has.
