ParlaMint-NO_2020-05-06.ana.ud68e28	The representative of Arild Grande will present a proposal for a representative.
ParlaMint-NO_2020-05-06.ana.ud68e33	On behalf of the representatives of Rigmor Aasrud, Lise Christoffersen, Elise Bjørnebeck-Waaagen and myself, I am delighted to propose measures to strengthen the serious actors in the working life and to increase recruitment to the craftsmen.
ParlaMint-NO_2020-05-06.ana.ud68e38	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2020-05-06.ana.ud68e54	On Monday the Stortinget received a message from the Prime Minister's office that the Councils of State Kjell Ingolf Ropstad, Frank Bakke-Jensen and Sveinung Rotevatn will meet for oral Question Time. The announced members of the government are present, and we are ready to start the oral question procedure. We then start with the first main questions, from the representative Jonas Gahr Støre.
ParlaMint-NO_2020-05-06.ana.ud68e63	Yesterday I visited the Salvation Army and the Red Cross here in Oslo. At the Salvation Army they tell us that parents are going to rent daily with young children and ask for help to get food and money to pay bills. At the helpline of the Red Cross, they tell about young people calling, with big problems, including suicidal thoughts, and stories about everything from assault to loneliness. Children's and youth's psychiatric outpatient clinics have over 80 pst. fewer enquiries, and a source of police reports that when it comes to working with violence in close relationships, there is a fall in demand for help – that’s not a good news. The stories confirm the large picture from the report to the government coordination group, which looks at the offer of vulnerable children and young people under the pandemic. This is very alarming. It could be about 20 pst. of our young people — up to 220,000 children and young people in such a situation. This is kind of an alert crisis. When you shut down all the arenas for children, from school to leisure time, and when government family protection offices in the municipalities are shut down, we have a group of very vulnerable children. When making a decision with such extensive consequences – the Prime Minister says they are the most comprehensive since the war – despite the fact that it was not a specialist advice, but it was a shut-down, we have to expect that the government and the responsible State Council have a plan to follow up the children you know are vulnerable. On 19 March – one week after the closure – a unanimous decision was taken that critical services, such as the apparatus for children and young people at particular risk, had to be properly operated and financed. I do not doubt that the Council of State Ropstad shares the concerns of these children – really not – but my question is: What did the Council of State actually do at the moment they shut down, to follow up these vulnerable children – who were known to come – from day one?
ParlaMint-NO_2020-05-06.ana.ud68e72	Thank you very much for your important questions. This has been one of my great concerns from day one. When we realized that there was going to be a closure of the schools, my great concern was: what happens to the kids who are initially having trouble, who grow up in their homes where they do not get the care they need, and in the worst case are being subjected to violence and abuse? That's why we were very clear that, yes, we had to have a coordinated shutdown. We saw that there were different municipalities that started shutting down or warning that they wanted to shut down the schools, not necessarily with such a good plan for how to take care of social-critical functions, ensuring that parents who worked in hospitals, in health care, child protection and other important services had the opportunity to have kindergartens, etc. That's why we said very clearly that the vulnerable children also had to be able to go to school and use kindergarten, in the same way as the societally critical functions. Then I also wanted to get more information, because the feedback that the representative Gahr Big parts from non-governmental organisations and other agencies were clear that one had a concern about how this would affect vulnerable children. That's why we set up a coordination group where we used the different directorates, asked for input from trade unions, non-governmental organisations and children's representatives to get an even better picture of reality. The situation report describes, as the representative says, that several of the help services have closed down more than the infectious advice provided. That's why we continued to be clear – and that's a difficult combination, I just have to admit, that on the one hand you had to shut down the schools and get the employees to be more at home, and at the same time be clear that the most vulnerable should have the opportunity to be in school and kindergarten. We reinforced that message even before Easter, and I have needed to reinforce that message further now in the last few weeks.
ParlaMint-NO_2020-05-06.ana.ud68e79	It just doesn't last. It's a concerned state council – and that's good reason. But every day counts. What I hear here is a government council that wants to be clear in the message, that's worried, and that sets down a coordination group. But every day after the schools were shut down, there have been vulnerable days. What has the Council of State done to follow up the municipalities with resources, with supervisors, with attention? We shut down too much, pointing out the government councils, for the sake of infection. So did all government agencies. Family protection offices were closed between 13 and 26 March. The councils were worried, but every day they count. What I'm asking is, at the moment this decision was taken, was it a plan? Is it a follow-up? Is it a system? The report of the coordination group came on 20 April. It has been exempt from public disclosure for nine days and the measures to address the concerns of the report are not yet public. Isn't this a waste of time?
ParlaMint-NO_2020-05-06.ana.ud68e84	From day one we took action. One of the most important things we did was for example. defining child protection as a societally critical function — precisely because child protection employees should have the opportunity to go to work while the children had the opportunity to be in kindergarten and at school. We have been concerned that the various services should work optimally. I would also like to stress that we have been in the country's greatest crisis since the war. There has also been a lot of demanding information. There have been decisions at a time when we did not have the full overview. That is why we have been constantly engaged in following up and taking action. One of the first Biggest also did, was to grant 6 billion. kr to the municipalities that they should just have the opportunity to get through the crisis. That is why, as the Council responsible for child protection, I have followed them closely, given them clear feedback and measured the state. There is a great deal that works well, so although the situation report points out that many of the measures have gone beyond what is necessary, there are also very many services that work well and provide assistance to these vulnerable children.
ParlaMint-NO_2020-05-06.ana.ud68e91	It opens for follow-up questions – first Jonas Gahr Støre
ParlaMint-NO_2020-05-06.ana.ud68e96	I want to give tribute to many municipalities that have thrown themselves around. After political districts today, where the council once again pointed to the municipalities, I contacted ten municipalities in Norway, that is what I raked – small and large, from north to south. No one has heard from the Council of State. No follow-up has been given in the form of a guide or concrete attention. I have no doubt that the concern is there. I'm not in doubt that many may have shut down too much, and that's not strange, in line with the very dramatic shut-down that came, but my point is again: what action are you taking to follow up and ensure that these services work and are up? We have seen a report that is very alarming in its conclusions, and that is not shared. Why was this report not shared with the municipalities on 20 April, so that they could study it and also make representations to the council? He has spent nine days evaluating and ensuring the quality of the report. Those who could really input here are the municipalities. So I want to know, what kind of contact and what readiness does the Council of State and the government have to follow up the municipalities in this extraordinary situation?
ParlaMint-NO_2020-05-06.ana.ud68e101	I have e.g. has had close contact with Bufdir. We have asked the statesmen to give feedback on the state of the different municipalities. Nor is it the case that the government of this country is operating in such a way that a Council of State has direct contact with every rapporteur around it. I myself have had contact with several rapporteurs who have given me important feedback. But the various agencies and directorates follow up on a continuous basis. Therefore, it is not correct that there have not been sent out guides. Guides, up-to-date guides have been sent out from the situation as it has evolved. So I really don't agree with the reality description that the representative points to. What I've been concerned about, is that now it's fully possible to carry out infection protection, because that's what still needs to be done. Distances must be kept, local workplaces must be adapted, child-rescue, health centres, but it must be possible to take account of the needs of families and children at the same time as the provision of services. But another concern is that very many people cancel agreements because they're afraid of infection. That's why it's important for us that people aren't afraid to show up, whether it's at child protection or at the health center.
