ParlaMint-NO_2020-10-13.ana.ud264e97	The representative, Nicholas Wilkinson, will present a proposal for a representative.
ParlaMint-NO_2020-10-13.ana.ud264e102	Audun Lysbakken, Karin Andersen and I ourselves are promoting a proposal to remove the unworthy and artificial constraints on steam equipment.
ParlaMint-NO_2020-10-13.ana.ud264e107	In this very special case, we see that individual families get such huge extras every month that I fear that it would affect children's right to health care. I therefore ask that the proposal be dealt with urgently in accordance with Section 39(c) of the Rules of Procedure.
ParlaMint-NO_2020-10-13.ana.ud264e110	The representative of Arild Grande will present a proposal for a representative.
ParlaMint-NO_2020-10-13.ana.ud264e115	On behalf of the representatives of Rigmor Aasrud, Lise Christoffersen, Elise Bjørnebeck-Waaagen and myself, I am delighted to make proposals to tighten up the rental rules, to remove general access to temporary employment, to clarify the employer's responsibilities and to strengthen the PES.
ParlaMint-NO_2020-10-13.ana.ud264e120	The proposals will be dealt with in a regulatory manner. The President will draw attention to the fact that case No. 3 on today's map has not been out in the regulatory time, i.e. 48 hours, cf. Paragraph 46 of the Rules of Procedure. However, the President will propose that the matter be examined. – No objection has been raised, and it is deemed to have been adopted. Furthermore, the President will inform you that today's meeting will continue beyond noon. 16th@item: inlistbox
ParlaMint-NO_2020-10-13.ana.ud264e142	I will, on behalf of the Right, the Advance Party, the Left and Christian People's Party, submit proposals for a legislative remark to the matter in question: ‘The legislative decision is not accepted. Note: Under Section II 4, the following heading is assumed to be added: § 4 Abbreviation of income Under III, the following second subparagraph, second sentence, is assumed to be added: The amendment to the second paragraph of Section 13 shall enter into force immediately.»
ParlaMint-NO_2020-10-13.ana.ud264e162	Several have not asked for the floor on case No. 1st@item: inlistbox
ParlaMint-NO_2020-10-13.ana.ud264e179	No one has asked for the floor.
ParlaMint-NO_2020-10-13.ana.ud264e195	No one has asked for the floor.
ParlaMint-NO_2020-10-13.ana.ud264e212	No one has asked for the floor.
