Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2020-10-23	ParlaMint-NO_2020-10-23.ana.ud362e62	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2020-2021, Sitting day 2020-10-23	2020-10-23	Unicameralism	Term 2017-2021	Session 2020-2021	-	Sitting day 2020-10-23	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.ISC	Schou, Ingjerd	F	1955	
ParlaMint-NO-en_2020-10-23	ParlaMint-NO_2020-10-23.ana.ud362e67	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2020-2021, Sitting day 2020-10-23	2020-10-23	Unicameralism	Term 2017-2021	Session 2020-2021	-	Sitting day 2020-10-23	-	COVID	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.SL	Lerbrekk, Solfrid	F	1990	
ParlaMint-NO-en_2020-10-23	ParlaMint-NO_2020-10-23.ana.ud362e72	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2020-2021, Sitting day 2020-10-23	2020-10-23	Unicameralism	Term 2017-2021	Session 2020-2021	-	Sitting day 2020-10-23	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.ISC	Schou, Ingjerd	F	1955	
ParlaMint-NO-en_2020-10-23	ParlaMint-NO_2020-10-23.ana.ud362e77	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2020-2021, Sitting day 2020-10-23	2020-10-23	Unicameralism	Term 2017-2021	Session 2020-2021	-	Sitting day 2020-10-23	-	COVID	English	Regular	MP	notMinister	R	Rødt	-	Left to far-left	person.BJMO	Moxnes, Bjørnar	M	1981	
ParlaMint-NO-en_2020-10-23	ParlaMint-NO_2020-10-23.ana.ud362e82	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2020-2021, Sitting day 2020-10-23	2020-10-23	Unicameralism	Term 2017-2021	Session 2020-2021	-	Sitting day 2020-10-23	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.ISC	Schou, Ingjerd	F	1955	
ParlaMint-NO-en_2020-10-23	ParlaMint-NO_2020-10-23.ana.ud362e87	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2020-2021, Sitting day 2020-10-23	2020-10-23	Unicameralism	Term 2017-2021	Session 2020-2021	-	Sitting day 2020-10-23	-	COVID	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.SIHJE	Hjemdal, Silje	F	1984	
ParlaMint-NO-en_2020-10-23	ParlaMint-NO_2020-10-23.ana.ud362e92	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2020-2021, Sitting day 2020-10-23	2020-10-23	Unicameralism	Term 2017-2021	Session 2020-2021	-	Sitting day 2020-10-23	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.ISC	Schou, Ingjerd	F	1955	
ParlaMint-NO-en_2020-10-23	ParlaMint-NO_2020-10-23.ana.ud362e97	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2020-2021, Sitting day 2020-10-23	2020-10-23	Unicameralism	Term 2017-2021	Session 2020-2021	-	Sitting day 2020-10-23	-	COVID	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SEL	Lauvås, Stein Erik	M	1965	
ParlaMint-NO-en_2020-10-23	ParlaMint-NO_2020-10-23.ana.ud362e103	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2020-2021, Sitting day 2020-10-23	2020-10-23	Unicameralism	Term 2017-2021	Session 2020-2021	-	Sitting day 2020-10-23	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.ISC	Schou, Ingjerd	F	1955	
ParlaMint-NO-en_2020-10-23	ParlaMint-NO_2020-10-23.ana.ud362e108	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2020-2021, Sitting day 2020-10-23	2020-10-23	Unicameralism	Term 2017-2021	Session 2020-2021	-	Sitting day 2020-10-23	-	COVID	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.FAØ	Øvstegård, Freddy André	M	1994	
ParlaMint-NO-en_2020-10-23	ParlaMint-NO_2020-10-23.ana.ud362e113	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2020-2021, Sitting day 2020-10-23	2020-10-23	Unicameralism	Term 2017-2021	Session 2020-2021	-	Sitting day 2020-10-23	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.ISC	Schou, Ingjerd	F	1955	
