ParlaMint-NO_2020-10-23.ana.ud362e62	The representative, Mr Solfrid Lerbreck, will put forward a proposal for a representative.
ParlaMint-NO_2020-10-23.ana.ud362e67	In connection with the day of equal pay tomorrow, I will, on behalf of the representatives of Torgeir Knag Fylkesnes, Nicholas Wilkinson, Freddy André Hövstegård and myself, make a proposal to strengthen the right to a full-time job.
ParlaMint-NO_2020-10-23.ana.ud362e72	The representative of the Bears Moxnes will present a proposal for a representative.
ParlaMint-NO_2020-10-23.ana.ud362e77	I am promoting a proposal on the democratic anchoring of Norway's work in the UN Security Council.
ParlaMint-NO_2020-10-23.ana.ud362e82	The representative, Mr Hemdal, will put forward a proposal for a representative.
ParlaMint-NO_2020-10-23.ana.ud362e87	I have the honour to present a proposal for a representative on behalf of the representatives of Tor André Johnsen, Erlend Wiborg, Solveig Horne, Himanshu Gulati and myself on cohabitation.
ParlaMint-NO_2020-10-23.ana.ud362e92	The representative, Mr Lauvås, will put forward a proposal for a representative.
ParlaMint-NO_2020-10-23.ana.ud362e97	I would like to make a proposal on behalf of Sverre Myrli, Kirsti Leirtrø and myself to maintain the State Road Administration's traffic station on the Mysen in the Inner Eastfold.
ParlaMint-NO_2020-10-23.ana.ud362e103	The representative, Freddy André Øvstegård, will present a proposal for a representative.
ParlaMint-NO_2020-10-23.ana.ud362e108	In the context of the equal pay day tomorrow, I have the pleasure of promoting a representative proposal on behalf of the big business representatives Kari Elisabeth Kaski, Nicholas Wilkinson, Solfrid Lerbreckk, Torgeir Knag Fylkesnes, Lars Haltbrecken, Mona Fagerås and myself on a force for equal pay.
ParlaMint-NO_2020-10-23.ana.ud362e113	The proposals will be dealt with in a regulatory manner. Case No. 1 to 8 will be treated as a whole. The cases are the second reading of laws and relate to legislative decisions 5–12.
ParlaMint-NO_2020-10-23.ana.ud362e210	In the case of case No. 2 there is a letter from the Minister of Justice and Defence dated 22 October. The letter is available in the Chamber and will be sent to the Justice Committee. The Council of State, Monica Mæland, has asked for the floor on case No. 2nd@item: inlistbox
ParlaMint-NO_2020-10-23.ana.ud362e217	After the first examination, the decision has been taken to amend the temporary law on adaptations to the procedural legislation as a result of the outbreak of covid-19 etc. The decision is based on the extension of the law until 1 June 2021. Unfortunately, a separate provision for entry into force was not included in the proposal. It's unfortunate, and I therefore very much appreciate the fact that the Storting shows satisfaction and finds a solution. I see it can cause questions to be asked about the time from which the proposed legislative amendment takes effect. And I'm glad that the Storting gives me the opportunity to take this up so quickly, so that we avoid this uncertainty. The fact that the temporary rules can be maintained without delay is very important to the courts. That's why it's very good that the Storting, as I see it, shows the will to find a solution to this. In order to achieve this, there is a need to introduce a provision for entry into force, as part of the current legal act. I therefore allow myself to ask the Stortinget to consider a provision for entry into force which can ensure that the decision to extend the law has its intended effect. I am informed that the Storting will be assembled for the last time to deal with this matter on 3 November. Since the applicable law will then be repealed on 31 October 2020, there is also a need for an appropriate transitional provision to ensure that the rules apply without delay. I therefore also allow myself to ask that Stortinget assess a transitional provision to ensure that the law is extended with effect from 31 October. I cannot see that there are particular concerns by giving such a transitional provision with effect some days before the adoption of the Stortinget. The law applies to practical adaptations in the way cases are resolved and cannot be said to be intrusive or to be appropriate to affect the outcome of the proceedings. In my opinion, this will not be about any kind of feedback that is challenging under the Constitution, but I mention, however, that such questions, which are otherwise, have to be considered in the individual case. In order to ensure that there is no uncertainty about the impact of the legislative decision as a result of the termination of the proceedings following the repeal of the existing law on 31 October, there is also reason to consider an adjustment to the heading of the decision and to the concrete wording. I am pleased that a total increase agrees that the law will continue to apply so that we can ensure the operation of the courts in the demanding situation we are in.
ParlaMint-NO_2020-10-23.ana.ud362e234	I take the floor on case No. 2nd@item: inlistbox I refer you to the Council of State's comments on the matter and with this I would like to make a proposal for a legislative remark on the matter.
ParlaMint-NO_2020-10-23.ana.ud362e239	That is when the proposal for a legislative remark is taken up. Others have not asked for the floor.
ParlaMint-NO_2020-10-23.ana.ud362e250	Let's go to voting.
ParlaMint-NO_2020-10-23.ana.ud362e259	Case No. 1 is the second time that the law is dealt with and applies to the law decision 5. There are no comments. The law of the Grand Duchy has thus been approved at the second reading and will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2020-10-23.ana.ud362e273	Case No. 2 is the second time dealing with legal proceedings and pending legislative decision 6. During the debate, the representative Per-Willy Amundsen put forward a proposal on behalf of the Judicial Committee. The proposal reads as follows: ‘The legislative decision is not accepted. Note: The title of the Act is assumed to be replaced by the following: Act on the extension of temporary law on adaptations to process legislation as a result of the outbreak of covid-19 etc. Point I of Romans is assumed to be replaced by the following: I § 1 Temporary Act 26 May 2020 No. 47 on adaptations to the process legislation resulting from the outbreak of covid-19 etc. until 1 June 2021. § 2 I temporary law 26 May 2020 nr. 47 on adaptations to the process legislation resulting from the outbreak of covid-19 etc. the second paragraph of Section 15 is replaced by the following: The law shall be repealed on 1 June 2021. The following Roman numeral II is added and assumed to be replaced by the following: II The law will come into force immediately. It shall take effect on 31 October 2020.»
ParlaMint-NO_2020-10-23.ana.ud362e326	The legislative decision, with the opinion adopted, will be taken until the third reading in a subsequent meeting of the Stortinget.
ParlaMint-NO_2020-10-23.ana.ud362e335	Case No. 38 is the second processing of laws and applies to legislative acts up to and including 12. There are no comments. The law of the Grand Duchy has thus been approved at the second reading and will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2020-10-23.ana.ud362e351	There is no record. Thus, today's map has been processed. Does anyone require a word before the meeting is cancelled? - The meeting's been cancelled.
