ParlaMint-NO_2020-03-04.ana.ud555e28	The representative, Arne Nävra, will put forward a proposal for a representative.
ParlaMint-NO_2020-03-04.ana.ud555e33	On behalf of the major representatives of Lars Haltbrecken, Kari Elisabeth Kaski and myself, I am delighted to make a proposal for greater use of two- and three-field roads instead of four-field motorways.
ParlaMint-NO_2020-03-04.ana.ud555e38	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2020-03-04.ana.ud555e54	On Monday, the Stortinge received notice from the Prime Minister's office that the Councils of State Monica Mæland, Linda Hofstad Helleland and Dag-Inge Ulstein will meet for oral Question Time. The announced members of the government are present, and we are ready to start the oral question procedure. We start with the first main questions, from the representative Eirik Sivertsen.
ParlaMint-NO_2020-03-04.ana.ud555e63	My question goes to the district minister. This year we got a rebellion against the ferry tariffs. We got stories about an increase of 40 p.m., and about families who got an increase in their expenses of tens of thousands of dollars. The reason has emerged: there is a shift in the income of county municipalities, there is a greater demand for environmentally friendly ferries, and there has been a large increase in the cost of holiday offers. Governments, like many others, have expressed their concern about the consequences for people living along the coast and who depend on ferries in everyday life. I share that concern, and briefly we can say that ferries are at least as important to many families as the T-Bahn is to tens of thousands of people living in Oslo. Now the Council of State has been sailing with the ferries in the West and has eaten food, she has had a month to think well about, and on Monday she also met representatives of the ferries to discuss and hear what challenges they see. My question to the Council of State will be: Will the Council of State ensure that it is possible for the states to set down the ferry tariffs, and when can the tariffs be reduced?
ParlaMint-NO_2020-03-04.ana.ud555e76	The government is concerned that people should have good opportunities to live and work in all parts of the country. Then it must also be possible to commute to work within the wallet without going too far beyond the family economy. Just after I was appointed district minister, the Minister of Transport and I made a trip to More and Romesdal, where we met the commuters, we met the families of children, we met the business community, and not least we also met the county politicians who are responsible for the county holidays. We take seriously the turmoil and concern that people across the coast experience. That's also why four state councils from the government on Monday met all political leaders in all of our ferry companies, just to try to figure out some of the reasons for this cost increase. It's amazing what the counties have been doing. They want to be offensive and contribute to the green shift, the government wants to be offensive in getting a greener ferry, and together we're going to work on what we can do for the commuters. At the meeting with the state politicians, we did not make any promises or solutions, because there is no easy solution to this. Enova, Innovation Norway and the Norwegian authorities have contributed in large measure to assist the counties in the transition from the old ferries to a greener ferry fleet. We now have a good dialogue, and we've started working together to help the commuters.
ParlaMint-NO_2020-03-04.ana.ud555e89	I am pleased that the Council of State acknowledges the problem and – as she says – takes it seriously, and sees the drama there are too many when they now feel that they cannot commute to work within a sound cost framework. I am also pleased that the Council of State has spent time getting into the problem, but then she must also acknowledge that part of the problem here is the framework conditions that the majority in this Chamber and the current government give to the states. I am sure the Council of State agrees with me that it is not possible to do as the representative Njåstad argued at a hearing last week in the Stortingen on this issue, that unforeseeable profits in county municipalities due to unforeseen tax receipts and lower pension contributions can be used to plan for sustainable operation. So the question remains: you recognize that it's a serious problem, you're seriously worried, but you can't say anything about what solutions you want to give, and you can't indicate when you get a clarification. The council gave no promises on Monday, but perhaps you can make a promise to the people now: Can you get a clarification this year?
ParlaMint-NO_2020-03-04.ana.ud555e96	As I said to the representative Sivertsen, we have now joined with the political leadership of the different states in order first to get the right data base and a starting point for what the real costs are. It varies from state to state. It is not that there is a simple answer and a simple solution to the problem. What we agree on together is that the transition to a greener ferry fleet, the fact that we provide a good offer for new ferries, must not help people lose the motivation to join in and support a green shift. Therefore, we will look at how to live in the district and commute fairly and easily to work, and how to make sure that we succeed together with more environmentally friendly ferries. I have no answer today because we are now working together on this.
ParlaMint-NO_2020-03-04.ana.ud555e101	There will be follow-up questions – first Eirik Sivertsen.
ParlaMint-NO_2020-03-04.ana.ud555e106	I'm glad the Council of State will look at it, but people are interested in knowing when a change happens. Let me then, since we are not getting any clarification on that either here today, be allowed to focus on another problem that has also been very concerned by the Council of State, and which again affects people in the districts, along the coasts of both the north and the west and other parts of the country. On 4 May, on the other hand, 4 000 annual departures. There's the bus and the collective offer for a lot of people in this country. Nordland is a long-distance state. There the only regional and rapid communications between two of the state's largest cities are now lost. In response to the representative, Lauvås, the Council of State has announced that she will follow the matter closely, but that it was too early to say anything about what steps to take now. I have two suggestions for action that the Council of State should be able to assess: there is an increase in FOT routes in general – one has cut hundreds of millions here a few years ago for new tenders, then it will be lower quality – or the establishment of a FOT Evenes-Bodø route. When will the Council of State clarify what air services are to be provided in District Norway?
ParlaMint-NO_2020-03-04.ana.ud555e113	The government is concerned that people in the districts should have good means of making good progress, and that it should be reasonable. For the coastal population it is a good ferry service, and not least in the West and North Norway it is particularly about the operation of the short-haul network. I was very sorry when I saw what Onderøe did – I think it is a very bad thing. I also feel that people in Northern Norway are very disappointed by Onionsøe, not least local politicians from the Workers' Party. The situation we're in now is difficult. The Minister for Transport, like in the ferry business, also follows the Unterøe case very closely. I'm worried about the monopoly situation we have. I believe absolute competition had benefited air passengers through a better offer and also lower costs. I cannot say anything other than that now the Minister of Transport and the government follow this case closely, and I hope that the end of the case will also be that more passengers in the north get a better offer than they have today, but then we depend on more competition.
ParlaMint-NO_2020-03-04.ana.ud555e122	Eirik Sivertsen – for follow-up questions.
ParlaMint-NO_2020-03-04.ana.ud555e127	No, people are not disappointed with Unheed, people are disappointed with the government. What Backøe does now, are two things. One is that the offer they make on the FOT route network is of poorer quality than it was before, and that's because this government cut 100 million. NOK when one had it on offer last. The second is that cut in commercial routes comes due to the general framework conditions that Onøe has notified has been a threat to their operations over several years, but that the government has not taken seriously before coming with careful cut, at some tens of millions, this year. What is the situation now is that the government appears to be the complete paralysis of action. So, the path between Evenes and Bodø disappears on May 4th, and then you cut the link between the two largest cities in Northernland. The question is whether the government understands that something needs to be done – to ensure that this route is a collective offer by subsidising it by purchasing services, FOT routes, as one does with other public transport, and that one can be sure that one can travel between Narvik and Bodø even after May 4th this year.
ParlaMint-NO_2020-03-04.ana.ud555e135	I can assure the representative Sivertsen that the government fully understands the situation that many in the north experience. I'm going to Northland on Monday, to the representative's family. There I'm going to Brønnøysund, where I'm going to meet the owners of Torghatten, who are also very much inside of Onyøe, and I look forward to hearing what they think about how to further ensure a better offer for passengers in North Norway. As district minister, I am also very concerned about the Evenes–Bodø section, because this is a very important nerve for people in the north for transport around North Norway. That is why I am concerned that we should find a solution, but – equally important – the solution lies in increased competition, low prices and better offers. The situation we now have, with a monopoly situation, benefits no one.
ParlaMint-NO_2020-03-04.ana.ud555e140	Ole André Myhrvold – for follow-up questions.
ParlaMint-NO_2020-03-04.ana.ud555e145	I record that the councils are concerned, and that they've been on an extensive tour along the coast, in districts that the government often boasts of going well. Nevertheless, it is not possible to address the obvious challenge of people's everyday lives when holiday prices are rising. But it's not just ferries and transportation of people and cars that are crucial to the coast. At least equally important for coastal value creation are the many ships carrying goods, bulk, fish and fish feed, and other service vessels. The decisive framework conditions under which the establishment operates include, inter alia,: reimbursement of the basic tax on mineral oil, the net pay system for seafarers and the special deduction for the same. Now we see that several of these are weakening – mechanisms that are central to maintaining Norwegian competitiveness against international actors in the maritime sector. The total loss of framework conditions will result in the loss of thousands of Norwegian jobs along the coast, loss of competence, impaired coastal value creation and a weakened Norwegian ship register. What will the Council of State do with the situation of coastal shipping companies to ensure jobs and a transition to a greener coastal fleet?
