ParlaMint-NO_2020-02-05.ana.ud231e28	The representative, Helge André Njåstad, will present a proposal for a representative.
ParlaMint-NO_2020-02-05.ana.ud231e33	On behalf of the representatives of Jon Engen-Helgheim, Kari Kjønaas Kjos, Åshild Bruun-Gundersen, Erlend Wiborg, Hans Andreas Limi, Silje Heimdal, Tor André Johnsen, Bård Hoksrud, Bengt Rune Strifeldt and myself, I am delighted to present a proposal for a representative to wind up the county to cut red tape and bring the services closer to the inhabitants.
ParlaMint-NO_2020-02-05.ana.ud231e38	The representative, Ole André Myhrvold, will present a proposal for a representative.
ParlaMint-NO_2020-02-05.ana.ud231e43	On behalf of the representatives Trygve Schlagsvold Vedum, Geir Pollestad, Sandra Borch and myself, I would like to put forward a proposal on the instruments to implement Norway's main climate contribution – the forest.
ParlaMint-NO_2020-02-05.ana.ud231e48	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2020-02-05.ana.ud231e64	On Monday the Stortingen received a message from the Prime Minister's office that Trine Skei Grande, Jan Tore Sanner and Minister of Foreign Affairs Ine Eriksen Soreide will meet for oral Question Time. The announced members of the government are present, and we are ready to start the oral question procedure. We'll start with the first main questions, from the representative of Hadia Tajik.
ParlaMint-NO_2020-02-05.ana.ud231e73	Let me first congratulate Mr Sanner on a new and important task. After twelve years in the Finance Committee and several Council posts, he has all the arrangements to give us good answers to what we had to ask about. Just before the turn of the year, there was a new report from CICERO. It is about the Nordics' attitudes, norms and behaviors related to climate change. Now it is not certain that the Minister of Finance has rocked to read that report, and I will not disagree with him. But this report says something about what different groups in society feel about climate change, about climate policy and about ownership of responsibility. In the report, there is a particular important variable as to whether a person is concerned about climate change and is willing to change his own behaviour, and that is income. It turns out that those in the highest income groups, especially those with a personal annual income of over DKK 800000, are less concerned, less willing to change their own behaviour and less willing to support policy initiatives to prevent climate change. At the same time, it's one of the most emitting groups. They can afford to consume more, and they like to. Now it is that climate policy is at home with the climate minister, but this is about distribution, and it is the Minister of Finance's table. My question is: What does the Minister of Finance intend to do to ensure that they are the ones with the highest incomes that have to do most to make us happy with climate change?
ParlaMint-NO_2020-02-05.ana.ud231e84	Let me first thank you for a good and important question, because there is no doubt that the climate challenge is the biggest challenge we face. This is why the government has ambitious targets for both what to do in Norway and what to do with the EU. I agree with the representative that we must all contribute. This means that each one must take personal responsibility. It's a lot about attitude. We are actively using the charging policy. In Norway, 80 pst. of the emissions the price, while in the world the total is opposite: 80 pst. the emissions are not priced. This means that it will be worthwhile to act environmentally friendly, and it will cost to pollute. It also applies on a personal level by costing more to use a car that pollutes, and cheaper to choose environmentally friendly. It is also important that we take action at national level. Let me just show you that over the past six to seven years, we have had a large-scale development of public transport. In 2019 there were hundreds of millions more collective trips than it was in 2013. It shows that citizens take responsibility and move to public transport. It also contributes to the overall reduction of emissions. So I agree that the discussion about distribution is also an important discussion. I am clearly of the opinion that those who have the most must also contribute the most to climate policy.
ParlaMint-NO_2020-02-05.ana.ud231e95	I'm glad we're some people who have the most have to contribute the most. It's a little bit unclear after this answer, however, how the Council of State has planned to do it, because we have to cut emissions, and we have to do it in a fair way, and right now we see that the climate change can have both a social and a geographical impact page. We've seen in the last few years that if normal families experience an unreasonable financial burden attached to the climate change, we get toll riots, and we get ferry riots. In other countries, a set of yellow vests and insurrections at increased fuel prices and charges have occurred. Although climate policy is under another Council of State, the distribution policy under the Minister of Finance is the effect of fiscal policy is under the Minister of Finance. I have to ask again: how will the Minister of Finance ensure that the climate change perspective has a distribution perspective, i.e. that those who have the most pay the most?
ParlaMint-NO_2020-02-05.ana.ud231e100	With regard to tolls and tolls, this government has helped to reduce tolls compared to what would be the option. There is also an opportunity for the representative to influence his colleagues, for example. in Oslo, helping to stop the tolling and using the tools provided by the government. As far as the distribution policy is concerned, there are different aspects to it. The most important thing we can do to maintain a society of small differences is to ensure that people get into work. Now unemployment is at the lowest level in the last ten years – unemployment is 2.2 p.m., and 50,000 more have come to work in the last year. That's the most important thing we can do to contribute to small differences.
ParlaMint-NO_2020-02-05.ana.ud231e107	There will be follow-up questions – first Hadia Tajik.
