ParlaMint-NO_2020-10-21.ana.ud297e28	The representative, Nicholas Wilkinson, will present a proposal for a representative.
ParlaMint-NO_2020-10-21.ana.ud297e33	I have a personal pleasure, along with Karin Andersen, in proposing the statutory requirement for a logoped in the municipalities, so that everyone gets the language support they need.
ParlaMint-NO_2020-10-21.ana.ud297e38	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2020-10-21.ana.ud297e54	On Monday the Stortinget received a message from the Prime Minister's office that the Councils of State Jan Tore Sanner, Frank Bakke-Jensen and Iselin Nybø will meet for oral Question Time. The announced members of the government are present, and we are ready to start the oral question procedure. We start with the first main questions, from the representative of Hadia Tajik.
ParlaMint-NO_2020-10-21.ana.ud297e63	In the last few weeks, there has been a lot of debate about the differences in Norway. It still has to become a debate about what's actually the facts, and not what we should do to get the differences between people down. I have registered that the Right has dismissed the property tax report from the Frischsenteret and the NMBU, which the government itself has asked for, and when the SSB has produced a report that the differences are greater than we had believed, Right answers that the report is a bit funny. There's something a little bit American about the way to approach the facts, and not in the good way. People should be able to trust that responsible parties do not practice their own alternative facts. I'm going to do both of us a service. All the facts I am now going to refer to in questions to the Minister of Finance have the Ministry of Finance as a source. So let's now take a discussion about inequality. According to the Ministry of Finance, capital income has "become more concentrated among the richest". It's on page 43 of the National Budget. One easier way to say it is that the richest have been richer. What does the Minister for Finance intend to do with that?
ParlaMint-NO_2020-10-21.ana.ud297e74	I think the representative Hadia Tajik started very well, where she stressed the importance of having to discuss what we can do to get the differences down. That's something I'm busy about. But I think a little bit of the difference between the Workers' Party and the Government Parties is that the Workers' Party is unilaterally engaged in increasing the wealth tax, while we are concerned about seeing the people behind the numbers. We're concerned with the young people who drop out of high school and who quickly end up in unemployment. We are concerned with those with immigrant backgrounds who have problems getting into the labour market. We are concerned with vulnerable groups who are at risk of being pushed out permanently during the coronary crisis. That is what we are responding to in the State budget. It's about how we can get more people back to work, how we can create more jobs, and how we can include more people in the world of work. The figures to which reference is made from the national budget are, of course, quality assured and duly justified. We have a good tax system in Norway, where companies pay corporation tax, and then owners pay dividend tax when they take out money for their own consumption. What the discussion is about is whether we should have a separate tax for Norwegian owners, which non-resident owners of Norwegian companies do not pay. I think it's unfair. I believe it is important that we get more Norwegian owners, more local ownership. And perhaps especially in the crisis we are facing, which has affected private business, it is important that we give greater room for private ownership.
ParlaMint-NO_2020-10-21.ana.ud297e85	I note that when I point out that the richest have been richer and ask what one intends to do, the Minister of Finance answers by pointing to vulnerable groups and including in the labour market, and I can assure the Minister of Finance that we will talk about it too. But what I'm asking about now is how the income from capital increases the difference, and now I'm referring to the inequality message, page 36, figure 2.12: The differences in the income from capital are the strongest contributor to the increased differences. The Minister of Finance used the word ‘unfair’ in his reply. Does it not seem to the Minister of Finance himself that it is unfair that one sees that the solid largest contributor to the increase in differences is the difference in income, and then does the government have no answer to what they want to do with it?
ParlaMint-NO_2020-10-21.ana.ud297e92	If the representative Hadia Tajik thinks that the problem is that someone has a big fortune, the way you can reduce inequality, to put it at the head, is an economic crisis. If we look at the period before the financial crisis, Norwegian business went well. It was good business. Then the property values went up. Then came the financial crisis. Then the wealth goes down, the inequality goes down, according to the statistics, too, but the unemployment rate goes up. Then the question is, what is it that you want to deal with as a politician? For me, the most important thing is to make sure that people have a job to do, because the greatest difference in our society is between those who are in work and those who are outcast by the world of work. So to reduce inequality, I think you have to look at more than just the tax on capital. You pay dividends on the money you take out for your own consumption, but to reduce inequality, you have to make sure that more people get opportunities.
ParlaMint-NO_2020-10-21.ana.ud297e97	There will be follow-up questions – first Hadia Tajik.
ParlaMint-NO_2020-10-21.ana.ud297e102	Then we have clarified a very distinctly different view of just the significance of capital income, where the finance minister believes that an economic crisis is the only way to deal with it, while the Labour Party has other answers. We believe that the richest have to pay more in taxes, we believe that the state must stop subsidising luxury consumption as a tax exemption on expensive electric cars, and we will redeploy better by financing the welfare state jointly and not by increasing the use of oil money. On page 42 of the national budget, the income of those at the bottom of the distribution of income has grown less than the median income. This is a number from after the year 2000. An easier way to say it is that ordinary wage earners have been dependent on income trends. The finance minister talks about everyone having a job to go to, but these are people who have a job to go to. What they're missing is a salary to live on. What does the Minister for Finance intend to do with that?
ParlaMint-NO_2020-10-21.ana.ud297e109	What the bourgeois parties have done with it since we came into the government is that we have lowered the tax on ordinary people. If you compare the red-green tax arrangements from 2013 and move it up to today, if it had been at the bottom, a normal family would have paid $14,000 more in taxes. So in other words, most people have received lower taxes. In addition, we have introduced free core time for low-income families in kindergarten, we have introduced lower parental payments both in kindergarten and SFO for low-income families – that means far too many – and we have increased child benefit by over SEK 7 000, if we include what is in the next year’s government budget. It means a lot, and it means most to those who have the least.
ParlaMint-NO_2020-10-21.ana.ud297e114	Hadia Tajik – for follow-up questions.
ParlaMint-NO_2020-10-21.ana.ud297e119	I note that the Minister of Finance refers to eight-year-old figures when he is going to compare with the Labour Party's tax returns, and not what we have proposed in our alternative budget on the Stortinget. We have seen in the proposals for the government's government budget that one has increased the fees record. It goes right in the wallets of ordinary people. In reality, the government has reduced the amount of commuting, so that it becomes more expensive to go to work, and reduced the amount of trade union deduction, so that it is more expensive to be trade-organised. This does not contribute to a serious and organized working life, which would have meant that more people get a salary to live off. They should also do more to streamline the use of hired labour, but we can do our own rounds. What we see in the message of inequality, page 28, is that the differences in wealth increase. It also confirms the national budget, page 43. The richest tenth pays almost 90 pst. of the taxes on wealth. It writes the Ministry of Finance to the representative Kaski. My question is very simple: how can the Minister of Finance defend that one has given the richest ten percent of the country a direct transfer of about 8 billion. kr from the state budget for the last eight years, without any evidence other than that it reduces the money to common welfare?
ParlaMint-NO_2020-10-21.ana.ud297e127	The answer to Kaski, to which this is referred, is based on removing the entire property tax. It's not the government's policy. It's not the Right Policy either. We go in to escalate taxes on working capital because we believe it is important for Norwegian ownership. Then the representative is in on increased fees. Yes, it's about increasing environmental taxes. Increased environmental taxes are important to reduce greenhouse gas emissions. I thought the Workers' Party agreed. But to redistribute, we lower the tax on income at the same time, and it benefits those who earn the least, including pensioners. But back to the relief we have given in the property tax: it also benefits pensioners. There are many pensioners with paid houses who pay a high property tax. We've increased the bottom subtraction from about 800,000 kroner to 1.5 million dollars. kr. It means a lot, even for those who have problems getting their ends to meet. The other reliefs are to strengthen Norwegian private ownership.
ParlaMint-NO_2020-10-21.ana.ud297e136	Hadia Tajik – for follow-up questions.
ParlaMint-NO_2020-10-21.ana.ud297e141	The changes in property taxes have not been primarily a good thing for pensioners who have money in their homes, but have mainly gone to those who have a lot of money, and in axles. My follow-up question goes to Iselin Nybø, and the theme is still inequality. For many years, the growth of rents has been a factor in the wage growth of ordinary workers. We see that in the country's ownership message, which is published annually. The country's own leaders are involved in increasing the differences between themselves and ordinary workers. In the past, the Council of State has said that it expects the government to take care of moderation, and that the company is open to the level and development of the lease receivables. The lack of moderation will be particularly unmusical right now, in the middle of a pandemic, where several people lose their jobs and have to go on social welfare, and where the community has set up large rescue packages. My question is, how has the government planned to stop the leadership pay gap in the state, as a means of increasing the differences between people?
ParlaMint-NO_2020-10-21.ana.ud297e150	Let me first stress that it is the boards that set the salaries of the senior employees of the different companies. But on the government side, it is clear that we have some clear expectations that the salary level should be competitive, but not pay. That's the expectation we have for the board of the companies where we have interests. We also actively exercise our ownership through the general meetings, and express our opinion when needed. This year, too, the Ministry of Industry and Fisheries has had record entries related to management salaries – this year in two companies, both linked to moderation. In one case, we also voted against the proposal for the Governing Board's guidelines. It was DNB and Entra.
ParlaMint-NO_2020-10-21.ana.ud297e157	Hadia Tajik – for follow-up questions.
ParlaMint-NO_2020-10-21.ana.ud297e162	Governments point to the control, point to their expectations, point to protocol inputs, but I don't hear much about action. The working party has several suggestions. We would like, among other things: change the country’s policy on rents so that it is stated that the country does not ‘should’ be a payleader. There will be an increase in relation to today, where it only says "should". We also want a rental commission and have the parties to get the rents down. We want to streamline the use of bonuses in the state. These are some examples of proposals that have been voted down by the right. Nevertheless, the government expects to be trusted when they haven't been able to do enough to bring down the payroll in the country for eight years. So my question is, how did the Council of State even think that it has gone when the leadership growth in the state under Erna Solberg seems to have lost all inhibitions?
ParlaMint-NO_2020-10-21.ana.ud297e169	I'm not going to comment on the government's executive fees. The representative must ask another Council of States about that. I manage the ownership of the companies, and there the state is committed to being a professional, serious and long-term owner. That is why we also present our ownership policy in the ownership message, which has been widely discussed in Stortinget. I understand that the representative Hadia Tajik has great faith in the difference between ‘should’ and ‘must’. What has been important to me is to clearly communicate an expectation to the governments of the companies in which the state holds interests. We are quite clear that we must have competitive wages. We need that to ensure the skills needed in what are big and important companies in our country, but we're not going to be payroll leaders.
ParlaMint-NO_2020-10-21.ana.ud297e176	Hadia Tajik – for follow-up questions.
ParlaMint-NO_2020-10-21.ana.ud297e181	Yes, there is a difference between sitting down and communicating that it would be nice to have a string in, and making clear demands. There is a difference between changing the country’s policy on rents from saying that the country ‘should’ means that the country ‘should’, as the Labour Party suggests. Why does the government not want to make clear demands?
ParlaMint-NO_2020-10-21.ana.ud297e186	The State imposes clear requirements. The state has clear expectations. We are talking here about big and small, but important businesses for our country. The directors must be responsible for setting wages and salaries, for they are responsible for the operation of the company. But the state that owns is both a clear and an active owner. That's exactly why we make an opinion in general meetings about the pay policy of the companies as well. That's exactly why we have protocol inputs when we think it's necessary. We've been doing that for years, even this year in two companies.
ParlaMint-NO_2020-10-21.ana.ud297e191	Kari Elisabeth Kaski – for follow-up questions.
ParlaMint-NO_2020-10-21.ana.ud297e197	It might have been tempting to ask the “time minister” follow-up questions about asking the clock this weekend, but we should stick to inequality and the finance minister. The representative Tajik started with numbers coming from the government, and so will I. First of all, a comment on the government's entrance and Sanner's answer here: The finance minister says we have to discuss how to bring down the differences. Good! But the government is systematically concerned about just looking at the poorest. Although the government’s own report on inequality shows that the main driver behind increased inequality in Norway is that it is the richest who draw most from people, international experience also shows that if one is to achieve a lasting reduction in, for example, poverty in society, or ensuring good social mobility, must reduce the level of inequality in society. So back to getting the differences down: will Sanner say that the differences increase or decrease when the government gives 8 billion. kr in tax cuts to the country’s 10 pst. richest?
ParlaMint-NO_2020-10-21.ana.ud297e204	We've looked at what's called the Gini coefficient, which is an internationally recognised measurement system that looks at income inequality that goes on both employee income and capital income. There's a measurement statistic that SV has also put a lot of emphasis on before. Then we see that in our years there has been a marginal change in the inequality, just as it was under the red-green, when they crashed. So the answer is that we don't see that there's a huge inequality or that the inequality increases according to that statistics. That's why I'm saying we have to go behind the numbers. We have to look at people and see how we can lift up those who are going to be hanging after. How can we avoid creating more poor ones? We have to make sure that young people get a good education, that more people finish high school, that more people come to work. It's our answer to how we can create a society with opportunities for everyone, and how we can reduce the inequality in our society.
ParlaMint-NO_2020-10-21.ana.ud297e209	Kari Elisabeth Kaski – for follow-up questions.
ParlaMint-NO_2020-10-21.ana.ud297e214	In reality, the government has chosen to ignore what is the government’s biggest message, which states that the main driver behind increased inequality in Norway is that they at the top subtract. As I was in my post, it's about bringing about a lasting reduction in poverty, reducing inequalities. It's absolutely central. It must also be a cross-section of thought for a government that, in its rhetoric, places the emphasis on the poor, that the number of young people growing up in poor families in Norway is also increasing dramatically. The Minister of Finance has presented new figures that will have us believe that through the budget now presented, differences in Norway will not increase, and the impact of that budget has been estimated. My question to Jan Tore Sanner is: what is the distribution effect of the total government budgets that have been, and the tax systems that have been presented by the government over the last few years, when one has chosen to prioritise big cuts in their wealth tax at the top?
ParlaMint-NO_2020-10-21.ana.ud297e221	The representative says that the Minister of Finance will ‘have us to believe’. I'm not going to affect what the representative believes, but after the state budget was presented, a lot of claims have been made. The red-green lots have been fought to use the highest letters and to rule out as much as possible. It has been claimed that this budget, this tax regime, will increase income inequalities. Well, then I've gone and asked to get numbers that can show how this develops. Then it turns out that there is no particular impact on the income inequality of the next year. That's why I say we have to go behind the numbers and see how we can make sure that we reduce the inequalities in Norwegian society. And that's not my answer to the left-hand side, that we have to increase the tax on Norwegian ownership. I fundamentally disagree with that approach. I believe that we need to have more businesses in several industries across Norway, and then there will be no more private commercial activity by increasing the wealth tax.
ParlaMint-NO_2020-10-21.ana.ud297e226	Kari Elisabeth Kaski – for follow-up questions.
ParlaMint-NO_2020-10-21.ana.ud297e231	The question, and what's interesting, is whether the tax system is redistributive or not. And the question is whether the tax system over the last few years, since 2013, has become more redistributive or not. There have been large tax cuts under this government, and also the majority of people have received lower taxes, although much of it has been offset by increased taxes and, for example, increased taxes. increased parental benefit in kindergarten. But the question is who got the biggest tax cuts, and all of the government's figures show that they've been on top. So the question that Sanner has to answer is, is the tax system more or less redistributive with this government and more or less redistributive with the proposal that the Storing is dealing with now, when you keep cutting the taxes for them with the big wealth? That is what is relevant, unless the government has decided that it is not through the tax system to be redistributed in Norway. And that would be interesting.
