ParlaMint-NO_2020-06-10.ana.ud451e42	The representative of Mona Fagerås will present a proposal for a representative.
ParlaMint-NO_2020-06-10.ana.ud451e47	I would like to make a representative proposal on a profit-free kindergarten on behalf of the representatives of Audun Lysbakken, Lars Haltbrecken, Arne Nävra, Freddy André Øvstegård and myself.
ParlaMint-NO_2020-06-10.ana.ud451e52	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2020-06-10.ana.ud451e70	At the request of the Committee on Family Affairs and Culture, the President will arrange the debate as follows: 3 minutes for each party group and 3 minutes for members of the Government. Furthermore, no lines will be given, and those who have to draw on the list of speakers in addition to the allocated speaking time will also have a speaking time of up to 3 minutes.
ParlaMint-NO_2020-06-10.ana.ud451e77	Let me start by thanking the Committee for a quick and effective process on this matter, and it is supported by an overall committee – to reach the conclusion first. The reason why the government promotes this temporary change in the Cash Support Act and in the Child Protection Act is to remedy the negative consequences resulting from the outbreak of covid-19. The matter has been dealt with quickly in the government and here on the Stortinget. The Committee takes note of the short period of consultation and notes that no response was received, but the short period of time can be justified by the fact that the proposals are exclusively in favour of families who would benefit from the derogations. Furthermore, the change in the law is justified by the fact that it is not reasonable for families who have to stay abroad for more than three months due to the covid-19 pandemic to lose benefits. The proposal has been put in place so that the changes will not include families who in any case had planned a longer stay abroad. The Committee also supports the proposal that legislative amendments be returned in time to cover the cases where the exemptions are intended to cover. The Committee also supports the fact that the law is not repealed before 1 January 2021 in order to ensure that parents for whom the exemption may be relevant capture it. As a result of the covid-19 pandemic, many people lose or lose their income. Extensive and costly measures have been put in place to mitigate these impacts. Measures should be directed primarily at those who lose work and/or income or who otherwise have particularly high costs as a result of the crisis. In this respect, this measure is not clearly necessary. For most families who lose child benefit and possibly cash support for a few months, the loss will be manageable, but for families with the lowest income, the amount of child benefit means far more than for those with higher income. For families with several children, the loss is obviously greater than for those with one child. It is not reasonable, in the Committee's view, for families who would have retained child benefits and cash support if they had had the opportunity to return to Norway as planned within three months, to lose the benefit if they had to remain abroad because of the covid-19 pandemic. That is why we are adopting today a temporary derogation from the ordinary rules of this group.
ParlaMint-NO_2020-06-10.ana.ud451e94	I would like to begin by thanking the Committee for its speedy examination of this important matter. In recent months, Norway and the rest of the world have been in a situation that is not similar to any crisis we have experienced in the past. The Covid-19 pandemic has had many far-reaching consequences and affected most people's lives in some way. Among other things, the risk of infection has led to extensive travel restrictions worldwide, and airlines have cancelled many of their flights. The Ministry of Foreign Affairs has assisted many Norwegians to return to Norway. Nevertheless, there may be some Nordics abroad who are in the difficult situation that they are unable to get home as planned. In order to receive child benefit and cash support, the child must live in Norway. The child is no longer considered to be a resident of Norway during a stay abroad for more than three months. The ordinary rules therefore mean that families who have a longer stay abroad lose child welfare and, where appropriate, cash support. In the government’s view, it is not reasonable for families who, because of the covid-19 pandemic, are unable to return to Norway as planned to lose their social benefits. These are families who would have kept the social benefits if they could have returned as planned. We have therefore proposed a temporary derogation rule. This will mean that families who can prove that they had planned a stay abroad of less than three months may retain child welfare and, where appropriate, cash support. I am pleased that the Stortinget supports the government's proposal, so that we can ensure families that they do not lose their child welfare and cash support because of the covid-19 pandemic.
ParlaMint-NO_2020-06-10.ana.ud451e109	Several have not asked for the floor on case No. 1st@item: inlistbox
ParlaMint-NO_2020-06-10.ana.ud451e124	I refer to my letter to Stortinget on 28 May and a letter from Stortinget on 4 June 2020. I thank you for the opportunity to explain the relationship with Equinor's business in the United States and the country's follow-up in this context. My role in this matter, as Minister of Oil and Energy, is to manage the state's ownership of Equinor, where the state owns 67 pst. of the shares. As the largest owner in Equinor, the State is concerned about how the company manages the large values in the best way in all its activities, whether oil and gas, renewable energy or other activities — regardless of whether it is in Norway or internationally. Since the listing in 2001, Equinor has given good returns to the shareholders and thus to the State. The total return during this period has been better than that of comparable competitors and Oslo exchange. The ownership of Equinor has contributed, through dividends, to large transfers to the State pension fund each year. Recently, Equinor’s business in the United States has received a lot of negative attention — and rightly so. The case has different aspects. It includes large investments made some 10 to 15 years ago that have subsequently been found to cause significant losses. Furthermore, in Equinor’s internal audit papers, to which Contemporary Business has been given access, there are challenges related to cost level, internal control and business culture in the company’s operations in the United States. These are two aspects that should be considered separately. The challenges associated with internal control and business culture in the United States are serious, but are not the cause of the size of the accounting losses. In addition, there have been questions about the company’s financial reporting related to its activities in the United States. The debate in the wake of the media's mention of the matter concerns key principles of ownership by the State. It is therefore important for me to explain the matter in question and how the State, at the Ministry of Oil and Energy, has exercised its ownership in this context. The state ownership of Norwegian business is extensive. The State manages large amounts on behalf of the community. The State attaches great importance to managing its ownership in a professional and predictable manner. The framework and principles of state ownership policy have been firmly established by alternating governments since the ownership principles were established in 2002. These were anchored at the latest by the Storting’s treatment of the ownership notification in April this year. The broad political consensus in this field has contributed to high credibility and predictability for both companies and markets. The division of roles between shareholders, board and management follows from company law and generally accepted principles of ownership and corporate governance. It follows that the State that owns shall not have an understanding of the current business decisions. The management of the company is the responsibility of the board of directors and management and must be exercised in the interests of the company and its owners. The board of directors and management shall also be responsible for the operation within the applicable laws and regulations, for the definition of the risk profile and for the supervision of the other activities. This includes ensuring that the company has good internal control and adequate risk management and compliance systems. Like other shareholders, the State shall exercise its ownership at the general meeting. The ownership of the State shall be exercised in accordance with the principle of equal treatment of shareholders in company law. This means that the State that owns has no rights other than those of the other shareholders, including no requirement for more information than other shareholders. That being said, the State as owner can and should have a dialogue with the company between the general meetings. The Ministry of Oil and Energy has an active ownership dialogue with Equinor, in line with the framework of the ownership message. The dialogue includes the follow-up to the country’s objectives as owner and expectations of the company. In the ownership dialogue, I am concerned that we have a good prioritisation of the topic and how the state that owns concreteizes its expectations towards the company, and that we challenge the board. These are recordings to the company and not instructions or instructions. As a major owner, the state has both the opportunity and the interest to contribute to the positive development of the company with a view to the highest possible return over time. Equinor has built up an international portfolio of petroleum activities and renewable energy projects over the past 25 years. Equinor is currently active in more than 30 countries in addition to Norway, in various countries such as Algeria, Angola, Azerbaijan, Brazil, Canada, Ireland, the United Kingdom and the United States. About 40 pst. of the total petroleum production of the company in 2019 outside Norway. Of these, the volumes in the United States were about half. It has been a political wish that Equinor could grow internationally. In the decision on the listing of Equinore, when Statoil, in 2000, the Stoltenberg Government highlighted the need to facilitate the company’s continued search for tasks in other countries, in order to further develop the competences and values of the Norwegian oil companies and the Norwegian supplier industry. The proposal on the merger of Statoil and Norsk Hydro’s oil and gas activities in 2007 also highlighted international growth. In the staging proposition, it was stated that: ‘The challenges and new tasks in Norway will continue to develop the company, but the company will also need new opportunities internationally to develop further.’ It went on to say: ‘The most important thing for oil companies today is to increase their reserves and resource base. This can be done in several ways, for example through organic growth through resource exploration, through the purchase of other oil and gas companies or the purchase of shares in producing fields. It is possible for a strong financial company to take more risks. Through the development of new technologies, a real resource that it has not previously been economics to extract can. The position of the Committee on Energy and the Environment at that time includes:\t\t You can change the settings of the grid. \t\t \t ‘The Committee has noted that the two boards assume that the merger will create a strong and viable Norwegian player in the global oil and gas industry. The combination of the resources and knowledge of companies will, in the opinion of the boards, contribute to a financially and technologically sound company, which will become a stronger international player than the two companies individually.» So there's been a clear statement from the Storting about a desire to seek international opportunities. During the 2000s, technology development combined with increased oil and gas prices made it possible to extract resources economically in skifer formations, mainly on land in the United States. In order to become an operator in this business, Equinor made several major investments in shale oil and shale gas over several years, mainly in the period 2008-2011. Here, for the sake of order, I want to make the Stortinget aware that in my answer to questions from the representative Espen Barth Eide, I was injured to refer to the period 2007-2011. The correct one shall be 2008–2011. Through an alliance with Chesapeake Energy Corporation in 2008, the company gained access to the area of the Marcellus formation in the northeastern part of the United States. Equinor bought into Eagle Ford in Texas in 2010 and cooperated with Talisman Energy Inc. on the development of these resources. In 2011, Equinor Brigham Exploration Company, which gave the company access to additional land on land in the United States, bought the Bakken Formation in North Dakota. Equinor has subsequently sold the Eagle Ford establishment. In the Gulf of Mexico, Equinor bought the deep water portfolio from Encana in 2005 and acquired Spinnaker Exploration with holdings in different areas from Norsk Hydro in connection with the 2007 merger. Equinor’s activities in the United States also include renewable energy in the form of marine wind projects. This applies as of today to the Empire Wind project outside New York and to a sea wind licence outside Massachusetts. Equinor bought establishments on land in the United States for a period of high oil and gas prices. The company also had expectations at high prices in the future. When the price picture turned around in 2014, the company had to write down large book values relating to these assets. The financial supervision of the public sector in 2014 verified some parts of Statoil’s consolidated financial statements for 2012. The Company briefed the Ministry of Oil and Energy on the supervision of Financial Supervision in an ordinary quarterly meeting in 2014. The inspection had revealed three errors that the company had corrected. In addition, the FSA recommended that Equinor present its business in North America as a separate reporting segment because of the size of this activity. The company informed that, following an assessment of the requirements of the accounting standard followed by the company, they chose to maintain the international activity in one reporting segment, in line with the industry standard. The Ministry took note of the company’s information at the time. Equinor’s annual report for 2019, published on 20 March of this year, shows that the company’s total financial loss related to its activities in the United States was 20.4 billion. dollar at the end of 2019, which equals about 190 billion. kr at current exchange rates. The total loss is shown in the ‘Additional information’ of the annual report as a negative sum in the column ‘Reared earnings’ of 29 companies owned by Equinor in the United States. The number will change from year to year and may vary depending on several factors. The company indicates that it currently has oil and gas resources and other assets with an book value of 16.5 billion. dollars in the United States. Then there's a carryable deficit of almost 4 billion. dollar not included. Future oil and gas prices and the ability of the company to operate properly will determine the final calculation. In 2014, Equinor faced major challenges with internal control in the United States, which the company claims could be traced back to the purchase of Brigham Exploration Company in 2011. In addition, it was found that the company has been characterised as an unacceptable level of costs. The company has acknowledged that these challenges should have been identified and addressed earlier. In the follow-up to Equinor, the Ministry of Oil and Energy has, among other things, have been aware of the company's overall performance, returns, dividends, leverage, liquidity, cost development, production, developments in price and market conditions and key sustainability-related conditions. The Ministry follows up the government's expectations of state-owned companies as reflected in the ownership announcements. Wages and salaries are a central part of the ownership dialogue between the Ministry of Oil and Energy and Equinor. The aim of the country's ownership of the company is the highest rate of return over time. The Ministry has drawn up yield targets for Equinor notified to the company. Since 2014, the OED in the ownership follow-up of Equinor has been particularly concerned with developments and write-downs in the company’s country activities in the United States. Both in quarterly meetings between Equinor and the Department following the company’s performance proposals and in owner’s meetings between the Minister for Oil and Energy and the Chairman of the Board of Directors have been the international activities of the company. It includes depreciation and profitability of land activities in the United States. In order to further strengthen the follow-up of the owner, Arctic Securities brokerage agency commissioned by the OED in 2015 prepared a report on Equinor’s international activities, including those of the United States. The report showed, among other things: that there was varying profitability between different projects in the United States and that Equinor paid was in line with the price paid by competitors. The report is public and was sent on request to Stortinget in May this year. Like other government councils with ownership responsibility, the Minister for Oil and Energy is briefing in an annual report by the National Audit Office on the management of state interests in Equinor. In 2017, the Riksrevision asked questions about the profitability of Equinor’s foreign investment and the follow-up of the OED to the international business. The questions were answered by the department, and the Riksrevision informed the department afterwards that the matter had been closed. The Ministry has been informed through Equinor’s accounts and information that the company has suffered severe losses and low profitability in the United States since 2014. The fact that the profitability of land activities in the United States is more affected by the oil price than that of the Norwegian base industry has been known both for the OED and for the rest of the market. The company has also informed that its land activities have been less profitable than those at sea in the Gulf of Mexico. The Ministry became aware of the total accounting loss of 20.4 billion. the dollar associated with the US business through the company’s annual report after media coverage of the loss. The information on the overall loss could, in the opinion of the Department, have been more easily accessible, as the management of the company has agreed. I have clear expectations that the company will follow up on this. At the request of the OED, Equinor has informed the Ministry of the individual items that constitute the overall loss: About 9 billion. dollars relate to the accounting write-downs of investments in the national activity. About 4 billion. dollars are linked to write-downs in the Gulf of Mexico and the Bahamas. About 4 billion. dollars are linked to dry wells and costs associated with the Gulf of Mexico. About 3 billion. dollars relate to financial expenses, and about 1 billion. dollars relate to loss contracts. OED has been briefed on land write-downs of about 9 billion. dollar. The ministry has also been familiar with write-downs in the Gulf of Mexico, especially after the fall in oil prices in 2014. However, the exact figures for this part of the US business have not been known. The same applies to the figures for financial expenses and loss contracts. The way it is reported is the reason for this. The Ministry has over time taken up with the company what measures have been taken to improve the profitability of national activities. The company has informed that they have worked hard to reduce costs and improve technology. Furthermore, the company has sold its asset in the area of Eagle Ford in Texas. It is the company's responsibility to assess what information should be given regarding internal control and business culture. Equinor’s internal audit papers, which today’s industry has mentioned, point to cost-level, internal control and business culture challenges in the company’s operations in the United States. These challenges have not been known to the OED. It is the responsibility of the board and the management that the company operates with a good business culture and good internal control. The Ministry has not and should not have had access to the company’s internal audit reports. The OED receives the same information as the other shareholders. But I think the company should have shown greater transparency and informed about these problems. I believe these challenges were such that the company should have shown greater transparency in the dialogue with the OED on the US business. The State shall manage its ownership in a professional and predictable manner and in line with the framework for the exercise of ownership communicated to the Stortinget. Equinor’s activities in the United States are under the responsibility of the board of directors and management. This includes, inter alia: the investment decisions which the company has made and will make and how it operates on a daily basis. But it is my responsibility to manage ownership in the best possible way. There are two regular owner’s meetings this year between the Minister of Oil and Energy, the Chairman of the Board and the Head of the Group. In the light of what has emerged about Equinor's activities in the United States, I hastened the half-yearly meeting of the board of directors and the group leader to Monday, May 18. I did that to be directly informed about what has gone wrong in the United States, what the company has done – and does – to correct mistakes that have been made, and to discuss the way forward. In the meeting, I expressed expectations about more transparency about results and more information about major challenges the company encounters in its operations. Furthermore, I have challenged the company in their assessment today of the Financial Supervisory Authority’s recommendation of 2014 to report the US activity as a separate reporting segment. The company has announced that from the next quarter it will report more frequently and more openly on the US business. That is what the company will do by reporting on its activities in the United States as a separate operating segment. I think that's the right decision. This will provide a quarterly reporting equivalent to that of a reporting segment, in the same way as the reporting from, for example: Norwegian pedestal. The company has also said that they will consider making the United States a separate reporting segment, as recommended by the Financial Supervisory Authority in 2014. Equinor has stated that the internal control of the company's land-based operations in the United States is now quite different from what it has been in the past, which I expect. I have also asked today's board of directors whether the board is sure that the work on correcting past mistakes and deficiencies in the business in the United States has been sufficient, and whether the learning from these experiences has been well integrated into the company. The board of directors has informed me that the board has now decided to review the business in the United States. The review shall be carried out by a State-authorised auditor of the company and a sample managed by PricewaterhouseCoopers, with the support of Equinor internal resources. The selection will review all so-called red audit reports related to the United States and the other international organisations back to 2012 to ensure that they have been satisfactorily followed up. The acquisition of Brigham Exploration and other relevant transactions will be reviewed, including what the company has learned and how this has been implemented in the business. The review will also look at the follow-up of international activities by the Board of Directors. The report is planned to be completed by October and will be public. I welcome this report, and that there will be a broad and full review of everything of relevance, including the underlying reasons, as the chairman himself describes it. I also see a need to step up the follow-up of the Department of Foreign Affairs to Equinor, not just in the United States. I want to introduce a new regular meeting between the department and the company after submitting the company's annual report. The purpose of such a meeting shall be to prepare for the Governing Council’s ownership meeting with the Chairperson and Group Manager in which the annual report is reviewed. In addition, it is natural, given the time that has passed, that the Ministry will again have a thorough external review of the company's international activities. At the turn of the year, therefore, the Ministry asked Arctic Securities to draw up a report on Equinor’s international activities. The background to this is that the company's activities have been subject to changes since the previous report was drawn up, including: as regards the picture of costs and oil price expectations. This work was planned to take place after the publication of the 2019 annual report. Work has been somewhat delayed due to the covid-19 pandemic and the need to update price and cost forecasts given in recent developments, but the report is under preparation and will be publicly available. As Minister of Oil and Energy and responsible for the management of state ownership in Norway's largest company, I will continue to follow closely the company's follow-up to the US business. The accounting write-downs and losses are large. I believe the company should have informed the matter better and more directly in communication with the department as well as with other shareholders. I also believe that the matter also concerns issues such as corporate culture, capital discipline, soberness and transparency. These are the issues I will address in the further dialogue with the company on what are learning points from the case and actions in the future. I have already stated, both to the board of directors and to the public, that I share the company's own assessment that the business culture that has previously been part of the US business has not been acceptable. The Board of Directors and the management of the company have a great responsibility towards all shareholders, employees and other stakeholders to do their utmost to avoid situations such as those in the United States occurring in the future. I have underlined this to the board of directors and the group leader. My impression is that Equinor takes this matter very seriously. As I pointed out initially in this statement, the state ownership of Norwegian business is extensive. The State manages large amounts on behalf of the community. Therefore, the country attaches great importance to managing ownership in a professional and predictable manner. Ownership policy has a clear division of roles between the responsibility of the State that owns and the responsibility of the board and the management of the company. We express clear expectations for our companies, including Equinor, in line with the ownership policy adopted by a broad majority on the Stortinget. It is an important principle that the company is responsible for the strategic and business decisions taken. I think it's an important principle to stick to. At the same time, the State has clear expectations of responsible activities, transparency and reporting. Therefore, I have been very clear that the company should have shown more transparency about results and provided more information about major challenges that the company faces in its operations. I will end by expressing the expectation that the experience from this case contributes to learning, both for the company and for the state's ownership. Today's presentation is a contribution to that work. This will be important to regain the trust that the company needs.
ParlaMint-NO_2020-06-10.ana.ud451e260	The President will now, according to the Rules of Procedure of the Storting § 45, open for a short comment round, limited to one post of up to 5 minutes from each party group and a final statement from the Council of State.
ParlaMint-NO_2020-06-10.ana.ud451e265	I want to start by thanking the Council of State Bru for a thorough and good presentation. I believe that in her statement she described the matter with the seriousness that it deserves. We're talking about Norway's largest company, and we're talking about the largest company in our main industry, an important part of a proud oil and gas history in Norway, an important part of the story about how Norway tamed the oil and became the country we have today. That's why it's especially important that Equinor, formerly Statoil, is conscious of his responsibility, and the criticism that the Council of State is making against the company and what has happened, I'm completely behind him. I think it's important that the company understands the seriousness of the big society and we in Stortingen, the political authorities, take this matter into account. I would also say that it serves today's leadership to the credit that they've been so clear that this is problematic, that things have happened that are serious, and that they want to be clear, honest and sincere in cleaning this up. I think, for example: It is a good move from the management of the company that they have now invited to their own thorough review. Of course, it will not replace what we do in Stortinget. I don't think it's the company's intention either, but it can help clarify the conditions that need to be clarified in order to be able to get the necessary learning both in the company itself, in the society in Norway and in our dialogue with this our most important company. But for one day serious issues have arisen, as the Council of State said, business culture, cost control and internal control. This is mainly under previous management of the company. Current management is clear that it is familiar with this and acknowledges it. But there must be a thorough cleaning in the company itself. There are still some questions about the role of the board, and we are going to follow up on further questions about the role of the government, i.e. the ministry, in their ongoing ownership. I would like to use this opportunity to stress that the Workers' Party is a strong supporter of a professional owner management. We're going to govern the companies the state owns, through general assembly, through proper principles, through non-discrimination, but it's incredibly important to stress that professional ownership does not mean, as someone thinks, arm's length distance from business culture and order and custom and use. It is clear that, as owner, one has expectations of how a large Norwegian company operates, whether they operate in Norway or abroad, that it represents Norway in a good way, since the company is so much associated with us. And it's an expectation from society that comes in addition to expectations of, for example, returns over time and eventually perhaps other expectations that we will come back to in other contexts, about the role of the company, for example. as an engine in the renewable transition, which is slightly out of the current discussion. We're going to follow up on this now with some concrete questions. The Council of State has now explained that the Department was familiar with the economic aspects of this matter, but to a lesser extent with the business cultural aspects. Is it then the board that has not been sufficiently aware of its responsibilities? Were the right questions asked? Have the representatives of the Governing Board who have been appointed to the general meeting with the support of the State sufficiently aware of their role in this? These are the things we'll come back to in the further follow-up we're now going to have. And not least a very specific question, namely when the Financial Supervisory Authority in 2014 thought it was appropriate to report on the United States as a separate segment, why the company still did not follow up on this, and why it was not followed by the board, possibly the owners. One point about ownership management is that there was actually a point 20 years ago when the then Statoil was listed and they got private owners, that these private owners should also be partners for the state to look at the management of the company, i.e. experienced large managers should look at it. So I don't think that's what this question is about. It is whether this responsibility has been followed up enough. What we're doing now is taking this matter to the committee. I thank you again for a thorough explanation, we'll go through it thoroughly, and then we'll come back in the ordinary process with the questions we needed in addition.
ParlaMint-NO_2020-06-10.ana.ud451e282	First, let me thank the Council of State for a thorough presentation and for coming to the Stortinget to explain. This is a matter that has naturally been the subject of great attention, and it is important that the Storting is informed, and that we get a good discussion. This is an important matter because it is about ownership management of an important company in which the state manages a large ownership on behalf of all of us. This requires that we take the information that has been provided seriously. The size has clear expectations that companies owned by the state are acting in line with good business practices and in line with what we can call good Norwegian values. I am pleased that the Council of State has done a thorough job and has taken action. It is also good to remember that the critical conditions that have emerged are in time, but a thorough review is nevertheless necessary to ensure that both companies and the state take up learning. I think it is good that the Council of State warns of a tightening of procedures. It is also good that Equinor has initiated a review of the US business. I expect that in the review you will turn every stone to ensure learning. A broad majority in the UK is behind ownership policy. While we're learning, it's important to stick to the good principles we've agreed on: professional ownership management, yes, but also that the company has a responsibility, of course. It's important to remember why the state is a big owner in Equinor. It is to maintain a leading technology and energy company with its head office function in Norway, where the target is the highest rate of return over time. The clean-up that is now under way is important for trust in this company and the way in which it operates. I look forward to this being dealt with in committee, and I would once again thank the Council of State for a good and thorough presentation.
