ParlaMint-NO_2020-03-11.ana.ud187e28	The representative, Mr Liv Signe Navarsete, will present a proposal for a representative.
ParlaMint-NO_2020-03-11.ana.ud187e33	On behalf of the representatives of Sandra Borch, Bengt Fasteraune, Kari Anne Bøkestad Andreassen, Siv Mossleth and myself, I would like to propose a complete plan for moving the maritime surveillance activity from Andeya to Evenes.
ParlaMint-NO_2020-03-11.ana.ud187e38	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2020-03-11.ana.ud187e54	On Monday the Stortingen received a message from the Prime Minister's office saying that Prime Minister Erna Solberg will meet for oral Question Time. The Prime Minister is present, and we are ready to start the oral questioning process. We then start with the first main questions, from the representative Jonas Gahr Støre.
ParlaMint-NO_2020-03-11.ana.ud187e63	The spread of the coronary virus is now changing to a new phase, and we are in a serious situation in Norway. It's infected between the North, with no known origin. «The disease has already been released in Oslo», says experienced doctors at Ullevål. It's a challenge that will last. It is serious, not unknown from previous epidemics, but far more extensive. We must be clear, not talk up a crisis, but not talk it down. Then we have to be honest. The government must be honest and clear. The Institute of Public Health now says that over two million Nordics will become ill, most with mild symptoms. But people will die as a result of this disease. Enterprises and jobs will be affected, and health professionals will be tested at very large levels. Our solidarity and our humanity will be tested. We have high confidence in each other and in the authorities in Norway. Now we have to use this resource wisely. Let me start by saying that we support those who are now in the demanding first line: health professionals in hospitals and in hospitals, infirmaries and all responsible around the municipalities. I said yesterday that we support actions by the government that can effectively and clearly meet the challenge of the virus. The questions we have to ask the Prime Minister are: does she and the government take action that is proportionate to the serious situation, where several weeks ago the WHO called for what they called drastic action? Are there clear messages to people in all parts of the country about how they should behave? Do municipalities receive advice, finance and instructions to ensure action? Do we have the equipment and the drugs that are needed? And are we, as a nation, equipped to stand in this crisis, which may last a long time? My concern is that the answers to these questions are not a clear yes. I aim here at criticism and questions from health professionals, municipal doctors, permanent practitioners, rapporteurs, professionals and most people. The measures have been too late, sometimes little concrete, and the information has appeared unclear and little coordinated. The Prime Minister has told me that she and the government have the powers that are needed. My first question is therefore: is she sure that the right actions have been taken and that the right messages have been communicated?
ParlaMint-NO_2020-03-11.ana.ud187e74	It's a serious situation we're facing. It is serious for our health preparedness, and it is serious for the Norwegian economy and for Norwegian jobs. For the government, job number one is to make sure that we have a health care system and a development in the disease image that allows us to handle and help those who are the weakest, those who have the most need, and that we have the capacity and the ability to help and make sure that we have a health care system that can handle this situation. The second job is to ensure that the economic impact on the Norwegian economy is minimised in the long term, and that we can ensure growth and well-being in the years to come. But back to work number one. Do we have powers and ability to do things? Firstly, I think it is very important to stress what the representative Gahr Støre said, namely that we must not exaggerate. Nor must we understate; we must make sure to be exact. Then it's not right to say that the Institute of Public Health has said that over two million people will be infected. They've supplied a scenario with a voltage of 20 to 60 pst. by the population, it is important to remember ‘can’. That's when that number comes, so we have to be careful to be exact in the dissemination of the information given. It's often here it turns out that scenarios are correct or not, but it's important to be exact about these things. What we have done since the discovery of the disease is primarily to give powers to the Institute of Public Health and to the Directorate of Health. All preparedness work was decentralised as early as the end of January to the Directorate for Health, with powers to initiate these activities. We have measures in place to make use of all the rationing mechanisms in the healthcare system in terms of equipment and available capacity for treatment to ensure that this type of action is in a state of emergency. So we're on. With the short time we have here, let me just underline one thing: we have to be aware that we're going to get bigger heights, and that this development is going to give us a top, but we have to make sure to flatten out that top. It will be one of the most important things we do. That's why it's so important that people take on the advice that health authorities give.
ParlaMint-NO_2020-03-11.ana.ud187e85	The question is whether measures have been taken that are consistent and clear, early enough to prevent this summit from coming. That's what I'm asking. I'm saying that the Public Health Institute suggests that there could be two million. It's a scenario – we don't know, it's in the future. But there is reason to believe that this situation is more serious and more extensive than in the previous epidemics we have had: sars and swine flu. Then the question is, they have delegated powers, and we have good professional authorities. But what we now hear from those who are in the first line, those who are responsible – rapporteurs, infectious doctors, municipal doctors, urban doctors, those in the hospital, health professionals – is that the advice is unclear, they are late, they have prepared for bad, they lack equipment. So the question is, does the government and the Prime Minister need another grip so that these messages can be clear enough, given the opportunity we face with a more massive spread?
ParlaMint-NO_2020-03-11.ana.ud187e90	Already after the new powers of the Directorate of Health were laid down in January, work was started with Norwegian municipalities in order to prepare themselves. At that time, all the counties had the responsibility to coordinate with the municipalities on what infectious plans they had, and it was revealed that some municipalities did not have infectious plans. Between two and seven in the different counties did not have that, and then work and measures were put in place for the infectious disease plans to stand up in all the counties to contribute to good communication. Then the advice will change as the stages shift. That's why the stricter advice now is when we see an infection that spreads more in the population than it was when you could track where the infection came from. Of course, it also has to do with the consequences for the rest of society when you start this. But as I said, the goal is to even out the top in the future. If we extend the process before we get very many sick people in Norway, it will be easier to have good treatment capacity, and it will also be that better treatment and perhaps vaccine will be available.
ParlaMint-NO_2020-03-11.ana.ud187e99	It opens up for follow-up questions – first Jonas Gahr Støre.
ParlaMint-NO_2020-03-11.ana.ud187e104	I want to ask the Prime Minister how she has been working on her watch to prepare Norway for this situation, because a pandemic is not a distant opportunity. We had the sars epidemic and the swine flu epidemic. The Prime Minister, on his watch, has had to deal with ebola outbreaks internationally. Pandemic is part of what we're now facing. Emergency elements at the Prime Minister's office were suggested in the beginning. It didn't come. There have been two emergency ministers in this government. Nevertheless, we now feel that there are critical deficiencies in our preparedness when the infection affects Norway. There are no available hospital vacancies in Norway today, they say from the Health Directorate. The OECD recommends 85 pst. coverage so that you have free capacity. Limitation of testing has been confirmed and lack of standby storage of test equipment. Critical shortages of selected medicinal products have been identified and deficiencies have been reported by hospitals for several weeks. This not only affects the capacity to test people, it also affects health professionals who are on duty, including those who have to be called in from the watch. How could we get into such a situation, giving attention to preparedness, epidemics and pandemics internationally and nationally in the years Erna Solberg has been prime minister?
ParlaMint-NO_2020-03-11.ana.ud187e113	Just because there has been a lot of focus on it, a new piece of legislation has been dealt with around this in Stortinget last year, with a new framework and new work related to it. Because of this, emergency questions have been worked on, and the county officials have worked explicitly with these questions to the municipalities for the past few weeks. So the challenge is that when you define what the test equipment is, what the systems are, we first have to know what kind of situation we're up in, what kind of virus it is. Therefore, we have provided powers to control all types of equipment that are in Norway today, to control exports, and to monitor stock levels. In addition, we have started work on helping to increase the production of some of the infectious diseases equipment in Norway. Now the Swedish Institute of Public Health is working to test out the various proposals that have come from some of the companies in Norway, and is continuing to work with others to get this in place to make sure that we have capacity.
