ParlaMint-NO_2020-04-30.ana.ud19e33	The representative, Nicholas Wilkinson, will present a proposal for a representative.
ParlaMint-NO_2020-04-30.ana.ud19e38	On behalf of the representatives Karin Andersen, Torgeir Knag Fylkesnes, Petter Eide, Arne Nävra and myself, I propose the removal of input-driven funding in the specialist health service during the coronary apathy. I considered urgent procedure, but I choose to promote the proposal and ask for urgent committee procedure.
ParlaMint-NO_2020-04-30.ana.ud19e45	The representative, Mr Knag Fylkesnes, will present a proposal for a representative.
ParlaMint-NO_2020-04-30.ana.ud19e50	On behalf of the representatives of Audun Lysbakken, Kari Elisabeth Kaski, Arne Nävra, Karin Andersen, Lars Haltbrecken and myself, I would like to put forward a proposal for an extension of the business compensation scheme. Given the seriousness of the matter for the company of the country, I ask that the matter be dealt with within the committee as quickly as possible.
ParlaMint-NO_2020-04-30.ana.ud19e57	The representative of Trygve Schlagsvold Vedum will present a proposal for a representative.
ParlaMint-NO_2020-04-30.ana.ud19e62	On behalf of the big business representatives Sigbjørn Gülsvik, Geir Pollestad and myself, I would like to make a proposal to remove the excess cash support for companies.
ParlaMint-NO_2020-04-30.ana.ud19e67	The representative, Tuva Moflag, will present a proposal for a representative.
ParlaMint-NO_2020-04-30.ana.ud19e73	On behalf of the representatives of Ingvild Kjerkol, Tellef Inge Mørland, Tore Hagebakken, Hege Haukeland Liadal, Nina Sandberg, Øystein Langholm Hansen and myself, I would like to put forward a proposal on digitisation to prevent exclusion.
ParlaMint-NO_2020-04-30.ana.ud19e78	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2020-04-30.ana.ud19e94	At the request of the Committee on Family Affairs and Culture, the President will arrange the debate as follows: 5 minutes for each party group and 5 minutes for members of the Government. Furthermore, within the allocated speaking time, up to five lines of response will be given after contributions from members of the Government and those who have to sign up to the allocated speaking time will have a speaking time of up to 3 minutes.
ParlaMint-NO_2020-04-30.ana.ud19e101	Equality is more than equality between men and women, equality is about the biases, the disabled and the minorities. Norway has the best assumptions to have an ambition to be the world's best at gender equality. We have good action plans and strategies with actions in the fields with which we work. In its presentation, the Council of State signals further action. The Annual Gender Gap Report, the Global Gender Gap Survey, measures 153 countries based on 14 indicators. It is in health, education and economic and political participation. Norway is number two, behind Iceland, as we were last year. We have to have the ambition to be number one. But equality is more than statistics and list locations. Being able to make independent choices in terms of education, working life and partner is a prerequisite for equality. Equality is about having the opportunities, and not least to have the freedom, to choose. Equality is that individuals make choices that are right for themselves, not for society or others — whether they are parents or government officials. You have to make your own choices. Equality is being free from social control, which is negative. Norway is at the peak of female employment. Until the coronary epidemic was 75 pst. by women and 81 pst by men employed. Immigrant women in Norway have traditionally had low levels of professional participation. Lack of education and Norwegian skills are some of the reasons, as are cultural and religious barriers — but also the fact that it has been difficult for reasons of discrimination to become employed. It is gratifying that Norwegian-born women with a migrant background have higher professional participation than their mothers. That means integration helps and works. One of the challenges in Norway is the gender-based labour market. As a result, we receive both gender-based education and gender-based participation. Girls choose traditional health education, boys choose economics, crafts or engineering. As a result, fewer women than men start their own businesses. In fact, only one in three women are entrepreneurs. Few countries in the world have fewer women entrepreneurs than Norway — and they are not least head of their own business. It's too bad. But some points of light are. Despite only 38,2 pst. by all enterprises in 2015 were established by women, is actually 62 pst. by those women who establish enterprises in the field of health and social services. The system of free choice, which is open to home and home care, has led more women to start up businesses. It is a pity that the red-greens in the governments of municipalities liquidate this. That's a good opportunity for women. The Korona crisis will have different impacts on society. My concern is that it will affect equality in several areas. Infective measures affect women in small businesses in service professions — hairdressers and skin care. Not least there is a risk of bankruptcy, at least there are permits now. The question is, will women dry to bet on their own businesses after this crisis? And not least, is it true that there are women in part-time jobs who do not come back to work, or women with migrant backgrounds who end up in the back of jobs? Are men walking in front when the wheels get started? My concern is also that, as a result of the coronary crisis, women are increasingly exposed to violence in close relationships. Experience locked up in quarantine, or getting a permit and losing a job because the company is going bankrupt, often gives frustration, but also anger and perhaps drug problems. It can run away from a partner and result in violence. Women are much more exposed to violence in close relationships than men, not least rape. It is worrying that the police report a decrease in the number of cases of violence in close relations. I have a suspicion that it's great darkness and that it's underreporting. I therefore want an evaluation and monitoring of the impact of the corona epidemic and its impact on the gender field. I am thus promoting the proposal to which the Right is a co-sponsor.
ParlaMint-NO_2020-04-30.ana.ud19e124	Then the representative Kristin Örmen Johnsen addressed the proposal she referred to.
