ParlaMint-BG_2022-03-30.u1	Colleagues, I think we can start the registration now. Miroslava Petrova?
ParlaMint-BG_2022-03-30.u2	Here.
ParlaMint-BG_2022-03-30.u3	Registered 146 MPs in the hall and online 1. We have a quorum, we can begin the meeting. [[PHONE RINGING]] Colleagues who failed will do so with the first votes. I would like to introduce you to the draft program for the work of the National Assembly: "1." First vote on the Draft Law amending and supplementing the European Structural and Investment Funds Management Act. Importer of the Council of Ministers. 2. First vote on the Law amending and supplementing the Law on Higher Education. Importer of the Council of Ministers. [[Noise.]] 3. First vote on the Draft Law amending and supplementing the Renewable Energy Act. Importers suppose Vladimir Tabutov and a group of MPs. 4. Draft Law on the ratification of the Grant Agreement between the Government of the Republic of Bulgaria and the International Development Association on the nineteenth power supply of Mar resources, concluded by Exchange of Letters of 1 and 2 November 2021. [[Noise.]] 5. First vote on the Draft Law amending and supplementing the Health Insurance Act. Importers. "Anton Tonev and a group of MPs, item 1 for Thursday. 6. First vote on the Bill amending and supplementing the Health Act. Importers. "Anton Tonev and a group of MPs, item 2 for Thursday. 7. Annual report on the activities of the Bulgarian Academy of Sciences for 2020. Importer. The Chairman of the Bulgarian Academy of Sciences, item 3rd for Thursday. [[Noise.]] 8. Draft Law on the ratification of the Agreement between the Republic of Bulgaria and the International Bank for Reconstruction and Development on Amendments to the Loan Agreements of the Republic of Bulgaria with the International Bank for Reconstruction and Development relating to the withdrawal of the Bank from the use of LIBOR as a reference rate contained in a notification to the World Bank of 11 August 2021 and a reply letter from the Republic of Bulgaria of 4 February 2022. 9. Draft Law on the ratification of the Letter of Amendment No 1 of the Financial Treaty between the Republic of Bulgaria and the European Investment Bank (Project (SPS)? of 27 November 2014. Importer?? the Council of Ministers. [[Noise.]] 10. Draft Law on the ratification of the Memorandum of Understanding between the Government of the Kingdom of Belgium, the Ministry of Defence of the Republic of Albania, the Ministry of Defence of the Republic of Bulgaria, the Department of National Defence of Canada, the Ministry of Defence of the Republic of Croatia, the Ministry of Defence of the Czech Republic, the Ministry of Defence of the Kingdom of Denmark, the Ministry of Defence of the Republic of Estonia, the Federal Ministry of Defence of the Federal Republic of Germany, the Ministry of National Defence of the Republic of Greece, the Ministry of Defence of the Republic of Hungary, the Ministry of Defence of the Republic of Latvia, the Ministry of National Defence of the Republic of Lithuania, the Government of Montenegro, the Minister of Defence of the Kingdom of the Netherlands, the Ministry of Defence of the Republic of Northern Macedonia. Colleagues, it's very noisy in this room, and it's hard to read all this anyway. I can barely hear myself, Mrs. Atanasova. .. The Ministry of Defence of the Kingdom of Norway, the Minister of National Defence of the Republic of Poland, the Minister of National Defence of the Portuguese Republic, the Ministry of National Defence of Romania, the Ministry of Defence of the Slovak Republic, the Ministry of Defence of the Republic of Slovenia, the Minister of Defence of the Kingdom of Spain, the Government of Turkey, the Ministry of Defence of the United Kingdom of Great Britain and Northern Ireland, the Department of Defence of the United States of America and the Supreme Chief Command of the United States of America in Europe (SHAPE) concerning the organisation, administration and financing of the International School in the High Command of the United States of NATO Armed Forces in Europe (SIS). Importer of the Council of Ministers. 11. Law on the ratification of the Treaty (Written for offer and acceptance of a tender/Letter of Offer and Acceptance.OA) for supplement and amendment No 1 (Amendment No 1) to International Treaty (LOA) BU-P-AAD.Sidewinder AIM 9X Block II rockets, related materials and services (Sidewinder AIM 9X Block II Missiles, associated material and services). Importer of the Council of Ministers. 12. Report on the activities of the Commission for Protection against Discrimination in 2020. Importer "Commission for Protection against Discrimination." 13. First vote on the Bill amending and supplementing the Value Added Tax Act. Importers.. Kostadin Kostadinov and a group of MPs. This is a sequel from last week. 14. Parliamentary control under art. 104 of the Rules of Organization and Activity of the National Assembly on Friday, 1 April 2022 at 9.00 p.m. 15. Parliamentary control under art. 91 " 103" of the Rules of Organisation and Activity of the National Assembly, including: 15.1. Debates on asking by the National Representative Dzhevdet Chakarov to the Minister of Health Asena Serbenova on the policy for overcoming the shortage of doctors in certain specialties and nurses and for the detention of young doctors and nurses in Bulgaria; 15.2. Answers to questions and This is the program project. Please vote.
ParlaMint-BG_2022-03-30.u4	Yeah.
ParlaMint-BG_2022-03-30.u5	Thank you. They voted 203 MPs in the Chamber and 1 online.. in total 204: 143 votes for the House and 1 online.. 144 total, against 6, abstention 54. The motion is accepted. Here you are, Mrs. Vassileva. I was just about to invite you.
ParlaMint-BG_2022-03-30.u6	Thank you, Mr. Chairman. Honourable Members of the National Assembly! I am making a procedural proposal to drop item three on the agenda as it is currently proposed. I think we need a little more time for further consultation and coordination. Thank you.
ParlaMint-BG_2022-03-30.u7	Thank you. Is there a reverse offer? I can't see. I put to the vote Mrs. Vasileva's proposal point three to be removed from the agenda for this week.
ParlaMint-BG_2022-03-30.u8	Yeah.
ParlaMint-BG_2022-03-30.u9	Thank you. A total of 208 MPs voted: for a total of 207, against none, abstention 1. The proposal is accepted.. drop point three. Eventually, he'll stay for next week. Other displacement proposals, if not available, I would like to inform you about the proposals made for inclusion on the agenda on the basis of art. 47, para. 3 of the Rules of Procedure of the National Assembly. First, I would like to inform you that there is a proposal from MPs from the parliamentary group of a party to hear Prime Minister Kiril Petkov, Minister of Foreign Affairs Teodora Genchovska and Defence Minister Dragomir Zakov in connection with the case of detained and blocked by the Ukrainian side from 24 February 2022 to the present court of the vessel Tsarevna with 17 Bulgarian sailors aboard it in the port of Mariupol, Ukraine. We discussed it at the Chairman's Council. As the prime minister will participate on Friday in the blitzcontrol, we have decided, as far as we have been concerned, to ask this question within the framework of the blitzcontrol. The Prime Minister will be warned to stand by, so the idea is that this request is not to be put to the vote now. Isn't that right, fellow Members of the Resurrection, that's what we're doing? The next request is from the MP Desislava Atanasova. On behalf of the parliamentary group of GERB-SDS to be included as point two in the upcoming weekly program of the National Assembly Draft of a decision for the establishment of a Temporary Committee of inquiry. I suppose you'd like to motivate him, Mrs. Atanasova. Here you go, I won't read it, you have the floor.
ParlaMint-BG_2022-03-30.u10	Thank you, Mr. Chairman. Ladies and gentlemen of the House! On behalf of our parliamentary group and using the grounds in the Rules of Procedure, we have proposed the establishment of a Temporary Commission to establish all the facts and circumstances relating to the signing of the Memorandum of 1 billion. The dollar between the Bulgarian government and the Cem Corporation Capital Management at a public ceremony in the Granite Hall of the Council of Ministers. Since this procedure and this memorandum have caused extremely many questions, serious journalistic investigations, and still the National Assembly does not have any information, nor what the purpose of the Memorandum is, nor whether its signature is appropriate, nor exactly which are the parties represented in this Memorandum, so I propose that we set up a temporary committee of inquiry to establish all the facts and circumstances of the memorandum in question, signed a week ago. Moreover, the third item of the agenda has been dropped, and the National Assembly's Work Programme is mainly with bills that are to be discussed in the first vote. I believe that the establishment of this committee of inquiry will in no way hinder the work of the National Assembly if it joins as item two on the agenda, so proposed to us for the work this plenary week. Thank you.
ParlaMint-BG_2022-03-30.u11	Thank you, Mrs. Atanasova. I'm putting the motion to the vote... Yeah, come on in. For a reverse opinion or something? For procedure. Here you go, Mr. Stoinev.
ParlaMint-BG_2022-03-30.u12	Mr. Chairman, ladies and gentlemen of the House! I am making a reverse proposal because it is not normal to set up an inquiry committee for a memorandum that does not bind any country. It's not a contract, it's a kind of memorable note. And you want to load the Bulgarian Parliament with a committee of inquiry. Moreover, those investors you are worried about have been in your "Topplofication" Sofia, who have expressed their intentions in what way to make the investments, how to return the debt of "Topplofication" Sofia to BEC, because it is no secret that "Topplofication" Sofia "may be drained in recent years, and you will now make an inquiry committee about something with which we ultimately have absolutely no commitment at all. There's parliamentary control on Friday. The Prime Minister is here, ask him. Let us not, in my opinion, concern the National Assembly with things that are not of its nature. If you really want to deal with this, your will, but my personal opinion is that this is all pointless work. Thank you.
ParlaMint-BG_2022-03-30.u13	Thank you, Mr. Stoinev. Now what procedure? I think we've run out of procedures. We have exhausted them because we have the proposal for inclusion, the opposite proposal, we are going to vote. Please put to the vote the proposal of the GERB parliamentary group to include this committee as item two on the agenda. Miroslava Petrova?
ParlaMint-BG_2022-03-30.u14	That's against it.
ParlaMint-BG_2022-03-30.u15	Okay. A total of 203 MPs voted: for 83, against 99 total, abstention 21. The offer is not accepted. Please come in for a procedure. What's the procedure? It can only be for revoting. You know, he's not usually motivated, but let's just say... [[Reply from Delyan Dobrev: I will be careful.]] Here you go.
ParlaMint-BG_2022-03-30.u16	I'll be careful, Mr. Chairman. Mr. Chairman, honourable Members, I have not seen a memorable note to sign in the Granite Hall in the presence of a Prime Minister and a Minister of Energy, but I have been a member of the Council of Ministers. So don't neglect this question, because no matter how hard you try to hide the truth, it will come out one day. And it is best to come out in the National Assembly in a committee of limitations than to come out in other competent authorities. So I propose a re-vote procedure. Moreover, Mr. Stoynev bothered me with the involvement of the "Toplofication" Sofia. If Toplofication Sofia has also given Russian oligarchs the opportunity to launder money, this should also be understood. Thank you. [[Applause from GERB-SDS.]]
ParlaMint-BG_2022-03-30.u17	Thank you, Mr. Dobrev. A regime for re-voting the proposal of the parliamentary group of GERB-SDS. Miroslava Petrova?
ParlaMint-BG_2022-03-30.u18	That's against it.
ParlaMint-BG_2022-03-30.u19	Thank you. A total of 206 MPs voted: for 83, against 102 total, abstention 21. The offer is not accepted. A proposal has been made by the MP Radomir Cholakov on the grounds of art. 47, para. 3 for a hearing of the President of the Central Election Commission. "Mrs. Kamelia Neykova, in connection with a report of the Public Council to the CEC. [[Reply.]] Well, let's say it can. Here you go. We're starting a good meeting today. Here you are, Mrs. Atanasova.
ParlaMint-BG_2022-03-30.u20	Thank you, Mr. Chairman. I have a very different approach to observing and congratulating you. Dear Mr. Chairman, honourable Members! Our proposal is as an item on the agenda for a hearing to be held by the President of the Central Election Commission, Mrs. Kamelia Neykova, because on 25 March a report was submitted to the National Assembly by the Public Council to the Central Election Commission, which defined key issues regarding the conduct of the elections during the last year. All parliamentary groups have been notified and received the report. The conclusions of this report are in a very critical spirit with regard to the work of the electoral administration, the need for changes in the texts concerning voting lists concerning machine voting and, in conclusion, the Council of the Central Election Commission calls for amendments to the Election Code, whose in-depth expert discussion cannot be delayed. For this reason, considering the report, we believe that it is necessary for Mrs. Kamelia Neykova to be heard in the parliamentary hall in relation to a proposal or analysis by the Central Election Commission on the occasion of the elections held in 2021. I request that the hearing be included as a point in the National Assembly's programme and that this be item three of the agenda for the weekly programme. Thank you.
ParlaMint-BG_2022-03-30.u21	Thank you, Mrs. Atanasova. Here you are, Mrs. Vassileva.
ParlaMint-BG_2022-03-30.u22	Thank you, Mr. Chairman. My fellow Members, I am making the opposite proposal with the following motives. There is no problem to look at the report of the Public Council, but somehow I am losing logic before we have considered the report of the Central Elections itself for the elections, to look at the report of the Public Council. Let the Central Election Commission formally submit, as far as I know, the election report is being completed at the moment, formally submit the Central Election Commission's report on the elections as the official institution committed to holding the elections, compare the two reports to the CEC and to the Public Council, and then decide whether we will have a hearing, whether we will discuss in the parliamentary committees and everything else. Thank you.
ParlaMint-BG_2022-03-30.u23	Thank you, Mrs. Vasileva. Just to clarify that the Public Council report was delivered on 25 March, aimed at the Committee on Constitutional and Legal Affairs and sent to the parliamentary groups. I'm just saying that for the record. Please vote on the proposal for a hearing of the President of the CEC. Mrs. Petrova?
ParlaMint-BG_2022-03-30.u24	That's against it.
