ParlaMint-BG_2022-02-02.u1	For registration colleagues online: Desislava Taneva?
ParlaMint-BG_2022-02-02.u2	Here.
ParlaMint-BG_2022-02-02.u3	Dimitar Gochev?
ParlaMint-BG_2022-02-02.u4	Here.
ParlaMint-BG_2022-02-02.u5	Yordan Majunkov?
ParlaMint-BG_2022-02-02.u6	Here.
ParlaMint-BG_2022-02-02.u7	And Peter Chobanov?
ParlaMint-BG_2022-02-02.u8	Here.
ParlaMint-BG_2022-02-02.u9	197 registered MPs in the hall and 4 online There's a quorum. [[PHONE RINGING]] I'm opening the meeting. The National Assembly's Work Programme for the period from 2 to 4 February 2022 In the order of art. 47, para. 8 of the Rules of Procedure of the National Assembly, as the first Wednesday of the month, have received five proposals from the parliamentary groups for inclusion of items on the agenda. The proposal submitted by the parliamentary group of GERB-SDS does not meet the requirements of art. 47, para. 8 of the Rules of Procedure, as there is no report from the Commission to which the draft decision has been allocated and the time limits under the Rules have not yet expired. There is no proposal from the parliamentary group for rights and freedoms. The proposal from the parliamentary group of BSP for Bulgaria is: 1. Second vote on the Draft Law amending and supplementing the Law on excises and tax warehouses. This item will be the first in the National Assembly's Work Programme. From the parliamentary group of "There is such a people" the proposal is as a point to be included: 2. An early termination of the relationship of the President of the Commission for Countering Corruption and for the withdrawal of illegally acquired property. This will be point two of the program. The proposal from the Parliamentary Group of Democratic Bulgaria is for: 3. Second vote on the Draft Law amending and supplementing the Corporate Income Tax Act. This will be the third point of the program. The proposal received by the parliamentary group of a party does not meet the requirements of art. 47, para. 8 of the Rules of Organisation and Activity of the National Assembly, as the Draft Decision was issued on Monday 31 January 2022, there is no Commission report, and the deadlines have not expired. From the parliamentary group we continue the Change. There is no proposal in this order. That is, we have three points that are automatically included in the National Assembly Programme and will be part of the agenda for today. The draft programme for today, proposed by the President, is then as follows: "4." Draft decision to elect Secretary of the Forty-Seventh National Assembly. Importers.. Victoria Vassileva and a group of MPs. 5. Draft decision on a change in the composition of the Commission for the direct participation of citizens and interaction with civil society. Importers - Stanislav Balabanov and a group of MPs. 6. First vote on the Draft Law amending and supplementing the Preschool and School Education Act. Importer of the Council of Ministers. 7. The first vote on bills amending and supplementing the Law on Measures and Actions during the emergency situation, announced by the National Assembly Decision of 13 March 2020, and to address the consequences. Importers of the Council of Ministers, 6 December 2021; Nikolina Angelkova and Desislava Atanasova, as of 17 December 2021. 8. Annual Report of the Communications Regulation Commission for 2020 and Annual Report of the Communications Regulation Commission for 2020 "Personal market analysis." This is the Wednesday program for today, February 2, 2022. For Thursday on the project proposed by the President: Nine. Draft Decision establishing a Temporary Commission to discuss changes to the Constitution of the Republic of Bulgaria. Importers Hristo Ivanov, Iva Miteva, Atanas Atanasov, Toshko Yordanov, Vasil Stefanov and Atanas Slavov, item one for Thursday. 10. First vote on the Draft Law amending and supplementing the Law on Electronic Governance. 11. First vote on the Bill on Covered Bonds. Importer of the Council of Ministers. 12. First vote on the Draft Law amending and supplementing the Financial Instruments Markets Act. Importer of the Council of Ministers. 13. First vote on the Bill amending the Investment Promotion Act. Importers "Peter Kulenski and a group of MPs. 14. First vote on the Law amending and supplementing the Law on Consumer Protection. Importer of the Council of Ministers. 15. First vote on the Draft Law amending and supplementing the Corporate Income Tax Act. Importers "Ljubomir Karimanski and a group of MPs. " Friday's program shall include: ..16. Parliamentary control under art. 104 of the Rules of Organization and Activity of the National Assembly at 9.00 It's a blitz control. 17. Parliamentary control under art. 91 " 103 of the Rules of Organisation and Activity of the National Assembly, including: - Debate on a request from the National Representative Hristo Gazhev to the Minister of Defence on the role of the Ministry of Defence in protecting the state border and maintaining the security infrastructure; - Answers to questions and questions. The points proposed in the order of art. 47, para. Eight, they're automatically coming in. Please now vote on the draft programme proposed by me, then we will discuss the proposals under art. 47, para. 3.
ParlaMint-BG_2022-02-02.u10	Procedure in the manner of conduct.
ParlaMint-BG_2022-02-02.u11	Yes, Mr. Petrov? Let's vote and I'll give you the procedure. This is the program proposed by the President, then the other points. [[The National Representative Petar Petrov insists on being given the floor.]]
ParlaMint-BG_2022-02-02.u12	Okay, here you go.
ParlaMint-BG_2022-02-02.u13	Dear Mr. Chairman, in the manner of conduct I have a proposal. I have the feeling that in recent times a double standard has been created in the organization and activities of the National Assembly in the preparation of the Program and the agenda of the Parliament for the week. I will remind you of the proposals made by us under para. 8 and para. 3 that the National Assembly has otherwise adopted decisions which have been put on the agenda by Members of Parliament immediately and voted immediately. For example, the moratorium. Thus, we believe that our proposal for a decision should be included on the agenda, and if it is to be adopted, we could, of course, change its title to: When we adopt other acts in order of urgency in one day, we should also adopt the acts proposed by the opposition. I hope you'll accept my offer, Mr. Chairman. Thank you.
ParlaMint-BG_2022-02-02.u14	Thank you, Mr. Petrov. Your proposal under para. 8 We will also get to the proposal under para. 3, your proposal under para. 8, as I said at the outset, it cannot be included because the deadlines have not expired and there is no further report. As soon as there is a report, it will be subject to inclusion in the Programme. I assure you of that! Jeco Stankov.
