Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BG-en_2022-06-22	ParlaMint-BG_2022-06-22.u1	Report of the extraordinary meeting of the Bulgarian National Assembly, Term 47, Session 3, Meeting 8 (2022-06-22)	2022-06-22	Unicameralism	47 народно събрание	3 парламентарна сесия	8 извънредно пленарно заседание	2022-06-22	-	COVID,War	English	Chairperson	MP	notMinister	WCC	Parliamentary Group: We Continue the Change	Coalition	Centre	IvanovMiroslav	Ivanov, Miroslav Nikolaev	M	1986	
ParlaMint-BG-en_2022-06-22	ParlaMint-BG_2022-06-22.u2	Report of the extraordinary meeting of the Bulgarian National Assembly, Term 47, Session 3, Meeting 8 (2022-06-22)	2022-06-22	Unicameralism	47 народно събрание	3 парламентарна сесия	8 извънредно пленарно заседание	2022-06-22	-	COVID,War	English	Regular	MP	notMinister	BSPFB	Parliamentary Group: BSP for Bulgaria	Coalition	Centre-left	SvilenskiGeorgi	Svilenski, Georgi Strahilov	M	1970	
ParlaMint-BG-en_2022-06-22	ParlaMint-BG_2022-06-22.u3	Report of the extraordinary meeting of the Bulgarian National Assembly, Term 47, Session 3, Meeting 8 (2022-06-22)	2022-06-22	Unicameralism	47 народно събрание	3 парламентарна сесия	8 извънредно пленарно заседание	2022-06-22	-	COVID,War	English	Chairperson	MP	notMinister	WCC	Parliamentary Group: We Continue the Change	Coalition	Centre	IvanovMiroslav	Ivanov, Miroslav Nikolaev	M	1986	
ParlaMint-BG-en_2022-06-22	ParlaMint-BG_2022-06-22.u4	Report of the extraordinary meeting of the Bulgarian National Assembly, Term 47, Session 3, Meeting 8 (2022-06-22)	2022-06-22	Unicameralism	47 народно събрание	3 парламентарна сесия	8 извънредно пленарно заседание	2022-06-22	-	COVID,War	English	Regular	notMP	notMinister	-	-	-	-	PetkovKiril	Petkov, Kiril Petkov	M	1980	
ParlaMint-BG-en_2022-06-22	ParlaMint-BG_2022-06-22.u5	Report of the extraordinary meeting of the Bulgarian National Assembly, Term 47, Session 3, Meeting 8 (2022-06-22)	2022-06-22	Unicameralism	47 народно събрание	3 парламентарна сесия	8 извънредно пленарно заседание	2022-06-22	-	COVID,War	English	Chairperson	MP	notMinister	WCC	Parliamentary Group: We Continue the Change	Coalition	Centre	IvanovMiroslav	Ivanov, Miroslav Nikolaev	M	1986	
ParlaMint-BG-en_2022-06-22	ParlaMint-BG_2022-06-22.u6	Report of the extraordinary meeting of the Bulgarian National Assembly, Term 47, Session 3, Meeting 8 (2022-06-22)	2022-06-22	Unicameralism	47 народно събрание	3 парламентарна сесия	8 извънредно пленарно заседание	2022-06-22	-	COVID,War	English	Regular	MP	notMinister	MRF	Parliamentary Group: Movement for Rights and Freedoms	Opposition	Centre	AtalayRamadan	Atalay, Ramadan Bayram	M	1957	
ParlaMint-BG-en_2022-06-22	ParlaMint-BG_2022-06-22.u7	Report of the extraordinary meeting of the Bulgarian National Assembly, Term 47, Session 3, Meeting 8 (2022-06-22)	2022-06-22	Unicameralism	47 народно събрание	3 парламентарна сесия	8 извънредно пленарно заседание	2022-06-22	-	COVID,War	English	Chairperson	MP	notMinister	WCC	Parliamentary Group: We Continue the Change	Coalition	Centre	IvanovMiroslav	Ivanov, Miroslav Nikolaev	M	1986	
ParlaMint-BG-en_2022-06-22	ParlaMint-BG_2022-06-22.u8	Report of the extraordinary meeting of the Bulgarian National Assembly, Term 47, Session 3, Meeting 8 (2022-06-22)	2022-06-22	Unicameralism	47 народно събрание	3 парламентарна сесия	8 извънредно пленарно заседание	2022-06-22	-	COVID,War	English	Regular	MP	notMinister	GERB-UDF	Parliamentary Group: GERB-UDF	Opposition	Centre-right	AtanasovaDesislava	Atanasova, Desislava Valcheva	F	1978	
ParlaMint-BG-en_2022-06-22	ParlaMint-BG_2022-06-22.u9	Report of the extraordinary meeting of the Bulgarian National Assembly, Term 47, Session 3, Meeting 8 (2022-06-22)	2022-06-22	Unicameralism	47 народно събрание	3 парламентарна сесия	8 извънредно пленарно заседание	2022-06-22	-	COVID,War	English	Chairperson	MP	notMinister	WCC	Parliamentary Group: We Continue the Change	Coalition	Centre	IvanovMiroslav	Ivanov, Miroslav Nikolaev	M	1986	
ParlaMint-BG-en_2022-06-22	ParlaMint-BG_2022-06-22.u10	Report of the extraordinary meeting of the Bulgarian National Assembly, Term 47, Session 3, Meeting 8 (2022-06-22)	2022-06-22	Unicameralism	47 народно събрание	3 парламентарна сесия	8 извънредно пленарно заседание	2022-06-22	-	COVID,War	English	Regular	MP	notMinister	WCC	Parliamentary Group: We Continue the Change	Coalition	Centre	MitevIskren	Mitev, Iskren Nikolaev	M	1989	
ParlaMint-BG-en_2022-06-22	ParlaMint-BG_2022-06-22.u11	Report of the extraordinary meeting of the Bulgarian National Assembly, Term 47, Session 3, Meeting 8 (2022-06-22)	2022-06-22	Unicameralism	47 народно събрание	3 парламентарна сесия	8 извънредно пленарно заседание	2022-06-22	-	COVID,War	English	Chairperson	MP	notMinister	WCC	Parliamentary Group: We Continue the Change	Coalition	Centre	IvanovMiroslav	Ivanov, Miroslav Nikolaev	M	1986	
