ParlaMint-BG_2022-03-17.u1	Eva Miteva?
ParlaMint-BG_2022-03-17.u2	Here.
ParlaMint-BG_2022-03-17.u3	Lyubomir Karimansky?
ParlaMint-BG_2022-03-17.u4	Here.
ParlaMint-BG_2022-03-17.u5	Registered in the hall 179 MPs and 2 online There's a quorum. I'm opening the meeting. [[PHONE RINGING]] Nikolai Drenchev for declaration. Come in, you have the floor.
ParlaMint-BG_2022-03-17.u6	Mr. Chairman, ladies and gentlemen of the House! The Bulgarian ship "Tsarevna" which is owned by the Bulgarian company "Shipman" based in the city of Varna, with 19 Bulgarian sailors on board has been blocked since 24 February at the port in the Ukrainian city of Mariupol. The Russian side as a participant in the military conflict in Ukraine agrees to release the Bulgarian ship so that our compatriots can return to our homeland. The Ukrainian country, however, refuses to release the Bulgarian ship. Resurrection raised the question to Foreign Minister Teodora Gencovska, who is familiar with the case. Kostadin Kostadinov himself introduced Prime Minister Kiril Petkov. Unfortunately, so far the Bulgarian state has not taken any action. We want the Bulgarian state to take action to release the ship. The concerns of the sailors of the ship and the company owner are that the aim of the Ukrainian nationalists is to use the Bulgarian ship as a means of evacuation if the Russian army takes Mariupol. If this happens, Bulgarian sailors will become hostages and directly involved in military action. Today Bulgaria supports Ukraine and remains the question of why the Bulgarian state does nothing. Why don't I negotiate with the Ukrainian side to save our countrymen and take care of several Bulgarian families - mothers, wives and children - to sleep peacefully because their sons, husbands and fathers are at home? The governors do everything to help the Ukrainian people, but are we doing at least as much to help the Bulgarian people? Did we take care of our own first? The answer to this rhetorical question is no. It is good to be solidarity with the grief of a close and brotherly people to us, but if we have not taken care of our own first, the Bulgarians, then this solidarity is more like hypocrisy. In a rapidly evolving critical situation, a person must first take care of himself, his health, and then he can interact and benefit others. We must put an end to our country's servile and pleasing behavior internationally. Bulgarian foreign policy must cease to be toothless, spineless, unreserved and free. We need to redefine the Bulgarian state. We must redirect the efforts of the Bulgarian state to dealing with our own problems, to the protection, first of all, of our own fellow citizens. Only if we are a country that protects its interests, the lives and health of its own citizens will we be respected by our partners and allies and force our rivals and opponents to comply with us, our people and our interests. Thank you.
ParlaMint-BG_2022-03-17.u7	Thank you, Mr. Drenchev. Here you are, Mrs. Atanasova, for procedure.
ParlaMint-BG_2022-03-17.u8	Thank you, Mr. Chairman. Mr. Chairman, yesterday our parliamentary group asked for a hearing of Prime Minister Kiril Petkov on the issue of the government's measures to combat the price crisis and speculation. In any case, in yesterday's sitting, the plenary rejected this point to become part of the National Assembly's Work Programme, and we have no idea what measures the government is planning to take in terms of the price crisis. Yesterday afternoon, we were very surprised to find out that Deputy Prime Minister Cornelia Ninova of the Economic Policy Commission has stated that the government is considering introducing a force major for the country's territory. In this regard, Mr. President, I ask by virtue of the powers given to you by the Rules of Procedure and the Constitution, that you, on your own initiative, invite Prime Minister Cyril Petkov to respond to this so important for the whole economic sector and a business question, whether such measures are envisaged. Does the government draw up such documents? And if he does, will he seek consent in the National Assembly? Otherwise, we will be forced again and again next week to raise this issue and to ask for a hearing of both Deputy Prime Minister Mrs. Ninova and Prime Minister Kiril Petkov. Thank you.
ParlaMint-BG_2022-03-17.u9	Thank you, Mrs. Atanasova, for the offer. I'll think about it carefully. [[Laughter and noise of rebirth.]] Don't really laugh! Mr. Cholakov.
ParlaMint-BG_2022-03-17.u10	Thank you, Mr. Chairman. Dear colleagues, under the procedure someone seemed to laugh. It seems to me that you should very seriously listen to what Mrs. Atanasova said. I suggest the same even more persistently. Colleagues, a month ago and something I was the one who said from that tribune the word force major. And now, Mr. Gurov, I feel guilty. Yesterday I said that we should be careful what words we use and that words really have dangerous properties to become realities. I wanted to say, colleagues, that the way in which the state is governed and the way in which the state is fighting can lead us at some point to the point that someone will be tempted to say the word force major, which I wanted to warn the ruling majority to be careful how they drive the train, in order not to get to the situation where someone will be tempted to say the word force major. Because, as Mr. Petrov and I argued back then, force major means stopping all contracts. That's it! The country's legal system is falling apart! I really ask you, Mr. Chairman, to hear what Mrs. Atanasova said to invite the Prime Minister to assure us that the legal system of the state will not fall apart. Thank you.
ParlaMint-BG_2022-03-17.u11	Thank you. I took it seriously. Mr. Ivanov for procedure.
ParlaMint-BG_2022-03-17.u12	Thank you. Dear Mr. Chairman, honourable Members! My procedure is really imperative that you consider, in the most urgent order, invite Prime Minister Kiril Petkov to the Chamber of the National Assembly, because yesterday's signal, Deputy Prime Minister Ninova of the Blitzcontrol in the Committee on Economic Policies and Innovation, is alarming. Colleagues, I'm saying this as a Commissioner. It took me some time to realize what Mrs. Ninova said, I didn't believe it, but then the media confirmed it. So I believed both my hearing and the media. But Mrs. Nino said something else. In addition to the fact that the force majeure is being considered, this force majeure should be retroactive, this force majeure should be on the entire business turnover of the state.. stopping municipalities, of state, business relations. Mr. Kiril Petkov has to come as prime minister to answer whether it is really one, because the signal that Mrs. Ninova broadcast yesterday to the Commission said that he is already on a conciliation procedure and will be voted on next Wednesday to the Council of Ministers. Therefore, I think that, in the shortest order and in the context of today, once again, Mr. Chairman, I would ask you to listen to Mr. Kiril Petkov about his attitude and vision of the envisaged force major, who is run by the deputy prime minister of this government to be accepted, to invite him into the Chamber. I think it will give important answers to the questions of the MPs. Thank you.
ParlaMint-BG_2022-03-17.u13	Thank you, Mr. Ivanov. Mrs. Trifonova for procedure.
ParlaMint-BG_2022-03-17.u14	Thank you, Mr. Chairman. Dear colleagues, I will also join the request of the parliamentary group of GERB-SDZ Prime Minister Kiril Petkov to come here and explain to us a country with free economic initiative, or whether we have not, whether the objectives are to make inflation from two figures in three figures. What will happen to payments to state institutions? What will happen to investments in the country? What does the state of emergency require? Because whatever we're talking about, there's no force major in this law Mrs. Nino was talking about yesterday. There's a state of emergency. Moreover, she announced something else in the Commission yesterday that she wants to activate art. 36 of the Treaty on the Functioning of the European Union and to stop exports, and it has not become clear which products it will be for. I would therefore ask you very seriously to consider our desire and invite the Prime Minister to come and explain. This is a very bad sign to international markets and means that no investor will ever step foot in Bulgaria again. Thank you.
ParlaMint-BG_2022-03-17.u15	Thank you. Professor, if it's the same procedure, four people already said it. The first day I made a commitment to think about it. And Jeco Stankov, too...
ParlaMint-BG_2022-03-17.u16	Dear Mr. Chairman, I take the floor under the same procedure, because the sectors in our country are extremely many. Yesterday, when this thing was announced by the deputy prime minister Mrs. Nino, my phone literally caught fire from directors of medical institutions and organizations that represent all different types of medical facilities in the country. To be as clear as possible, I would like to tell you that in relation to what Mrs. Ninova proposed, there is no such thing in the basic law of Bulgaria. In the Bulgarian Constitution there is no such concept. There is an irresistible force which is art. 306 of the Commercial Law, which exempts the debtor from liability on grounds of innocent inability to fulfil an obligation. Now I'm gonna tell you what's gonna bring you to the hospital. There is now talk that again because of production problems accompanying the economy, we will have an oxygen supply problem. That means a company that delivers oxygen to the hospital may not deliver it. Do you know what that means, Mr. Chairman? This means one single thing to put the lives of the patients at risk in this hospital. I do not understand one thing: why is the Bulgarian government trying to apologize with something that has not happened to change the legal order in the country?! [[a line from the National Representative Ivan Chenchev]]
ParlaMint-BG_2022-03-17.u17	Time, Professor.
ParlaMint-BG_2022-03-17.u18	That is why, without the declaration of war in Bulgaria [[the President signals that time has run out]] Because of our government's intention to start such a trade war in your country, I ask you to call Prime Minister Petkov...
ParlaMint-BG_2022-03-17.u19	Thank you.
ParlaMint-BG_2022-03-17.u20	...to come and explain: does the Bulgarian government intend to put the lives of the people in hospitals at risk or not?! Thank you.
ParlaMint-BG_2022-03-17.u21	Thank you, Professor. I was in the first procedure on the subject...
ParlaMint-BG_2022-03-17.u22	Well, do it!
ParlaMint-BG_2022-03-17.u23	...I said I'd consider it. Whether it's one, five or fifteen, I'll think about it. Professor Mihailov wants a procedure. [[Replicate from the National Representative Ivan Chenchev.]]
ParlaMint-BG_2022-03-17.u24	Thank you, Mr. Chairman. Dear Mr. Chairman, my procedure is in the manner of conduct. You have already said it, but after Professor Angelov also ruled on these issues, I have a suggestion... let us make a lecture committee to the National Assembly, let us see what he has as a concept of Fors Major, what is.............................................................................. [[speaking indistinctly]] And get all the cheerleaders into it, who are constantly on occasion and without occasion taking the floor. This doesn't look like a National Assembly, Mr. Chairman. [[(Applause from BSP for Bulgaria.) Proclaims: "Eee!" by GERB-SDS.)]] It doesn't look like a National Assembly! Five times the same thing repeats itself! What if someone said that the situation in the state is now quite normal... in a two-year pandemic situation, in a war on the border of Bulgaria, with severe disruption of supply throughout the world, which is quoted continuously in the media, constantly?! You know very well what happens to automotive, you know very well what happens to steel imports from some of the biggest exporters! If all of this, conditionally, is not force majeure, what are force majeure circumstances? This play with terminology now "Whether it's going to be a bottle or a bottle," what the Constitution says, please, Mr. Chairman! [[Comments from GERB-SDS.]] We're here to do lawmaking, not listen to the rhetoric exercises from A to Z! Whoever decides to practice on the stands! Thank you. [[Applause from BSP for Bulgaria.]]
ParlaMint-BG_2022-03-17.u25	Thank you, Professor. I hope we cleared that up. [[Reply by MP Desislava Atanasova.]] Are you waiting for the clean-up decision right now? Let's move on to item one of the agenda for today: FIRST VOICE OF THE LAW FOR CHANGE AND COMPLIANCE OF THE LAW FOR POST SERVICES. A report from the Transport and Communications Commission has come in. Please, Mr. Gutsanov, introduce us to the report.
ParlaMint-BG_2022-03-17.u26	Dear Mr. Chairman, honourable Members! ♪ I can't believe on a Draft Law amending and supplementing the Postal Services Act, No 47-254-01-18, submitted by Andrej Gurov and a group of MPs on 15 February 2022. At a meeting of the Committee on Transport and Communications, held on 10 March 2022, a Draft Law amending and supplementing the Postal Services Act was discussed, No 47-254-01-18, submitted by Andrey Gurov and a group of MPs on 15 February 2022. The meeting was attended by Mrs. Kalina Konstantinova, Deputy Prime Minister for Effective Governance, Mr. Ivan Dimitrov, Chairman of the Communications Regulation Commission, Mr. Deyan Daneshki, Director-General of the Ministry of Transport and Communications, and Mr. Dimitar Dimitrov. People's Representative Georgi Svilenski presented the Draft by clarifying that it reflects the structure of the Council of Ministers of the Republic of Bulgaria adopted by decision of the National Assembly of 13 December 2021, as well as the Agreement on Joint Governance of the Republic of Bulgaria for the period from 2021 to 2025, providing for the passage of the Bulgarian Posts to the Deputy Prime Minister of Effective Governance. The amendments to the Postal Services Act propose that the state policy in the field of postal services and branding be carried out by a decree of the Council of Ministers Deputy Prime Minister. Next, all over the Postal Services Act is proposed to reflect the new name of the Ministry of Transport and Communications and the Minister of Transport and Communications. Mr. Svilenski stressed that the Law aims to modernise the Bulgarian Post Offices and transfer of postal branches into centers for complex administrative services. The bill complies with the requirements of the Law on Legislative Acts, the Decree on its implementation and the Rules on Organization and Activity of the National Assembly. According to the preliminary impact assessment applied to the Draft Law amending and supplementing the Postal Services Act, there is no provision for an increase in direct costs resulting from the proposed legislative change. In support of the Draft Law in the Transport and Communications Committee, written opinions were received from the Deputy Prime Minister for Effective Management, the Ministry of Transport and Communications and the Communications Regulation Commission. People's representatives Rosen Zhelyazkov, Nastimir Ananiev, Blagovest Belev, Georgi Svilenski and Zlatomira Mostrova took part in the public discussion. Debates sparked the change of the body that will conduct state policy in the field of postal services, as well as structural changes in this regard. After the vote, the Committee on Transport and Communications with 9 votes in favour, 1 vote in opposition and 7 votes in abstention proposed to the National Assembly to adopt a draft amendment and supplement to the Postal Services Act, No 47-254-01-18, submitted by Andrey Gurov and a group of MPs on 15 February 2022.
ParlaMint-BG_2022-03-17.u27	Thank you, Mr. Gutsanov. I'm opening a discussion on the bill. Anyone who wants to make a statement?
ParlaMint-BG_2022-03-17.u28	Aren't the importers going to imagine it?
ParlaMint-BG_2022-03-17.u29	Halil Letifov.
ParlaMint-BG_2022-03-17.u30	Thank you, Mr. Chairman. Dear colleagues! The bill in question is interesting and I would like to say a few things. Why are we actually looking at this bill today? For one main reason, to avoid a conflict of interests of the Minister of Transport, we are changing the principle of the Bulgarian Post Office and the state policy in this sector. This is the only reason why we find in all the reasons the change in the status of the Bulgarian Post Office and the move of state policy from a minister to a deputy prime minister, which is not yet mentioned in the bill. The only answer to all the questions in the debates both in the Commission and in the public domain is: we have a coalition agreement. It's like the coalition agreement has Constitutional status! Honourable Members, this is not an argument of the coalition agreement is an agreement between the four parties, but what you want to do does not meet the country's priorities, neither the laws nor the Constitution. The whole exercise we are doing today is actually to avoid the Minister of Transport's conflict of interest. On one of our questions with colleague Mr. Ahmedov, to Kalina Konstantinova about the state of the Bulgarian Post Offices and those working there, we have received an answer, in which there is some contradiction on the one hand, will improve the material base, was promised in this written reply that the material base of all postal stations will be improved, including those working in the Bulgarian Post Offices; on the other hand, we will optimize the inefficient costs of the Bulgarian Post Offices. So far, so good. How will we optimize the Bulgarian Post Offices if we know a lot of the post offices, I will quote them from the answer: The total number is 2973, 633 of them are located in cities. 2340, notice, are in small settlements, with less than 150 inhabitants located 240 stations. 1304 are located in settlements below 800 inhabitants. Understand that their optimization means death on these post offices if the state policy is not to answer for the preservation. Below the answer says: we will make sure that they work at a one-stop shop so that we do not engage people to go to district centres, not to spend fuel, not to pollute, which is great, of course, and we support it. But this optimization contradicts what is actually stated. We support what has been stated in the written reply, we hope this will happen, we will support it in the future, but so far we see only one argument to avoid the Minister of Transport's conflict of interest. Because the next question remains: what is the administrative and expert capacity of the portfolio Deputy Prime Minister who will take over this state policy in the field of the Bulgarian Post Office and will it be able to be implemented because we are talking about the state policy and not only about the Bulgarian Post Offices, but about all operators in general about the service? The operators, if I'm not mistaken, are about 200. But here the question is with regard to the postal service....................................................................................................... These are all questions that need to be answered. Of course, in this bill we do not receive it, but they should receive an answer and we should respond to the Bulgarian citizens why we are actually making this change. I think it is clear from what I have said that we will not support the proposed bill with the arguments that there are no arguments for this bill, except, of course, the coalition agreement, which we very much respect. Thank you.
ParlaMint-BG_2022-03-17.u31	Thank you, Mr. Letifov. Are there any lines to Halil Letifov? There are no lines. Nikola Dimitrov, come in.
ParlaMint-BG_2022-03-17.u32	Mr. Chairman, ladies and gentlemen of the House! We are against the Law on Amendment and Supplement to the Postal Services Act. Let's take a look at al. Art. 2, Art. 10: The state policy in the field of postal services is being conducted by the Deputy Prime Minister, appointed by the Council of Ministers. "It is not clear here who will be, who will be responsible for all these years the irresponsible attitude towards the Bulgarian Post Offices. Today it will be Kalina Konstantinova, but tomorrow it can be and Konstantin Kalinov has no guarantees. There is also a lack of vision for the future of the Bulgarian Post Office. Do you understand how absurd it sounds to remove the Bulgarian Post Office from the Ministry of Transport and Communications. On the one hand, I understand the Change. After all, it is Mr. Subev who sponsored them, and most likely the investment was intended to acquire this ministry. I don't understand the other coalition partners. If we follow this logic, we can, for example, remove the roads from the MRRB. Why don't we make it easy on Mr. Karadjov's life? And I can make a suggestion why not remove BDZ from the Ministry of Transport and Communications. We've already removed the information technology, and now we're about to remove the postal services. Once again, we will not support the Bill. We hope all the other parties do not support it. If Mr. Subev is not suitable for this ministry because of a conflict of interest, it is better to change it and not to remove the Bulgarian Post Office from the Ministry of Transport and Communications. Thank you. [[Applause from ARGUING.]]
ParlaMint-BG_2022-03-17.u33	Thank you, Mr. Dimitrov. Are there any lines to Nikola Dimitrov? There are no lines. The next speech is Blagovest Belev, then Rosen Zhelyazkov and Radomir Cholakov after Rosen Zhelyazkov.
