ParlaMint-BG_2022-02-23.u1	Honourable colleagues, please register. Atanas Zafirov?
ParlaMint-BG_2022-02-23.u2	Here.
ParlaMint-BG_2022-02-23.u3	Krum Zarkov?
ParlaMint-BG_2022-02-23.u4	Here.
ParlaMint-BG_2022-02-23.u5	Stefan Shilev?
ParlaMint-BG_2022-02-23.u6	Here.
ParlaMint-BG_2022-02-23.u7	Tsvetelina Zarkin?
ParlaMint-BG_2022-02-23.u8	Here.
ParlaMint-BG_2022-02-23.u9	Thanks, guys. Registered 181 MPs in the hall and 4 online There's a quorum. I'm opening the meeting. [[PHONE RINGING]] First of all, the National Assembly's Work Programme. The project of the Programme is as follows: "1." Second vote on the State Budget Bill of the Republic of Bulgaria for 2022. Importer is the Council of Ministers on 1 February 2022. First vote was adopted on 10 February 2022. 2. Second vote on the Bill amending and supplementing the Water Act. Importer is the Council of Ministers on 28 January 2022. Adopted in first vote on 10 February 2022. In addition, there are several paragraphs left on it. 3. First vote on the Draft Law amending and supplementing the Preschool and School Education Act. Importer is the Council of Ministers on 31 December 2021. 4. First vote on the Draft Law amending and supplementing the Youth Act. Importer is the Council of Ministers on 3 December 2021. 5. Draft decision on the introduction of a full-scale compensatory mechanism for non-bit final customers in the electricity market of faiths, municipalities, social structures, education, health care. Importers are Desislava Atanasova and a group of MPs on 27 January 2022. 6. First vote on the Bill amending and supplementing the Civil Procedure Code. Importers are Elena Guncheva and a group of MPs on 23 December 2021. 7. Parliamentary control under art. 91 " 103" of the Rules of Organization and Activity of the National Assembly. This is the draft Programme proposed by the President. Please vote on it. Atanas Zafirov?
ParlaMint-BG_2022-02-23.u10	Yeah.
ParlaMint-BG_2022-02-23.u11	Krum Zarkov?
ParlaMint-BG_2022-02-23.u12	Yeah.
ParlaMint-BG_2022-02-23.u13	Stefan Shilev? Tsvetelina Zarkin?
ParlaMint-BG_2022-02-23.u14	Yeah.
ParlaMint-BG_2022-02-23.u15	Thank you. Vote 177 Members of Parliament in the Chamber and 3 online.. total 180: 163 in the Chamber and 3 online... 166 in total, against 4, abstention 10. The motion is accepted. To conclude with the Programme, proposals for inclusion on the agenda received on the basis of art. 47, para. 3 of the Rules of Procedure of the National Assembly: A proposal has been made by Desislava Atanasova and Hristo Gazhev under art. 47, para. 3 include the following item in the Programme for the Work of the National Assembly, namely: hearing the Prime Minister on the position of the Republic of Bulgaria and the results of the informal meeting of the European Council of 17 February 2022. Dear colleagues, please vote on the proposal of Desislava Atanasova and Hristo Gazhev. Atanas Zafirov?
ParlaMint-BG_2022-02-23.u16	That's against it.
ParlaMint-BG_2022-02-23.u17	Krum Zarkov?
ParlaMint-BG_2022-02-23.u18	That's against it.
ParlaMint-BG_2022-02-23.u19	Stefan Shilev?
ParlaMint-BG_2022-02-23.u20	Yeah.
ParlaMint-BG_2022-02-23.u21	And Tsvetelina Zarkin?
ParlaMint-BG_2022-02-23.u22	That's against it.
ParlaMint-BG_2022-02-23.u23	They voted 196 MPs in the Chamber and 4 online. 200 total: 77 in the Chamber and 1 online. 78 in total, against 85 in the Chamber and 3 online. 88 in total, abstention 34. The offer is not accepted. There has been another proposal in the order of art. 47, para. 3 on behalf of the GERB-SDS parliamentary group for inclusion as a point in the forthcoming Programme of the Draft Decision for the introduction of a full-scale compensatory mechanism for non-bit final customers in the electricity market of religion, municipalities, social structures, education, health care. The item is on the agenda, which is why I shouldn't put it on the agenda. Here you go, Mr. Stankov. About the offer, I suppose? Yeah, come on in.
ParlaMint-BG_2022-02-23.u24	Thank you, Mr. Chairman. Ladies and gentlemen of the Parliament, given the fact that the draft decision introduces the full compensation of non-resident end customers, which are listed in this section. 5, it will not make sense to vote on them after we have voted on the budget, because it is these compensations that need to be laid down both as revenue and as expenditure in the state budget, the proposal I am making is that. 5 to be displaced and t. 1 in relation to the fact that if supported, it will have a significant impact on the state budget. Thank you.
ParlaMint-BG_2022-02-23.u25	Okay, the proposal is t. 5 "Project of a decision to introduce a full-scale mechanism for non-bit final customers in the electricity market of faiths, municipalities, social structures, education, healthcare, to be the first in the Programme? Let us vote on this proposal. Atanas Zafirov? Krum Zarkov?
ParlaMint-BG_2022-02-23.u26	That's against it.
ParlaMint-BG_2022-02-23.u27	Stefan Shilev?
ParlaMint-BG_2022-02-23.u28	Yeah.
ParlaMint-BG_2022-02-23.u29	Tsvetelina Zarkin?
ParlaMint-BG_2022-02-23.u30	That's against it.
ParlaMint-BG_2022-02-23.u31	They voted 201 MPs in the Chamber and 3 online. 204 total: 82 in the Chamber and 1 online. 83 in total, against 104 in the House and 2 online. 106 in total, abstentioned 15. The offer is not accepted. Here you are, Lord Stankov.
ParlaMint-BG_2022-02-23.u32	Dear Mr. Chairman, honourable Members of the Council of Ministers, honourable Members of Parliament! I will take this opportunity to give you once again a chance to vote, given the fact and importance of how important it is that funds be allocated to those listed herein. 5 non-bit users and be compensated in full. In order not to waste the National Assembly's time, I will not present the hundreds of arguments that we have put forward in this Chamber, but once again remember that in dozens of municipalities, hundreds of settlements no longer have lighting on the roads. In schools, kindergartens, nursing homes, churches are doing fundraising campaigns to be able to pay their heating bill...
ParlaMint-BG_2022-02-23.u33	Mr. Stankov, is that a re-voting request?
