ParlaMint-BG_2022-03-24.u1	Honourable colleagues, please register. Colleagues online: Eva Miteva?
ParlaMint-BG_2022-03-24.u2	Here.
ParlaMint-BG_2022-03-24.u3	Lyubomir Karimansky? Pavel Christov?
ParlaMint-BG_2022-03-24.u4	Here.
ParlaMint-BG_2022-03-24.u5	Thank you. 171 Members of parliament have registered in the Chamber and 2 online " 173" total. There's a quorum, I'm opening the meeting. [[PHONE RINGING]] My fellow Members, before we begin on the agenda of the day, I am making a procedural proposal: first of all, let us continue and finish the point of yesterday which we started, but we are not finished, that is: "An annual programme for the participation of the Republic of Bulgaria in the decision-making process of the European Union in 2022." Yesterday we were presented the report and the draft decision by Mr. Stoinev. We started the discussion, there were speeches by Stoyan Taslakov and by Stanislav Anastasov. I say we finish this item and then move on to Thursday's agenda. This is my proposal, please vote on it. Eva Miteva?
ParlaMint-BG_2022-03-24.u6	Yeah.
ParlaMint-BG_2022-03-24.u7	Pavel Christov?
ParlaMint-BG_2022-03-24.u8	Abstention.
ParlaMint-BG_2022-03-24.u9	They voted 140 MPs in the Chamber and 2 online.. 142: for 107 and 1 online........................................................................ 3 and 1 online.......................................................................................................................................................................... The motion is accepted. We continue with the discussion on the annual programme for the participation of the Republic of Bulgaria in the decision-making process of the European Union in 2022. After yesterday's speeches by Stoyan Taslakov and Stanislav Anastasov, are there any other people who wish to speak? I won't. I'm calling off the discussion. I vote on the draft decision adopting the Annual Working Programme of the National Assembly on European Union Affairs for 2022, as annexed to the Report of the Commission on European Union Affairs and as presented yesterday by the President of the Commission Dragomir Stoinev. Eva Miteva?
ParlaMint-BG_2022-03-24.u10	Yeah.
ParlaMint-BG_2022-03-24.u11	Lyubomir Karimansky?
ParlaMint-BG_2022-03-24.u12	Yeah.
ParlaMint-BG_2022-03-24.u13	Thank you. Pavel Christov?
ParlaMint-BG_2022-03-24.u14	Yeah.
ParlaMint-BG_2022-03-24.u15	Thank you. Vote 152 MPs and 3 online " 155" total: 134 and 3 online " 137," against 13, abstention 5. The proposal is accepted and the item on the agenda is exhausted. We move to point seven of the National Assembly's Programme for the Work Week 23? March 25, namely: THE SECOND VOICE OF THE LAW FOR CHANGE OF THE LAW FOR BULGARIAN CIVILITY. There has been a report from the Committee on Constitutional and Legal Affairs. Here you go, Mr. Mateev.
ParlaMint-BG_2022-03-24.u16	Dear Mr. Chairman, honourable Members of the National Assembly! Report of the Committee on Constitutional and Legal Affairs on a Draft Law amending the Law on Bulgarian Citizenship, No 47-202-01-2, submitted by the Council of Ministers on 18 January 2022, adopted on the first vote on 17 February 2022. The Law on Bulgarian Citizenship is amended. The Commission supports the text of the importer on the name of the Law. The Commission shall support the text of the importer for § 1. The Commission shall support the text of the importer for § 2. Proposal of the MPs Iva Miteva, Andrey Mihailov and Milen Mateev. The Commission supports the proposal to create a new § 3. The Commission proposes to create a new § 3: .................................................. In Article 4 (1) (b), point (c) is replaced by the following: 22, para. 1 the following amendments 1. In point (a), point (a) is replaced by the following: 3 Finally, the words "s'/or "s' shall be deleted. 2. Point 4 is repealed.
