ParlaMint-BG_2022-02-16.u1	Colleagues, please register. Colleagues online are: Alexandra Milcheva?
ParlaMint-BG_2022-02-16.u2	Here.
ParlaMint-BG_2022-02-16.u3	Rosen Turtle?
ParlaMint-BG_2022-02-16.u4	Here.
ParlaMint-BG_2022-02-16.u5	Stefan Shilev?
ParlaMint-BG_2022-02-16.u6	Here.
ParlaMint-BG_2022-02-16.u7	Thank you. 202 MPs in the hall and 3 online There's a quorum. I'm opening the meeting. [[PHONE RINGING]] Draft of the National Assembly Work Programme for the period from 16 to 18 February 2022: "1." First vote on the Bill amending and supplementing the BULSTAT Register Act. Importers are Atanas Slavov, Iva Miteva, Stoyu Stoev, Stoil Stoilov and Philip Popov on 28 January 2022. 2. Second vote on the Draft Law amending and supplementing the Law on Electronic Governance. Importer is the Council of Ministers on 25 January 2022. First vote was adopted on 3 February 2022. 3. Second vote on the Draft Law amending and supplementing the Law on the Activities of collective investment schemes and other collective investment undertakings. Importer is the Council of Ministers on 3 December 2021. He was accepted in the first vote on 12 January 2022. 4. Draft decision on the adoption of procedural rules on the terms and conditions for proposing candidates as governor of the Bulgarian National Bank, presentation and public disclosure of documents and hearing of candidates in the Committee on Budget and Finance, as well as the procedure for election by the National Assembly. Importer is the Budget and Finance Committee on 14 February 2022. 5. Draft decision on the adoption of procedural rules on the terms and conditions for the proposal of candidates for Chairman and four members of the Fiscal Council, presentation and public disclosure of documents and hearing of candidates in the Committee on Budget and Finance, as well as the procedure for election by the National Assembly. Importer is the Budget and Finance Committee on 14 February 2022. 6. First vote on bills to amend and supplement the Law on Bulgarian Citizenship. They are: Mustafa Karadayi, Yordan Tsonev and Delyan Peevski on January 11, 2022; the Council of Ministers on January 18, 2022; Mustafa Karadayi, Delyan Peevski, Hamid Hamid and Yordan Tsonev on January 20, 2022. Point 1 for Thursday, 17 February 2022 7. Second vote on the Bill amending and supplementing the Water Act. Importer is the Council of Ministers on 28 January 2022. Adopted in first vote on 10 February 2022. Point 2 for Thursday, 17 February 2022 8. First vote on the Draft Law amending and supplementing the Preschool and School Education Act. Importer is the Council of Ministers on 31 December 2021. Point 3 for Thursday, 17 February 2022 9. Draft Law on the ratification of a Tripartite Agreement on donation by and between the Republic of Bulgaria and Bosnia and Herzegovina and Pfizer Inc. and BioNTech Manufacturing GmbH on the management and coordination of the donation of a vaccine against COVID-19 developed by Pfizer Inc. and BioNTech Manufacturing GmbH and a Bilateral Agreement on donation between the Republic of Bulgaria and Bosnia and Herzegovina. Importer is the Council of Ministers on 26 January 2022. Point 4 for Thursday, 17 February 2022 10. Parliamentary control under art. 91 " 103" of the Rules of Organization and Activity of the National Assembly. "Friday, 18 February 2022, at 9.00 p.m. Please, voting mode. Alexandra Milcheva?
ParlaMint-BG_2022-02-16.u8	Yeah.
ParlaMint-BG_2022-02-16.u9	Rosen Turtle?
ParlaMint-BG_2022-02-16.u10	Yeah.
ParlaMint-BG_2022-02-16.u11	And Stefan Shilev?
