ParlaMint-BG_2022-02-17.u1	Honourable Members of the National Assembly, please register. Colleagues online:
ParlaMint-BG_2022-02-17.u2	Here.
ParlaMint-BG_2022-02-17.u3	Rosen Turtle?
ParlaMint-BG_2022-02-17.u4	Here.
ParlaMint-BG_2022-02-17.u5	Stefan Shilev?
ParlaMint-BG_2022-02-17.u6	Here.
ParlaMint-BG_2022-02-17.u7	Registered 190 MPs in the hall and 3 online There's a quorum. I'm opening the meeting. [[PHONE RINGING]] Here you go.
ParlaMint-BG_2022-02-17.u8	Thank you, Mr. Chairman. Dear Mr. Chairman, honourable Members of the National Assembly! My procedure is in the manner in which you are led, related to the status of Mr. Mustafa Karadayi, Mr. Boyko Rashkov, the Minister of Interior on 15 December 2021, and, in particular, to the two specific questions put by me, which have the status of non-compliance with the Rules of Organization and Activity of the National Assembly. Dear Mr. President, the purpose of all these issues is related to the facts and circumstances of the bullying carried out during the election process in July and November 2021. As I see that the Chamber is bored with these procedures in recent weeks, I would like to give you a few concrete examples or, in particular, one related to my electoral area, Silistra District, as we call there the area of the other Bulgaria. Personally, in my field and in my home village during the election campaign in July, honest and hardworking Bulgarian citizens were warned by a warning protocol not to commit crimes against the political rights of citizens, namely not to buy votes or to influence other voters to vote for a particular political party. These protocols were personally served in my presence, as questions to the authorities of the order were answered that this was ordered by their superiors. And do you know what the answer was to those Bulgarian citizens who were targeted for potential criminals from the Bulgarian state? In the July election... [[The President signals that time has expired.]] I'm sorry, Mr. Chairman, I just didn't take the time. Allow me, in my first step out of the stands, just one more minute and I'm done. The answer of these Bulgarian citizens was that on the election day the authorities signaled that the person X buys votes for a particular party, after which they cooperated, testified and the person was convicted by a sentence entered into force, and this sentence is the only one of its kind in the field. And we all here in this Chamber together with you owe an answer to these Bulgarian citizens why they were targeted for potential criminals. In order to restore trust in all Bulgarian citizens, you and all of us here in this Chamber must assist in obtaining the answer why and on what grounds these people were targeted for potential criminals from the Bulgarian state, and they are more than 19 thousand across the country. [[noise and lines]] Thank you. [[Applause from DPS.]]
ParlaMint-BG_2022-02-17.u9	Thank you, Mr. Ahmed. Here you go, Mr. Petrov.
ParlaMint-BG_2022-02-17.u10	Dear Mr. Chairman, honourable Members! As all the items on the agenda today are extremely important, we propose extending the time of the meeting until it is completely exhausted. Thank you. [[Heckling]]
ParlaMint-BG_2022-02-17.u11	Thank you, Mr. Petrov. Mr. Petrov's proposal is to continue the meeting until the day's agenda is exhausted. A reverse opinion? I won't. I'm voting on Daniel Petrov's proposal. Colleagues online:
ParlaMint-BG_2022-02-17.u12	Abstention.
ParlaMint-BG_2022-02-17.u13	Rosen Turtle?
ParlaMint-BG_2022-02-17.u14	Abstention.
ParlaMint-BG_2022-02-17.u15	Stefan Shilev? Vote in this House 188 MPs and 2 online " 190 total: for 72, against 44, abstentions 72 MPs and 2 online " 74 total. The offer is not accepted. Here you go, Mr. Georgiev.
ParlaMint-BG_2022-02-17.u16	Mr. Chairman, ladies and gentlemen of the House! Given that we will not be able to exhaust the entire agenda, we need to prepare ourselves on the new agenda and rethink our position on it, so we want 30 minutes of rest. Thank you. [[Noise and lines.]]
ParlaMint-BG_2022-02-17.u17	Fifteen minutes of rest until 9:25 p.m. [[After the break.]]
ParlaMint-BG_2022-02-17.u18	Dear colleagues, please take your seats. I'm resuming the hearing. We move on to item one of the agenda for today: THE FIRST VOICE OF THE LAW FOR CHANGE AND COMPLIANCE OF THE LAW FOR BULGARIAN CIVILITY. There are three bills. Procedure in the manner of conduct. Ahmed Ahmedov, come in.
ParlaMint-BG_2022-02-17.u19	Dear Mr. Chairman, honourable Members! The previous week, I had taken the floor in the manner of holding it was about maintaining the website of the National Assembly. If some of the colleagues have forgotten, just to remind them that it is mainly about an answer received by Mustafa Karadayi on 15 December and asked the Minister of Interior Mr. Rashkov. This response was important to all of us at the Movement for Rights and Freedoms and not only. This response explained the repression that took place during the elections of over 20,000 people. This answer was mostly expected of them as a kind of excuse for their hurtful dignity and especially for their honour. Then, Mr. President, you ignored all of this and we from the Parliamentary Group of the Movement for Rights and Freedoms and asked questions again. I had asked a question about the cases of Turkian Tatar from the village of Gorichevo and Sami from the village of Samuel. And when I looked again at the website of the National Assembly, I noticed that there was an answer that the issue was inconsistent with the Rules of Organization and Procedure of the National Assembly. Yesterday Mr. Karadaye called you to perform art. 103 of the Rules of Organization and Activity of the National Assembly, and today I ask you once again the most warmly if you can pay attention, because these questions are not only mine, they are also of all colleagues from the parliamentary group of GERB and Mrs Angelkova had, and Mr. Terziyski had, so we gathered many colleagues. Mostly, I ask you, when will you perform art. 103 of the Rules of Organization and Activity of the National Assembly? Thank you.
ParlaMint-BG_2022-02-17.u20	Thank you. I'll do art. 103 when you submit objections in accordance with art. 103. We are moving on to the Committee on Constitutional and Legal Affairs Report. Here you are, Mr. Mateev, to present the report of the leading Commission on the three bills.
