ParlaMint-BG_2022-02-10.u1	Honourable colleagues, please register. Colleagues online. Alexandra Milcheva?
ParlaMint-BG_2022-02-10.u2	Here.
ParlaMint-BG_2022-02-10.u3	Alexander Rakshiev?
ParlaMint-BG_2022-02-10.u4	Here.
ParlaMint-BG_2022-02-10.u5	Georgi Stamov?
ParlaMint-BG_2022-02-10.u6	Here.
ParlaMint-BG_2022-02-10.u7	Dimitar Gochev?
ParlaMint-BG_2022-02-10.u8	Here.
ParlaMint-BG_2022-02-10.u9	Peter Chobanov?
ParlaMint-BG_2022-02-10.u10	Here.
ParlaMint-BG_2022-02-10.u11	Svetlin Stoyanov?
ParlaMint-BG_2022-02-10.u12	Here.
ParlaMint-BG_2022-02-10.u13	Stefan Shilev?
ParlaMint-BG_2022-02-10.u14	Here.
ParlaMint-BG_2022-02-10.u15	Abort registration. 196 MPs in the hall and 7 more online " 203" total. There's a quorum. I'm opening the meeting. [[PHONE RINGING]]
ParlaMint-BG_2022-02-10.u16	Procedure in the manner of conduct.
ParlaMint-BG_2022-02-10.u17	One second, wait with the procedure in the manner of conduct. [[Radio.]] A few words to begin the meeting, Mr. Letifov. Honourable Members of the National Assembly, in 1879 February 10th was Monday. On this day 143 years ago was held the Constitutional Assembly of the first National Assembly of our new, free Third Bulgarian State. This date is special to our Homeland because it marks the beginning of several key processes. First of all, let's put ourselves in the context of time. After the Russo-Turkish War of 1878, Bulgarians received a response to their dream of a free and modern state. Secondly, the creation of popular representation, of parliament is equal to a revolution for its time. A Parliament at a time when people on the European continent are primarily subjects and, in some cases, citizens. Today, freedom to be independent and with equal rights takes for granted. For his time, the founding act is an act of courage and modernization. Thirdly, the representatives of the Bulgarian people have demonstrated far-sightedness and put the national interest above all else and together draw the successful path of Bulgaria with their work on the creation of the Constitution of the new Bulgarian principality. Remembering this moment, let all of us, the National Assembly of the Forty-Seventh National Assembly, be at the height of the expectations of Bulgarian citizens, follow the example of our ancestors and with reason and will to accept the best decisions for Bulgaria. Thank you. [[Extreme applause.]] Come in for a procedure, Mr. Letifov.
ParlaMint-BG_2022-02-10.u18	Thank you, Mr. Chairman. Thank you for the announcement and the address you made to us. This is extremely important, there are traditions here. I am glad that you are telling all of us, especially the new Members to understand that the National Assembly had it before us and our task is to have it after us with the necessary authority. And from this point of view, Mr President, I address you in the manner of conduct to note that in order for parliamentaryism and this institution to exist as the highest authority of statehood in our republic, we have rules. We have a Constitution, we have laws, we have Rules on the Organization and Activity of the National Assembly, which make us free, which we observe and which make us equal. And from this point of view, Mr. Chairman, I'm addressing you. On the question asked on 15 December by Mr. Mustafa Karadaye in the column for a response there is a letter which does not correspond to art. Art. 111, Art. 138 of the Rules of Procedure, which say that all documents requested and facts and circumstances and data from the National Representative, institutions are obliged to give them to him. There are no such documents, Mr. Chairman! I ask you to check, too, because I am misled, I mislead the Bulgarian citizens, but clearly you are also misled. There are no documents requested by the MP Mr. Karadayi. So I'm asking you to change the status of a given answer, which is not true. Thank you. [[Applause from DPS.]]
ParlaMint-BG_2022-02-10.u19	Thank you, Mr. Letifov. Yes, come in, Mr. Ahmedov. Let me just tell Mr. Letifov. There's no reason to change the status of the site. Boyko Rashkov's answer is there, meets the requirements.. I can do no more than that. If you or Mr. Karadaye want further information, ask a new question. Article 4 (1) (a) and (b) of Regulation (EU) No 182/2011 shall be amended as follows: Art. 111, Art. 138 are not in the question and question section. Thank you. Here you are, Mr. Ahmedov.
ParlaMint-BG_2022-02-10.u20	Thank you, Mr. Chairman. Dear colleagues, my procedure in the manner of conduct is related to the maintenance of the website of the National Assembly. During my visit to my electoral district,.18. Razgrad region, I was asked a question about the militia bullying during the parliamentary elections in 2021. You all know that these repressions, which took place on our voters, reminded me of the Revival process, which was not dignified at all. All of this was for one purpose only to defamate the dignity and authority of our citizens. After I was asked the question about police harassment, I, on my part, entered the Internet via the website of the National Assembly, I know very well that on 15 December Mr. Karadayiy had asked such a question, I came in, as my colleague Mr. Halil Letifov said, from the answer we did not understand anything. In this way, honourable President, we, as MPs, cannot give the necessary answer to our constituents, and the website of the National Assembly is a fundamental means by which our voters or the Bulgarian public, whether in Bulgaria or outside the country, are informed about the legislation and work of the ministers, that is, the response of Minister Rashkov was not clear. Because the question which Mr Karadayi had asked, namely: who and what instructions he had given to the composition of the Ministry of Interior to carry out certain actions with regard to voters, party members, and in the response that was quoted:..........................then I and my fellow citizens and the entire Bulgarian public are asked............ those policemen who committed militia activities, did they go around these people of their own free will, did they harm their honor and dignity. [[The President signals that speaking time is over.]] I apologize again. Not all policemen are militiamen. There are also conscientious ones among them, which honors them.
ParlaMint-BG_2022-02-10.u21	Your time is up, Mr. Ahmedov.
ParlaMint-BG_2022-02-10.u22	Dear Mr. President, such answers cast doubt on all of us, questioning the work of the ministers as well. For politicians, we know that doubt in politics is a reality. So my request is, if you could make the necessary answer...
ParlaMint-BG_2022-02-10.u23	Thank you. I understand. I'll do whatever I have to do. Thank you very much.
ParlaMint-BG_2022-02-10.u24	Because it's not good, it doesn't speak well of you and your census and your upbringing. Thank you.
ParlaMint-BG_2022-02-10.u25	Thank you. I think there is no need to put this issue in this House, moreover, that its answer is more than clear. [[Applause from ARGUING.]] We're moving on to item one of today's agenda. Mr. Ganev? Here you go, Mr. Ganev.
ParlaMint-BG_2022-02-10.u26	Thank you, Mr. Chairman. There's no other form, so I'm using a procedure to keep it in order. As an MP, I have a problem with my work in a gym. Since yesterday, Parliament's website is not working. I do not have access to my parliamentary email, which, unlike many colleagues, I actively use and receive letters and materials. And for example, now we're going to discuss the big budget. The big ZIP model with individual budgets is uploaded to the site and I can't reach it right now. Can we do something about that? Thank you.
ParlaMint-BG_2022-02-10.u27	Okay. Thank you, Mr. Ganev. Now we're gonna check this out. Now we move on to item one of today's agenda. Procedure? Here you go, Mr. Ananiev.
ParlaMint-BG_2022-02-10.u28	Dear Mr. Chairman, honourable Members, I propose that we broadcast the debate on BNT 2 and BNR. Thank you.
ParlaMint-BG_2022-02-10.u29	Mr. Ananiev, which debate? We got a lot of points.
ParlaMint-BG_2022-02-10.u30	Point one. The debate on point one, I think, is the most important debate. Thank you.
ParlaMint-BG_2022-02-10.u31	Okay. There is a proposal from Nastimir Ananiev point one to broadcast on BNT 2 and on BNR. Here you go, Mr. Ganev.
ParlaMint-BG_2022-02-10.u32	I'm making a reverse offer. I would like to ask the majority not to hide all the discussions on these important laws and bills that we are discussing at the moment, from people who do not have access to the Internet and want to watch them on television, and that is a large part of the population at the moment. Therefore, I ask you very much not to be just one or a certain point, as yesterday, but the broadcast to be for the whole agenda, so that it can be viewed by absolutely everyone. Thank you.
