ParlaMint-NL_2017-05-16-eerstekamer-7.u1	I would like to welcome the Secretary of State for Economic Affairs to the First Chamber.
ParlaMint-NL_2017-05-16-eerstekamer-7.u2	Madam President and Deputy Secretary of State. We are talking today about two legislative proposals, first of all the legislative proposal on phosphate rights (34532) and, secondly, the proposal on land-based dairy farming (34295). As far as we are concerned, particular attention is paid to the first legislative proposal. I believe that this may be the case with several colleagues. It is very important to clarify this quickly. The urgency has been further underlined in recent weeks by the ruling of the amenities court at the court of The Hague in the case brought by several dozen dairy farmers in particular. The Secretary of State has let us know in the last few days that he's going to appeal. This makes it difficult to have a real substantive discussion on specifically the phosphate reduction plan 2017. We will make a few comments on this, but considering the state of play, including the announcement of appeal, we cannot but be reluctant. However, we do believe that we can deal with the two laws. I assume the Secretary of State shares this view. There are similarities, but at the same time the two laws that are being presented are separate from the ruling recently made by the court of provision. Clarity is necessary because the derogation is at stake in the Netherlands. This is also emphasised in detail in the explanatory memorandum. In the course of the legal process, the House of Representatives called upon the Secretary of State to look at the problems. We are dealing with problems which have taken place in the last few months with dozens, perhaps hundreds, at the same time. Dairy farmers who feel that they are disproportionately affected by the legislative proposals will come forward or have come forward. The same applies to many others. Our group has also addressed this particular point in the question. We are therefore pleased with the amendment tabled by Mr Geurts in respect of item No. 85 which states that an advisory committee should be set up to deal with the so-called problems. That committee will be there, because last weekend the Secretary of State informed us that the committee under Mr Kalden's leadership has either started or is about to start. The committee looks in particular at the scope of the problems. I think it would be good to say a few words about that. I would like to go back to the recent ruling of the Supreme Court on the phosphate reduction plan 2017. For the time being, the judge has accepted 52 entrepreneurs because, looking at the reference date of 2 July, the dairy farmers have indicated that they are disproportionately affected. This is the case, for example, if there was a significant investment or renewal in their business around the time of the level or reference date. So one could say that a number of specific forerunners may be the victim of their own innovative entrepreneurial spirit. Our group can certainly imagine the objections raised from that angle. That seems to us to be a problem, but it is obviously up to others to make a final assessment of it later. However, there are more. Similarly, exporters of cattle, of young heifers, have reported to us. Just before the date of 2 July, they had transported their cattle elsewhere and at the reference date they had zero livestock units. If you have 30 acres of land but you don't have any more cattle in your stables, it's hard to explain. I also mention the keepers of animals which should be included in the so-called rare breeds. They also have a lot of concerns, for example about the sheetfielders.
ParlaMint-NL_2017-05-16-eerstekamer-7.u3	Mr Atsma reviewed a number of stakeholders, but he started with the communication that we are mainly dealing with the pressure from Brussels. The derogation must go through, even though we do not even know about the problem. How does Mr Atsma weigh these two elements? Are we gonna go through with the law when we don't know what's coming out of the problem settlement? I'm tasting that from his speech. Or does he say, as I would say, first let's see which people are going to be affected by the problem and wait for it?
ParlaMint-NL_2017-05-16-eerstekamer-7.u4	You have to deal with the 2017 scheme and with problems that are already reported on the basis of the law. The fact that I say that we need to make haste has everything to do with the positioning that Brussels asked of the Netherlands and the need to clarify before 1 July. If we are not careful, dairy farming as a whole will become one big problem, namely if the derogation is actually put at risk. That is what we, the Secretary of State and the House of Representatives want to avoid. Clarity is quickly desirable. I have only mentioned three categories of entrepreneurs who may be in trouble. The sooner it is clarified, the committee will be all the better for that. For the time being, the committee still has work to do and there is a ruling from the court for the year 2017. Those two are gonna have to be left or right with each other's swallowtails.
ParlaMint-NL_2017-05-16-eerstekamer-7.u5	You have said a lot, but not much else than you said before. I was just looking for the choice that needs to be made eventually. Do we choose the forceful country of Brussels or do we choose to say to Brussels: we have this situation and it is good with you; we will first find out how we deal with our own entrepreneurs, our own farmers? From how I say this, you understand that my choice would be the last.
ParlaMint-NL_2017-05-16-eerstekamer-7.u6	Then you have to deal with the fact that we cannot determine that. We are dealing with the importance of the Dutch dairy farming sector as a whole. That's what we're looking at. The importance of this sector is that the derogation needs to be clarified quickly. If you agree with the CDA Group that the derogation should be retained in any case because it is vital for a large number of companies, then you should support the law and the proposals as they stand at the end of the journey. I have found that not everyone in the Lower House has done so. Let us hope that the understanding here is a little broader, because it is a broad interest, that we should keep an eye on it. I already talked about the third group, namely the holders of rare breeds. I mentioned the sheetfielders. How can it be ensured that some unique varieties do not fall below the minimum size of the livestock? The Secretary of State also states that the committee dealing with the problems is consulting with the sector. That is good, because consultation must always be there, but what does that mean in practice? I shall come back to that later, because the Secretary of State also states that there is in fact no appeal against what the committee does. We can imagine that if the committee makes generic statements, the individual entrepreneur will be affected. It is therefore conceivable that the entrepreneur should be able to appeal somewhere. We wonder why that space is not offered. This is also about a piece of equality of law. This Chamber also has to look at that. As far as we are concerned, the number of procedures should be kept as low as possible. That is why I ask the Secretary of State to clarify all these matters quickly. Because of the individual entrepreneur in relation to the broader advice of the bottleneck committee and looking at the ruling of the welfare judge, we have the strong impression that customization might be much more important than is assumed so far. Customization means looking at individual cases. They must be judged on their merits. Our view is that this customization is somewhat contrary to the view expressed by the Secretary of State in the law and, above all, in the explanatory statement. I would like a clear answer in that regard. As far as we can judge, the Secretary of State focuses on a very limited task when it comes to the work of the committee. What is the legal definition of this? What's limited? How far does the situation of the emergency committee go? We take from the legislative proposal that this road is not completely closed, but as far as we are concerned, the committee should also be able to give binding advice to the Secretary of State. That also makes it much easier for the Secretary of State. He may have a discretionary power that he can use. If you give the committee a greater power than hitherto is supposed to be customised and a binding opinion, then you might be able to get a lot of problems off the table prematurely. I have already indicated that it would be logical for an appeal to be made against the committee's opinion. If the Secretary of State feels that this is not necessary, then we have read his reasoning. We want to see a better basis for that. It is not appropriate for generic advice to affect an individual entrepreneur in such a way that he will feel a disproportionate effect of the legislation. Moreover, the opinion of the Council of State and the Geurts motion improved the regulation. That's what I'm saying. Recently we have received figures from CBS, among others, which show that a significant reduction in the amount of phosphate has now been achieved. It is now a matter of several million kilograms. Perhaps the Secretary of State will be able to give you the latest state of play. In fact, we understand that this figure is now very close to what Brussels is asking us to do, apart from the potentially negative effects of the ruling of the Supreme Court if it means that more phosphate rights should be granted to others. We wonder if the picture is true that we are close to the border that Brussels Netherlands has told us.
ParlaMint-NL_2017-05-16-eerstekamer-7.u7	I'm trying to follow the colleague. He has called for attention to be paid to appeals. I took a look, but the letter of 12 May states this in the last paragraph, namely that it is possible to appeal to the RVO. I find it somewhat at odds with the request for a binding opinion from the emergency committee. What about legal? A binding advice and appeal? How does Mr Atsma see it?
ParlaMint-NL_2017-05-16-eerstekamer-7.u8	If it is a binding opinion, and you disagree with the opinion, then it is logical that you can appeal against the opinion. That seems perfectly clear to me. But if you do one thing and leave the other, you won't get there. In any case, it would make the position of the Secretary of State much easier if the committee set up by him could deliver a binding opinion on a number of specific issues which we call 'faults'.
ParlaMint-NL_2017-05-16-eerstekamer-7.u9	I try to follow it, but a binding opinion restricts the discretion of the Secretary of State to decide, especially when it comes to customization. That is what Mr Atsma asked for in his speech.
ParlaMint-NL_2017-05-16-eerstekamer-7.u10	One doesn't rule out the other. In fact, one strengthens the other. If the Secretary of State uses his discretion, he does it because he wants to deliver customization. If the committee gives a clear opinion, then the Secretary of State has every opportunity to follow that. This is much better than when the advice is voluntary and not aimed at the individual case. I started with this: let us make sure that there is also a piece of customisation possible. I take from the legal text that this is not excluded. I can only understand from the explanatory statement that this is not the intention.
ParlaMint-NL_2017-05-16-eerstekamer-7.u11	A binding advice and giving space, there is some tension. I await Mr Atsma's speech and the statement made by the Secretary of State.
