ParlaMint-NL_2017-02-07-tweedekamer-20.u1	I would like to welcome the initiators and their support... their names were mentioned last time........................................................................................................................................................................................ I would also like to welcome the Minister for Economic Affairs. He will act as advisor to the Chamber in the examination of this bill, as is customary in the examination of an initiative proposal. Today, the answer is in the first term and the full second term. I would be the first to give the floor to Mrs Mulder to answer the first-term questions.
ParlaMint-NL_2017-02-07-tweedekamer-20.u2	Mr. Chairman. Before I start replying, I would like to thank colleagues for their input in the first term. We all know that we can only function properly by the employees, including those of our parties. I would mention a number of them: Mr Botman of the CDA, Mr Bosse of the PvdA and Mrs Wolffram-van Doorn of the Ministry of Security and Justice. I would also like to express my thanks to my colleague Pieter Omtzigt with whom I wrote the initiative paper together with Mr Biesheuvel and Mr Gladdines of ONL. And, of course, I am also grateful for the legal support of the Legislative Office. As Mrs Gesthuizen of the SP pointed out, the subject of late payment has kept the moods in the Lower House busy for quite some time. Several MPs have worked to tackle the problem and the initiators also have broad appreciation for this. Mr Graus was right to say that he is not here today to say that the payment behaviour of governments is also a very serious problem. The initiators agree that this should change quickly. We will soon have a debate on this with our Minister for Economic Affairs at his request. As a Member of Parliament, I have always enjoyed hearing from government officials how the answer goes and I am always very excited about answering in blocks. Today we have seven blocks. I'll take care of the first three blocks. The first block is the introduction. In Block 2, I will address the questions on the solution to the problems faced by SMEs andzzp'ers. Block 3 deals with the questions raised about the enforcement and effectiveness of the legislative proposal. My colleague, Mei Li Vos, will then deal with questions about possible side effects and possible alternatives. It will also answer the question of what is happening in Europe and will answer other questions. I'll start with the block "introduction." I shall deal with the problem, the solution proposed and the points raised by several colleagues in the first period. To clarify the problem, I start by sharing an experience of a former entrepreneur. He said this: I shouldn't actually be sitting here. Because I'm not an entrepreneur anymore. My biggest client has unilaterally increased the payment period to 90 days. After that, everything went downhill and I went bankrupt. Even if you could change something about that so that large companies can no longer abuse their dominant position by extending the payment period, you may not be helping me anymore, but you will help many other entrepreneurs. These words came in through Entrepreneurship Netherlands. And similar stories also come directly to us, the CDA, through many different entrepreneurs. These kind of signals affect me and I think that these signals affect everyone who stands up for a fair economy. Last week there was another case in Drachten. It was an entrepreneur with 14 employees who received late payment from a large company whose name I will not mention here. Then 30,000 a month is a lot of money and small businesses simply function as banks of large companies. That's what today is about. The bill was created because of these persistent signals from society. That is why I initially wrote an own-initiative paper. This was discussed by the House of Representatives at the beginning of last year. There has also been a hearing with experts, a consultation with the field has taken place and, of course, the Council of State has also looked at the proposal. It was a careful process in which it became clear time and time again that there are unfortunately large companies that use their small suppliers too much as banks. Some large companies have structural payment periods of 90 days and sometimes 120 days. Nice and convenient: free money from small suppliers. There is an abuse of power in order to improve itself. And it is not for the small suppliers to explain that they are then in trouble while they themselves have properly delivered a product or service to that same large company in time. Mr Geurts said it aptly: a fair economy does not mean that large companies shuffle financial burdens over the back of SMEs andzzp'ers because they see opportunities to get better themselves. Mr Ziegs of the VVD rightly states that it should be normal for entrepreneurs to receive their money in good time. I agree with that passionately. Mr Nijboer's speech on the moral aspect also fits in perfectly with that. As Mr Nijboer quite rightly said, proper handling does not involve a conscious policy of large companies to pay as late as possible. The same applies to companies and to public authorities, as I say to Mr In addition to these moral and financial aspects, this approach of large companies also causes damage to the economy as a whole. The entire chain of trade is affected by this. According to Intrum Justitia, too long payment periods and deliberately late payment periods mean that a total of 7 billion euros must be written off on an annual basis in the Netherlands. We are aware that these figures are about more than just payment periods, but this makes it clear that we are facing a serious problem here. So that's what we're talking about today. Mr Ziegs asked if there were really no SMEs who, as suppliers, would like payment periods of 90 and 120 days. Of course, we cannot speak for all SMEs, but for a supplier, a long payment period is always detrimental. Theoretically, an extremely long payment period can of course be compensated by admitting something to the buyer at another negotiating point. The Dutch Retail Council also drew the attention of the House of Representatives to this; Mr Ziengs also referred to this in his contribution. However, these examples relate to well-intentioned large companies. In view of the unequal negotiating position and the relationship of dependence, it is still very doubtful whether the compensation for unfairly long payment periods is actually offered by certain customers. The small supplier is not yet able to enforce this in the negotiations. Mr Ziengs wondered whether it would be wise to allow more extensive deadlines. I do not think this is wise, because this would not help the small supplier, whoever the VVD thinks should be paid properly on time, so within 30 days. This would create a new escape route for large companies to take advantage of the law again. On the contrary, the present legislative proposal ensures that the small supplier is protected from too long payment periods because of the unequal negotiating position and the dependency relationship in contractual negotiations. Therefore, we should not embark on new derogations. I would like to say to Mr Ziegs that I can imagine that, in a possible evaluation, we will pay more attention to this particular point. If we then start to evaluate, we must, of course, also give the law time to do its job, so that we can distinguish occasional and structural effects from each other. In any case, the initiators have a view that the payment morale will improve. Ascending payment periods are no longer acceptable at this time. In that case, even a 30-day payment period may be shown, as far as the authors of this bill are concerned. We assume that large companies are very well aware of our message and that they will not allow their payment behaviour to deteriorate further. As indicated here, the core of the current problem is therefore the unequal negotiating position and the dependence relationship between a large company and a small supplier. The current law can lead to discussion of what may or may not be allowed. The law now states that the question whether large companies are allowed to deviate from the 60-day time limit depends on whether this is manifestly unfair to the creditor. In principle, all payment periods exceeding 60 days are manifestly unfair in this commercial relationship, but since the law does not explicitly state at present that payment periods from more than 60 days are always unfair from large companies to small suppliers, this may be the subject of discussion. A judge must then be required to assess these individual cases. That is why we, as initiators, have come up with a legislative proposal that ensures that the law is absolutely clear that unreasonable long payment periods are no longer allowed to small suppliers. The bill automatically annuls payment periods of more than 60 days from large companies to small suppliers. The payment term is then converted into a standard for payment periods, i.e. a payment term of 30 days. Since this legislative amendment no longer requires any discussion on whether or not payment periods of more than 60 days may or may not be allowed in this commercial relationship, a course to court will no longer be necessary to determine this. This last sentence is quite essential. The bill will therefore no longer require a court to determine whether a payment period of more than 60 days is manifestly unfair in the commercial relationship between a large company and a small supplier. This is what the initiators want to emphasise, because many members spoke in their contributions about the course to the judge. The court will therefore no longer be required in principle. The judge only comes around the corner if the large company explicitly breaks the law and does not pay the commercial interest due after 30 days. In the third block, I will go into this further and explain why we, as initiators, expect that the corridor to the judge will not have to be made very often. It was noted that several MPs spoke about varying signals in the field about this bill, including among the industry organisations representing SMEs. In fact, it seemed that the suggestion was raised that industry organisations of SMEs andzzp's think differently about this bill. However, let me be clear. The main industry organisations representing SMEs andzzp's are crystal clear: they support this bill. Both ONL for Entrepreneurs, SME-Netherlands, and ZZP Netherlands are for this bill. It is true that SMEs in the Netherlands were first hesitant. However, on 31 August last year, the Netherlands-SME dealt with this issue. They have reported this via a press release on their website, entitled "Size full of late payments." In this article, SMEs-Netherlands explicitly state that they are more than tired of the poor payment behaviour of large companies towards small and medium-sized enterprises. They appreciate the initiatives in the area of self-regulation, but indicate that there is a clear need for more. SMEs-Netherlands indicates that excesses need to be tackled and concludes the press release with the sentence: "Therefore, let the CDA and PvdA act get there quickly." Other organisations representing small suppliers have also informed us that they wholeheartedly support the law. I refer, for example, to the Federation of Contractors Netherlands Construction and Infra, SMEs INFRA and the Association of Industrial Surface Treatment Netherlands. Of course, there has also been criticism. However, this comes mainly from organisations that defend the importance of large companies, such as VNO-NCW and also the HEMA. This is, of course, understandable from their point of view and is to be expected. At the same time, I also know from a lot of VNO-NCW members that they think it is perfectly normal to just pay the bills in time and value SMEs andzzp's as partners in the chain. One of the representatives of the large companies I spoke about said to me: "It is, of course, too crazy for words. But, yeah, it's possible, isn't it? And with that, we put pressure on our own suppliers and put the brakes on innovation and actually make it difficult for ourselves to compete well internationally. Because we all know: we are as strong as the weakest link in the chain." I come to my second block: questions that have been asked about the solution as we see it through our legislative proposal. These questions were asked by Mr Geurts of the CDA, among others. His first question was whether the initiators can confirm that this law applies only to trade relations in which large companies play the role of customer and SMEs and zzp the role of supplier or service provider. This question can be answered in full with a yes. Mr Geurts' second question was whether the transitional period of one year would be real if the legislative proposal also applied to existing contracts. That's a fair question. It is true that a transitional period of one year has been introduced for existing contracts. This has been chosen from the point of view of legal certainty. Companies that do not yet pay their bills in time should, of course, be given the opportunity to adapt contracts. For example, the HEMA asked for this. For the sake of clarity, we have therefore opted for a transitional period of one year. We have the following reasons for this. Firstly, it is a small settlement for relatively few contracts, because fortunately, a large part of large companies pay their bills properly on time and therefore do not have to adjust anything. For those who remain behind, the payment period is the only thing that needs to be adjusted in the existing contracts. This applies only to existing contracts in commercial relations between a large company in the role of buyer and SMEs or an independent entrepreneur in the role of supplier or service provider, where a payment period of more than 60 days has been agreed. Secondly, the fixed changes will be taken into account when the law enters into force. This means that the proposal will enter into force on 1 January or 1 July. In practice, this gives some extra time because there will probably be some time between the publication of the law and its entry into force. The present law will therefore enter into force at the earliest on 1 July 2017, depending on the treatment in the First Chamber. This means that this law will not apply to existing agreements until 1 July 2018 at the earliest. Thirdly, the one-year deadline has been chosen because it is a normal time limit. In this connection, I refer to the transitional law when introducing new rules on general conditions in '92. A transitional period of one year for pre-existing general terms and conditions was considered reasonable, whereas a substantial change was made for general terms and conditions. In this case, it is only one change, namely the payment period. So this is all very reasonable towards the large business, especially when you realize that this bill is designed to ensure that SMEs andzzp'ers do not have to deal with long payment periods unnecessarily long. A longer transitional period would put further pressure on the liquidity position of SMEs andzzp's. They then hold an unpredictable collection and have less room to make investments or to take up bad months. This leads not only to problems for these suppliers, but also to damage to the economy and to longer payment periods in the chain. Mr Geurts of the CDA had a question about how the new legislation will be made known to companies in the Netherlands. If the law is passed in the Second and First Chambers, the initiators agree with Mr Geurts that good communication is really important. The initiators therefore call on the cabinet to use all available channels to bring the bill to the attention of entrepreneurs when it has been adopted. The initiators see an important role for the Chamber of Commerce, Entrepreneur's Squares and the website of the Rijksdienst voor Ondernemend Nederland. The initiators also, of course, call on all business organisations to inform their supporters of the new legislation. In his term, the Minister could also comment on the instruments available to the Cabinet to bring new legislation to the attention of entrepreneurs, in so far as they have not yet been mentioned. I come to the third block: the effectiveness of the solution and enforcement. In the introduction, I have already addressed this very briefly by stating that it is expected that this legislative proposal will hardly make it necessary to proceed to court. I shall now go into this in more detail in the light of the questions raised by the various groups. First of all, Mr Geurts of the CDA asked whether large companies are going to comply with the law. Furthermore, Ms Gesthuizen of the SP asked whether it is not worrying that SMEs are particularly dependent on the courts to get their rights. The initiators would like to emphasise that the legislative proposal is intended to make the process to court unnecessary. We expect large companies to comply with the law and so the process to court is no longer necessary. We have a number of reasons for this. Firstly, it is expected that this bill will lead to a change of behaviour in the boardroom. For example, this legislative proposal makes it clear to us what is morally acceptable and what is not. Now that that border is coming to an end, it is expected that large companies will realise that the policy of taking advantage of their small suppliers is no longer desirable. It is therefore expected that large companies will comply with the law and that the course of justice will not be necessary. Especially at a time when international corporate social responsibility is becoming the norm, it seems to us to be perfectly normal. Secondly, the expectation is that the directors of large companies will comply with the law, because they have some explaining to do if they break the law. In the current situation large companies can still hide behind the discussion about what is "apparently unfair." This bill will no longer be able to do so and will make it perfectly clear that for payment periods longer than 60 days for small suppliers, the law is explicitly violated. If large companies also decide not to pay the legal commercial interest rate anymore, they explicitly violate the law for the second time. Thirdly, it is expected that large companies will comply with the law, as this will create a financial risk for large companies. It's gonna be too big to break the law. The bill has turned justice into a debt collection dispute. In addition, it has become easier for suppliers to unite and make a joint process to judge. In addition, the claim under current Dutch law is enforceable in law for up to five years, allowing the small supplier to go to court after the commercial relationship has ended. As a result, the risk of financial setbacks is much higher than in the current situation. On this basis, it is expected that the large business will comply with the law and therefore it will no longer have to come to trial. It is likely that there will still be some large companies who will knowingly decide to explicitly break the law twice. Several questions have been asked about this situation by MPs Graus van de PVV, Nijboer van de PvdA and Geurts van het CDA. The key question here is whether small suppliers dare to go to court to claim the legal commercial interest rate, if a large company breaks the law. If certain large companies fail to comply with the law, the initiators expect SMEs andzzp'ers to go to court to claim legal commercial interest. And that can be done with retroactive effect. We have a number of arguments to support this. As indicated earlier, this bill strengthens the legal position of the small supplier compared to the current situation. This concerns in particular the question of what is "obviously unfair" towards the supplier. It may be fairly complex for the supplier to prove the burden of proof partly because of the term "obvious unfairness'. This legislative proposal removes the term "obvious unfairness" in relation to agreements between large-scale companies andzzp'ers or SMEs. This replaces the individual assessment by the judge with a debt collection dispute. The small supplier will only have to prove to the court that there is a trade relationship between a large company in the role of buyer and SMEs or thezzp'er in the role of supplier, that a payment period over 60 days has been included and that the legal commercial interest rate has not been paid. This is relatively easy to prove by a supplier which increases the chance that the judge will put the supplier in the right. By adding more security for suppliers to win a lawsuit, suppliers are expected to decide to claim the legal commercial interest rate earlier than is currently the case. Another important argument is that under current Dutch law the claim is enforceable for up to five years. This is a tool for small suppliers to dare to go to court despite the relationship of dependence if a large company breaks the law unexpectedly and does not pay the legal commercial interest. As soon as the commercial relationship comes to an end, the supplier can still charge the statutory interest rate and this can go back to five years even without prior notice.
ParlaMint-NL_2017-02-07-tweedekamer-20.u3	Mrs Mulder's explanation has so far been very clear. That's nice. However, I do notice a contradiction. Mrs Mulder has clearly begun to parry the critical questions of some of the Chamber or entrepreneurs in this case will dare to go to court. She stated that this is unlikely to be necessary. Now, in her speech, she often mentions the possibility for entrepreneurs to go to court. I'm not entirely comfortable with that. If we have learned anything in recent years, that is at the heart of this problem, it is that entrepreneurs do not bite the hand that feeds them, the paying customer of their product or service. How do the proposers see this problem? I really see this as a dilemma.
ParlaMint-NL_2017-02-07-tweedekamer-20.u4	The main point in the current legislation is that a small supplier must prove that it is manifestly unfair. With this law we achieve that that question is no longer asked. You're right, and if a big company goes over the 60-day deadline, it automatically goes back to 30 days. A statutory interest rate will then enter into force. I think there's pressure from this law towards the boardrooms of the big companies. They want to comply with the law, do business everywhere and trade. They do not want to be confronted with the fact that they do not follow the law properly. They still have an escape under the current law, but this bill represents an enormous opportunity for small businesses to make progress towards justice. But I don't expect that courtroom corridor to be necessary.
ParlaMint-NL_2017-02-07-tweedekamer-20.u5	I'll help Mrs. Mulder hope so.
ParlaMint-NL_2017-02-07-tweedekamer-20.u6	That is why I said at the beginning of my speech, in particular to Mr Ziegs, and in response to comments made by Mrs Gesthuizen in her first term, that we would like to look at this in the evaluation after a year or three. The bill says a transitional period of one year, and I think you should give the law two years to see how it works out. But what Mrs. Gesthuizen said is why we're doing it, so I totally agree with her.
ParlaMint-NL_2017-02-07-tweedekamer-20.u7	Is it perhaps useful in this context if you also respond immediately to item No. 9 amendment, which deals with this problem?
ParlaMint-NL_2017-02-07-tweedekamer-20.u8	I have not yet seen the final amendment, Mr President.
ParlaMint-NL_2017-02-07-tweedekamer-20.u9	Okay, then it'll come later.
ParlaMint-NL_2017-02-07-tweedekamer-20.u10	Wait, I'll look into it now. I can agree with it. This is exactly what this is about. So you are quite right to point this out, Mr President. I think I can also say on behalf of Mrs Vos that we support this amendment. I do not think we are formal about this, but I think the Minister will have to say something about it later, but I can certainly agree with it.
ParlaMint-NL_2017-02-07-tweedekamer-20.u11	It is not necessary, but I also suggest that you can accept the amendment under Rule 100 of our Rules of Procedure. Perhaps you would like to consider this first; I will only give it to you.
