ParlaMint-NL_2017-02-14-tweedekamer-38.u1	I would like to welcome the Minister for Security and Justice.
ParlaMint-NL_2017-02-14-tweedekamer-38.u2	Mr. Chairman. It is not my custom, but I am going to table a motion which I tabled last year when the budget was discussed. I do that because in the meantime things have happened. We have, in fact, had the discussion note of the investigation and prosecution deficit of the Public Prosecutor's Office and the police. We also have a sheet, i.e. an internal note, from the Ministry of Security and Justice itself, in which senior officials state that there is a cell surplus. All this is based on figures that my group still says are not correct. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that registered crime does not give a complete picture of the number of offences actually committed, because the crime recorded only reflects the number of offences reported by citizens;]] [[noting that victim surveys are used to get a better picture of the number of offences actually committed, but that these are only samples that do not include all crimes;]] [[considers that as much clarity as possible should be provided on the actual number of offences committed, including because this is the basis for whether or not to amend policies and/or legislation;]] [[calls on the Government to investigate a new and/or additional measuring instrument in order to obtain as much clarity as possible on the actual number of crimes committed per year,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Helder. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29911-142]]
ParlaMint-NL_2017-02-14-tweedekamer-38.u3	Mr. Chairman. May I begin by congratulating our colleague Nine Kooiman from this special place? Because she's become a mother of a son. He's not listening yet, but his name is Moos. Mother and son are doing well. From here on, I would like to congratulate her warmly.
ParlaMint-NL_2017-02-14-tweedekamer-38.u4	That is good, because now it will also be in the Acts and can be found later. Also from the chair: heartfelt. I wish her luck.
ParlaMint-NL_2017-02-14-tweedekamer-38.u5	In general, we have also discussed the fight against crime in relation to the taking away of criminal money. I shall table the next motion for a resolution on this matter. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[considers that crime should not pay and that therefore the criminally acquired assets should be deprived of any criminal case;]] [[noting that this principle is still not fully applied and that only a fifth of what the prosecution is trying to deprive is actually being taken away;]] [[Considering that cooperation between the investigation services and the Tax Administration is still not working properly and that the Public Prosecutor does not have sufficient means to carry out financial investigations;]] [[calls on the Government, in the short term, to discuss with the Public Prosecutor, the Tax Administration, the police and municipalities exactly what is necessary to ensure that criminally acquired assets can be better taken away than they are now, and to present proposals to this effect by 1 April 2017 at the latest,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Nispen and Mr Recourt. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29911-143]]
ParlaMint-NL_2017-02-14-tweedekamer-38.u6	A motion similar to this, but just a little more specific about this matter, is the next. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that six Brabant directors are in favour of confiscating the criminally acquired ability to prevent that money from disappearing abroad when a suspect was arrested;]] [[calls on the Government to explore further the proposal to freeze criminal assets as soon as possible after arrest and to inform the Chamber of how to effectively prevent criminal profits from being locked away before they can be taken away,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Nispen and Mr Recourt. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29911-144]]
ParlaMint-NL_2017-02-14-tweedekamer-38.u7	Mr. Chairman. We've had a good general discussion. However, we feel the need to table a number of motions, to give some direction. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas in the regions suffering from serious crime there is a need to use the criminal assets that have been taken away to compensate for damage and to make additional efforts in the region to further combat this crime;]] [[Whereas a working group set up for this purpose also concludes that taking full advantage of criminal capacity is added value in dealing with (organised) undermining crime and should be an important pillar of public policy in this area;]] [[calls on the Government, to set up a so-called undermining fund, to complement it from its criminal assets, from which victims can be compensated and from which local authorities can withdraw funds to (co-) finance their administrative and judicial efforts to combat undermining (drug) crime,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members Van Toorenburg and Helder. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29911-145]]
ParlaMint-NL_2017-02-14-tweedekamer-38.u8	I find this in itself a very sympathetic motion. I myself, on behalf of the VVD, have argued for a similar withdrawal fund. That's also in our election program. However, I hear Mrs Van Toorenburg now refer to such a fund as compensation for victims on the one hand and the withdrawal of funds from local authorities on the other. I am also thinking of an investment in tax-legal expertise for understanding very complex legal companies, far from here, up to the Bahamas. Could the withdrawal fund, which Mrs Van Toorenburg has in mind, be used for this too? Or does she say it's just for victims and local authorities?
ParlaMint-NL_2017-02-14-tweedekamer-38.u9	As far as I am concerned, it is the victims who are left behind with enormous damage. The same applies to the local authorities, who want to make an extra effort to bring about the undermining. They can get co-financed because they're barely gonna make it now. I also believe that we need to invest in this complex situation in order to find out exactly where it is, as Mr Van Oosten says. I just don't know if this fund should necessarily do that. If it's filled fast enough, that's fine. But I think this should be done at all in order for forensics to gain more power. I think we agree on that, too.
ParlaMint-NL_2017-02-14-tweedekamer-38.u10	I also think it is a nice proposal, but I have had time to think about it since the moment Mrs Van Toorenburg made this proposal and tabled this motion. I do see the risk of violence against the idea of one integrated government. It doesn't matter who takes it, whether it's the IRS or the D.A.'s office. If you build in an incentive that brings back the money that is being taken away by the public prosecutor, for example, to the region, then there may be competition in who is going to take the money. Does Mrs Van Toorenburg see that risk? Can it include this concern in the proposal it is making and in the question to the Minister on this matter?
ParlaMint-NL_2017-02-14-tweedekamer-38.u11	It is always very clever to put questions like this to the cabinet too: in this case. The mayors and the different regions indicate that they themselves invest a great deal in the extra approach. That's gonna cost them a lot of money. I want them to be able to keep doing that. If there is a fund filled with deprivation, then you could let it flow back. That's what the working party's working on. I think we should be able to achieve that with each other. I know there are a lot of fences, especially at the Treasury, to get that done, but the call is from the State, the administration and the victims. I think we should take that step together. I have another motion. We too have listened carefully to the mayors who have shown a clear cri du coeur in the newspaper this morning. I want to do it a little bit wider than the SP does. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the mayors of the five largest cities and the King's Commissioner in North Brabant have drawn up a delta plan to better combat organised and undermining crime;]] [[Whereas the measures proposed therein are in line with the work of the Task Force already established in the South of the Netherlands and implementation of these measures is of great importance to support North Brabant in the fight against organised crime;]] [[calls on the Government to inform the Chamber of how it is implementing the additional proposed measures as proposed in the delta plan,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Toorenburg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29911-146]]
