ParlaMint-NL_2017-02-21-eerstekamer-5.u1	I have already welcomed the Minister of Security and Justice to the First Chamber.
ParlaMint-NL_2017-02-21-eerstekamer-5.u2	Mr. Chairman. Today we are discussing the implementation of the Victims Directive. This Directive contributes to the harmonisation of the legal status and protection of victims of crime within the European Union and in a substantial number of Member States to the improvement of that status. My group welcomes this improvement and also sees this harmonisation as a logical consequence of the harmonisation of criminal law itself that we see within the Union. I would like to thank the Minister for his reply in the written rounds. My group continues to raise one issue, namely access to care for undocumented victims. The Directive is clear: in Article 9, the Directive provides that specialised aid organisations shall provide for a refuge or other appropriate interim reception for victims who need a safe hiding place. Member States should ensure access to such reception and should not distinguish between residence status. The Minister admits that, too, so that's profit. However, my group cannot follow the Minister's approach to the implementation of this obligation. According to the Government, this right of reception does not need to be enshrined in the law for three reasons: because the directive does not require this, because the right to equal treatment has already been established in the Netherlands and because non-legal residence does not, in principle, constitute an obstacle to reception. The Wmo itself, which has to implement the access for undocumented persons, does indeed exclude non-legal residents. We therefore continue to be surprised why the law is not being amended as a result of the directive. A ban in the law while there is a commandment in the directive, is asking for problems in its implementation, can undermine the purpose of the directive and therefore threatens the effectiveness of the directive. Finally, funding and the organisations themselves have been set up to exclude undocumented persons. How is that compatible with the positive obligation of the State to ensure that no victim is excluded? Why does the government not regulate this exception to the Linking Act in the relevant laws and regulations? As regards access to reception itself: in practice, the Minister believes that there is no obstacle, but at the same time he will take stock of the problems of access and look for solutions to guarantee the right to care for undocumented victims of domestic violence. We welcome that, of course. During the inventory, the Minister will also examine those who have applied for a residence permit on humanitarian grounds. We ask the Minister to inform the Upper Chamber of the solutions found following his exploration. In the further reply, the Minister states that he is not aware of how often undocumented victims of domestic violence are refused access to the shelter because of their residence status. This seems to our group to be all the more reason to ensure that there will be sufficient registration and monitoring in the future, so that action can be taken in good time if the practice of exclusion continues to be too persistent and so that the Netherlands can demonstrate compliance with the directive. So much for the shelter of victims of domestic violence. With regard to other types of reception of undocumented victims, the Minister seems to be referring to reception in the return locations, the freedom-limiting locations. This point suddenly occurred in the further reply. My group has a few questions on this. This seems to us to be totally inadequate in the context of specialised care and, moreover, contrary to the principle of equality laid down in the directive. We believe that it should be about Wmo-care, as can Dutch victims. In the bed-bath-bread statements it is stipulated that the freedom-limiting location is not a Wmo-care facility. Does the Minister share this view? And if so, is he prepared to bring this law into line with the directive in order to ensure that the care provided actually reaches the level of WMO reception? If the Minister does not believe that Wmo-care is indicated for undocumented crime victims, how does he bring this differentiation in line with the principle of equality that is sought in the directive? How does he ensure that the necessary specialised care is offered in the freedom-limiting location? I am asking a general question about this, but it also affects some of the victims. How does the Minister ensure that the freedom-limiting location is accessible? In practice, accessibility is a major problem and we believe that this will be no different for victims. The condition for such reception is that the person concerned cooperates in return. In practice, this evidence appears to have to be provided by the victim prior to the reception. This evidence is very difficult to provide in practice, especially for victims who may be traumatized or at least seized by their problematic situation. Is the Minister aware of this practical obstacle? Do victims have to meet the compliance criterion? And if so, how is that compatible with the directive, which requires unconditional reception? To the extent that the participation criterion applies, the rule should not at least be worded as follows: you have the right to care and during this reception you should cooperate on return and should you comply with the rules? In other words, is the burden of proof for finding that the person does not cooperate on departure not to lie with the government? My group reads this in the case law of the Central Board of Appeal and the Council of State, but receives signals from practice that the undocumented is placed in an impossible position of proof. Let us be clear that, according to my group, these rules and conditions should not apply to victims. We would like to hear the Minister's answer. It is also important to know where the burden of proof lies and how victims are identified as such. Here, too, there should be no need for a victim who cannot justify his victimisation with facts to have access to the shelter. That person may not be able to do that at all. This will require a professional test. If the victim is already under professional treatment, the doctor will have to take care of the transfer to a doctor at the site. It should not be the case that the victim has to bring his own file to enter, as we understand from practice. Finally, we are hearing about another obstacle, namely the condition that there should be a real view of departure within 12 weeks. Is that right? And if so, what is this additional condition based on? Is it not the ruling of the European Social Rights Committee or its interpretation by the Central Appeals Council and the Council of State? I would once again like to ask whether these additional conditions are also being applied to victims. My group is aware that these are technical and practical questions, but they stem from the Minister's answer that the reception of victims is good because we have the freedom-limiting location. The signals from practice cast great doubts. Has the unconditional reception of undocumented crime victims been secured? I hope, of course, that I will get an answer, but I also hope that the Minister will understand that he will have to extend his exploration, which he has already indicated in the first instance, on these points and that he will not be satisfied with a simple reference to the freedom-limiting location.
ParlaMint-NL_2017-02-21-eerstekamer-5.u3	Mr. Chairman. The SP Group is pleased to note that the government intends to extend and improve the position of victims in various areas in the current legislative proposal, on the basis of the European directive. We wholeheartedly support the intentions of the legislative proposal, because it is absolutely necessary to improve the position of victims. However, I still have a few questions and comments. My first question is what is going on with respect for and enforcement of the rights of victims in our country. It is commendable that the rights of victims are now being extended and improved, but this does not mean that these rights are actually guaranteed as they should be after they have been improved under the directive and the legislative proposal. Unfortunately, I have to note that many victims remain in the cold in the current criminal practice because their rights are not respected or are not properly respected, in particular their enforcement and enforcement. Why is that? The Minister will be familiar with the debate I had with his predecessor in this house last December in response to the budget of the Ministry of V and J for 2017. On that occasion, I drew the Minister's attention to the many ominous reports about the deficiencies in the police and the prosecutor's office. I noted that the Minister had recently acknowledged in the House of Representatives that there were major problems with the police, that absenteeism was still far too high and that the efficiency measures had not been achieved. On the basis of a series of practical examples, I have shown how precarious the situation was with the police and, unfortunately, still is. Unfortunately, following that debate last December, a number of serious incidents were brought out to the police again. A survey carried out by the ACP among its members showed, among other things, that the police are dealing with a constant shortage of resources, powers and people. In the recent report of the regional mayors and prosecutors, entitled "A robust and forward-looking police!', an open discussion of an investigation deficit and an enforcement deficit. Jensma wrote in the NRC about a report in which the misery of the prosecutor, the police and the local government is brought together. I will then confine myself to the sections of the report which concern the position of victims. The report shows that far-reaching measures are needed to strengthen police quality and quantity. According to the report, detection should be brought to a higher level and investment in people should be made. The reduction in police personnel already in progress must be stopped and 4,500 additional staff urgently needed. In addition, the authors of the report argue that the quality of the police should be increased and that investment in resources should be made. This will require an additional structural investment of EUR 927 million. I'd like to hear the Minister's comments on that. The annex to the report explains why there is also a serious shortage of detectives, affecting in particular the position of the victims. I quote: 'However, in practice it is increasingly common for necessary choices to be under pressure or not to be made because of a shortage of capacity in quantitative or qualitative terms'. It is also pointed out that there is a large gap between the measured victimisation and registered crime. I quote: "In 2015, 18% of the population over 15 years of age reported becoming victims of a crime. A total of 34 crimes were reported per 100 inhabitants. Extrapolating that number to the total population (...) leads to approximately 4.5 million crimes in 2015. However, crime registered by the police is substantially lower. The police registered 960.00 crimes in 2015, mostly following a report. This is a difference of 3.5 million with the number of crimes reported by victims." My first question to the Minister is: does the Minister recognise and recognize these figures? My second question is: does the Minister share our conclusion on the basis of these figures that this process is damaging the interests of many victims? The third question is, of course, what measures is the Minister prepared to take in the short and medium term to put an end to this deterioration in the position of the victims? In addition, the report shows that 57% of the 960,000 offences notified to the police were not dealt with by what is called "choice in the assessment steps at the beginning of the search process." Of the 422.000 cases that were dealt with, 177.000 files were completed without a suspect being identified. A total of 225,000 files were completed and submitted to the D.A.'s office or otherwise. Of the files submitted to the D.A.'s office, 37,000 were immediately assessed with a dismissal. The remaining files were brought into the prosecution process. Thus, 18% of total reported crime in 2015 eventually led to influx into the prosecution process or was eliminated alternatively. This phenomenon is also referred to as funnel effect, according to the report. My question to the Minister is this: does the Minister share my view that, in a well-functioning rule of law, it is not acceptable that, on balance, more than 80% of the crimes brought to the attention of the police, the victims remain empty-handed? If not, why not? But more importantly, if so, what measures is he going to take to ensure that the rights of these victims are properly implemented? Another harmful effect for victims of the breakdown in the police is seen at the long lead times in the prosecution phase. It is often the case that there is a great deal of time between the submission of the investigation file to the prosecution and the time when the case is being dealt with in court. Afterwards, treatment sometimes takes a very long time, with the result that suspects are often reduced or even dismissed from legal proceedings for exceeding a reasonable period of time. How does the Minister intend to defend the victim's rights in this situation? Or, in spite of the European directive and the bill, does the Minister leave these victims in the cold? It is clear that the SP Group wishes to endorse the following conclusion of the report: "If we want to maintain social confidence in criminal law and remain able to cope with the scale and developments of crime, we need to invest in more and better qualified staff." I should like to hear from the Minister whether he is prepared to do so in the context of the protection of the victims of crime. My second comment concerns the enforcement and enforcement of victim rights. The SP Group has taken note with interest and appreciation of the Minister's answers to questions raised by the SP Group. The Minister noted that in the series of actions in the search and prosecution process things sometimes go wrong and that each chain partner has its own responsibility in it. The Minister also states that there are certain victims' rights in which the victim is provided with legal remedies, but that there are also rights which do not provide for a remedy or any other form of judicial review. On the basis of examples, the Minister makes clear why he believes that introducing remedies cannot provide a comprehensive effective solution to all cases of non-compliance with rights and provisions. The Minister also notes that it is important that victims' rights are part of the daily practice of organisations in the justice chain. We agree with this interest, but we also believe that if the rights of the victims are not sufficiently guaranteed, it is reasonable and appropriate in a rule of law that those rights can be enforced, if necessary, by means of legal remedies. Does the Minister share that view? If not, why not? And if so, what action does the Minister intend to take? I'm getting to the lock. We note that in the case of a victim who is unjustly not invited to a hearing, the action against the injured party is not dealt with in court, the defendant is convicted, and the prosecution and the suspect do not appeal, apart from the victim's ability to file a claim for damages against the prosecution, the government has acknowledged that the victim has an interest in not being dependent on the defendant or the prosecution bringing an appeal. The Government adds that it has included such a proposal in the Contours Note on the proposed modernisation of the Code of Criminal Procedure. The Group of the Party of European Socialists supports the government's intention, but at the same time believes that such a solution in favour of the victim should no longer be delayed and should already be implemented. The SP Group would like to know whether the Minister is prepared to amend or supplement the bill in this direction now, or at least in the short term. I look forward with interest to the Minister's response.
ParlaMint-NL_2017-02-21-eerstekamer-5.u4	Thank you very much, Mr Ruers. Does one of the Members still wish to speak in the first term? That is not the case.
ParlaMint-NL_2017-02-21-eerstekamer-5.u5	Mr. Chairman. I would like to thank Mrs Strik and Mr Ruers for their general support for the implementation of the directive. I assume that the same applies to those Members who have waived the floor. I will answer Mrs Strik's questions first and then Mr Ruers' questions. Mrs Strik asked why we do not amend the law so that the linking principle does not apply to victims and their access to facilities. The reason for this is first of all that we do not believe that this is necessary, because, even without additional legislation, this task can be created by agreeing on the reception and financing that can eventually be decided upon. Moreover, the directive does not instruct us to make separate legislation for this purpose. However, we are doing additional research, Mrs Strik pointed out this in collaboration with VWS' colleague, in order to determine whether there are in practice bottlenecks in the case of victims.
ParlaMint-NL_2017-02-21-eerstekamer-5.u6	Let's talk about the first point. The Minister says that we do not have to change the law because we can regulate it in lower regulation. But then the undesirable situation arises that lower regulation is contrary to the law in a formal sense?
ParlaMint-NL_2017-02-21-eerstekamer-5.u7	This could be regulation that deals with funding or reception. That doesn't have to conflict with each other.
ParlaMint-NL_2017-02-21-eerstekamer-5.u8	The Wmo indicates that access is excluded for undocumented persons. If you then regulate in more detail that they do have access, isn't it logical to build up our system of laws and regulations? Shouldn't that be provided for in the Social Support Act?
ParlaMint-NL_2017-02-21-eerstekamer-5.u9	The explicit regulation of access in the Social Support Act would create another contradiction, namely with the Linking Act. This is a difficult area. I will go into the two different categories in a moment, because there is a special provision for victims of domestic violence. But when we say at the same time that someone has no right to stay and say in another law that we offer such a person facilities, we create a complicated situation anyway.
ParlaMint-NL_2017-02-21-eerstekamer-5.u10	We have done the same with a number of other rules. We have done so, for example, in the Youth Act, in medical care and in education. Where we ourselves believe that we are obliged to provide this to undocumented people, because they are basic services, or where we are obliged to do so under international and European rules, we have regulated this in the law. The Linking Act is a main rule, but the exceptions to it are always found in the relevant laws.
ParlaMint-NL_2017-02-21-eerstekamer-5.u11	Of course, but in this case, the cabinet sees no reason to do so because it believes that reception can be provided where it is justified. These are two different groups. On the one hand, these are foreigners who have been processed and are not legally resident in the Netherlands. They can obtain shelter in a freedom-limiting location. If there is a need for care during the stay, in any form whatsoever, the Central Commission for the reception of asylum seekers is responsible for access to that care. This also means that residents of such a freedom-limiting location can call on Victim Support Netherlands. On the other hand, it concerns another group of victims, namely those who have applied for accommodation on humanitarian grounds in connection with domestic violence or honour-related violence. They are legally resident in the Netherlands during the period of their application. In practice, this group is taken care of by the women's shelter and municipalities. That's the group the research is focusing on. Mrs Strik asked me to inform the Chamber of the outcome of that investigation and any measures that might be taken. Of course, I'd be happy to. Mrs Strik asked whether a victim falling under the first category should explicitly participate in expulsion in order to qualify for reception. This was decided by the Central Appeals Board on 26 November 2015. It concluded that the possibility of accommodation in such a restricted location is in line with the Treaty-law protection invoked in the procedure for foreigners. The Centrale Raad van Beroep also involved the decision of the Council of State on the situation in which the foreign court has simultaneously ruled on obligations of participation in the departure of a residence in the freedom-limiting location. It follows from that judgment of the Council of State that, in principle, it may be at the risk of the foreigner if he does not cooperate in his departure. At the same time, the Secretary of State for Security and Justice must take into account that special circumstances may arise where he cannot require the foreigner to cooperate in his departure. Such special circumstances may occur as long as it appears that because of his mental state the stranger cannot see that he is not sheltered by the Secretary of State if he does not cooperate. Mrs Strik asked how it is ensured that adequate care is guaranteed in the alien chain and in the freedom-limiting locations. As I have just said, the Central Commission for Asylum is responsible for the accessibility of care, which actually includes all forms of care, including victim care. This respects the principle of equality. It just has to be quality care. Mrs Strik asked whether this would mean that the data subject with a file under the arm should be responsible for the provision of data. In the case of medical data coming from another treating doctor, this is not necessary because the care is still provided by the same body. This is also due to the fact that there are legal obstacles to sharing medical data between different parties. In order to prevent a doctor from knowing about the medical history of the person concerned in the freedom-limiting location, the person concerned is asked to provide the medical data himself. Mrs Strik asked whether access to the freedom-limiting location would be made more difficult because the process had to prove that he wanted to cooperate in departure and, if so, whether the burden of proof would lie with him. The burden of proof does not necessarily lie with the applicant. There is no need to submit documents in advance to show that people want to cooperate in departure. Wanting to participate in departure is derived from historical data from the file and, above all, from a conversation with the person concerned.
