ParlaMint-NL_2017-11-08-tweedekamer-11.u1	The next item is the debate on the Kingdom relations budget.
ParlaMint-NL_2017-11-08-tweedekamer-11.u2	Today, the Secretary of State answers the questions raised by the Court in the first term. By the way, welcome. Before I give the floor to the Secretary of State, I would also like to welcome the people in the President's Lodge. These are the authorized ministers of Aruba and Saint Martin, Mr Yrausquin and Mrs Doran-York. They are accompanied by their assistants, Mr Kock and Mr Van Rooij. You're very welcome. I call the Secretary of State.
ParlaMint-NL_2017-11-08-tweedekamer-11.u3	Thank you, Madam President. It's special to be standing right here in this place. I must say that yesterday I was very welcome and very much congratulated by the Chamber. I would like to thank the Chamber very much for that. Some members even wished me wisdom and strength. I expect to be able to use it well, as well as the 'warm heart' and the 'cool head' that Mr Bosman wanted me to use. Two weeks after my arrival, I can discuss the Kingdom relations budget with you. That comes after an eventful year. A year in which Sint-Maarten, Saba and Eustatius were struck by heavy hurricanes, the consequences of which will continue to dread for a long time. And it was a year, we haven't forgotten, that both Curaçao and Aruba had a new government, although the formation on Aruba isn't quite complete. A year in which the relationship with the Netherlands was sometimes strengthened, but in which we have also rediscovered the importance of stability, cooperation and solidarity. Mr President, yesterday I first felt the involvement of the whole Chamber with our Kingdom. I also look forward to working together in the near future. If I may, on the basis of three cubes, I shall do so in this Chamber, with cubes; then the President will know where we are going to answer the questions and make a number of statements. First of all, emergency aid and reconstruction, including the current political situation in Saint Martin, then the issue of good governance and how I intend to implement it, and finally the coordinated and practical approach to especially socio-economic problems in the Caribbean Netherlands. Mr. Chairman. At the beginning of September, like all of us, I followed with dismay the reports of the devastation caused by hurricanes Irma and Mary on Saint Martin, Saba and Saint Eustatius. Hurricane Irma had a disruptive effect on the daily life of the inhabitants, especially on St.Maarten. Not only have the buildings and vital infrastructure been damaged, there was and is a lot of personal suffering. Although Saba and Sint-Eustatius were just outside the devastating path of Irma, Hurricane Irma has done a lot of damage here. In addition to the houses, the port of Saba and the landing site on Sint-Eustatius are damaged. As soon as the hurricanes pass, emergency aid has started to be provided to the three islands. I am pleased to see that all the countries of the Kingdom have worked together to achieve this. It indicates that the power of action of the Kingdom is great at the moments that really matter. The aid action of the Red Cross shows that the European Dutch also feel involved in the Caribbean parts of our Kingdom. In recent weeks the Dutch government has invested heavily in helping Sint-Maarten, Saba and Eustatius. The great commitment of many people has been extremely important, including that of hundreds of soldiers, police officers, ambulance workers and civil servants. An air bridge has been set up for the transportation of people in need of medical assistance and, among other things, His Majesty's Charles Doorman has delivered goods, such as tarpaulins, construction equipment and garbage trucks. A lot of work has also been done to re-open all schools. I am proud of this speedy and effective commitment and would like to express my deep appreciation for all those who have contributed. The emergency phase is due to end on 1 December, but aid is still coming and its aid workers are active on the islands. By accepting this position, I committed myself to shaping a strong Dutch contribution to the reconstruction of the three islands. From day one, I've been committed to this dossier with enthusiasm. I immediately took a number of steps to start early reconstruction. I've been in frequent contact with the governor of Saint Martin. In all these talks, I have called for swift acceptance of the clear conditions of the Netherlands, so that the people of St.Maarten can also see a rapid improvement in their situation. And as you know, this is about setting up the integrity room and strengthening border surveillance. I also asked the governor to provide further information and an appreciation of the practical and legal feasibility of holding elections during the current crisis situation. I also asked him to appreciate the central polling station of Saint Martin, which some of you spoke about yesterday. I will now answer a number of specific questions on emergency aid and reconstruction that Members raised yesterday in the first term. Mrs Van Tongeren asked how we would ensure that the people of Saint Martin, Saba and Saint Eustatius have a good future perspective. This naturally starts with the hurricane-proof construction of the homes that have been destroyed and prepare the country for a possible new hurricane. In addition, attention should also be paid to the socio-economic impact. From the moment the hurricanes hit the islands, the Dutch government has made a direct effort to improve the situation there. For example, repairs have been carried out to the vital infrastructure. Roads are accessible again, the port, the airport and the hospital are operational again, the electrical generating capacity is 100% again and there is also plenty of food, water and medicine available. However, additional work is still needed in the context of reconstruction in a number of sectors, such as the full recovery of the airport, waste disposal and prison. At present, the Dutch government has provided substantial emergency aid to the three islands. In this phase of emergency aid, the highest priority is to provide assistance to those in greatest need. That has therefore been the central issue. Also in the phase of planning about the Dutch contribution to reconstruction, the people most vulnerable will have the attention. I'll be right back to talk about that. For Sint-Maarten, the Dutch government is prepared to make a substantial contribution to the reconstruction of the country. I feel with you the urgency to start this reconstruction soon, given the situation on the island. Mr Van Raak rightly pointed out yesterday that this reconstruction cannot wait and should not be part of political games. I fully agree with him. He therefore asked for insight into the plans and wanted to know who the performers were. That's a fair question. I understand that question, too. He indicated that we want to help as many people as possible on the island itself and not consultancies. I will not repeat the names he mentioned, because this is not a commercial after all. I, too, attach great importance to exploiting the potential of the local labour market. However, it is still too early for me to inform you exactly about the scale of reconstruction, simply because the decision-making process has not yet been completed. But it will be a considerable sum; I can tell you that. I will inform you in the very near future if there is more information. You can expect that soon.
ParlaMint-NL_2017-11-08-tweedekamer-11.u4	Were you done with this point?
ParlaMint-NL_2017-11-08-tweedekamer-11.u5	Not that, but I saw that this was a natural moment for Mr Van Raak to interrupt.
ParlaMint-NL_2017-11-08-tweedekamer-11.u6	Yes, I have also seen Mr Van Raak, but I would suggest that the Secretary of State conclude this point. Then you will have the opportunity to ask questions, Mr Van Raak. Please continue.
ParlaMint-NL_2017-11-08-tweedekamer-11.u7	I'm like laundry in your hands, Mr. Chairman.
ParlaMint-NL_2017-11-08-tweedekamer-11.u8	Me too.
ParlaMint-NL_2017-11-08-tweedekamer-11.u9	And so is Mr Van Raak. That's very special.
ParlaMint-NL_2017-11-08-tweedekamer-11.u10	I'll hold you to that. I've memorized it well.
ParlaMint-NL_2017-11-08-tweedekamer-11.u11	Mr Bosman asked me to make it crystal clear when the plans for the reconstruction of Saint Martin become concrete that this is project-like and that the money we put into it is spent responsibly and transparently. I agree with him on that, too. I believe that the Dutch financial contribution to the reconstruction of Sint-Maarten will benefit the inhabitants of Sint-Maarten, because that is what we are all doing. That's exactly what I heard yesterday. The Dutch money must be spent in an honest and transparent manner. Mr Bishop asked me to reflect on these conditions, given that Saint Martin is an autonomous country within our Kingdom. We want to get to work quickly to help the population in a way that directly benefits the population, with the resources deployed being spent efficiently and lawfully. This means, among other things, that projects must be carried out in a fair manner. That integrity room, which we have always asked for, is an absolute condition for giving money at all. I can't say that enough. We would like to help the people of Saint Martin, but that means that we have to make sure that the money ends up in a good way. I want to make no mistake about that. Arriving at that integrity room, some members asked about the role of this chamber in reconstruction. In the letter of 13 October last year from my predecessor to the Prime Minister of St.Maarten, the integrity chamber was, among other things, a precondition for financial support for reconstruction. So that integrity chamber should also be able to function. It must be an independent body that gives advice and makes proposals on integrity policy to the Government of St.Maarten and, where there are suspicions of integrity violations, also carries out research. Furthermore, as has already been mentioned, I cannot at present inform you of specific aspects of reconstruction, because the Government of Saint Martin has not yet accepted these conditions. We do have a majority in the States, though, I have already indicated that this is a positive thing, but the government has not yet done so. When St Martin agrees to these conditions, I will see how third parties and international organisations can play a role. Mrs Kuik spoke about this yesterday when she talked about the World Bank. We're in touch with that. The World Bank is also a great partner to be able to participate in this. That needs to be further worked out. I'm having a first talk about that next Friday. As soon as I know more about this, you will also be informed of the commitment to Mr Van Raak. Some members asked some more practical questions about the Dutch commitment to reconstruction. Mrs Van Tongeren asked how I looked at the possibilities of making houses on Sint-Maarten more sustainable and Mrs Diertens referred in her question to an article in Trouw, in which experts recommended relatively simple and cheap solutions to make houses hurricane-proof. I can tell you that it is in the interests of the people there but also in the interests of the Dutch Government..... that we want to spend the money there in such a way that it is sustainable in time.............................................................................................................................................................................. Of course, investments are often higher when you take such measures, but if it can ultimately be profitable, you should do so right now, precisely in this situation where houses literally have to be rebuilt from scratch. So that's a good time to look at that. It's not like I'm gonna be a builder on Saint Martin in the position I'm in. The people will do it themselves, under supervision of course, so that the money is well spent. But I will at least say that, as far as we are concerned, these sustainable solutions are being applied as much as possible. For the inhabitants of Saba and Sint-Eustatius, the Dutch government has a different responsibility than for the inhabitants of Sint-Maarten. This has to do with the structure and the Statute. The cabinet has agreed that wherever the departments have their responsibilities, they must also take them. That's what's gonna happen. For example, the Tax Administration deals with the people who cannot comply with their tax obligation and the Ministry of Economic Affairs has set up a ferry service between Saba, Saint-Eustatius, Saint-Maarten and Saint Kitts. Much of the damage repair, for example to ports, airports and homes, falls under the island responsibility of Saba and Sint-Eustatius. However, I have also noted that the islands do not have sufficient financial resources to tackle this task, and that is why we are currently taking stock of the overall damage to both islands and the solution that can be offered. I will also inform your Chamber on this point in the short term. Several members asked me to deal with the political situation on St.Maarten. As your Chamber is aware, the Government of Saint Martin has offered its resignation after a motion of censure had been accepted in the States. Two motions have also been tabled, one of which called on the government in particular to give its full and full agreement to the conditions which my predecessor had sent to the Prime Minister in a letter. That is a positive signal, and, also in connection with yesterday's debate, I would like to say that whatever government there is in Sint-Maarten, this government is an interlocutor for the Netherlands. Of course you could say that we prefer a missionary government. That's what we have in the Netherlands. But any missionary government can be demissionary in theory tomorrow, so it's a fake security to pursue that. It is, therefore, a question of the government that sits in this House agreeing to these agreements and conditions, just because we cannot afford to make it a political game, to wait for it until there is a so-called stable government. For the only people who suffer from it are the inhabitants of Saint Martin. Elections have been held for 8 January 2018 and the governor, with whom I am therefore in regular contact, is currently holding consultations on the appointment of an interim cabinet instead of the current missionary Marlin cabinet. The governor appointed Franklyn Meyers as a reformer yesterday. Several questions have been asked, for example by Mr Bosman and Mr Van Raak, about the dissolution decision of 3 November 2017, the decision to dissolve the States of Saint Martin, and about the possibility of postponing or aborting the elections of Saint Martin. Disbandment of parliament belongs to the autonomy of the country of Saint Martin. The adoption of a country decision is then the responsibility of the governor, as head of the government of St.Maarten, i.e. as a land body. He then acts under the political responsibility of the Prime Minister of Saint Martin. The power to dissolve the parliament is an important power of the government, which is a counterweight to the power of the States to send the cabinet home. The State Order of Sint Maarten requires that within three months of the dissolution decision, in this case no later than 2 February 2018, the States meeting in new composition. A number of members expressed concerns about the holding of new elections in Saint Martin, given the state in which the island is now in. Let me be very brief: I fully share those concerns. I therefore asked the governor in writing last Monday for further information from himself and from the President of the Central Voting Office of St.Maarten on the practical possibilities and opportunities of elections on 8 January 2018. After all, the importance of fair and free elections, which are not contested because they are not well organised, is very great. In the meantime, I took note of the practical and legal objections raised by the President of the Central Voting Office by Mr Bosman yesterday. A number of you asked: does the Dutch Government, the Kingdom Government, intend to intervene on the basis of the guarantee function in order to guarantee fair elections and, according to Mr Bosman's option yesterday, postpone the matter for a while? I would like to stress that intervention in autonomy is an extremely difficult measure, especially when it comes to the exercise of the power of the Government of Saint Martin to dissolve the States. This must therefore be based on a very serious justification. I'm gonna wait for the governor's further information. I've been in touch with him today. He has promised to send me a letter before or at the weekend following his talks with the President of the Central Voting Office and with the Prime Minister. On the basis of that letter, I would like to make an assessment of the situation that has arisen. Of course, I will then report to the Chamber on this. In summary, the Dutch government cooperates with any cabinet that is willing to cooperate and has accepted our terms. The governor has started consultations to investigate the possibility of an interim cabinet. This situation must not lead the people of Saint Martin to wait for the start of reconstruction. However, the proposals for border control and the integrity room are and will continue to be endorsed. Mrs Van Tongeren asked if we could offer help in organising the elections in Saint Martin, if requested. This is possible under Article 36 of the Statute of the Kingdom, but, of course, it is only when we are clear whether elections can take place in these circumstances at all. And, of course, there must be a request for it. Mr President, this was the end of the first block.
