ParlaMint-NL_2017-04-12-tweedekamer-3.u1	I would like to welcome the Minister and my colleagues.
ParlaMint-NL_2017-04-12-tweedekamer-3.u2	Mr. Chairman. Anyone who delivers a great sporting achievement has a chance of receiving a telegram from the King. But the rest of the world only knows "telegram" as a messaging app for his or her phone. However, at the moment, our Constitution only protects the secret of letters, telephones and telegraphs. The government can't just open letters, eavesdropping on phone calls or intercepting telegrams. But today, the largest communication flows go by other means, and they are now constitutionally unprotected. This does not do justice to the importance of being able to communicate confidentially with each other. Free exchange of views is an essential part of a democratic rule of law. Without that trust, people apply themselves to censorship. We see that often happen in dictatorships and unfree democracies in many places in this world. A lot of things remain so unspoken. In the long term, this can even lead to a restriction of freedom of expression and formation. What one does not hear cannot be considered either. The Netherlands is, of course, a democratic rule of law. Our Constitution must therefore protect this confidential exchange of views. She did, but the way it works has been lost, because people have increasingly started communicating in digital ways. In 1983 no one had foreseen the present digital society. Given the very difficult process of amending our Constitution, constitutional guarantees must therefore be technologically neutral. Otherwise, we'll be following the facts all the time. Then the government has an incentive not to update the Constitution. Both would be undesirable in our view. When it comes to communication, that technology neutrality means that everyone can choose for themselves, by what means he or she communicates. So that shouldn't matter. It should not be the case that one means is better protected than the other. This choice should not therefore be directed by different levels of protection for different means, such as the letter, email, telephone or whatsapp. In this respect, we consider this bill to be a major step forward, a good and future-proof modernisation. That is also because the government explains the term "telecommunications" quite literally: it is all about medium communication, regardless of the technique behind it. It also responds to new, not yet known, unforeseen technological developments. If they do, they will also be subject to constitutional protection. In addition to these words of praise, I also have some questions about when and for how long something is considered communication and about the scope of the proposed article. Is that article wide enough? I would also like to know whether the chosen grounds for limitation chosen by the cabinet are sufficient. I'll start with the definition of communication. It is important to know what should and should not be understood as telecommunications. If an expression is protected by the freedom of expression or by Article 7 of the Constitution, or by Article 10 of the Constitution, which deals with respect for privacy, no prior judicial review is necessary to limit it. As far as letter and telecommunications secrecy is concerned, the proposed article that we are discussing today, Article 13 of the Constitution..................................................................................................................................................................................... This distinction is also relevant given the origin of the letter and telephone secret. Before intercepting a letter, the government used to have limited time, the few days between the moment of posting the letter and the moment that letter was delivered. A phone call could only be bugged during the duration of the conversation itself. But many mails, letters, voice massages and apps are now stored on third-party servers for years, even after the recipient has read them for a long time. All this time, they're gonna be available for government reading. Will it remain communication within the meaning of Article 13 of the Constitution all this time? In many cases, therefore, does legal protection remain required for reading this stored communication or does the level of protection change after the message has been read by the recipient, whereas it is then stored for many years with persons for whom that message was never intended, but who do have a role in the dissemination or storage of that message? What about all the Internet or things devices? We used to have a chairman who didn't like that term, because it was an English term. I will therefore talk about the Internet of Things. These are devices that are connected to the Internet. There are more and more such devices and billions of devices are added to the Internet every year. You know that the safety of these devices is bad, because D66 submitted an initiative note a few months ago to make those devices safer. However, it is now about the communication side of the Internet of Things. The question is whether the data transmitted by those devices connected to the Internet are telecommunications within the meaning of the Constitution. I would ask the Minister to do the same. It's a bit of a definition issue, but not a wanted definition issue, because this is really a mega-development. More and more devices are connected to the Internet and they also send messages. They have a function and some have the function of communicating with other devices or with other organizations. So the question is whether this kind of data that is sent is communication within the meaning of the law and whether legal power is needed to intercept it or not. For example, a refrigerator can automatically place an order at the supermarket. There's such a fridge these days. In a way, that's communication. After all, it is an authorized message on your behalf, addressed to a specific person and containing content, namely a shopping list. Is that part of the telecommunication secret? And what about, for example, hacking a laptop if there is a letter on the local disk? What fundamental right is that letter protected? And if with that hacked laptop, tablet or phone via the camera a letter can be read that is on the kitchen table, what does the combination of the different basic legal protections look like? The core of these kinds of questions is the following. We have a plan from the Cabinet to lay down a technology-neutral law. I would like to ask through a number of examples, in the future they may be even more pregnant, how this works out in relation to the cabinet's proposal and the practice in that regard. My second point concerns something that has also changed in recent years at a speedy train speed, namely the use of so-called metadata, the traffic data. That is not about the content data, the content of a message, but much more about the link with a location and with a person you call. So it is not about the content itself, but about the traffic data, as the cabinet always mentions in this legislative text. I hope, by the way, that this term 'traffic data', which sounds very relaxed, was not chosen to conceal the fact that this could be very personal data. It's not just technical data that you just happened to be somewhere or that you happen to be calling certain people. No, all these data together tell a lot about you and in a way are also just substantive data. If you often call someone, text or append, the place from which, the intensity and frequency with which you do so, say something. So that is almost as personal as the content of the conversation itself. The explanatory memorandum to the legislative proposal begins well on this point. The ECHR, the European Charter of Human Rights and certain literature are cited to state that user data is subject to the protection of privacy. This is in itself a positive view from D66, but then a rather difficult step from the Minister follows. He is suddenly making a distinction in the protection of telecommunications secrecy. User data that says something about the content of the communication, such as the title of an email or text messages, he wants to protect, but he does not want to protect other user data. With whom you call for how long, where and when, is therefore unprotected in the interpretation of this new constitutional article. My group believes that this is a wrong choice. The justification for this choice of the cabinet, which my group does not follow, is taken from an opinion of the 2001 Council of State. It's 2017. Sixteen years ago is in some ways not that long at all, but in this case, when it comes to the change of our way of communicating in the digital age I was just saying something about "Of course it's an eternity." It's been an infinite time of change. It is precisely then that an old opinion of the 2001 Council of State might not be the best basis for such a sensitive choice. My group is calling for attention to be paid to this. According to the opinion of the Council of State, the monitoring of user data could affect the freedom of communication, but not the confidentiality of communications. After all, it does not see the content of the conversation. But it can lead to people choosing other means of conversation. The cabinet also cites the Franken Commission to justify the distinction made. That report from the Franken Commission dates back to 2000. So that's another year older than the Council of State's advice. That report states that there is no need to bring user data within the scope of the protection of constitutional Article 13. Again, how relevant are these opinions? They date far from the era for smartphones, clouds, tablets and therefore also far from the metadata age in which we now live. The government's advisory bodies have not been idle, as there is also an opinion from the 2014 Council of State. That opinion is about a legislative proposal and it is a very different picture from that same Council of State. In it you read that the user data provides the possibility, i.e. metadata, to take intrusive knowledge of one's privacy, especially if the government also has data from other sources. In other words, an old advice from the Council of State used for this law is being used to make a choice not to protect metadata, traffic data, while there is a much more recent report from that same State Council that is much more up-to-date and much more consistent with the current way of communicating. It is true that the Council of State believes that the unprotected metadata can indeed give a very clear picture of privacy. The larger number of personal data, modern ICT and data mining, the collection of all kinds of data, means that the infringement of the collection and analysis of this data is much larger than before, much larger. It is a trend which I suspect will only continue in the coming period. Is it not misleading to refer to almost 20-year-old opinions in the explanatory memorandum? Will the Minister respond to that? Why does the Minister not opt for the main line that all communications data, both content and metadata, are covered by the telecommunication secret? Doesn't that offer much more security and better future resilience? Yesterday, the Minister spoke in great detail about the guarantee function of the Constitution. Yesterday, the Constitution was also discussed in this House. Mr Ingrid van Engelshoven, our new colleague in the group, even made her maiden speech about this. I would ask the Minister if the removal of this artificial distinction between those two types of communication is not the perfect opportunity to live up to those words. The Second Chamber is a co-legislator. I have therefore considered submitting an amendment, a proposal for a legislative amendment, to ensure that traffic data is also covered by the communication secret. In the end, I did not do that because the legal text itself does not provide a point of reference for doing so. It doesn't rule that out. The problem lies mainly in the interpretation of the government. I hope that this debate will lead the Minister to a broader interpretation of the scope of the proposed telecommunications secret. If that is not the case, at least I shall table a motion. I come to another aspect of the scope. The letter, telephone and telegraph secret is a classic fundamental right. It protects people from government interference in their lives. That is the so-called vertical effect. In addition, the horizontal functioning of fundamental rights is becoming more and more common, as is the functioning between citizens. In the case of telecommunications, this is really very important. The postal services have been privatised. Large parts of telecommunications go through companies like Google and Facebook. Online advertising farmers watch and read along with everything you do online, on the Internet. A telecommunications secret that focuses solely on the conduct and omission of the government is very limited in scope. It doesn't actually make the promised protection a reality. The note following the report shows that, however, the cabinet maintains that limited vertical effect. It does not consider it necessary to include protection against curious companies in the Constitution. Is it not logical in the digital age to lay down an active fundamental right in addition to classical fundamental rights? I am thinking of an obligation on the part of the government against the violation of our privacy by others than the government itself. It would not be the first time such an obligation has been laid down. Article 23, which states that the concern of the public authorities is aimed at protecting and improving the environment. Is the Minister prepared to start preparing such a proposal so that a new cabinet could come up with a proposal on the basis of expert advice? I'd like to get a reaction to that. My final point concerns the grounds for limitation. I need one more minute for that, Mr. Chairman. I'm sorry about that. The main rule is that limitation is only possible in the cases provided for by law, with the permission of the judge. In the interests of national security, this can also be done without a judicial test, as national security is used as an exception, as a restriction ground. My group is concerned about the concept of 'national security'. Isn't it too spacious? What exactly does it cover? Can the Minister fill that out on the basis of a few examples? If the police are looking for a serial killer, is that in the interests of national security? Is everything the AIVD and STUDY do by definition in the interests of national security? Why is it that only national security and not other elements have been chosen, such as the College of Human Rights. The European Convention on Human Rights uses the concept of 'national security', but this is then framed by the additional criterion that the infringement must be necessary in a democratic society. That addition is very important, because it makes you much better able to make a case-by-case assessment. The assessment of proportionality and subsidiarity is much more binding, which means that a much better balance must be made between the availability of a lighter or other means and whether the method chosen is proportionate to the objective pursued. I would like the passage on necessity in a democratic society to be included in this provision. This could be a real guarantee against too broad an explanation of the concept of 'national security'. In doing so, I immediately explained the amendment I tabled on this subject.
ParlaMint-NL_2017-04-12-tweedekamer-3.u3	I see Mr Koopmans is trying to interrupt.
ParlaMint-NL_2017-04-12-tweedekamer-3.u4	Mr Verhoeven's amendment concerns the addition of the words 'insofar as it is necessary in a democratic society'. My first question to Mr Verhoeven is: do you agree that the Netherlands is a democratic society?
ParlaMint-NL_2017-04-12-tweedekamer-3.u5	I absolutely agree with that.
ParlaMint-NL_2017-04-12-tweedekamer-3.u6	Thank you. If that's true, then...
ParlaMint-NL_2017-04-12-tweedekamer-3.u7	It is a difficult question, but I can fully confirm that the Netherlands is a democratic society. However, I have the feeling that there is some sort of scheme in the making, which lures me into a trap. But that's what I'm going through now.
ParlaMint-NL_2017-04-12-tweedekamer-3.u8	If it is a trap for Mr Verhoeven, it would be one he created himself. I can't just make it. It is therefore not a question of adding 'democratic society'. This is an understanding of European case law that Mr Verhoeven wants to introduce, although I do not know why we need European law. My real point is that Mr Verhoeven wants to add that it must be necessary. So it is now stated in the government's proposal that it should be important for national security. Mr Verhoeven says that it must of course be important for national security, but also 'necessary'. Then what is the category of cases where it is not only important to tackle, for example, a potential terrorist, but also necessary? Who are those potential terrorists Mr Verhoeven says: it is important to follow them, but not necessary enough?
ParlaMint-NL_2017-04-12-tweedekamer-3.u9	Clear. I give the floor to Mr Verhoeven.
ParlaMint-NL_2017-04-12-tweedekamer-3.u10	This kind of characterises the style of the VVD in these kind of debates. Mr Koopmans quickly took it over. I congratulate him on that. Yesterday, in the debate in which Mrs Van Engelshoven gave her maiden speech, he also gave his maiden speech. But I'm actually already facing a veteran with a razor-sharp interruption. That scares me, but I will try to give you such a clear answer. Because I think it's very important. We are talking here about the fact that one has to weigh something up and that the proportionality and subsidiarity of a particular means are taken into account. It is therefore a matter of not saying: if national security is at stake, all exceptions must be made. This is a trend in the legislation of this cabinet, which we saw at the end of the missionary government period. My group wants this addition to ensure that, in many situations, it is possible to opt for a means other than, under the guise of national security, the most far-reaching. So we are trying to ensure that there is more balance in the balance between which means you choose. If you choose a means, does it indeed have to be the most far-reaching means? It also provides a certain ease for all kinds of services that want to use the resources. That's what they've always reported. However, you could also use other means. So this is really about the balance between different means.
ParlaMint-NL_2017-04-12-tweedekamer-3.u11	Very briefly, Mr Koopmans.
