ParlaMint-NL_2017-06-14-tweedekamer-5.u1	Once again, I would like to welcome the Secretary of State.
ParlaMint-NL_2017-06-14-tweedekamer-5.u2	Mr. Chairman. There are several reasons for wanting to prevent or adequately combat an outbreak of infectious animal disease once there is an outbreak. An outbreak of infectious animal disease may carry risks to public health. You want to keep these risks as low as possible. Farmers have a major interest in preventing an outbreak of infectious animal diseases. After all, they deserve their bread with the products or the meat of the animals. A healthy livestock is very important in this respect. Farmers have their own responsibility to deal well with their animals and to combat the spread of animal diseases in their own livestock, but also outside. An outbreak of an animal disease can cause a lot of damage to the individual farmer or, in the further spread, the sector and the BV Netherlands. Today we are talking about the Animal Health Fund. This is a fund which pays for the financing of the prevention and control of animal diseases. The sector and its representatives see the importance of the prevention of animal diseases and of adequate control in the event of an outbreak of disease. The proposal now before us provides for the effective collection of animal health levies. In the past, the product boards were called upon to collect the charges. At that time, the Ministry was responsible for giving substance to the prevention, monitoring and control of diseases together with the sector. The need to take appropriate measures to prevent and combat outbreaks of animal diseases is therefore inescapable. That industry and business are at the cutting edge of these costs is part of this. However, we can also expect the expenditure of the Animal Health Fund to be transparent, both for the paying party and for the Chamber. The VVD has repeatedly asked for a clear justification of the expenditure in the run-up to this legislative amendment, but it is still unclear what costs, for example, have been incurred in the outbreak of avian influenza. In order to maintain the support of farmers, in this example the poultry farmers, it is necessary to clarify the costs involved in monitoring animal diseases, investigating, possibly disposing of an infected farm, the preventive clearance of surrounding farms, the compensation paid for the animals that have been disposed of, logistics and so on. These costs are not clear, and it is therefore not clear whether the approach is efficient and effective. I understand very well that farmers want to have an insight into the accountability of the costs. If the funds in the fund are insufficient, the account can be presented to farmers by increasing the levy one year later. I would therefore ask the Secretary of State to say that an improvement is being made in making the costs of prevention transparent. It is also necessary to clarify the costs involved in tackling this problem. It is therefore a question of accountability for the disposal of an infected farm, the disposal of surrounding businesses and so on, as I mentioned earlier. I am considering tabling a motion on this point in the second term. The funding from the Animal Health Fund should be used as well as possible. Consultation with sector representatives is therefore important. To ensure this, I supported the amendment tabled by my colleague Mr Geurts. The disposal of animals due to an infectious disease or to the disposal of surrounding holdings is subject to a fee. The remuneration shall be based on a valuation or on a value table. This table of values is drawn up by the Agricultural Economic Institute. This is done on the basis of a certain system. Why are these values tables not public? Is the Secretary of State prepared, in the interests of openness and transparency, to publish these tables of values, as was the case with the product markets? The present law provides for the possibility of extending the collection of taxable persons to transactions other than the keeping of animals. Why is this hook included? What kind of action are we talking about here? In the meantime, I have tabled an amendment to remove this hook, because the purpose of this law is to collect a levy for the prevention or control of infectious animal diseases. My group believes that a parliamentary route should be followed if we want to ensure that this law can also be used for other acts. I would like to stress that I am not talking here about the possibility of extending to other animal categories. That seems logical to me, and I think it would be very wise to retain that possibility. So it's really specific about other actions. The legislative proposal proposes the possibility of filling the reserve up to a maximum of 40%. In the old situation, that was 20%. Where does this wish come from? Is it also feasible and affordable? And is it also strictly necessary? The Council of State is also critical of this in its opinion. I would ask the Secretary of State to explain this in detail. At a time when charges are going to be collected in a different way, it is also important that they are properly communicated. After all, the bill does not provide for additional charges, but for a different way of collecting the levy for the Animal Health Fund. Good communication is important because in some sectors, such as dairy farming and pig farming, there has been no collection in recent years. In these sectors the reserves from the product shelves have first been poised. Does the Secretary of State have a plan of action? How's he gonna do this? How is he going to ensure that farmers are properly and adequately informed? Prevention is better than cure. This also applies in this context. The prevention of an outbreak of infectious animal diseases is very important: for society, for the farmer, for the sector and also for the public authorities. The risk of outbreaks of animal diseases should therefore be as low as possible. Of course, farmers have their own responsibility: good hygiene and the proper management of farm rules. But there's another element. We are seeing the rise of feral pigs in Eastern Europe, which is at great risk of, for example, the outbreak of swine fever. Good wildlife management is therefore crucial to minimise the risk of outbreaks. In the Netherlands, too, we must be alert. Fauna management must be in order. And if the government or politics chooses a generous policy, then the bill cannot be placed unilaterally with the sector; then there is also a cost involved in this choice. We now apply, with the exception of a single area, a zero position for feral pigs. This is sensible because of safety, but also in order to reduce the risk of outbreaks of animal diseases. I wonder how the Secretary of State looks at that.
ParlaMint-NL_2017-06-14-tweedekamer-5.u3	I wonder when the last time diseases were transmitted by feral pigs.
ParlaMint-NL_2017-06-14-tweedekamer-5.u4	That's very topical. We have recently seen in the preparatory documents for the Agriculture and Fisheries Council that it is up to date in Eastern Europe and that attention is also being paid to this in the Agriculture and Fisheries Council.
ParlaMint-NL_2017-06-14-tweedekamer-5.u5	We are here in Western Europe and not in Eastern Europe. Let's stick to the facts. I don't think it's right. Most diseases, including in animals, are caused by the homo sapiens. We don't always have to blame everything on the wild animals. I have another question for Mrs Lodders. I listened to her speech. You cannot prevent the outbreak of a disease in humans and animals, let that be very clear. We are not God Almighty. That's not gonna work anymore. This Secretary of State isn't gonna work either. But if a disease breaks out, does Mrs Lodder agree with what the PVV has been asking for for almost eleven years, namely the hermetic closure of the area around the outbreak?
ParlaMint-NL_2017-06-14-tweedekamer-5.u6	Mr Graus gave the impression that the VVD would disagree with him. Of course, we must always try to prevent an outbreak. Nor have I argued that this is only done by nature. But let's look at the avian influenza or avian influenza: it is really caused by flying over wild birds and it is not transmitted by humans. Eventually, it's the wild birds that carry the virus. That's one. Two, when it comes to measures in the event of an outbreak, that is not what this legislative proposal is about. I believe that it should be done in an appropriate way and that we should have an insight into how it is done and the costs involved. That is why I discussed the transparency of costs in the first part of my speech. Because then you can see what happens.
ParlaMint-NL_2017-06-14-tweedekamer-5.u7	Finally.
ParlaMint-NL_2017-06-14-tweedekamer-5.u8	With me, animal life is at the top and only then the cost, in that order. But the costs still have to be made. However, if you intervene in good time and close an area hermetically shut down what is not happening now, you can prevent spread and misery for humans and animals. I drove into an area where foot-and-mouth disease had broken out. I was taken by the Secretary of State in this Chamber by my shoelace that I should not have been there. But I went there to check at night and I could just drive my car around indefinitely. I could drive up and down the farm 100 times and I could drive into the grounds. There was a car with two NVWAs to protect that entire area, miles in size. It just can't be! No one supports me in this, and I cannot understand that. So I'm counting on the support of the VVD if I ask you again.
ParlaMint-NL_2017-06-14-tweedekamer-5.u9	Distribution must be prevented at all times. The measures taken to prevent further dissemination should be adequate. And if you have to, you have to make sure that you can't get into such an area. If that is the case, Mr Graus mentioned the example, 'I think it is right that the Secretary of State should respond to that. But again, that is not enshrined in this law. I think transparency is more important.
ParlaMint-NL_2017-06-14-tweedekamer-5.u10	I have two questions. The first is about transparency. To what extent are the existing accountability mechanisms of the General Court, the budget and their accountability not sufficient in this case? That's my first question. My second question concerns the broadening of the tax base to other matters. Does Mrs Lodder agree with me that, in the case of combating animal diseases, the public authorities must also have a little levy power and that it will always be invoked in consultation with industry? In that respect, I wonder whether it is necessarily necessary to go through the Chamber every time.
ParlaMint-NL_2017-06-14-tweedekamer-5.u11	That was two questions. The first question concerned transparency in relation to, for example, the Court's opinion and the annual report of the Animal Health Fund. I have asked a number of times for additional information in preparation for this law. We are no further than the annual report of the Animal Health Fund. For example, I do not know what the cost of preemptive disposal of a number of businesses in an area is in the direction of Mr Graus. Does that happen in an efficient way? That is what I heard Mr Graus say. I would like to see the costs involved. Are the hours used efficiently or can it be more efficient, which makes it cheaper? I am asking not only for the Court to be able to control this, but also for it to play a part in business, because that is what the levy has to be. The second question concerns the power of taxation, as Mr De Groot calls it. There is room in the law for other foundations to be lifted. I think it should go through the parliamentary route if you choose to raise in a different way, because there is a risk. Suppose as a poultry farmer you have a farm with laying hens. Then you have to pay a tax on the number of chickens you have. With the hook in the law, there would then also be a basis to raise, for example, the number of eggs or the number of transport movements. This will tax such an entrepreneur on two and perhaps even three bases. If we choose to do so together, then we have a debate here in which we determine that with each other. This is about the Animal Health Fund, about prevention, i.e. prevention, and the fight against animal diseases. That's what I'd like to focus the law on.
