ParlaMint-NL_2017-06-06-eerstekamer-7.u1	I have already welcomed the Minister for Education, Culture and Science to the Upper House.
ParlaMint-NL_2017-06-06-eerstekamer-7.u2	Mr. Chairman. The aim of this bill is to promote internationalisation in higher education. It empowers higher education and scientific research institutions to provide fully accredited training abroad in the Netherlands. These may include joint training courses, joint graduation courses and joint programmes provided by two or more Dutch institutions or by Dutch institutions with one or more foreign higher education institutions. The legislative proposal clarifies the arrangements to be made with partner institutions on the content and form of the programme and the prevention of double tuition fees. It aims to make the location climate in the Netherlands more attractive and to offer foreign and Dutch researchers a better career perspective. It is in line with policies in other European countries and with the future scenarios that the Rathenau Institute and VSNU have set out in the report entitled Choices for the Future of Dutch Science. The members of the CDA Group understand that this can contribute to further profiling of Dutch higher education, that it can strengthen international networks and that it can promote the international exchange of students and teachers. Members agree with the objective. They also know that universities have been waiting for an extension of internationalisation opportunities for some time. For the CDA, the main concerns were to ensure academic freedom, for example in education in countries like China, for which the University of Groningen now has plans, to prevent transnational education purely for financial or marketing reasons, of undesirable competitive relationships between Dutch and foreign establishments and of a possible brain drain of teachers at Dutch institutions and to ensure that Dutch tax money does not go to establishments abroad, even in case of bankruptcy. It was also important for the members that there is clarity about what happens to the proceeds, that Dutch supervision is secured by agreements in advance and that the consent requirements are legally anchored. Our group welcomes the clarification from the government, the letter of amendment and the adoption of amendments which will make these points more secure. The Group would like to take a closer look at one point. That is the ius PhD candidate, a fairly basic point. With the bill, promotions are no longer only reserved for professors, but may also be done by non-professors, provided that sufficient quality is guaranteed. Of course, members have taken note of the Minister's replies. It states that quality is guaranteed by the Promotional College, which, according to law, can only consist of professors and has the exclusive power to appoint a promoter. Thus, only professors can determine whether a university staff member is sufficiently competent. It also has a duty to draw up a promotional regulation governing the role and powers of those involved in promotion. However, members would like to hear from the Minister how the bill guarantees that there will be no sliding scale, as happened elsewhere in education with first and second graders. We can see that there are fewer and fewer first-graders and more and more unauthorized people in the classrooms. Members would also like to hear the Minister's response to the concern in the field that the bill would help to make it easier for institutions to recruit more PhD candidates and thus more finance, even if that is not the purpose of the law. Does the Minister agree with the members that that would be a wrong incentive? Recently, the Chamber received a letter from the VSNU. A further proposal is made to ensure the scientific status of the intended promoter better, now that the bill does not necessarily require a promoter to be a professor anymore. The proposal reads: "Before the dean makes the presentation, he/she ensures that the professor has been consulted in the field in question. The dean reports on the reaction of the professor concerned to the promotional college." Members would like to hear the Minister's response to this and, if the Minister can support the VSNU's proposal or vision, an answer to the question of how this can be secured or secured through the legislative proposal. Members would also like to hear the Minister's response to the definition proposed by the VSNU regarding "sufficient competence." Finally. Can the Minister comment on the state of play regarding the content and preparation of the AMVBs accompanying this bill? The University of Groningen intends to start training in China. By letter, she has promised that the University Council, the Faculty Councils and the Participation Council will have a right of assent to the decision to start a training programme in China. Can the Minister indicate whether these consent rights will also be part of the AMvBs, so that they are also secured in new cases at other universities? Would that not be in line with the planned increase in participation in the recently accepted Chamber Act strengthening the administrative power of educational institutions? Members look forward to the Minister's response as always with interest.
ParlaMint-NL_2017-06-06-eerstekamer-7.u3	Mrs. Martens finished faster than I thought. I have one more question for her. Dependances abroad are not without risk. I think I have also heard Mrs Martens say that all the risks are covered. This also applies to questions about consent rights and the like. Does Mrs Martens think that the need for an annex abroad has been demonstrated? If so, what is the need?
ParlaMint-NL_2017-06-06-eerstekamer-7.u4	That's a good question. The Minister explained and explained this in several texts. I think it is a natural development in relation to other developments elsewhere in Europe. Maybe the Minister can explain it one more time. I had originally put this as a question in my contribution but finally deleted it, because I thought the Minister had already answered it sufficiently. I would like to ask the Minister to explain it again so that we can include it in the final assessment.
ParlaMint-NL_2017-06-06-eerstekamer-7.u5	Is Mrs Martens aware of the research carried out by the Rathenau Institute? This shows that Dutch education is very well on the map internationally and that there is no need for such an extension, but above all that there could be some improvement in other areas in order to maintain that position. Does she know this investigation and then what is her opinion on it?
ParlaMint-NL_2017-06-06-eerstekamer-7.u6	I have seen the texts of the Rathenau Institute and the VSNU concerning the choice for the future of Dutch science in particular in the light of the desirability they also formulate to follow this possibility of extending the ius PhD candidates. The fact that Dutch education is well on the map is well known; it is not intended for this purpose either. However, it is an additional possibility to extend it further.
ParlaMint-NL_2017-06-06-eerstekamer-7.u7	Then I really do read the research differently from Mrs Martens, because it more or less indicates that this is not the right route, that there would be need for reinforcement in other places and that it is actually a missed opportunity. At least that's how I read it between the lines. But I understand that Mrs Martens did not pay any attention to that.
ParlaMint-NL_2017-06-06-eerstekamer-7.u8	Mr. Chairman. The proposed law aims to promote the internationalisation of higher education and scientific research. I should like to thank the Minister on behalf of my group for answering the questions put in writing. First of all, I would like to address the issue of ius PhD candidates in this debate. My group understands the desire of non-professionals to be able to act as a promoter instead of as a co-promotor, where appropriate. The written exchange of views on this matter between this Chamber and the Government has attracted the attention of field parties. Support for the bill has been expressed by the Academy and the Young Academy. My group has also taken note with approval of the adapted hand-outs for the VSNU promotional colleges on the proposal of the rector's college. This amended hand-out, combined with the government's replies, is to a large extent a response to my group's previously expressed concerns. For example, the promoter is given robust quality requirements and the professor responsible is involved in the appointment of the promoter. However, my group is not yet fully reassured and there are a few questions left. Firstly, the question is whether, and to what extent, this hand-out will be respected. Can the Minister indicate to what extent the hand-out has so far been actually used by the universities? How will the Minister ensure that the amended hand-out is respected? Then I come to the question: how does the Minister himself look at the content of this amended hand-out? Deans may, according to the scheme, propose PhDs, associate professors, as a promoter to the Promotions College. Before the dean makes this presentation, he ensures that the professor has been consulted in the field in question. The dean then reports on the professor's reaction to the promotional college. This therefore constitutes a substantive right of advice for the professor concerned and not a right of consent. On the other hand, the Minister himself may, according to the reply, imagine that the appointment of new promoters will not take place without the agreement of the professor responsible for the field in question. So that's a right of consent. The members of my group are in complete agreement here with the Minister. Professors are, after all, primarily responsible for the development of the field of science assigned to them and for the content of the education to be given in this field, ex article 9.19 of the WHW. Now, in the case of a PhD, it is a question of both science and education, namely training as an independent researcher. How does the lack of a right of assent relate to that responsibility and to the Minister's vision? Why is there a right of advice, but not a right of consent? If the choice of a promoter against the advice of the professor in retrospect turns out to be an unfortunate one and the research and training are not sufficiently advanced, what about the legal responsibility of that professor in this respect?
ParlaMint-NL_2017-06-06-eerstekamer-7.u9	I need a reality check on Mr Bruijn's story. He keeps talking about the professor involved. Is it different, for example, if you have multiple professors in an adjacent field or overlapping disciplines? Does the dean have the freedom to consult one of the professors? If he has the approval or a positive opinion from one of them, you still have that other professors aren't involved, right? Does it matter if you appointed another professor or a uhd? In other words: this can become a very principled argument. We can talk about this here, but if we look at it from the real world, it is much less unambiguous than Mr Bruijn is proposing.
ParlaMint-NL_2017-06-06-eerstekamer-7.u10	On the one hand, it can be said that it is of course already the case that you have research or PhD courses on the cutting edge of different chairs. In these cases, it is customary that you have two promoters, for example, and that both professors are involved. On the other hand, this is how I interpret Mr Ganzevoort's words that the amended hand-out of the VSNU does not in fact provide for clarity in the area that Mr Ganzevoort is now referring to. That is a supplementary question to the Minister, if I may interpret it that way.
ParlaMint-NL_2017-06-06-eerstekamer-7.u11	It is sometimes common that there are several escorts, but that is not always the case. That doesn't change in this situation either. I believe that the uncertainty that exists today remains on this point. To appoint a uhd as a promoter is no different from to appoint a professor. So the question is whether this is not a little unnecessary hair clovering.
