ParlaMint-NL_2017-03-21-eerstekamer-10.u1	I call Mrs Swinkels.
ParlaMint-NL_2017-03-21-eerstekamer-10.u2	Madam President. It has been recalled before: today is my very last day as a Member of Parliament and the very first time I have been allowed to defend a bill in this Chamber. So that's a very special moment. I hope this goodbye gets a nice ending as well. When I took office, I took over this initiative proposal from my predecessor Magda Berndsen. She is here tonight and, of course, I owe her a great deal of thanks. The initiators are committed to finalising the plenary debate on this bill after such a long time. So we are also very pleased that your Chamber has made this possible. The bill is about marriage, which can still be welcomed in a great deal of interest. That interest is also reflected in the thorough contributions here tonight. Thank you for that. We propose to respond as follows to the questions and comments that have been raised here this afternoon. I will start with an introductory block on the usefulness and necessity of our bill. I will therefore address the questions that have been put together under the heading'self-employed partners'. My colleague Jeroen Recourt will then comment on the position of the woman, on the questions raised, on the reasonable compensation from the company and on the protection against creditors in and outside bankruptcy. This can then be summarized under the heading 'protected partners'. Finally, my colleague Mr Foort van Oosten will answer the questions about administration, the problems of implementation that are feared, taxation and inheritance, and a few more varieties. I come to the starting point: the usefulness and necessity of this bill. Several parties expressed reservations about this this afternoon. I'm hoping to take that road. I shall begin by stressing once again that it is essential that the basic system, the legal community of goods, remain unchanged in our proposal in itself. The draft law merely ensures that the current system only starts on day one of marriage, and does not work back until the husbands were not even married or perhaps even knew each other. Well, now it is. When you get married, you get not only your great love, but also his financial past. And that's totally free. But what people are often unaware of is that it also leads to large risks of, among other things, unknown past debts from the other partner. And he doesn't have any part in it. In addition, today it is also necessary to share your parents' legacy with your ex-husband if your parents have not made an exclusion clause. Those two things are actually the most important things under this bill. The initiators want this bill to change: better protection against creditors of the other party and private leave what is naturally considered private. If the future husbands want it different and they want to marry, for example, in the whole community of goods, then there is freedom of choice. You just, like now, have to draw up a prenup to lay down those other agreements. This afternoon it was also discussed that marriage would be less and less popular, but that is without prejudice to the fact that many tens of thousands of people still marry each year. If they do not draw up a prenup, they automatically marry in the entire community of goods. We all know that not only everything the partners get during marriage, but also everything that has been built up for it by each partner individually, is thrown retroactively on the great hopes of them together. The initiators wonder whether the basic legal system is in line with what spouses want. This proposal will apply only to future marriages. Yesterday I spoke to a young woman about this. She's 25 years old and she's going to live together and maybe soon to marry her boyfriend. She comes from a single parent family, has always worked to pay for her studies and has been able to save. Her boyfriend, on the other hand, has not completed his studies and has a heavy study debt. I explained to her that if she got married now and didn't settle anything, her savings would fall into the common pot from the wedding and that his student debt would eventually be paid off with her savings. Her reaction was not only indicative of her, but of her entire generation. She said, "Find out, that's not how we got married." In the eyes of the initiators, this situation would be unjust, but it is so at the moment. The premarital property and the debts but also inheritances and donations are matters that are private and should remain private. If you ask the Dutch about this, future husbands will also report it. Let me give you some figures. 61% of future spouses do not want to share property that each had prior to marriage in the event of a divorce. 74% do not want to share the debts each had before the marriage in divorce. 91% does not want to share inheritances and gifts in divorce. That is what is happening now, and I have said it before, in this way. The law now makes the common thing that is said to be private. I cannot stress it enough: the bill is linked to the current basic system. There remains a legal community of goods, but it becomes more limited. There is therefore no fundamental review. This afternoon several times have been said that this would be the case. I think that's a misunderstanding. It has been said about an extensive public debate on the way in which we look at marriage in the Netherlands. I welcome the fact that Mr Van Rij, on behalf of the CDA, has also said that there is a need for modernisation, given the many different forms of society we have. We would therefore like to await an initiative from the CDA on that point. The starting point remains, also in the legislative proposal, the husbands' destiny from the moment they join each other, i.e. from day one of marriage and not before. So the bill certainly does not prejudge the dissolution or divorce, as Mr Van Dijk feared. But at some point each marriage is dissolved by divorce or death. It is good that the legal system fits in with what most people want. The legal system is precisely the safety net if you haven't made a conscious choice or didn't want to choose at all and haven't arranged anything else. In my view, I have also answered most of the questions put by Mr Van Rij and Mrs Wezel. Of course, there are more reasons. The basic system is not corrected as often as in the Netherlands. Almost 30% of newlyweds conclude prenuptial agreements and thus deviate from the basic system. There is indeed a majority which they do not close, as I admit Mr Van Dijk, but on the other hand the community of goods is not a very conscious choice for most. That's just the safety net I was talking about. In addition, for inheritances in most wills there is simply an exclusion clause. I have just heard from one of the experts that notaries are already working on adapting the models of wills, because that exclusion clause can come out if our bill becomes law. That means a lot of parents won't have to make the way to the notary anymore. There's something else going on in the distribution of inheritances. That division can be very random. For example, one inherits during marriage and then has to share that inheritance, because it falls into the community of goods. The other one gets that inheritance right after the divorce and gets to keep that inheritance for himself. The same applies to gifts. One gets gifts from his parents, for example under an exclusion clause, and may keep that gift to himself. The other one doesn't, and he has to share the donation with the ex-partner even after the divorce. That doesn't just feel unfair, it is, for many. If you look outside the scary borders of the Netherlands, you can see that the overall community of goods, as we know them in the Netherlands, and I also believe in Suriname and South Africa, is very rare worldwide. In times when people are increasingly marrying across borders, where there is internationalisation, this can have unexpected and unwanted effects. This has been the subject of comparative European research and is recommended to join one of the two most common European systems. These differences are very different, but there is still a common denominator to be identified. Apparently, most often comes before the final calculation clause, or the limited community of goods as we now propose. The interruption debate between Mr Backer and Mrs Wezel has already shown that this is a bit of a patchwork, but with the legislative proposal we are joining as much as possible one of the two most common European systems: the limited community of goods. There has been a debate on the premarital capacity of the limited community. Mr Recourt will come back to that later. I would like to mention one last reason why the limited community is much more in line with current social developments, namely that there have been extensive inheritance laws since 2003 to leave the surviving spouse well-kept. So you don't need that whole community of goods to do the same. Mrs Beuving asked whether this proposal would not force people to go to the notary and whether we would not be charging them. That is not the expectation of the initiators. The old basic system remains valid for existing marriages. The new system will then apply to the married couples who are to be married. They therefore no longer have to go to the notary to arrange what we consider desirable by a large majority: the private holding of premarital property and the private holding of inheritances and donations during marriage. If you still attach a great deal to that overall community... I can imagine that this applies, for example, to a large part of the Christian community in the Netherlands.... you will indeed have to go to the notary to agree on that overall community of goods. But that can actually be done as briefly, in a very short act, as already stated in the law. Article 1:94 BW now states that as from the completion of the marriage between the parties, the general community of goods will apply. So with one such rule in a prenup, you've arranged it if you want to stay there. That freedom of choice is there.
ParlaMint-NL_2017-03-21-eerstekamer-10.u3	I am a little disappointed at the way my point was summarized. My comment to the initiators was not that they oblige or force citizens to go to a notary and thereby put them at a cost. I have made it clear that I understand very well that the initiators did not want to settle such an obligation, because of, among other things, the costs. But I have indicated that our concern is that it may just not be justified at all if people do not go to the notary, given some aspects of this bill. I understand very well that it is not the intention to force or force people to do so, but then it is the question of whether it is justified to marry without a notary's state of production and without proper information on the marital property regime and on the importance of carrying out an administration. I have also listed a number of things in my question on this point. So it's a different kind of question, more like a question of conscience.
ParlaMint-NL_2017-03-21-eerstekamer-10.u4	Mr Recourt will answer that question of conscience. I think I can agree with Mrs Beuving that it is better to be well prepared for marriage. It would be better for people to think carefully about the financial consequences of a contract as well as marriage. I fully agree with Mrs Beuving. I believe that there is an important task to be addressed, but this will be discussed later.
ParlaMint-NL_2017-03-21-eerstekamer-10.u5	The issue is that the content of this bill makes it stronger than the current system that people can't really miss getting married through the notary with information and instructions or explanations about administration and so on. I cannot but refer to the words of my colleague, Mr D66, whom I saw here as a warm advocate of this initiative proposal, but which I heard literally use the word 'incongruousness'. He was opposed to 'justice', but for my group it is an injustice for citizens on this issue. That's an explanation. So this bill is about whether the feasibility is not such that you unintentionally force people to take the step to the notary. Most people won't take that step, with all the consequences.
ParlaMint-NL_2017-03-21-eerstekamer-10.u6	I think I can reassure Mrs Beuving on two points. Firstly, the initiators believe that the basic system that they are now proposing is in line with the intention of most of the future married couples. So there's no reason to go to the notary. Secondly, Mrs Beuving is afraid of resolution problems, as part of a supposed administrative obligation, my colleague Mr Van Oosten will come back to this, but there is no administrative obligation. Mrs Beuving knows that too; I see her laughing. Furthermore, it is...
ParlaMint-NL_2017-03-21-eerstekamer-10.u7	Hence the problem of resolution...
ParlaMint-NL_2017-03-21-eerstekamer-10.u8	Excuse me, Mrs. Beuving. Was Mrs. Swinkels out?
ParlaMint-NL_2017-03-21-eerstekamer-10.u9	I think so. Mr Recourt says he'll come back to this. So if I could just park your question for a while, Mrs. Beuving? Thank you.
ParlaMint-NL_2017-03-21-eerstekamer-10.u10	I just heard that this is what most of the newlyweds want. But what is that statement based on?
ParlaMint-NL_2017-03-21-eerstekamer-10.u11	There have been several investigations, including from the NIPO and Network Notaries. I think that this bill is based on even more research than in general. The question is: what do you want when the community is dissolved, what do you want at the time of divorce? The proposal of the limited community means that you don't have to share what you already had before the marriage or what you got as a legacy. That system is more in line with what most people want, as these studies have shown.
ParlaMint-NL_2017-03-21-eerstekamer-10.u12	The present tense is becoming more complex. This bill also shows that it is becoming more complex. Would it not be better for people, especially in this kind of complex situation, to ask the notary what they can do best, especially since a form of prenup is now being proposed?
ParlaMint-NL_2017-03-21-eerstekamer-10.u13	If I may correct you, no form of prenup has been proposed. We propose a basic system that automatically applies when people do not make conscious choices, do not choose at all whether they like it or not. In addition, research shows that I call it NIPO, Network Notaries and Motivation all the time that one does not want to share inheritances and premarital property. It has not been said that it would become more complex. I assume you mean that there will be three powers instead of one common power.
ParlaMint-NL_2017-03-21-eerstekamer-10.u14	Can you mention the specific investigations of the NIPO and Network Notaries to which reference is made? Apparently it's in there. Then I can look it up like that.
ParlaMint-NL_2017-03-21-eerstekamer-10.u15	The NIPO study has been a very wide-ranging study. I'll be back in a minute at the exact location.
