ParlaMint-NL_2017-01-24-tweedekamer-34.u1	I would like to welcome the Minister for Housing and National Service.
ParlaMint-NL_2017-01-24-tweedekamer-34.u2	Mr. Chairman. We're discussing the bill on owners' associations tonight. There are about 125,000 of these associations and they are extremely diverse, from just a few homes to large complexes. A total of 1.2 million homes are involved. There are associations that have everything in order, and associations that have virtually nothing arranged. Living in an apartment complex has the consequence that there are not only individual rights under property law, but also collective responsibilities and obligations. The Labour Party is right to believe that legal rules should be laid down for this collective responsibility. Thus, the owners who take the collective responsibilities seriously are protected against the owners who do not or do not do enough. This bill takes a number of good steps to improve those legal rules. In particular, we have examined whether this proposal brings the legal protection of the weakest parties in vves to an adequate level. The weakest parties are generally the owners-dwellers and tenants in apartment complexes. The bill regulates the mandatory reservation for maintenance. Reservations should be made on the basis of a multi-annual maintenance plan. That must at least meet minimum requirements. If there is no such plan, the reservation for maintenance shall include at least 0.5% of the reconstruction value. The Labour Party would actually consider it wiser if, in all cases, a multi-annual maintenance plan became mandatory. This costs money, but it also gives more legal certainty and more clarity to current and future owners. It is about defining the maintenance situation and the rights and obligations that owners have towards each other. Especially when purchasing an apartment it is often very difficult to estimate what future charges can be expected. Why does the Minister make a different assessment and does he consider that the legal protection of new buyers of apartments in the current situation is sufficiently protected? The Labour Party agrees with the representative of the VvE Interest that the compulsory contribution to the reserve fund should actually be paid annually, including by large owners. The Minister left open the possibility for associations to take decisions themselves. The Labour Party is afraid that in those cases it may happen that the money will not be available in time when maintenance is required, because an owner may be bankrupt and has sold his apartment in the meantime. We have seen that Mr Ronnes has tabled an amendment on this. We would like to hear the Minister's opinion on this. The Labour Party is satisfied with the possibility for the association of owners to conclude loans. This makes it possible to perform additional preventive maintenance. Borrowing can also help if some residents cannot get the financing individually. When selling the apartment, the share in the obligation is transferred to the new owner. That is fair, because that new owner will enjoy the continued benefit. With regard to energy saving by VVEs, we have another wish. We would like to see a decision on profitable investments with a payback period of 10 years or less no longer requiring a qualified majority, but sufficient majority voting. This promotes sustainability and does not create additional costs for apartment owners, because they can see the return in their energy bill. We have tabled an amendment on this.
ParlaMint-NL_2017-01-24-tweedekamer-34.u3	I have a point of order first. That amendment has not been tabled, so that makes it difficult to debate it. I therefore hope that this will be done soon. Just a little bit of substance. I am trying to see what it means what Mr De Vries is going to pour out on us.
ParlaMint-NL_2017-01-24-tweedekamer-34.u4	Let's get to the point of order first. Mr De Vries, when do you intend to table the amendment?
ParlaMint-NL_2017-01-24-tweedekamer-34.u5	I delegated it to my associate, and he commissioned Bureau of Legislation at about 5:15 p.m. So it should have been there.
ParlaMint-NL_2017-01-24-tweedekamer-34.u6	You're always responsible, aren't you? You know that.
ParlaMint-NL_2017-01-24-tweedekamer-34.u7	I understand, but you're asking how it went.
ParlaMint-NL_2017-01-24-tweedekamer-34.u8	It should have been there, in your opinion. We're gonna see if we can speed it up.
ParlaMint-NL_2017-01-24-tweedekamer-34.u9	If I understand correctly, Mr De Vries wants to make it possible for people, against their will, to be taken into account by the other half of the vve in investments in sustainability. When it was about tenants, Mr De Vries said that there should be a housing security. There had to be a guarantee that no tenant would go down a penny if they were preserved. Where's the housing security in this idea?
ParlaMint-NL_2017-01-24-tweedekamer-34.u10	The Labour Party advocates the possibility of taking a decision with a slightly smaller majority. The same dilemma that Mr Van der Linde presents also arises when the requirement is that 61% or 71% of the owners should be ahead of it. So that doesn't make any difference. The reason we are tabling this amendment is that we want to speed up sustainability in this kind of difficult decision-making process. The condition in the amendment I will table...
ParlaMint-NL_2017-01-24-tweedekamer-34.u11	The amendment is now in place.
