Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2017-01-19-tweedekamer-15	ParlaMint-NL_2017-01-19-tweedekamer-15.u1	Report of the meeting of the Dutch Lower House, Meeting 42, Session 15 (2017-01-19)	2017-01-19	Lower house	Meeting of the 28th Tweede Kamer	Session 15	Meeting 42	Sitting 2017-01-19	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-01-19-tweedekamer-15	ParlaMint-NL_2017-01-19-tweedekamer-15.u2	Report of the meeting of the Dutch Lower House, Meeting 42, Session 15 (2017-01-19)	2017-01-19	Lower house	Meeting of the 28th Tweede Kamer	Session 15	Meeting 42	Sitting 2017-01-19	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-01-19-tweedekamer-15	ParlaMint-NL_2017-01-19-tweedekamer-15.u3	Report of the meeting of the Dutch Lower House, Meeting 42, Session 15 (2017-01-19)	2017-01-19	Lower house	Meeting of the 28th Tweede Kamer	Session 15	Meeting 42	Sitting 2017-01-19	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	ErikZiengs	Ziengs, Erik	M	1960	
ParlaMint-NL-en_2017-01-19-tweedekamer-15	ParlaMint-NL_2017-01-19-tweedekamer-15.u4	Report of the meeting of the Dutch Lower House, Meeting 42, Session 15 (2017-01-19)	2017-01-19	Lower house	Meeting of the 28th Tweede Kamer	Session 15	Meeting 42	Sitting 2017-01-19	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-01-19-tweedekamer-15	ParlaMint-NL_2017-01-19-tweedekamer-15.u5	Report of the meeting of the Dutch Lower House, Meeting 42, Session 15 (2017-01-19)	2017-01-19	Lower house	Meeting of the 28th Tweede Kamer	Session 15	Meeting 42	Sitting 2017-01-19	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2017-01-19-tweedekamer-15	ParlaMint-NL_2017-01-19-tweedekamer-15.u6	Report of the meeting of the Dutch Lower House, Meeting 42, Session 15 (2017-01-19)	2017-01-19	Lower house	Meeting of the 28th Tweede Kamer	Session 15	Meeting 42	Sitting 2017-01-19	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	ErikZiengs	Ziengs, Erik	M	1960	
ParlaMint-NL-en_2017-01-19-tweedekamer-15	ParlaMint-NL_2017-01-19-tweedekamer-15.u7	Report of the meeting of the Dutch Lower House, Meeting 42, Session 15 (2017-01-19)	2017-01-19	Lower house	Meeting of the 28th Tweede Kamer	Session 15	Meeting 42	Sitting 2017-01-19	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2017-01-19-tweedekamer-15	ParlaMint-NL_2017-01-19-tweedekamer-15.u8	Report of the meeting of the Dutch Lower House, Meeting 42, Session 15 (2017-01-19)	2017-01-19	Lower house	Meeting of the 28th Tweede Kamer	Session 15	Meeting 42	Sitting 2017-01-19	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	ErikZiengs	Ziengs, Erik	M	1960	
ParlaMint-NL-en_2017-01-19-tweedekamer-15	ParlaMint-NL_2017-01-19-tweedekamer-15.u9	Report of the meeting of the Dutch Lower House, Meeting 42, Session 15 (2017-01-19)	2017-01-19	Lower house	Meeting of the 28th Tweede Kamer	Session 15	Meeting 42	Sitting 2017-01-19	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2017-01-19-tweedekamer-15	ParlaMint-NL_2017-01-19-tweedekamer-15.u10	Report of the meeting of the Dutch Lower House, Meeting 42, Session 15 (2017-01-19)	2017-01-19	Lower house	Meeting of the 28th Tweede Kamer	Session 15	Meeting 42	Sitting 2017-01-19	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-01-19-tweedekamer-15	ParlaMint-NL_2017-01-19-tweedekamer-15.u11	Report of the meeting of the Dutch Lower House, Meeting 42, Session 15 (2017-01-19)	2017-01-19	Lower house	Meeting of the 28th Tweede Kamer	Session 15	Meeting 42	Sitting 2017-01-19	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
