ParlaMint-NL_2017-09-21-tweedekamer-10.u1	I shall be the first to give the floor to Mrs Ouwehand on behalf of the Animal Party.
ParlaMint-NL_2017-09-21-tweedekamer-10.u2	Thank you, Mr President. It is of the utmost importance that we use good policies to ensure that we can feed the world. That is best if we eat fewer animals, but other steps are needed. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the European Commission has proposed the management of risks in the food chain;]] [[noting that it is an illusion to think that the risks of the current food chains can be controlled without addressing system errors at source;]] [[Considering that in its report Towards a food policy, the Scientific Council for Government Policy concluded that the policy is too one-sided to increase production and export, with all its consequences for animal welfare, public health, nature, environment and food security;]] [[having noted that the UN Special Rapporteur on Human Rights has made valuable recommendations for a food policy based on the right to food;]] [[calls on the Government to promote a food policy based on food security, based on the right-to-food approach,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Ouwehand. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-32-1045]]
ParlaMint-NL_2017-09-21-tweedekamer-10.u3	Thank you.
ParlaMint-NL_2017-09-21-tweedekamer-10.u4	Then I give the floor to Mrs Lodders on behalf of the VVD.
ParlaMint-NL_2017-09-21-tweedekamer-10.u5	Mr. Chairman. I have two motions. We have already spoken several times in the Chamber about simplifying the common agricultural policy. Both motions are based on that. The first motion is as follows. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the European Parliament has agreed to proposals for simplification and relaxation of the common agricultural policy;]] [[noting that one of these proposals has led to the need for catch crops to be on the field for at least eight weeks according to European rules;]] [[calls on the Government to apply as soon as possible the European minimum retention period of eight weeks for catch crops,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Lodders. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-32-1046]]
ParlaMint-NL_2017-09-21-tweedekamer-10.u6	My second motion is as follows. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the common agricultural policy allows more room for manoeuvre in determining the date of sowing of catch crops;]] [[Whereas it is desirable to sow catch crops as soon as possible after harvest of the main crop, in order to use the crop as optimally as possible to improve soil life and soil quality;]] [[calls on the Government to start the sowing date for catch crops after the harvest of the main crop,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Lodders. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-32-1047]]
ParlaMint-NL_2017-09-21-tweedekamer-10.u7	A further explanation will be omitted, given the time.
ParlaMint-NL_2017-09-21-tweedekamer-10.u8	Thank you. You were the last speaker on the list. I'm looking at the minister. He's gonna wait till he gets all the motions. I give the floor to the Minister.
ParlaMint-NL_2017-09-21-tweedekamer-10.u9	Mr. Chairman. Mrs Ouwehand has, as usual, carefully reworded her motions, but this time in such a way that my hair does not yet stand up. It's her motion in part No. 1045 in which it calls on the government to promote a food policy in which food security, according to the right-to-food approach, is the starting point. I don't have the impression that if we do that, we're going to deviate from the line we have now. We consider food security to be of the utmost importance. We also believe that Dutch companies and the Netherlands as a whole are ideally able to make a major contribution to this. We are also very active in this area. This was also the case at the EU-Africa Conference. I therefore think that the way in which Mrs Ouwehand put it in this motion could be regarded as a policy support. That is why I leave this motion to the House. Mrs Lodders asks in the motion for a resolution for item No. 1046 to apply the European minimum of eight weeks for catch crops as soon as possible. The Chamber knows much better than I do: in the case of catch crops, it's about preventing nitrogen from being washed out after the main crop has been on the field. On such a piece of arable crops you then sow catch crops, so that you can contribute to the greening measures. There are three greening measures, which also result in a premium being received. One is permanent grassland, the other is that 5% of the arable land area should be set up as an ecological focus area and the third is crop diversification. In order to establish this 5% area as an ecological focus area, it is sufficient, at least as the European Commission sees it, to sow part of the land with catch crops. I do not know whether this will have the best effect if you look at the intentions of the greening measures and of the premium, but it has been established and must be used in this way. That period of ten weeks is used after the time the crop is sown. That period in itself is useful to use for control as well. If you shorten that period of ten weeks to eight weeks, that also means that farmers have less time at their disposal to make choices. That in itself is not positive. On the other hand, the European Commission has deliberately reduced that period from ten weeks to eight weeks. All in all, I do not think that the arguments for putting a head on this European scheme are convincing. I also take it into account that we decided last time, on the initiative of the Chamber, until those ten weeks. I said that the European Commission shortened the period from 10 to 8 weeks. That's not true. The European Commission has now committed these eight weeks. Now that the European Commission has so explicitly committed these eight weeks, I leave the vote on the motion to the Chamber. I'll see what the Chamber thinks of that. If the Chamber considers that it can be brought back to eight weeks, then as far as I am concerned we can also go back to those eight weeks. The judgment on the motion in part No. I leave Mrs Lodder's 1046 to the Chamber.
ParlaMint-NL_2017-09-21-tweedekamer-10.u10	I have a brief addition. I may have just been very brief in my contribution. It is really only those crops for which a period of ten weeks is now being used. Of course, we have experience in practice with the Veldleeuwerik project, which is based on sustainable agriculture. This has shown that this eight-week period does not have a negative impact on biodiversity. The motion says "at least eight weeks." So it could still be 10 or 11 weeks.
ParlaMint-NL_2017-09-21-tweedekamer-10.u11	Mrs Lodders talks about the Veldleeuwerik project. I'm not that excited about that. I am enthusiastic about this project, but not about Mrs Lodder's words about it. I do think that there was a period of eight weeks in it, but there were also a number of other things in it that had a lot of meaning for the greening. I think that in itself this is the case with these crops, with those catch crops, to a lesser extent. I do not think it is right to constantly question every aspect of European policy. This is useful when it comes to the 5% rule I just mentioned. It has now been said for the first time by the European Commission that it should be a period of eight weeks. So you can count catch crops under two conditions. One condition is that it stays on land for at least eight weeks. The second condition is that you do not use plant protection products. If that is the case, it is also appropriate to leave Mrs Lodder's motion to the Chamber. I shall wait and see what the Court's view is on this matter. Mrs Lodders, in her motion for a resolution, has Amendment No 1, tabled by Mrs Lodders, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats (Christian Democrats) and European Democrats (Christian Democrats) and European Democrats) and European Democrats (Christian Democrats) and European Democrats (Christian Democrats) and We need to realize what it's about. You've got a head crop. Then that's off the land and then you can sow the catch crops. The final date for sowing the catch crops is 15 October. This is the case with effect from the following year. The first date is July 15th. So there's a very long period in between. Mrs Lodders says that the date of 15 July must be brought forward. The system is as follows. Farmers may apply for the aid to which they are entitled until 15 May. They can change that until 15 June. From 15 June, the period during which the main crop must be checked will run. That period is one month, between 15 June and 15 July. If we want to change the period of May 15, then we have to bring it all back to more in spring. I do not think that farmers will be happy because they will have to make a final decision on their cultivation plan earlier and have less time to submit their aid applications. I also think that the advance of that date is undesirable from the point of view of the information collection that is needed. I don't think it's good to do this. I believe that 15 July is a logical date and that the time frame between 15 July and 15 October is also large enough. That is why I advise against this motion by Mrs Lodders. Thank you, Mr President.
ParlaMint-NL_2017-09-21-tweedekamer-10.u12	I hear the minister. What matters to me is that there are a number of main crops which are already being removed from the country at the end of May or early June. Farmers now have to wait until 15 July before they can sow a catch crop, while the function of a catch crop is right, for example, to combat eels in a natural, biological way. You'd like to get started on that as soon as possible. Again, I've heard the Minister. I'm still considering whether I'm holding the motion, changing it or dealing with it in any other way. However, I would like to emphasise this point.
ParlaMint-NL_2017-09-21-tweedekamer-10.u13	Mrs Lodder's arguments are reasonable, but there are other arguments. I just tried to put it into words. It should also be able to be checked. Farmers, in this case farmers, or livestock farmers who also carry out farming activities, ask for support for these activities. That needs to be checked. It takes a month to do that. If you allow that period to run on 15 June, the application must be submitted on 15 May. That's pretty early. If you go any further ahead, I think farmers, farmers in this case, will not be happy with that. That is why I am pleased to hear Mrs Lodder say that she is still thinking about it. But in the meantime, I'm gonna keep dissuading the motion.
ParlaMint-NL_2017-09-21-tweedekamer-10.u14	Thank you. This brings us to the end of the VSO Agriculture and Fisheries Council from 3 to 5 September 2017.
ParlaMint-NL_2017-09-21-tweedekamer-10.u15	The motions tabled will be put to the vote next Tuesday. I would like to thank the Minister for taking part in this part of the meeting. We will see him again later at another debate, but first I shall suspend for a short moment. There will then be an additional arrangement of work.
