Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2017-03-23-tweedekamer-7	ParlaMint-NL_2017-03-23-tweedekamer-7.u1	Report of the meeting of the Dutch Lower House, Meeting 59, Session 7 (2017-03-23)	2017-03-23	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 59	Sitting 2017-03-23	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	PieterOmtzigt	Omtzigt, Pieter	M	1974	
ParlaMint-NL-en_2017-03-23-tweedekamer-7	ParlaMint-NL_2017-03-23-tweedekamer-7.u2	Report of the meeting of the Dutch Lower House, Meeting 59, Session 7 (2017-03-23)	2017-03-23	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 59	Sitting 2017-03-23	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	PieterOmtzigt	Omtzigt, Pieter	M	1974	
ParlaMint-NL-en_2017-03-23-tweedekamer-7	ParlaMint-NL_2017-03-23-tweedekamer-7.u3	Report of the meeting of the Dutch Lower House, Meeting 59, Session 7 (2017-03-23)	2017-03-23	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 59	Sitting 2017-03-23	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	SadetKarabulut	Karabulut, Sadet	F	1975	
ParlaMint-NL-en_2017-03-23-tweedekamer-7	ParlaMint-NL_2017-03-23-tweedekamer-7.u4	Report of the meeting of the Dutch Lower House, Meeting 59, Session 7 (2017-03-23)	2017-03-23	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 59	Sitting 2017-03-23	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	SadetKarabulut	Karabulut, Sadet	F	1975	
ParlaMint-NL-en_2017-03-23-tweedekamer-7	ParlaMint-NL_2017-03-23-tweedekamer-7.u5	Report of the meeting of the Dutch Lower House, Meeting 59, Session 7 (2017-03-23)	2017-03-23	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 59	Sitting 2017-03-23	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	RaymonddeRoon	de Roon, Raymond	M	1952	
ParlaMint-NL-en_2017-03-23-tweedekamer-7	ParlaMint-NL_2017-03-23-tweedekamer-7.u6	Report of the meeting of the Dutch Lower House, Meeting 59, Session 7 (2017-03-23)	2017-03-23	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 59	Sitting 2017-03-23	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Coalition	Centre-right	JoëlVoordewind	Voordewind, Joël	M	1965	
ParlaMint-NL-en_2017-03-23-tweedekamer-7	ParlaMint-NL_2017-03-23-tweedekamer-7.u7	Report of the meeting of the Dutch Lower House, Meeting 59, Session 7 (2017-03-23)	2017-03-23	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 59	Sitting 2017-03-23	-	Reference	English	Regular	MP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MarkRutte	Rutte, Mark	M	1967	
ParlaMint-NL-en_2017-03-23-tweedekamer-7	ParlaMint-NL_2017-03-23-tweedekamer-7.u8	Report of the meeting of the Dutch Lower House, Meeting 59, Session 7 (2017-03-23)	2017-03-23	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 59	Sitting 2017-03-23	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	SadetKarabulut	Karabulut, Sadet	F	1975	
ParlaMint-NL-en_2017-03-23-tweedekamer-7	ParlaMint-NL_2017-03-23-tweedekamer-7.u9	Report of the meeting of the Dutch Lower House, Meeting 59, Session 7 (2017-03-23)	2017-03-23	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 59	Sitting 2017-03-23	-	Reference	English	Regular	MP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MarkRutte	Rutte, Mark	M	1967	
ParlaMint-NL-en_2017-03-23-tweedekamer-7	ParlaMint-NL_2017-03-23-tweedekamer-7.u10	Report of the meeting of the Dutch Lower House, Meeting 59, Session 7 (2017-03-23)	2017-03-23	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 59	Sitting 2017-03-23	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	SadetKarabulut	Karabulut, Sadet	F	1975	
ParlaMint-NL-en_2017-03-23-tweedekamer-7	ParlaMint-NL_2017-03-23-tweedekamer-7.u11	Report of the meeting of the Dutch Lower House, Meeting 59, Session 7 (2017-03-23)	2017-03-23	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 59	Sitting 2017-03-23	-	Reference	English	Regular	MP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MarkRutte	Rutte, Mark	M	1967	
