ParlaMint-NL_2017-06-01-tweedekamer-5.u1	I would like to inform you that the following motions have been withdrawn: 34550-XVII-33; 34550-XVI-78; 34550-XVI-79; 34506-24; 34511-5; 34000-XVII-32; 32735-134; 31239-158; 34228-13; 34648-4; 34648-5; 29911-145; 29911-146. At the request of a number of Members, I propose that the following motion be renewed: 29279-376. I propose that the following work be carried out: 34298-22; 34725-1; 34726-1; 31865-96; 31865-91; 31865-95; 32317-466; 24095-414; 26485-245; 30196-539; 26485-238; 26485-244; 22112-2345; 32317-468; 2017Z06482; 34550-VI-109; 32761-111; 31524-308; 26695-119; 31524-309; 31524-311; 31524-312; 33650-53; 32637-280; 33529-350; 34104-176; 31839-573; 34104-167; 34104-156; 24170-158; 24170-157; 33990-62; 21501-31-433; 34483-11; 33037-196; 33037-197; 33037-198; 28625-242; 28625-243; 34477-20; 26643-477-18; 34477-17; 354777-16; 21501-336; 34725-336; 22112-2305; 21501-33-629; 21501-33-639; 21501-33639; 26485-2428; 30185-2428; 30174-28; 28. I propose to add to the agenda: VAO Strong vocational education, practical learning and appropriate support for MBO students, with the first speaker the member Özdil on behalf of GroenLinks.
ParlaMint-NL_2017-06-01-tweedekamer-5.u2	I would like to give the floor to Mrs Van Veldhoven, but she is not here. Mrs Leijten, the next one, I didn't see either, but she's coming right now. In a red sweater. It's got to be obvious.
ParlaMint-NL_2017-06-01-tweedekamer-5.u3	You know, Mr. Chairman, I'd do anything to stand out.
ParlaMint-NL_2017-06-01-tweedekamer-5.u4	There's really no need for that.
ParlaMint-NL_2017-06-01-tweedekamer-5.u5	Mr. Chairman. On the eve, literally, of the debate we are going to have tonight on the tax arrangements made by the Dutch government, the Dutch Tax Administration with multinationals, the NRC published an article by two of their investigative journalists stating that the Ministry of Economic Affairs also plays a major role through the Netherlands Foreign Investment Agency in at least the advisory practice or in bringing companies here. If these companies ask themselves how much tax they have to pay, the Dutch government also pays half of the consultancy costs. There are plenty of responses in that article that I can subscribe to, but what I want to know for now is which eleven companies are mentioned in the article, how long this practice has been going on and whether it is really true that the highest official of European Affairs will ensure that an Israeli company that complains a bit about the tax burden will then receive advice from this agency. I would like to get a response to this for tonight's debate. I would also like to propose to the Chamber that Minister Kamp be invited to this debate.
ParlaMint-NL_2017-06-01-tweedekamer-5.u6	The first request is not a problem at all. Who would like to say something about the request to invite the Minister of Economic Affairs?
ParlaMint-NL_2017-06-01-tweedekamer-5.u7	It's very special. Mkb'ers andzzp'ers who ask for tax advice really have to pay for that themselves. If foreign multinationals are compensated, this is a reason to ask the government what the balancing framework is for.
ParlaMint-NL_2017-06-01-tweedekamer-5.u8	But do you or do you not want Mr Kamp, the Minister for Economic Affairs, to be present? That's what the question was about.
ParlaMint-NL_2017-06-01-tweedekamer-5.u9	I want to get a reaction to this and then talk about it quietly. You can do that in an AO. If Minister Kamp can be here tonight, I am fine with that, but if the government says it wants to talk about it separately, then I am open to that too. This also has to do with speaking time and other things, because I do have a lot of things today...
ParlaMint-NL_2017-06-01-tweedekamer-5.u10	The debate is on the agenda for this evening at 6.30 p.m. You are now proposing to remove that from the agenda?
ParlaMint-NL_2017-06-01-tweedekamer-5.u11	No, we're not gonna do that. I'm not going to do that to you, Mr. Chairman.
ParlaMint-NL_2017-06-01-tweedekamer-5.u12	I can take a lot, you know.
ParlaMint-NL_2017-06-01-tweedekamer-5.u13	In any case, support for the demand for more information. This evening's debate must certainly continue and, if possible, be extended. However, we are not dealing entirely with the agenda.
ParlaMint-NL_2017-06-01-tweedekamer-5.u14	Support for the information demand. I also read the article with surprise. I'm just gonna bring it up tonight. I would therefore like to receive the information in advance. If the Minister of EZ can be present, I think that would be a good idea, but that is what the cabinet is about in the end. However, I am going to ask the question and I assume that whoever is in the cabinet will be able to answer the questions.
ParlaMint-NL_2017-06-01-tweedekamer-5.u15	A letter on this subject, of course, seems to us to be a good thing. In my opinion, the cabinet itself is about who is responsible. We'll just wait and see.
ParlaMint-NL_2017-06-01-tweedekamer-5.u16	Full support for bringing in the Minister and for adding this point to tonight's debate.
ParlaMint-NL_2017-06-01-tweedekamer-5.u17	Support for the request for information and support for the request to invite the Minister of Economic Affairs.
ParlaMint-NL_2017-06-01-tweedekamer-5.u18	Full support. I also think that the Minister should be there to answer for what happened there.
ParlaMint-NL_2017-06-01-tweedekamer-5.u19	Support for both requests. A number of colleagues are somewhat uncommittal about the need to have the Minister of EZ present. In itself, the cabinet is about its own delegation, but I can say that if the Minister of EZ does not come and the questions are not sufficiently answered, this Chamber will request a new debate on this matter. That the cabinet gets that even if it doesn't consider sending the minister of EZ tonight.
ParlaMint-NL_2017-06-01-tweedekamer-5.u20	Support for both requests.
ParlaMint-NL_2017-06-01-tweedekamer-5.u21	Then I suggest that the stenogram of this part of the meeting be transferred to the cabinet.
ParlaMint-NL_2017-06-01-tweedekamer-5.u22	I would like to make one more point. Of course, the cabinet is ultimately about who it delegates, but the Chamber is about who it invites. I am pleased that there is support for the invitation to Minister Kamp, because otherwise I would have requested a debate on this. Just in view of the debate that was already on the table, I thought that could be done.
ParlaMint-NL_2017-06-01-tweedekamer-5.u23	I will also pass on this request to the cabinet. Mrs Van Veldhoven of D66 has now arrived in the Chamber. The floor is up to her.
