Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2017-02-23-tweedekamer-14	ParlaMint-NL_2017-02-23-tweedekamer-14.u1	Report of the meeting of the Dutch Lower House, Meeting 57, Session 14 (2017-02-23)	2017-02-23	Lower house	Meeting of the 28th Tweede Kamer	Session 14	Meeting 57	Sitting 2017-02-23	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-02-23-tweedekamer-14	ParlaMint-NL_2017-02-23-tweedekamer-14.u2	Report of the meeting of the Dutch Lower House, Meeting 57, Session 14 (2017-02-23)	2017-02-23	Lower house	Meeting of the 28th Tweede Kamer	Session 14	Meeting 57	Sitting 2017-02-23	-	Reference	English	Regular	MP	notMinister	CU	ChristenUnie	Opposition	Centre-right	EppoBruins	Bruins, Eppo	M	1969	
ParlaMint-NL-en_2017-02-23-tweedekamer-14	ParlaMint-NL_2017-02-23-tweedekamer-14.u3	Report of the meeting of the Dutch Lower House, Meeting 57, Session 14 (2017-02-23)	2017-02-23	Lower house	Meeting of the 28th Tweede Kamer	Session 14	Meeting 57	Sitting 2017-02-23	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	ErikZiengs	Ziengs, Erik	M	1960	
ParlaMint-NL-en_2017-02-23-tweedekamer-14	ParlaMint-NL_2017-02-23-tweedekamer-14.u4	Report of the meeting of the Dutch Lower House, Meeting 57, Session 14 (2017-02-23)	2017-02-23	Lower house	Meeting of the 28th Tweede Kamer	Session 14	Meeting 57	Sitting 2017-02-23	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	AgnesMulder	Mulder, Agnes	F	1973	
ParlaMint-NL-en_2017-02-23-tweedekamer-14	ParlaMint-NL_2017-02-23-tweedekamer-14.u5	Report of the meeting of the Dutch Lower House, Meeting 57, Session 14 (2017-02-23)	2017-02-23	Lower house	Meeting of the 28th Tweede Kamer	Session 14	Meeting 57	Sitting 2017-02-23	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MeiLiVos	Vos, Mei Li	F	1970	
ParlaMint-NL-en_2017-02-23-tweedekamer-14	ParlaMint-NL_2017-02-23-tweedekamer-14.u6	Report of the meeting of the Dutch Lower House, Meeting 57, Session 14 (2017-02-23)	2017-02-23	Lower house	Meeting of the 28th Tweede Kamer	Session 14	Meeting 57	Sitting 2017-02-23	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2017-02-23-tweedekamer-14	ParlaMint-NL_2017-02-23-tweedekamer-14.u7	Report of the meeting of the Dutch Lower House, Meeting 57, Session 14 (2017-02-23)	2017-02-23	Lower house	Meeting of the 28th Tweede Kamer	Session 14	Meeting 57	Sitting 2017-02-23	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MeiLiVos	Vos, Mei Li	F	1970	
ParlaMint-NL-en_2017-02-23-tweedekamer-14	ParlaMint-NL_2017-02-23-tweedekamer-14.u8	Report of the meeting of the Dutch Lower House, Meeting 57, Session 14 (2017-02-23)	2017-02-23	Lower house	Meeting of the 28th Tweede Kamer	Session 14	Meeting 57	Sitting 2017-02-23	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2017-02-23-tweedekamer-14	ParlaMint-NL_2017-02-23-tweedekamer-14.u9	Report of the meeting of the Dutch Lower House, Meeting 57, Session 14 (2017-02-23)	2017-02-23	Lower house	Meeting of the 28th Tweede Kamer	Session 14	Meeting 57	Sitting 2017-02-23	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MeiLiVos	Vos, Mei Li	F	1970	
ParlaMint-NL-en_2017-02-23-tweedekamer-14	ParlaMint-NL_2017-02-23-tweedekamer-14.u10	Report of the meeting of the Dutch Lower House, Meeting 57, Session 14 (2017-02-23)	2017-02-23	Lower house	Meeting of the 28th Tweede Kamer	Session 14	Meeting 57	Sitting 2017-02-23	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2017-02-23-tweedekamer-14	ParlaMint-NL_2017-02-23-tweedekamer-14.u11	Report of the meeting of the Dutch Lower House, Meeting 57, Session 14 (2017-02-23)	2017-02-23	Lower house	Meeting of the 28th Tweede Kamer	Session 14	Meeting 57	Sitting 2017-02-23	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
