Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2017-02-22-tweedekamer-18	ParlaMint-NL_2017-02-22-tweedekamer-18.u1	Report of the meeting of the Dutch Lower House, Meeting 56, Session 18 (2017-02-22)	2017-02-22	Lower house	Meeting of the 28th Tweede Kamer	Session 18	Meeting 56	Sitting 2017-02-22	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-02-22-tweedekamer-18	ParlaMint-NL_2017-02-22-tweedekamer-18.u2	Report of the meeting of the Dutch Lower House, Meeting 56, Session 18 (2017-02-22)	2017-02-22	Lower house	Meeting of the 28th Tweede Kamer	Session 18	Meeting 56	Sitting 2017-02-22	-	Reference	English	Regular	MP	notMinister	CU	ChristenUnie	Opposition	Centre-right	CarlaDik-Faber	Dik-Faber, Carla	F	1971	
ParlaMint-NL-en_2017-02-22-tweedekamer-18	ParlaMint-NL_2017-02-22-tweedekamer-18.u3	Report of the meeting of the Dutch Lower House, Meeting 56, Session 18 (2017-02-22)	2017-02-22	Lower house	Meeting of the 28th Tweede Kamer	Session 18	Meeting 56	Sitting 2017-02-22	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2017-02-22-tweedekamer-18	ParlaMint-NL_2017-02-22-tweedekamer-18.u4	Report of the meeting of the Dutch Lower House, Meeting 56, Session 18 (2017-02-22)	2017-02-22	Lower house	Meeting of the 28th Tweede Kamer	Session 18	Meeting 56	Sitting 2017-02-22	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	HankeBruinsSlot	Bruins Slot, Hanke	F	1977	
ParlaMint-NL-en_2017-02-22-tweedekamer-18	ParlaMint-NL_2017-02-22-tweedekamer-18.u5	Report of the meeting of the Dutch Lower House, Meeting 56, Session 18 (2017-02-22)	2017-02-22	Lower house	Meeting of the 28th Tweede Kamer	Session 18	Meeting 56	Sitting 2017-02-22	-	Reference	English	Regular	MP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	ElbertDijkgraaf	Dijkgraaf, Elbert	M	1970	
ParlaMint-NL-en_2017-02-22-tweedekamer-18	ParlaMint-NL_2017-02-22-tweedekamer-18.u6	Report of the meeting of the Dutch Lower House, Meeting 56, Session 18 (2017-02-22)	2017-02-22	Lower house	Meeting of the 28th Tweede Kamer	Session 18	Meeting 56	Sitting 2017-02-22	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EdithSchippers	Schippers, Edith	F	1964	
ParlaMint-NL-en_2017-02-22-tweedekamer-18	ParlaMint-NL_2017-02-22-tweedekamer-18.u7	Report of the meeting of the Dutch Lower House, Meeting 56, Session 18 (2017-02-22)	2017-02-22	Lower house	Meeting of the 28th Tweede Kamer	Session 18	Meeting 56	Sitting 2017-02-22	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-02-22-tweedekamer-18	ParlaMint-NL_2017-02-22-tweedekamer-18.u8	Report of the meeting of the Dutch Lower House, Meeting 56, Session 18 (2017-02-22)	2017-02-22	Lower house	Meeting of the 28th Tweede Kamer	Session 18	Meeting 56	Sitting 2017-02-22	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EdithSchippers	Schippers, Edith	F	1964	
ParlaMint-NL-en_2017-02-22-tweedekamer-18	ParlaMint-NL_2017-02-22-tweedekamer-18.u9	Report of the meeting of the Dutch Lower House, Meeting 56, Session 18 (2017-02-22)	2017-02-22	Lower house	Meeting of the 28th Tweede Kamer	Session 18	Meeting 56	Sitting 2017-02-22	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-02-22-tweedekamer-18	ParlaMint-NL_2017-02-22-tweedekamer-18.u10	Report of the meeting of the Dutch Lower House, Meeting 56, Session 18 (2017-02-22)	2017-02-22	Lower house	Meeting of the 28th Tweede Kamer	Session 18	Meeting 56	Sitting 2017-02-22	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EdithSchippers	Schippers, Edith	F	1964	
ParlaMint-NL-en_2017-02-22-tweedekamer-18	ParlaMint-NL_2017-02-22-tweedekamer-18.u11	Report of the meeting of the Dutch Lower House, Meeting 56, Session 18 (2017-02-22)	2017-02-22	Lower house	Meeting of the 28th Tweede Kamer	Session 18	Meeting 56	Sitting 2017-02-22	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
