ParlaMint-NL_2017-02-23-tweedekamer-12.u1	I call Mr Smaling on behalf of the SP Group.
ParlaMint-NL_2017-02-23-tweedekamer-12.u2	Mr. Chairman. I have two motions, one ferocious and one quiet. I'll start with the rage. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the number of flights to and from Schiphol Airport is already at the upper limit for 2020;]] [[Whereas the volume policy pursued by Schiphol with a reward programme is not in line with selective growth as agreed in the Alders Agreement;]] [[whereas Schiphol is a State participation;]] [[calls on the government to stop the reward programme in consultation with Schiphol,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that air traffic control in the Netherlands has recently adjusted the weather limits at Schiphol Airport;]] [[noting that the Commission does not take into account this recent change for the environmental impact assessment in its ongoing research;]] [[Whereas these changes may have an impact on runway use at Schiphol Airport and thus affect the environment;]] [[calls on the government, in addition to the environmental impact assessment for the new Schiphol standards and enforcement system, to:]] [[take into account the impact of the recent adaptation of the weather limits for dependent runway use in the determination of the environmental impacts of future use of the airport;]] [[present the development of noise at enforcement points in the scenarios examined,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Smaling. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-383]] [[This motion has been proposed by Mr Smaling. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-384]]
ParlaMint-NL_2017-02-23-tweedekamer-12.u3	Mr. Chairman. I have a motion which is somewhat in line with Mr Smaling's ferocious motion. My motion is a little less pissed off, so maybe she has a better chance. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the number of flights at Schiphol Airport is growing much faster than expected;]] [[noting that the opening of the airport in Lelystad will be delayed until 2019;]] [[Whereas selectivity policy has not yet achieved clear results, such as the transfer of airlines to other airports;]] [[noting that the growth of Schiphol by means of hub flights is essential for the Dutch economy, the competitiveness and the future-proofing of the airport;]] [[calls on the Government to ensure that more concrete results are achieved through selectivity policy and to inform the Court as soon as possible,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Leenders. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-385]]
ParlaMint-NL_2017-02-23-tweedekamer-12.u4	This was my last gig here at this time. Through the President, I would like to thank the Secretary of State, but also the Members, my colleagues, for their pleasant cooperation in recent years.
ParlaMint-NL_2017-02-23-tweedekamer-12.u5	Thank you. I call the Secretary of State.
ParlaMint-NL_2017-02-23-tweedekamer-12.u6	Mr. Chairman. I'll start with the motion in part No. 383, which Mr. Smaling already announced as "desert." Mr Smaling asked the cabinet to stop the Airline Reward Programme. We have had a very extensive exchange of views on this very recently. The Airline Reward Program is not a volume policy. It is precisely that intercontinental destinations are mainly reached, especially from April this year. I am not talking about the programme and the motion is indeed too furious for me. So I'm gonna dissuade her for that reason.
ParlaMint-NL_2017-02-23-tweedekamer-12.u7	It is of course a bit of a repetition of moves, because we have just had a general discussion. But not everyone looks at us all the time and there are still a few things to note. So there's $43 million in the Airline Reward Program. The Secretary of State also stated in general consultation that the ACM is about this. I doubt that. In this sense, I find the question I put to the Secretary of State through this motion to be real, and I therefore think that this is a motion that she could make.
ParlaMint-NL_2017-02-23-tweedekamer-12.u8	The ACM does not deal with the amount, but it does deal with the conditions under which Schiphol may or may not participate in such programmes. At a time when, for example, a society feels uncomfortable, there is the possibility to complain to the ACM about how that reward program works. I have already noted in the debate just now that such a complaint has simply not been submitted to the ACM.
ParlaMint-NL_2017-02-23-tweedekamer-12.u9	Doesn't the Secretary of State think that the reward program has also been an important cause of the fact that we are already so follow-up at Schiphol Airport? This is especially done by companies that you may not want to see coming to Schiphol.
ParlaMint-NL_2017-02-23-tweedekamer-12.u10	I would like to say once again that I did not just ask for data in five years' time. I asked for all data from Schiphol. They have chosen to give me this data in five years' time, for their own reasons. We also discussed this during the debate. But even seen over the whole period, an important part of the amount has simply stopped in destinations that strengthen the hub function. To be honest, I think that is at the heart of the programme. Does Schiphol have a program like this that's more likely to fill it up? I'm really wondering. I think there are many other very good reasons why the airport is actually doing really well.
ParlaMint-NL_2017-02-23-tweedekamer-12.u11	I hear that this issue has already been discussed extensively in the general consultation. The Secretary of State therefore continues her speech.
ParlaMint-NL_2017-02-23-tweedekamer-12.u12	Yes. I shall now turn to Mr Smaling's motion for a resolution. 384. It's about the E.R. I would like to make a procedural proposal to Mr Smaling on this point. For a while, in the time between the AO and now, I had discussions, including with people who know more about this in the technical sense. They say that if I did exactly what it says, I would probably take a lot of extra months to complete that E.R. I'm not sure we should do that at all. It won't be possible to get this done in time anyway, because this is food for technicians. I have also exchanged views in the debate on the need for as accurate information as possible. So perhaps it is possible for Mr Smaling to hold on to his motion. Then the Chamber gets a letter about this. What is a very long story here, can I explain in that letter: what can we possibly take and what not and what exactly is the planning? I hope that Mr Smaling agrees.
ParlaMint-NL_2017-02-23-tweedekamer-12.u13	Yeah, I think that's a good idea. Then there will be a letter in which this motion is more or less dealt with. I would like to draw particular attention to those enforcement points. If we can make that deal, we'll sort of figure out where we all want to go.
ParlaMint-NL_2017-02-23-tweedekamer-12.u14	Yes, I'll send a letter to the Chamber. Then I'll also show you what the state of affairs is, what exactly is the situation with route changes that are being made, for example, during the drafting of an EIA and what the consequences are of, for example, examining what you're all saying: is that absolutely necessary or can you perhaps do it in a slightly different way? I think it would be a good idea to give the Chamber such a letter. I shall also deal with the text of the motion.
ParlaMint-NL_2017-02-23-tweedekamer-12.u15	Has Mr Smaling's motion been stopped?
ParlaMint-NL_2017-02-23-tweedekamer-12.u16	Yeah, I'll keep it on. I'm gonna let it float over the market. If the Secretary of State doesn't deliver, I can always file the motion again, but I don't suspect that.
ParlaMint-NL_2017-02-23-tweedekamer-12.u17	At the request of Mr Smaling, I propose his motion (31936), No. 384). That is what is decided.
ParlaMint-NL_2017-02-23-tweedekamer-12.u18	Finally, I would like to comment on the motion on part No. President. - The next item is the joint debate on the following motions for resolutions: We have designated Lelystad and Eindhoven for non-mainport-related air traffic. Non-mainport-related traffic should primarily be stimulated by market forces. For example, for Schiphol Airport, this is a matter of making it attractive to fly to Lelystad, including with fares and so on. This is also designed on the basis of the Alders agreements. I have already explained that we are in the process of creating a traffic distribution rule, which should be applicable from the opening of Lelystad. It remains a real challenge to make it legally sustainable and approved by the Commission in Brussels and effective at the same time. If I may explain the motion in such a way that I am going to inform the Chamber of all the efforts we are already making, and that we are also going to allow this to be the selectivity policy with which we are proceeding, then I can leave the opinion on the motion to the Chamber.
ParlaMint-NL_2017-02-23-tweedekamer-12.u19	As far as I'm concerned, the Secretary of State may interpret the motion in this way.
ParlaMint-NL_2017-02-23-tweedekamer-12.u20	That's it. I would like to thank all Members of Parliament for their flexibility and good cooperation.
ParlaMint-NL_2017-02-23-tweedekamer-12.u21	The motions tabled will be put to the vote this evening.
