ParlaMint-NL_2017-02-22-tweedekamer-9.u1	I welcome the Minister for Social Affairs and Employment. I call Mr Klein.
ParlaMint-NL_2017-02-22-tweedekamer-9.u2	Mr. Chairman. I have a motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas in its response of 2 December 2016 to the transfer of basic income by the Free Party, the Government indicated that it would await the transfer of the CPB from the Free Party's electoral programme;]] [[whereas the CPB in its analysis Choices in Map 2018-2021 indicates that the results of the policy simulations of the very far-reaching measure to introduce the basic income "are surrounded by more than the usual uncertainties';]] [[Calls on the Government to examine, following the initiative paper on basic income (Room 34393), how a basic income could be possible by means of a research assignment to the CPB and the SCP, which takes full account of the financial, socio-economic and behavioural effects and examines a number of scenarios related to the introduction and the level of an unconditional basic income;]] [[invites the Government to inform the House of Representatives as soon as possible,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Klein. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34393-9]]
ParlaMint-NL_2017-02-22-tweedekamer-9.u3	Whether the Rules of Procedure should have changed, but I do not think that there are enough Members present to support the tabling of the motion.
ParlaMint-NL_2017-02-22-tweedekamer-9.u4	There are five members present, including your chairman, who have supported the tabling of the motion.
ParlaMint-NL_2017-02-22-tweedekamer-9.u5	Oh, you've been in on it, too. Good. That's on the edge.
ParlaMint-NL_2017-02-22-tweedekamer-9.u6	That was indeed on the verge, but we have had it this morning. We just did it. This will put an end to the input from the Chamber. Did the Minister get the motion yet?
ParlaMint-NL_2017-02-22-tweedekamer-9.u7	I heard the motion.
ParlaMint-NL_2017-02-22-tweedekamer-9.u8	Then I would like to give the floor to the Minister for his ruling on the motion.
ParlaMint-NL_2017-02-22-tweedekamer-9.u9	Mr. Chairman. I think the Central Planning Bureau has shown how far-reaching the consequences are. To name but a few: a 6.5% loss in the sustainability of public finances. I do not think there is at present a need for or a need for an investigation as proposed by Mr Klein. So I'm deceiving the motion.
ParlaMint-NL_2017-02-22-tweedekamer-9.u10	The point is that the letter of 2 December, in which the Minister responded to the plans, indicated that he would await the policy analysis of the Central Planning Bureau. The CPB states in its account that there are a number of uncertainties, because it cannot process a number of modelities, for example in terms of device discounts and positive behavioural effects resulting from the introduction of basic income. Those elements couldn't take the CPB. The request is for those elements to be taken now. This has also become clear in the discussion I had with the CPB on how to take these aspects outside the framework of Choices in Map.
ParlaMint-NL_2017-02-22-tweedekamer-9.u11	I think the Central Planning Bureau has examined it carefully. Of course there are margins in the results; that is always the case. But if it turns out that there is a 5% loss of employment and that there is a 6.5% loss of the sustainability of our welfare state, that gives me sufficient information to conclude that our initial objections to Mr Klein's proposal are still standing. That's why I don't need any more research.
ParlaMint-NL_2017-02-22-tweedekamer-9.u12	It is precisely about employment and the sustainability of public finances. We assume that there will be no deficit. There will be a stronger rise in employment. However, this cannot be taken into account in the models currently used by the CPB. That is why I am asking for this to be included, especially in relation to an investigation by the Social Cultural Planning Office, which can calculate and determine in particular the behavioural effects of the introduction of basic income. That is in addition to what is in Choices Map.
ParlaMint-NL_2017-02-22-tweedekamer-9.u13	In our letter we indicated that we are waiting for the transfer of the Central Planning Bureau. This means that the government does value the passing on of the plans. I think this is good for a lot of parties. There are many things to note on the model, but it is good because things are similar. What are the important outcomes of the credit transfers? What is the impact on employment? Everyone has that question on their basic income. What is the impact on the sustainability of public finances, with which we pay care, education, defence and social security for all Dutch people? On both points, the results are disastrous. There is a loss of employment of 5% and a loss of sustainability of 6.5%. As far as I am concerned, we know enough about this now. A study by the Social Cultural Planning Office does not add much to that. That is why I advise against the motion in part No. 9.
ParlaMint-NL_2017-02-22-tweedekamer-9.u14	The motion tabled will be put to the vote tomorrow. I shall suspend very briefly so that the speakers can join us for the next discussion.
