ParlaMint-NL_2017-11-09-tweedekamer-16.u1	I give the floor to the Minister to first inform the Chamber of the letter requested this morning.
ParlaMint-NL_2017-11-09-tweedekamer-16.u2	Mr. Chairman. I also indicated that during the debate I had as much information as the Chamber. I've been checking up on you. The Chamber has asked for a letter from General Affairs. I understand that this letter is also in the making and that it is likely to come here during the course of this day, but I cannot say anything about the exact timing. Mr President, you are dealing with the order of business here. We could continue with the documents that do not relate to them, but that is ultimately up to you and the Chamber.
ParlaMint-NL_2017-11-09-tweedekamer-16.u3	Good. So that letter is not yet available, but it can be sent to the Chamber during the afternoon. I call Mr Dijkgraaf.
ParlaMint-NL_2017-11-09-tweedekamer-16.u4	I have a question about the wording. The minister said "in all probability during the afternoon." Does "in all probability" strike the letter at all or at the time it arrives?
ParlaMint-NL_2017-11-09-tweedekamer-16.u5	Let me make it clear that it is only the time. AZ is in the process of this letter, so I am assured. In fact, I have the impression that they are already on their way, but I have no idea whether that letter is 80%, 90% or 95% finished. So maybe I should leave some space there.
ParlaMint-NL_2017-11-09-tweedekamer-16.u6	Good. Then I would like to make a proposal on how we are going to conduct this debate during the day. I would suggest that the Minister be given the opportunity to address all the other issues to which that letter does not relate; let me put it this way. After that, I would also like to give the floor to the Secretary of State. As soon as that letter arrives, we can do the dividend tax section tonight. Then we will do the second time after the debate.
ParlaMint-NL_2017-11-09-tweedekamer-16.u7	(NL) Mr President, if I understand you correctly, the second term will be after the dividend tax. That seems to me to be the right order.
ParlaMint-NL_2017-11-09-tweedekamer-16.u8	No, tonight.
ParlaMint-NL_2017-11-09-tweedekamer-16.u9	Yeah, tonight.
ParlaMint-NL_2017-11-09-tweedekamer-16.u10	Yes.
ParlaMint-NL_2017-11-09-tweedekamer-16.u11	Can you help me one more time? When exactly does the second term begin?
ParlaMint-NL_2017-11-09-tweedekamer-16.u12	We shall first deal with all questions in the first term from the government, with the exception of the subject on which the Chamber wishes to have a letter. That letter could come in the afternoon. As soon as we get that letter, we'll talk about the contents of that letter. We'll do it tonight. Well, that's kind of a continuation.
ParlaMint-NL_2017-11-09-tweedekamer-16.u13	Sure. I may have made the confusion even greater, but that's exactly how I understood it.
ParlaMint-NL_2017-11-09-tweedekamer-16.u14	After the discussion about that letter, we're going to keep the second term.
ParlaMint-NL_2017-11-09-tweedekamer-16.u15	Exactly. That's what I'm talking about. That was exactly what I understood.
ParlaMint-NL_2017-11-09-tweedekamer-16.u16	Yeah, so we're doing everything today. Tonight, too.
ParlaMint-NL_2017-11-09-tweedekamer-16.u17	That is exactly the proposal I made this morning. Thank you.
ParlaMint-NL_2017-11-09-tweedekamer-16.u18	Oh. Thank you. I shall now give the floor to the Minister.
ParlaMint-NL_2017-11-09-tweedekamer-16.u19	Mr. Chairman. I'm gonna pick up where we were. We were in the section on tax relief and tax reform. May I ask if this chair could go further up? I understood that I was hanging on the benches and that it all looked extremely sloppy. Of course, we shouldn't have that.
ParlaMint-NL_2017-11-09-tweedekamer-16.u20	We're gonna adapt it to your wishes.
ParlaMint-NL_2017-11-09-tweedekamer-16.u21	Mr. Chairman. This cabinet is going to reform the tax system. This tax reform is based on three pillars. One is the income package, two is the business package and three is the environmental package. I'll make a brief introduction here. For the more detailed explanation of the tax measures, please refer to the Secretary of State. Mr. Chairman. I'll start with the income package, including purchasing power. The first pillar of the tax reform is the income package. The cabinet chooses to allow citizens to benefit more from the favourable economic dynamics. The burden on citizens will be reduced, inter alia by introducing the two-wheel system and increasing tax reductions in income tax. All this is accompanied by a cost reduction of 6.2 billion in 2021. Of these, 5.2 billion are made up of lower taxes and 1 billion are spent. These are mainly increased supplements, such as the childcare allowance and the child-related budget. I would like to repeat once again that this will improve the purchasing power of all the income groups in the coming years. In addition, the package presented by this cabinet also reduces income inequality. I would also like to emphasise this, because that was one of the things that was clearly reflected in the Plan Bureau's report. I imagine many in this house embrace that, too. In addition to the reduction of the burden, the income package includes reforms. This will increase the burden on consumption in the future. Also, the maximum rate of deduction for deductions under which the mortgage interest rate deduction is to be deducted. We already exchanged a few thoughts about this in four steps to the base rate. The proceeds of the acceleration of the write-off of the mortgage interest rate deduction will then be used again. It'll be lowered over a million dollars. All in all, we are convinced that this is how we make work more rewarding and ensure that more people get to work. Mr. Chairman. Mr Van Dijck asked a question about the purchasing power of AOW'ers. If I quote him correctly, he asked if the Minister would fix the purchasing power of, for example, the AOW's. I think it is important to say that the vast majority of older people will also be making progress in the next four years. I thought it was Mr Krol who mentioned the 88% rate in the debate on the declaration of government. The lower tax rates are also favourable for older people and they are also entitled to a general tax reduction. Mr. Chairman. The SGP asked for the Schalk motion, and then specifically to reduce the difference between the single earner and the two earner. I am very aware that these are important issues for the SGP and also for the Christian Union. Mr Dijkgraaf also rightly states that I supported that motion in the past. I also have to say, in order not to make it any more beautiful than it is, that that debate took place with my colleague Mr Van Rij at the time, so he moved in with Mr Schalk. That wasn't me. I think it is important to highlight, especially for the SGP and the Christian Union, that we really do something about the difference between one and two earners. Both groups are improving. Each earner therefore really benefits fully. They have just as much benefit from government policy and from the coalition agreement as two-earners. An earner on a modal basis even benefits most from all households during this cabinet period. I would like to say that we have opted for a balance here too. We do a lot for the one-earner, but we also do a lot for the two-earners. I think that's right, too. I think it is right that the cabinet should work for the single earner, but that it is also good for the families in which both partners should be enabled to work. Balance is therefore the guiding concept here.
ParlaMint-NL_2017-11-09-tweedekamer-16.u22	That's clear. I've been clear about that, too. Thank you for these positive effects on the purchasing power of a earner. It's crystal clear to me. In my opinion, this is also a fact that there is a great gap in taxes if you take a comparison of the same income, earned by two-earners or a single earner. The Prime Minister has already indicated to the General Political Reviews that he sees the problem, that he does not really know how to solve it, but that he will look favourably at creative proposals. That's what I'm actually looking for. I am looking for this benevolent attitude, including within the Ministry of Finance: we are not called to the impossible, but if there are possibilities and the balance remains, then we look positively at it.
ParlaMint-NL_2017-11-09-tweedekamer-16.u23	I think I'll be called upon immediately by state law if I say anything other than the Prime Minister. So I can only repeat what he said here. I think he has tried to summarize this in the cry that the door to the Trêveszaal is wide open.
ParlaMint-NL_2017-11-09-tweedekamer-16.u24	I would like to make it clear that, while all the rulers are still in there, this is mainly for inbound traffic and not for outbound traffic.
ParlaMint-NL_2017-11-09-tweedekamer-16.u25	You never know how long it's gonna take, but that was also my observation the last time I joined the Council of Ministers.
ParlaMint-NL_2017-11-09-tweedekamer-16.u26	Thanks to the Minister for the present, the blue book. I hope there will be many more gifts.
ParlaMint-NL_2017-11-09-tweedekamer-16.u27	It's a dangerous gift. I can see that already! It will be used immediately.
ParlaMint-NL_2017-11-09-tweedekamer-16.u28	Yeah, it's good of you to let me know. I see on page 16, maybe people can watch what a policeman, a bus driver, a plumber, a hairdresser and a soldier deserve. I will come back to the question I asked about purchasing power. Is it fair that a bus driver, a soldier and a hairdresser improve €240 to €250 a year and a minister improves €2,112 on it?
