ParlaMint-NL_2017-10-10-tweedekamer-27.u1	At the request of a number of Members, I propose that the following motions be repeated: 30169-62; 34674-15; 28286-876; 27625-390. I propose to carry out the following work: 21501-07-1458; 2623-201; 22112-2363; 22112-2382; 22112-2377; 21501-07-1459; 21501-03-107; 29023-218; 32752-49; 34270-28. We're not gonna do that every week, are we, those congratulations? Let us now turn to Members' requests. I propose to add to the agenda, the VAO Environment Council of 13 October 2017 with the first speaker, Mr Kröger, on behalf of GroenLinks. You have the floor, Mrs Kröger.
ParlaMint-NL_2017-10-10-tweedekamer-27.u2	Mr. Chairman. In view of the fact that the Environment Council is this week, I would ask you to plan the VAO this week.
ParlaMint-NL_2017-10-10-tweedekamer-27.u3	We're gonna take that into account. Thank you. I would also suggest adding to the agenda, the VAO Trade and Investment Promotion and RBZ/Trade, with Mr Amhaouch as the first speaker on behalf of the CDA.
ParlaMint-NL_2017-10-10-tweedekamer-27.u4	I now give the floor to Mrs Kröger on behalf of GroenLinks.
ParlaMint-NL_2017-10-10-tweedekamer-27.u5	Mr. Chairman. Our request is that the 30-member debate on tax benefits and subsidies for the fossil industry, which is scheduled to take place this afternoon, should be held in a debate with the new ruler who is also coordinating on climate policy.
ParlaMint-NL_2017-10-10-tweedekamer-27.u6	A majority debate?
ParlaMint-NL_2017-10-10-tweedekamer-27.u7	Yes.
ParlaMint-NL_2017-10-10-tweedekamer-27.u8	Who can I give the floor to? I'll start with Mrs. Agnes Mulder from the CDA.
ParlaMint-NL_2017-10-10-tweedekamer-27.u9	Support for this proposal.
ParlaMint-NL_2017-10-10-tweedekamer-27.u10	Support.
ParlaMint-NL_2017-10-10-tweedekamer-27.u11	The Animal Party also supports this proposal.
ParlaMint-NL_2017-10-10-tweedekamer-27.u12	Support.
ParlaMint-NL_2017-10-10-tweedekamer-27.u13	Support from the Christian Union.
ParlaMint-NL_2017-10-10-tweedekamer-27.u14	No support, Mr. Chairman.
ParlaMint-NL_2017-10-10-tweedekamer-27.u15	Support from the VVD.
ParlaMint-NL_2017-10-10-tweedekamer-27.u16	Support.
ParlaMint-NL_2017-10-10-tweedekamer-27.u17	Support from DENK.
ParlaMint-NL_2017-10-10-tweedekamer-27.u18	You have a majority, Mrs Kröger. So we will take that into account at another time and then put it on the agenda. Thank you. I now turn to Mrs Ellemeet on behalf of GroenLinks.
ParlaMint-NL_2017-10-10-tweedekamer-27.u19	Thank you, Mr. Chairman. An important report was published last week by the National Switch team for people with confused behavior. That report shows that the urgency has never been so high in providing good care for this group of vulnerable people. I would like to ask for a debate with the new leaders of VWS and Security and Justice.
ParlaMint-NL_2017-10-10-tweedekamer-27.u20	Who's talking about this? Mrs. Kuik, CDA.
ParlaMint-NL_2017-10-10-tweedekamer-27.u21	Mr President, thank you. I'd like to suggest that we add this to the AO.
ParlaMint-NL_2017-10-10-tweedekamer-27.u22	Support for a letter, but no support for a debate. It can be done at the AO over the ggz.
ParlaMint-NL_2017-10-10-tweedekamer-27.u23	Support for the request.
ParlaMint-NL_2017-10-10-tweedekamer-27.u24	It is important to debate this once, but I would like to receive a letter about it first and then, as far as I am concerned, it will be discussed in general consultation.
ParlaMint-NL_2017-10-10-tweedekamer-27.u25	This has been on the agenda for some time to be properly discussed, so it seems to me that we can support this.
ParlaMint-NL_2017-10-10-tweedekamer-27.u26	We would like a letter first and, like previous speakers, we support an AO on this subject, because this is extremely important.
ParlaMint-NL_2017-10-10-tweedekamer-27.u27	We are afraid that if we do it in the AA, the subject will snow a little bit, so support for this debate.
ParlaMint-NL_2017-10-10-tweedekamer-27.u28	We agree with that.
ParlaMint-NL_2017-10-10-tweedekamer-27.u29	Mr President, I think it is best to shape it in an AO and then talk about it. So no support for a debate, but support for the letter.
ParlaMint-NL_2017-10-10-tweedekamer-27.u30	Mr President, if I have counted correctly, I do have the support of more than 30 Members, so I suggest that we have a 30-member debate on this.
ParlaMint-NL_2017-10-10-tweedekamer-27.u31	Yes, we will add this 30-member debate to the list. I also propose that the stenogram of this part of the meeting be transferred to the cabinet. I call Mr Peters on behalf of the CDA.
ParlaMint-NL_2017-10-10-tweedekamer-27.u32	Thank you, Mr. Chairman. In a press release dated 5 October, the National Association of Free-based Psychologists indicates that many psychologists and psychotherapists are leaving the youth ggz. As a result, the LVVP mentions, among other things, a labyrinth of administrative burdens and complex procurement procedures. At the same time, the LVVP notes that more and more parents themselves pay for their child. The CDA does not want a division of care and no complicated procedures and unnecessary administrative burdens. We would like to have a debate on this with the Secretary of State, with the new member of government.
ParlaMint-NL_2017-10-10-tweedekamer-27.u33	At least it is important to look for and resolve these bottlenecks. My proposal would actually be to ask for a letter from the new ruler first. Then we can schedule this subject in due course at the WHO Youth, which we already have.
ParlaMint-NL_2017-10-10-tweedekamer-27.u34	Mr President, I was a little surprised because last week the CDA stopped a request from us to hold a debate on this. But I think this is a good thing, because I think it is high time to talk about the problems in youth care. So support from GroenLinks for this debate.
