ParlaMint-NL_2017-12-05-tweedekamer-6.u1	Before we vote, I shall give the floor to the Member, Mr Kwint, on behalf of the SP.
ParlaMint-NL_2017-12-05-tweedekamer-6.u2	Thank you, Mr. Chairman. Following last week's Media legislative consultation, which we were going to vote on today, I asked additional questions about the enigmatic drawer at the Ministry of Education, Culture and Science, which sometimes contains a report. I have received these answers today, but they give rise to so many follow-up questions that I would ask colleagues to postpone the votes in the Media legislative consultation for a week so that I can ask further supplementary questions and we can take our decision wisely.
ParlaMint-NL_2017-12-05-tweedekamer-6.u3	So the request is to postpone item 3 on the voting list. Who's talking about this?
ParlaMint-NL_2017-12-05-tweedekamer-6.u4	I think it's a good use if a colleague needs an extra week, to honor that delay. So support from D66.
ParlaMint-NL_2017-12-05-tweedekamer-6.u5	No, no, no, no,
ParlaMint-NL_2017-12-05-tweedekamer-6.u6	Support for the proposal.
ParlaMint-NL_2017-12-05-tweedekamer-6.u7	Support for the proposal.
ParlaMint-NL_2017-12-05-tweedekamer-6.u8	Support for the proposal.
ParlaMint-NL_2017-12-05-tweedekamer-6.u9	Support for the proposal, President.
ParlaMint-NL_2017-12-05-tweedekamer-6.u10	Support.
ParlaMint-NL_2017-12-05-tweedekamer-6.u11	Also support from the Christian Union.
ParlaMint-NL_2017-12-05-tweedekamer-6.u12	Support from the VVD, but please for one week. So take with you the OCW budget and the motions that will then be tabled.
ParlaMint-NL_2017-12-05-tweedekamer-6.u13	Support.
ParlaMint-NL_2017-12-05-tweedekamer-6.u14	Support.
ParlaMint-NL_2017-12-05-tweedekamer-6.u15	Next week we will vote on agenda item 3, the motions submitted to the legislative consultation on the Media budget line of OCW. Then I have one more communication on point 4 of the voting list, the motions submitted to the VAO Education Implementation Service. The motion-Futselaar/Van den Hul in part No. 154 has already been held during the debate. So we're not going to vote on that.
