Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2017-01-24-tweedekamer-3	ParlaMint-NL_2017-01-24-tweedekamer-3.u1	Report of the meeting of the Dutch Lower House, Meeting 43, Session 3 (2017-01-24)	2017-01-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 43	Sitting 2017-01-24	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	AhmedMarcouch	Marcouch, Ahmed	M	1969	
ParlaMint-NL-en_2017-01-24-tweedekamer-3	ParlaMint-NL_2017-01-24-tweedekamer-3.u2	Report of the meeting of the Dutch Lower House, Meeting 43, Session 3 (2017-01-24)	2017-01-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 43	Sitting 2017-01-24	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2017-01-24-tweedekamer-3	ParlaMint-NL_2017-01-24-tweedekamer-3.u3	Report of the meeting of the Dutch Lower House, Meeting 43, Session 3 (2017-01-24)	2017-01-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 43	Sitting 2017-01-24	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	AhmedMarcouch	Marcouch, Ahmed	M	1969	
ParlaMint-NL-en_2017-01-24-tweedekamer-3	ParlaMint-NL_2017-01-24-tweedekamer-3.u4	Report of the meeting of the Dutch Lower House, Meeting 43, Session 3 (2017-01-24)	2017-01-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 43	Sitting 2017-01-24	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2017-01-24-tweedekamer-3	ParlaMint-NL_2017-01-24-tweedekamer-3.u5	Report of the meeting of the Dutch Lower House, Meeting 43, Session 3 (2017-01-24)	2017-01-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 43	Sitting 2017-01-24	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	AhmedMarcouch	Marcouch, Ahmed	M	1969	
ParlaMint-NL-en_2017-01-24-tweedekamer-3	ParlaMint-NL_2017-01-24-tweedekamer-3.u6	Report of the meeting of the Dutch Lower House, Meeting 43, Session 3 (2017-01-24)	2017-01-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 43	Sitting 2017-01-24	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2017-01-24-tweedekamer-3	ParlaMint-NL_2017-01-24-tweedekamer-3.u7	Report of the meeting of the Dutch Lower House, Meeting 43, Session 3 (2017-01-24)	2017-01-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 43	Sitting 2017-01-24	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RonaldvanRaak	van Raak, Ronald	M	1969	
ParlaMint-NL-en_2017-01-24-tweedekamer-3	ParlaMint-NL_2017-01-24-tweedekamer-3.u8	Report of the meeting of the Dutch Lower House, Meeting 43, Session 3 (2017-01-24)	2017-01-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 43	Sitting 2017-01-24	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2017-01-24-tweedekamer-3	ParlaMint-NL_2017-01-24-tweedekamer-3.u9	Report of the meeting of the Dutch Lower House, Meeting 43, Session 3 (2017-01-24)	2017-01-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 43	Sitting 2017-01-24	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	MadeleinevanToorenburg	van Toorenburg, Madeleine	F	1968	
ParlaMint-NL-en_2017-01-24-tweedekamer-3	ParlaMint-NL_2017-01-24-tweedekamer-3.u10	Report of the meeting of the Dutch Lower House, Meeting 43, Session 3 (2017-01-24)	2017-01-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 43	Sitting 2017-01-24	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2017-01-24-tweedekamer-3	ParlaMint-NL_2017-01-24-tweedekamer-3.u11	Report of the meeting of the Dutch Lower House, Meeting 43, Session 3 (2017-01-24)	2017-01-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 43	Sitting 2017-01-24	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	KeesVerhoeven	Verhoeven, Kees	M	1976	
ParlaMint-NL-en_2017-01-24-tweedekamer-3	ParlaMint-NL_2017-01-24-tweedekamer-3.u12	Report of the meeting of the Dutch Lower House, Meeting 43, Session 3 (2017-01-24)	2017-01-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 43	Sitting 2017-01-24	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
