Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2017-10-03-eerstekamer-7	ParlaMint-NL_2017-10-03-eerstekamer-7.u1	Report of the meeting of the Dutch Upper House, Meeting 2, Session 7 (2017-10-03)	2017-10-03	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 2	Sitting 2017-10-03	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	JanNagel	Nagel, Jan	M	1939	
ParlaMint-NL-en_2017-10-03-eerstekamer-7	ParlaMint-NL_2017-10-03-eerstekamer-7.u2	Report of the meeting of the Dutch Upper House, Meeting 2, Session 7 (2017-10-03)	2017-10-03	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 2	Sitting 2017-10-03	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2017-10-03-eerstekamer-7	ParlaMint-NL_2017-10-03-eerstekamer-7.u3	Report of the meeting of the Dutch Upper House, Meeting 2, Session 7 (2017-10-03)	2017-10-03	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 2	Sitting 2017-10-03	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	AlexandervanHattem	van Hattem, Alexander	M	1983	
ParlaMint-NL-en_2017-10-03-eerstekamer-7	ParlaMint-NL_2017-10-03-eerstekamer-7.u4	Report of the meeting of the Dutch Upper House, Meeting 2, Session 7 (2017-10-03)	2017-10-03	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 2	Sitting 2017-10-03	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	PetraStienen	Stienen, Petra	F	1965	
ParlaMint-NL-en_2017-10-03-eerstekamer-7	ParlaMint-NL_2017-10-03-eerstekamer-7.u5	Report of the meeting of the Dutch Upper House, Meeting 2, Session 7 (2017-10-03)	2017-10-03	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 2	Sitting 2017-10-03	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	AlexandervanHattem	van Hattem, Alexander	M	1983	
ParlaMint-NL-en_2017-10-03-eerstekamer-7	ParlaMint-NL_2017-10-03-eerstekamer-7.u6	Report of the meeting of the Dutch Upper House, Meeting 2, Session 7 (2017-10-03)	2017-10-03	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 2	Sitting 2017-10-03	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2017-10-03-eerstekamer-7	ParlaMint-NL_2017-10-03-eerstekamer-7.u7	Report of the meeting of the Dutch Upper House, Meeting 2, Session 7 (2017-10-03)	2017-10-03	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 2	Sitting 2017-10-03	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	AnnekeWezel	Wezel, Anneke	F	1975	
ParlaMint-NL-en_2017-10-03-eerstekamer-7	ParlaMint-NL_2017-10-03-eerstekamer-7.u8	Report of the meeting of the Dutch Upper House, Meeting 2, Session 7 (2017-10-03)	2017-10-03	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 2	Sitting 2017-10-03	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2017-10-03-eerstekamer-7	ParlaMint-NL_2017-10-03-eerstekamer-7.u9	Report of the meeting of the Dutch Upper House, Meeting 2, Session 7 (2017-10-03)	2017-10-03	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 2	Sitting 2017-10-03	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KlaasDijkhoff	Dijkhoff, Klaas	M	1981	
ParlaMint-NL-en_2017-10-03-eerstekamer-7	ParlaMint-NL_2017-10-03-eerstekamer-7.u10	Report of the meeting of the Dutch Upper House, Meeting 2, Session 7 (2017-10-03)	2017-10-03	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 2	Sitting 2017-10-03	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	JanNagel	Nagel, Jan	M	1939	
ParlaMint-NL-en_2017-10-03-eerstekamer-7	ParlaMint-NL_2017-10-03-eerstekamer-7.u11	Report of the meeting of the Dutch Upper House, Meeting 2, Session 7 (2017-10-03)	2017-10-03	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 2	Sitting 2017-10-03	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KlaasDijkhoff	Dijkhoff, Klaas	M	1981	
ParlaMint-NL-en_2017-10-03-eerstekamer-7	ParlaMint-NL_2017-10-03-eerstekamer-7.u12	Report of the meeting of the Dutch Upper House, Meeting 2, Session 7 (2017-10-03)	2017-10-03	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 2	Sitting 2017-10-03	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	TinekeStrik	Strik, Tineke	F	1961	
ParlaMint-NL-en_2017-10-03-eerstekamer-7	ParlaMint-NL_2017-10-03-eerstekamer-7.u13	Report of the meeting of the Dutch Upper House, Meeting 2, Session 7 (2017-10-03)	2017-10-03	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 2	Sitting 2017-10-03	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KlaasDijkhoff	Dijkhoff, Klaas	M	1981	
ParlaMint-NL-en_2017-10-03-eerstekamer-7	ParlaMint-NL_2017-10-03-eerstekamer-7.u14	Report of the meeting of the Dutch Upper House, Meeting 2, Session 7 (2017-10-03)	2017-10-03	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 2	Sitting 2017-10-03	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	TinekeStrik	Strik, Tineke	F	1961	
