ParlaMint-NL_2017-05-30-tweedekamer-4.u1	I would like to welcome the Minister for Economic Affairs.
ParlaMint-NL_2017-05-30-tweedekamer-4.u2	April 26th Sharper: 2.0 on the Richter scale. May 3, Stedum: 1.5 on the Richter scale. May 9 Emmen: 1.6 on the Richter scale. May 16 Overschild: 1.7 on the Richter scale. May 27 Slochteren: 2.6 on the Richter scale. Five earthquakes with a force of at least 1.5 on the Richter scale in a month. Saturday the 1,391st quake, the heaviest in two years, all induced or the result of human action, the action of this cabinet. It doesn't stop. People feel despondent. Mr. Chairman. I want to know what the minister's gonna do next. Is the gas extraction going down now? In the week when the NAM, Shell and Exxon show that they only care about their wallet and possibly go to court to prevent the reduction in gas extraction, Groningers must once again worry about new damage. On Saturday, dozens of houses were damaged again. Those cases are not being treated right now. Damage to other tremors is not recognised, because those houses would be in a so-called outlying area. Residents have to wait in their broken house and that while the region of the Groningen Soil Movement, the Gasberaad, the provincial government and municipal authorities have already prepared a plan to make good the damage well, quickly and generously. All the Minister has to do is say yes. I'd like to ask the Minister if he's finally saying yes.
ParlaMint-NL_2017-05-30-tweedekamer-4.u3	Mr. Chairman. Mrs Beckerman rightly calls for attention to be paid to the earthquake that has occurred in the Slochteren area. Earthquakes that are more powerful than 1.5 on the Richter scale can usually be felt. The 2.6 earthquake on the Richter scale is not only felt and has caused unrest in the area, but has also caused damage. Ninety-seven reports of damage have been received by now. This reflects the gravity of the situation, not only around this earthquake, but also in a general sense. There is still an earthquake problem in Groningen that has a major impact on people's lives there. That is why we are working with all our power to do what is necessary there. Firstly, as Mrs Beckerman knows, we have drastically reduced the volume of natural gas production. In 2012 it was 48 billion m. In the meantime, we have decided to go back to 21.6 billion m. Furthermore, we are in the process of setting up a large-scale reinforcement programme, precisely because the problem in Groningen is serious. This 2.6 earthquake on the Richter scale in recent days in Slochteren is an illustration of this. The number of earthquakes is falling dramatically. Over the past four years, the number of earthquakes has decreased from 29 per year to 13 per year. Then I'm talking about palpable earthquakes of 1.5 or more on the Richter scale. But 13 is even more than serious. It is possible that, in the first half of the year, it will be more than thirteen. There is therefore every reason to draw attention to all the possibilities for improving the situation. Those opportunities are all being exploited. Damages are all being dealt with. At the moment there is a transition from one system to another. It is now almost 1 June and the month of June is used to complete the work of the new system, after which the recordings of damage, including those 97 I mentioned earlier, will be converted into processing, into dealing with the damage. That's all going on. We have out of 80,000 reports of damage in Groningen. It's terrible to say 80,000 reports of damage! In the meantime 67 000 have already been taken care of. These will also be dealt with as soon as possible on the basis that all damage caused by earthquakes will be fully compensated, apart from the value increase scheme. This means that if you have a damage of €1,000 or more, except for damages, you will also receive an increase in value for your property of up to €4,000.
ParlaMint-NL_2017-05-30-tweedekamer-4.u4	One of the most important monuments in the area where there was an earthquake on Saturday is Fraeylemaborg. The damage to the bail was just repaired. The deposit was just out of the docks after previous earthquakes. After the quake of Saturday, the deposit has to be rebuilt in the scaffolding. A painful example, because it shows that our heritage suffers mercilessly. 90% of the monuments in this area are damaged. Our pride, our history, is literally crumbling. This too is the result of political choices. This is another cause for concern for the cabinet. I still do not hear the Minister making a new commitment on reducing gas extraction as soon as possible. Finally, say yes to the region when it comes to a good and generous damages protocol. I'd like a response from the Minister.
ParlaMint-NL_2017-05-30-tweedekamer-4.u5	90% of the monuments? I cannot repeat that, for that I do not have any information. The example of the guarantee in Slochteren is a justified example that illustrates the seriousness of the problem. I am very aware of the seriousness of the problem, which is why two things are happening, namely to reduce the volume of natural gas production as much as possible on the one hand and to set in motion the strengthening programme for buildings in the area on the other. It is not that I do not want to decide to reduce the production of natural gas. We had taken a five-year decision based on 24 billion cubic metres per year, but in the light of recent developments, the cabinet decided to reduce this further to 21.6 billion cubic metres. This is to our best knowledge on the basis of the latest information the minimum we can do from the point of view of security of supply combined with security of supply.
ParlaMint-NL_2017-05-30-tweedekamer-4.u6	Groningen can't wait any longer. Groningen can't wait until the end of the formation. Groningen needs politics now. It's a question of taking sides. The SP asks the Minister one last time: do you now side with Groningen or do you side with the money?
ParlaMint-NL_2017-05-30-tweedekamer-4.u7	Groningen doesn't have to wait. The choice of money is, of course, not on the agenda. Four years ago, we had 15 billion revenues from natural gas extraction and now we have 2 billion revenues from natural gas extraction. Money is therefore not a consideration at all. The consideration regarding the policy on the extraction of natural gas in Groningen is that extraction should be reduced as much as we can and that it should be further strengthened. There is therefore a consistent choice for the Groningen.
ParlaMint-NL_2017-05-30-tweedekamer-4.u8	The CDA shares the concerns of colleague of the SP, like all political groups in the House of Representatives, I think. What amazes me very much is that the NAM is threatening to take the view that it does not agree with the reduction in gas production. I can't wait to see how the Minister looks at that. Does he want to reflect on this and take it into account that the NAM has still not delivered a better measurement and control protocol? It just keeps going on and on. We also don't know exactly what the effects are of the distribution across the whole area. Will the Minister reply and reflect on what the NAM is actually doing? The CDA finds it truly unprecedented and incomprehensible. I'm getting a little upset about this.
ParlaMint-NL_2017-05-30-tweedekamer-4.u9	Progress has been made on the measurement and control protocol. I understood that this morning with the inspector in charge of the State's supervision of the mines. The second point is the attitude of the NAM towards the extraction decision. We've taken a mining decision for five years. That's 24 billion light years. The SodM has indicated that certain measures should be considered once a certain limit value has been exceeded. That limit has not yet been exceeded. Despite this, the government has decided to reduce gas extraction from 24 billion to 21.6 billion m. The NAM now says: that limit has not been exceeded, so you're actually too early with that. That is the theorem of the NAM; I leave it on the account of the NAM. The cabinet has made an assessment and has taken the decision that I have just explained.
ParlaMint-NL_2017-05-30-tweedekamer-4.u10	I'd like to continue with this. There are still earthquakes in Groningen. This was the fifth one this month. Mayors, usually a little bit challenged, speak more and more. Mayor Geert-Jan ten Brink van Slochteren has said: now less gas. The mayor of Ten Boer has spoken out about this. Nevertheless, the NAM says: look at it, politics; you can make some decisions, but we object and we want to win more. The PvdA considers that this also requires a moral stance by the Minister. This behaviour is socially irresponsible. It's not acceptable. We should not take this from one of the biggest gas winners in the Netherlands. Does the Minister agree with the PvdA?
ParlaMint-NL_2017-05-30-tweedekamer-4.u11	The mayors in the area I have experienced as sensible figures and not so much as defendants. I think it is very understandable that they are showing the unrest in the area, given that this unrest is widespread and, of course, addressed to the mayors. I don't have the experience that the theorem or attitude of the NAM would be "look at it." Her attitude has been very cooperative in all these years that I have been in the Ministry of Economic Affairs, and it is at the moment. We have taken a decision that went beyond the advice of State surveillance of the Mines. The NAM relies on what has been agreed quite recently. I think she has the right to make her argument. I'm not prepared to disqualify the NAM.
