ParlaMint-NL_2017-02-21-eerstekamer-6.u1	I would like to welcome the Minister of OCW to the First Chamber.
ParlaMint-NL_2017-02-21-eerstekamer-6.u2	Mr. Chairman. Today we are discussing the bill, which is simply called 'protection of names and degrees of higher education'. However, this bill is not only about the protection of names and degrees and what is related to them, but about more. It also introduces something very new: the Minister is given the opportunity to deprive an institution of its recognition of degrees, regardless of the quality of the training, when a formal or informal representative of the institution is guilty of discrimination. The majority of the members of the CDA Group are in favour of the legislative proposal, but they have a major problem with one point of principle. First of all, what does my group agree with? The members support the desire to protect students and employers against misleading use of the name "university" or "high school" and against malicious institutions, especially if wrongly so-called degrees are envisaged. The members of the CDA Group also support the fact that the bill also obliges non-cost institutions to promote their students' sense of social responsibility, as is the case for funded higher education institutions. A few years ago, this obligation was wrongly removed by a legislative amendment for non-cost institutions. Now it's gonna be part of the solidity requirements again. The members also welcome the fact that the Evangelical College and the Free University can retain their name and that the title "Lector" is protected. Members also support the proposal that the Minister should be empowered to deprive an institution of recognition of degrees under conditions and in special cases. This can be done if the way in which an institution implements the promotion of the sense of social responsibility is grossly contrary to the existing framework of standards and legislation. The members also agree that the initiative to start this process will lie with the Minister. Members understand that the Minister has sought ways to respond to the urgent appeal of the House of Representatives and others, following some incidents at the Islamic University of Rotterdam, in order to intervene at the level of the institution when higher education institutions commit themselves, for example, to sowing hatred and calling for violence. So where is the problem for the CDA Group? Members have a problem with the way in which the legislative proposal develops the power to deny recognition, in particular with the far-reaching powers conferred on the Minister. The draft law gives the Minister the power to withdraw the recognition of a higher education institution if the institution does not properly fulfil the mission of promoting a sense of social responsibility. In any event, according to the presentation of the proposal, there is evidence that a formal or informal representative of the institution is guilty of discriminatory expressions according to the Minister's views. In that case, the Minister may initiate the process to deprive the recognition. There's a roadmap for that. For example, the Minister will review the statements made by the Court of Human Rights and will warn the institution, after which the institution will have three months to distance itself from discriminatory statements. If the institution fails to do so, the Minister may withdraw the recognition. De facto, this will lead to the closure of the educational establishment. The institution will no longer be able to train up to recognised degrees and students will no longer receive study funding. Can the Minister say again today exactly what the scope of this provision is? What is meant by "formal" and "informal" representatives? What informal representatives do the Minister consider to be covered by the provision? Can the Minister also comment on whether it is relevant under what circumstances or at what location the expressions were made? Does it concern only expressions towards students; only expressions made on the institutions themselves or beyond, for example in the media, or expressions whether or not distributed through third parties via social media? I'd like a response from the Minister. Let me now turn to the concept of distance. The Minister provides the institutions with guidance on what is to be understood. In principle, it is sufficient for the administration of the institution to refrain from making statements verbally and publicly. Disciplinary measures are not necessarily necessary. The members of the CDA Group understand that the Minister cannot and will not enter into the private relations between employer and employee. But does this not mean that the undesirable situation can de facto survive? Isn't that also true if the institution doesn't distance itself but appeals and applies for an interim remedy? If the Minister wants to deprive an institution of recognition because it is a threat to society, does the Minister not think that in such a case all possible legal remedies should be used, including, for example, declaration, use of the inspection and the private-law route? Does the Minister see a role for himself as a system responsible for reporting, engaging in the inspection and starting of the private-law journey? If not, why not? Can the Minister say again what specific initiatives it has taken in the case of the Islamic University of Rotterdam? The members of the CDA Group also have serious concerns about the proportionality of competence. The Minister will be given the opportunity to deprive a whole institution of recognition on the basis of unwanted statements by one formal representative, even if the quality of education is not at stake. By the way, can the Minister only intervene or intervene with non-costed institutions, for example through the inspection, possibly also at the University of Groningen, Nijmegen or Utrecht as one informal representative of this kind, and the institution does not properly distance itself from it?
ParlaMint-NL_2017-02-21-eerstekamer-6.u3	Mrs Martens asks a number of very valid questions, but they do raise the question: what is the position of Mrs Martens herself? Does she think that the Minister should be able to intervene in some way? Or does she say: is this part of the law going too far for me?
ParlaMint-NL_2017-02-21-eerstekamer-6.u4	I come to that later in my speech. I have already said that our group has no problem in itself with the Minister being able to intervene. The only question is: as a result of what and at what time? What's to precede? I'll get to that in my contribution. The legislative proposal makes the Minister's assessment as to whether there is discrimination, hate speech or any other unwanted expression, how these expressions relate to academic freedom, freedom of expression and other fundamental rights, such as freedom of religion, and whether the statements are of such a nature that it is justified to deprive an institution of recognition. In such a case, the Minister may use his or her powers of withdrawal of recognition. That's a far-reaching jurisdiction. After all, this is not just an administrative assessment of compliance with legal rules. No, as the Minister himself has repeatedly pointed out, this is a concrete weighting of fundamental rights in a specific case. In our legal system, the criminal court has given its opinion on this matter.
ParlaMint-NL_2017-02-21-eerstekamer-6.u5	Mrs Martens makes it abundantly clear where the concerns lie with regard to the CDA Group. At the beginning of her speech, she spoke of "a point of principle." If that point is so fundamental, why didn't the CDA in the Lower House get so worried about it? In other words, what happened between the treatment in the Lower House and the treatment here? What's changed?
ParlaMint-NL_2017-02-21-eerstekamer-6.u6	We have a duty to make independent decisions, and that is what we are doing. I told you, it's a far-reaching jurisdiction. It is not just an administrative assessment of compliance with legislation but a weighting of fundamental rights. The Minister takes the view that waiting for a judge's ruling is too long. According to the Minister, this is not in line with the desire to make haste. "Every year longer is one year too much," the Minister writes. According to the Minister, if the judge's judgment is to be awaited, action cannot be taken. If many people in the Netherlands find a situation a threat to our democratic rule of law, the desire to act quickly may be understandable. In that case, however, quick judgement is at least as dangerous. That is precisely why a system of division of powers and checks and balances is in place in our legal system. Through the exercise of the right of withdrawal, the case becomes part of an administrative control system. This substantially changes the current balanced system. The members of the CDA Group have taken note of the roadmap the Minister intends to reach. This is without prejudice to the Minister's final weighing and final judgment. The Minister says that it is "not the intention" to affect academic freedom and freedom of expression, that these are situations where "ready" is that the existing framework of standards and legal regulations are being violated and that the assessment will be based on case law and judgments of the College of Human Rights. But the Minister also knows, I think, that what is clear to the one is not necessarily in the eyes of all. The balancing of fundamental rights in a concrete case against relevant context is and remains complex. In that case, it is all the more important to make the judgement on discriminatory statements in line with our legal system to the independent and impartial criminal court and not to the executive. Without prejudice to the foregoing, it is not clear to the members of the CDA Group on the basis of which the Minister is convinced that she, or the Ministry of Education, can arrive at a more rapid and careful assessment than the judge. How does this rapid assessment and lack of experience relate to the perceived careful assessment? I would like to hear a response from the Minister. I come to speak about the role of the House of Representatives.
ParlaMint-NL_2017-02-21-eerstekamer-6.u7	Mrs Martens assumes that the criminal court can do it faster than the minister acting independently. But the Minister has no control whatsoever over the speed of action of a judge, in the separation of powers?
ParlaMint-NL_2017-02-21-eerstekamer-6.u8	My question was exactly the other way around: why does the Minister think she can do it faster?
ParlaMint-NL_2017-02-21-eerstekamer-6.u9	I think it's because she'll set the timetable in motion herself. Anyway, the Minister will have to answer that himself in a moment. In my opinion, in the separation of powers, if the Minister puts it in the hands of another power, in this case in that of the judge, it is not about the speed of action. That's the other power.
ParlaMint-NL_2017-02-21-eerstekamer-6.u10	No, but the Minister could invite the judiciary to give an opinion on this. But I'd like to wait for the Minister's answer.
ParlaMint-NL_2017-02-21-eerstekamer-6.u11	In my opinion, we are right at the heart of the discussion. On the one hand, there is the need to speed up, which Mrs Martens is not fighting either, and on the other hand there is the need to do it extremely carefully. That, in my view, is also the core dilemma. Am I to understand that Mrs Martens is willing to agree to this balance at the rate of the criminal court?
