ParlaMint-NL_2017-06-01-tweedekamer-7.u1	I would like to welcome the Minister for Infrastructure and the Environment.
ParlaMint-NL_2017-06-01-tweedekamer-7.u2	Mr. Chairman. Following the AO on the Transport Council, the following. The Minister's position is that she is against the German toll, and we think that is quite correct, but the Minister expressed himself very parliamentaryly, as we have heard in the AA. She says she's considering taking legal action against Germany's decision. My colleague Martijn van Helvert has asked the Minister on behalf of the CDA. Encouraged to be firmer in that. If Germany maintains these toll plans, then we simply need to take legal action against them, in our opinion. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas neighbouring Germany intends to levy tolls on German roads as from 1 January 2019;]] [[noting that the way in which Germany intends to do so has a negative impact on Dutch road users;]] [[whereas frontier regions will also be disadvantaged by the German toll system, which is undesirable;]] [[calls on the Government to initiate all possible legal procedures to stop the German tolling and to cooperate with Austria,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Ronnes, Mr Visser and Mr Van Aalst. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-21501-33-641]]
ParlaMint-NL_2017-06-01-tweedekamer-7.u3	I didn't see that. I apologize, Mr. Chairman.
ParlaMint-NL_2017-06-01-tweedekamer-7.u4	How can you overlook Mrs Van Tongeren?
ParlaMint-NL_2017-06-01-tweedekamer-7.u5	Mr President, thank you for not overlooking me. At the AO Transport Council we were promised that the Minister would outline the impact of the different taxes, charges and exemptions. It seems to me that this motion is a little premature, because it seems useful to me to get an idea of it first from the Minister before we conclude that there is indeed discrimination against the Dutch motorist.
ParlaMint-NL_2017-06-01-tweedekamer-7.u6	The effects in the border region are very large, as we expect. Since Germany has announced implementation, the CDA believes that we really need to take a stand against it and go so far as to take legal action to stop it.
ParlaMint-NL_2017-06-01-tweedekamer-7.u7	I understand the position of the CDA, because it was crystal clear in the AA, but we have been promised that the Minister will identify the impact of all these different measures. Mr Ronnes expects it to be bad, but as long as we do not have an overview of the impact of all these different measures, is it premature to say to the Minister: sue them, go to court?
ParlaMint-NL_2017-06-01-tweedekamer-7.u8	We have also seen the effect of excise duties in the border region. We walk around that border region long enough to see what effect it will have if a neighbouring country takes measures that are detrimental to the citizens living in that area. That is why we want to go to war against this plan.
ParlaMint-NL_2017-06-01-tweedekamer-7.u9	Now you can leave. I call Mrs Van Tongeren.
ParlaMint-NL_2017-06-01-tweedekamer-7.u10	Mr. Chairman. I'll file the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the United States is withdrawing from the Paris Agreement;]] [[whereas the US is no longer an attractive location for the clean car industry;]] [[Whereas the European automotive industry has a leading role to play as a producer of clean vehicles;]] [[calls on the Government to call on the European Commission to examine how Europe will become an attractive location for the clean car industry,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member Van Tongeren. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-33-642]]
ParlaMint-NL_2017-06-01-tweedekamer-7.u11	I'm gonna have to get up anyway. Just now, Mrs Van Tongeren accused the CDA, and indeed the VVD and the PVV, of coming forward with premature motions. Has Mrs Van Tongeren been informed by Mr Trump that he has cancelled the Paris climate agreement?
ParlaMint-NL_2017-06-01-tweedekamer-7.u12	All the signals point in that direction, but if the VVD has less ambition than GroenLinks to get the European car industry up and running as quickly as possible by really giving it a leading role, I would regret that. I saw Mrs Visser smile. I was expecting support in this motion for giving the European car industry a leading role in the production of clean vehicles.
ParlaMint-NL_2017-06-01-tweedekamer-7.u13	I was not concerned with the content of the motion or with the appeal, but with Mrs Van Tongeren's observation and with her accusation to three parties that they were premature. It is now tabling a motion itself, even though it does not know whether Trump will actually cancel the climate agreement. It's more of a observation, not a question. I just noticed, so I want to make this observation.
ParlaMint-NL_2017-06-01-tweedekamer-7.u14	I wouldn't give much to change President Trump's mind, but the omens clearly indicate that unfortunately this will not be the case. That is also something that this minister, with all her influence, may not be able to fully influence. We cannot therefore ask this Minister to change his mind at the eleventh hour, although perhaps he will. Let's hope so. In the meantime, this seems to me to be a golden opportunity for the European and Dutch clean car industry. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas there are many different systems in Europe that require cars or lorries to pay for the use of (highways) roads, tunnels, bridges or access to inner cities;]] [[noting that it is desirable to use one technical standard to collect these charges or to obtain permission to drive into a city centre;]] [[calls on the Government to urge the European Commission to speed up a European standard for these on board units,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members Van Tongeren and Jetten. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-33-643]]
ParlaMint-NL_2017-06-01-tweedekamer-7.u15	It's about me not having 27 different things in your car or truck, but getting one clear and simple system. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas more and more road accidents are caused by drivers being distracted by smartphones;]] [[Whereas motorists, public authorities, employers, insurers and telecoms companies have a joint responsibility in this respect;]] [[calls on the Government to urge the European Commission or to take the initiative to use technologies such as SafeDrivePod in cars and trucks by mutual agreement,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member Van Tongeren. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-33-644]]
