ParlaMint-NL_2017-06-08-tweedekamer-4.u1	I welcome the Minister of the Interior and Kingdom Relations. We have six speakers.
ParlaMint-NL_2017-06-08-tweedekamer-4.u2	Mr. Chairman. I would like once again to thank the Minister for his commitment during last week's general consultation to come forward with a more detailed analysis of the adequacy of the distribution models across the whole of the social domain, including the BUIG budgets in this autumn's annual report. I would also like to thank him for his recognition of the fact that, for those cases where a municipality really gets into trouble, something like an enlightenment fund, with all the limitations he has described. As announced, I would like to table two motions on procurement. Even after repeated requests from colleagues in this Chamber and after replying to written questions from my colleagues in my group, the clarity we want has not yet come to light. That's why I'm filing the following motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the call for tenders raises concerns about the continuity of the offer to implement measures under the Youth Protection and Youth Reclamation (JB/JR) of the certified institutions;]] [[noting that despite repeated requests from the Lower House, the VNG and youth services there is still no clarity as to the need to proceed to tender in 2018;]] [[noting that a number of municipalities nevertheless feel obliged to tender in order to avoid any illegalities in their financial statements;]] [[calls on the Government to lead it in that it does not require the procurement of youth and youth protection tasks offered by certified institutions by municipalities and to provide clarity to municipalities in the shortest possible time,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members Van Engelshoven, Bruins Slot and Özütok. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34477-21]]
ParlaMint-NL_2017-06-08-tweedekamer-4.u3	My next motion is as follows. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that there is still a great deal of uncertainty among municipalities as to whether tasks within the social domain should be tendered;]] [[Whereas municipalities fear the consequences of procurement in this area;]] [[calls on the Government to give absolute clarity to municipalities by this month on the existence or non-existence of an obligation to tender and to derogate from any possibility thereof, or to postpone it for one year, and to inform the Court of Justice accordingly, with detailed legal basis,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members Van Engelshoven, Bruins Slot and Özütok. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34477-22]]
ParlaMint-NL_2017-06-08-tweedekamer-4.u4	Mr. Chairman. The transfer of, among other things, youth care and home care to municipalities does not go smoothly, to say the least. It is unclear whether municipalities have enough money, how they spend the money and whether money for care always goes to care. Council members do not feel that they are getting a grip on this transition, partly because of the many partnerships. That's over 500. Meanwhile, the SP still gets daily stories from people who don't get the care they need. The task of putting people at the centre of decentralisation has therefore not been successful, no matter how many toolboxes the minister is going to develop. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that it is not clear how and how much money municipalities spend on, inter alia, home care, youth care and reintegration since the decentralisation of these tasks;]] [[noting that the often severe cuts do not always give people the care they need;]] [[calls on the government to consider the means available to municipalities for the tasks in the social domain,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member Van Raak. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34477-23]]
ParlaMint-NL_2017-06-08-tweedekamer-4.u5	Mr. Chairman. One of the important elements of the Social Support Act is the independent customer support. It is a stut and support for people looking for care and knocking on the door of the municipality. That possibility should have been available at the time of the entry into force of the law. Only two and a half years later it appears that many municipalities still do not meet this requirement. It is therefore important that, as soon as possible, all municipalities fulfil this obligation. The government has an important role to play in this respect, in particular the Minister of the Interior under his system responsibility and the Minister of the United States of America. So far there has been a lot of talk, but no deadline has actually been set for everything to be in order. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that customer support for the kitchen table, in which municipalities are required to provide social support (Wmo 2015) pursuant to Article 2.2.4 of the Social Support Act, has not been realised in all municipalities;]] [[Whereas it is important that people in need of care and support are fully and independently informed, with client support functioning as an independent point of contact with knowledge, overview of total and empathy;]] [[calls on the Government, on the basis of its system responsibility in consultation with the Association of Dutch Municipalities (VNG), to develop a roadmap to ensure that the legal obligation of independent, findable and expert customer support is met as of 1 January 2018,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Bruins Slot and Mr Van Engelshoven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-344772-24]]
ParlaMint-NL_2017-06-08-tweedekamer-4.u6	The CDA has also signed both D66 motions. For a long time there has been a lack of clarity as to whether or not to award contracts by municipalities. It's time to put an end to that uncertainty. The House of Representatives has asked for this on several occasions. That is why the CDA supported D66's motion on this issue.
ParlaMint-NL_2017-06-08-tweedekamer-4.u7	Mr Wörsdörfer gave up the floor. Then I give the floor to Mrs Özütok.
ParlaMint-NL_2017-06-08-tweedekamer-4.u8	Mr. Chairman. Focusing on the care and wishes of people who need care: that is what GroenLinks stands for. With the system change and the transformation, not everything is going as well as we'd like. It is good that the district nurse is back in the heart of the district, but there is still a lack of quality and bureaucracy around the transformations. I thank the Minister for recognising the problems of transformation and look forward to discussing the report here in the autumn. I therefore expect proposals to improve and update the Minister. A concern is the privacy of the patients, i.e. the helpers. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas many municipalities do not yet have sufficient capacity and/or knowledge to adequately monitor the protection of personal data;]] [[Whereas in practice there is confusion among municipal staff as to which data may or may not be shared;]] [[considers it undesirable for private information to be shared outside the aid request;]] [[invites the Government, in consultation with the Personal Data Authority, to examine the need for a clear directive for municipal staff on which employees may access what data,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Özütok and Mr Van Engelshoven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34477-25]]
ParlaMint-NL_2017-06-08-tweedekamer-4.u9	Mr. Chairman. There are five motions in the end. I shall begin with Mrs van Engelshoven's motion on item No. 21 on the lack of clarity as to the need for tendering. We discussed this in detail in the debate. This procurement obligation follows from a European directive and has thus become part of the Procurement Act. It is in force and we must stick to it. I can't suspend it here. Several parties are also always very much in favour of regulation from Europe. But even if you're not, a law is a law, so we're gonna have to live with it. That means that I cannot accept the operative part and also the recitals of that motion. It is true that this is indeed complex. The U.S. Secretary of State has already written that. For child protection measures and youth recruitment, a specific pathway has been launched to examine how tenders can take shape in these sectors. It examines what measures should and can be taken to achieve a form of procurement appropriate to the legal framework and which also reflects the importance of the young person concerned, while allowing the municipality to have child protection measures and youth rehabilitation carried out by another institution in accordance with the Youth Act. That investigation will be completed by 1 July at the latest. So that's soon. I would like to say that I would like to encourage conclusions to be drawn quickly on the basis of the report and that they will be presented to the Chamber as soon as possible. But the motion as it stands today, as I have said, I will have to advise against it. This also applies to Mrs Van Engelshoven's second motion on item No. 22; at least, let me try to be a little more open-minded about it. The motion says this has to be done within a month. I don't know if we're gonna make it. We're working on this. There is a Working Party on Procurement Youth Act and Wmo 2015. It consists of participants from the municipalities, the branches, the providers, VNG and Rijk, namely VWS, V and J and PIANoo. This working group focuses on the interpretation of the instrument for procurement under the Youth Act and the Wmo, on the dissemination of good practices for the procurement in the social domain, on a fundamental exploration of the extent to which procurement for all facilities under the Youth Act is considered appropriate and what that could mean for the future, and on the optimal use of the Knowledge and Development Centre for purchasing social domain. For the purchase 2018 the working group will support institutions and municipalities in collaboration with PIANOo with knowledge and experience about purchasing in the social domain. The working group is also developing a manual which should clarify uncertainties. Attention is also paid to the legal aspects. Now that motion gives the government a month. I have had a moment with my colleague and we may find a month a little quick, because it is a complicated matter. I can promise that I will send this working party's hand-out to the Chamber after the summer. If I may explain the motion in such a way that Mrs Engelshoven supports it and if we can find each other in that small time difference, then I consider the motion to support policy and leave it to the Chamber. I say this after consultation with the colleagues from VWS.
ParlaMint-NL_2017-06-08-tweedekamer-4.u10	I'm willing to find a practical solution. "After summer" is always a broad term, because everything until the end of the year is after summer. Municipalities must of course get started very quickly with the purchase 2018. So I'm really insisting on this. I will not pin the minister down in a month, but I will have to do so as soon as possible, because otherwise municipalities will get in the way of implementation.
ParlaMint-NL_2017-06-08-tweedekamer-4.u11	I fully agree with that. That brings me to the Van Raak motion. 23. That is a very fundamental discussion, as we can always expect from him. Through the ear tags of money, Mr Van Raak in fact wants to make some cuts or maintain them in the social domain. Once again, we have discussed this on a number of occasions. The government really believes that the added value of decentralisation lies in the fact that we have a missed budget so that we can provide tailored care. The idea is that the installation of these bulkheads brings us back to the potty-terror: that one potty has to go on, because you can't use it for anything else. With all due respect for the intentions, I would like to discourage that motion. This is also consistent with previous positions I have had on this subject. Finally, I come to Mrs Özütok's motion on item No. 25, also signed by Mrs Van Engelshoven.
