ParlaMint-NL_2017-06-21-tweedekamer-6.u1	President. - I call the Group of the European People's Party (Christian-Democratic Group).
ParlaMint-NL_2017-06-21-tweedekamer-6.u2	Mr. Chairman. I would like to begin by mentioning the death of Helmut Kohl, a great man in every respect. Let me do that by quoting from a very nice description, a very nice article following the death of Helmut Kohl of the historian P.G. Kroeger on the CDA website this week. I'll get three things out of that. In the first place he describes the person Kohl very nicely. He says: a man who lived and fought, eager and greedy, a man who with his full person fell into the orbit, into the office, with great Lebensfreude. I think we all recognize that. The second was very nice and that was about the Bundeskanzler der Einheit, the reunification. He describes this in a very special way: he did so with "Die leise Töne," there was no shot, there were no tough issues, it wasn't noisy coup, there was no death. That is very special when you consider the enormous political and social upheaval that the GDR ended up in the Federal Republic of Germany in 1990, after the fall of the wall in 1989. I repeat to him that we bow with empathy and respect to Helmut Kohl's beard. This is in response to a number of comments made by several Members of Parliament. I thought I'd divide my answer into a few cubes. The first will be on Friday's visit to the French President and a number of other talks taking place this week against the background of the Dutch position in Europe. Then there is the Brexit, then migration, then European defence cooperation, the internal market and finally a pile of capital selecta. I'll start with the conversations that are taking place these days. A few weeks ago, sometime in April, we had a conversation at the Catshuis with Ireland and Denmark. Last Friday was the conversation with Macron. Last Monday, so the day before yesterday, there was a visit to Warsaw, to the V4 with the Benelux. With the same Benelux there is a conversation tonight with the Baltics and the Scandics. This is a discussion with the Swedish Prime Minister, senior representatives of Finland and Denmark and the two prime ministers and the President of the Balticum. The European Council will also take place tomorrow and the day after tomorrow. Why are we doing this? We do this all the time. It may seem a lot now, all together, but it is very important that we in Europe are talking very intensively about the future of the European Union post-brexit. How do we jointly look at a number of major issues relating to migration, external borders, the internal market and the role of Europe in all these areas? I understand that question, but it is not, as the journalists sometimes say, if politicians sometimes think, a need to provide some sort of counterweight to a Franco-German axis. That Franco-German ash is fine. Europe will not go further if France and Germany, as the largest Member States of the euro area, do not cooperate. If the United Kingdom has left Europe, they are also Europe's two largest economies. But let's not think that's necessarily going the wrong way. We influence Germany. We have good relationships with them, personal, political and social. But we also have those good relations with France. I'm zooming in on the conversation with the French president last Friday. That was a good talk. We have talked about migration, trade, Brexit and the future of Europe. You can actually see that we think about a lot of these subjects in a similar way. I would like to mention the importance of further deepening the European internal market. I call it ensuring that trade is free trade, but that it also takes place in a proper and fair way. We have to make sure we're not the crazy Henkie in our relationship with other parts of the world, who could do things here that we can't do there. It's about that kind of thing. I refer to the whole issue of dealing with the Detachment Directive: equal pay in equal conditions for equal work. We have also noted that with the election of this French president and with the shift in thinking in countries like the Netherlands about, for example, dealing with posting, we have come a little closer together. So if you could build the bridge between a country such as the Netherlands and a country such as France, you could in fact run a very large part of the European discourse together. So we will continue to do so intensively. We will also work intensively together in the field of migration. There are also great ambitions. So we are talking about trade, about the internal market, about migration and, of course, about the future of the euro area. My contribution to the discussion on the future of the euro area was: if France reforms, if France now succeeds in delivering Europe's basic promise, and in particular the euro area's basic promise that you will grow to a higher level of convergence, because France is transforming and thereby gaining more economic growth, which, I hope and expect, will put further pressure on Italy to take the necessary reform measures, then that basic promise of higher convergence will be better realised. It takes a number of risks out of the Eurosystem. Then there are all kinds of questions and discussions about the European Finance Ministers, a euro area budget and so on. It is known that the Netherlands does not see the added value of these instruments. However, I would like to make the point that these issues are becoming less relevant. Why do you need shock absorption funds like a euro area budget? Because there would be imbalances in the Eurosystem. As France rehabilitates, these imbalances decrease and so it is much less necessary. Suppose we link European funds such as structural funds, agricultural funds and cohesion funds more closely to concrete commitments made with countries to achieve, for example, reforms of an economy or social reforms. That's a Dutch idea. France does not support it immediately, but we did discuss it at length. If a certain degree of automation is taken out, then the existing European money flows will actually achieve what some would like to achieve with such a euro area budget. By looking at it that way, you're getting away from the symbols. After all, they all become pacifiers and no one knows exactly what flavor comes out when you start sucking on that teat. But by doing it this way, you detox the discussion, you also make it much more practical and you come back to the basic question: how do you ensure that these countries grow to a higher level of convergence in the euro area? Some of the specific questions put by the Chamber concern the V4. Have we addressed them to non-compliance with the obligations regarding relocation and the rule of law? Of course we did. I once again told the Dutch press that it is wrong that they do not meet the obligations. It is clear that we have a difference of opinion with the Visegrád group. But we strongly agree with these countries on the importance of a strong internal market. The whole issue of the rule of law was also discussed in detail in my talks with the Polish Prime Minister when she visited The Hague in February. Why are we doing this with the Benelux? Mr Van Rooijen also asked that question. The Benelux is the oldest cooperation within the European Union. I would remind you that this cooperation has been in place since 1944, so far before the ECSC was set up. It's a good partnership. We are currently with three prime ministers who think similar things to this one. There are, of course, political differences between these three countries; let us not be unclear about this. Belgium traditionally has a more federalist view of Europe than the Netherlands; we simply need to be clear about that. But when it comes to concrete issues, there is indeed a very good cooperation in the Benelux. We see the importance of that. Tonight we are receiving three of our colleagues from the Baltic Member States and the Scandinavian Member States. It is in the Netherlands because the Netherlands is chairman of the Benelux, but it is a welcome by the Benelux countries in the country currently holding the Benelux Presidency, namely the Netherlands. In addition, you look again at what binds you. We must ensure that we divide Europe into spheres of influence and permanent groups. But it is a fact that this almost hanzeatic alliance, which runs from the Baltic to the Netherlands via Scandinavia, has similar positions on a number of issues such as free trade, the role of Europe and concentrating on the core tasks. So it's interesting to talk to each other on a regular basis. Let me mention another country: Spain. Spain is a country that has a position similar to the position of the Netherlands on many issues, while we are often tempted to think: Spain belongs to the southern European Member States, so they will think very differently. That's not true. We must be careful to divide it into fixed spheres of influence and permanent groups. Me and you are all here for the Dutch interest. It is in the Dutch interest that we in Europe should look for practical cooperation with many countries on many topics. With the UK leaving, we are losing a voice for free trade and a voice for a less aesthetic Europe. This increases the importance of working with other countries. But I am convinced that the election of this French President will also make France less 'coalistic' and less ethatic than it has been. There is, of course, a different tone coming from Paris now than the tone we have heard since 1958. Of course, we also seek these contacts with other countries. The ties with Austria are excellent. We'll keep it good, too. I don't see the Franco-German axis as a problem. In size, we are the sixth Member State of the European Union and the fifth Member State of the euro area. After us, there's a really big hole before you get to the next one. So we are a very serious player, but we are also much smaller than the top three; we can be real about that too. You have the top three, then Spain comes, then we come and then there's another big hole of a few hundred billion before you get to Belgium. And we are one of the six founders, so it makes sense that we are always trying to play a leading role. I agree that we should make good use of the cooperation within the Benelux countries. This is how we do it. For each European summit there is already intensive consultation with the Benelux countries, with Bettel and Michel, the Luxembourg and Belgian colleagues. Strasbourg has not been discussed with the French President. That does not make much sense either, because it requires a treaty change. We really need to separate this from the EEA and EBA discussions, as some have suggested. You all know, of course, protocol number 6 to the European Treaty. I suppose that's familiar. Then, of course, there is always the demand for an active Europe debate in the Netherlands. It seems to me that we have that permanently, even here in the Chamber as far as I am concerned. I'll be happy to be a part of it. At least in the coming months, in the next six months, that will be an intensive social debate. There's no doubt about that. I have said a number of things about the deepening of EMU. Questions have been asked about that. I believe that I have answered the questions concerning cooperation with other countries, in relation to the future of Europe. Unless there's interruptions, I see at least one of them, I'm gonna continue with the Brexit.
ParlaMint-NL_2017-06-21-tweedekamer-6.u3	Then I'm just in time. The Prime Minister says: then, of course, there is always this demand for a Europe debate. My point is and was the following in my contribution. There's a lot going on. There are all Juncker proposals and reflection papers from the European Commission. The decision-making process is very fast. It will take place before the end of the year. In order for this decision to take place properly, a major and important debate is a prerequisite. What is the cabinet going to do, perhaps somewhat handicapped by this missionary status, to have that debate with the Chamber, with civil society organisations and perhaps with the other governments?
ParlaMint-NL_2017-06-21-tweedekamer-6.u4	Quite frankly, I do not believe in a broad public debate, as Mr De Brauw did in the 1970s on the Dutch nuclear policy. I really don't believe in that. We are the representatives of the people, at least you, but I am also temporarily reunited, and we need to have a thorough discussion here with each other. The cabinet understands itself permanently with every conceivable social organisation. That's a lot of them. The media are on top of it, let's face it. There is a great deal of attention to the debate on Europe. So I would say to Mr Van Ojik: GroenLinks obviously has a lot of experience with large halls with many people. They also have the time for now that they are no longer in the formation, so there will also come from that. But I do not see a task for the cabinet now to book a large room and hold that debate. We're not a discussion club. We just have to work with each other in business, too.
ParlaMint-NL_2017-06-21-tweedekamer-6.u5	The point is that it is the cabinet that will soon have to determine a position in consultation with this Parliament on all these major issues. That is the background to my question and the background to my light concern. GroenLinks' measurement-ups will not be the forum where that decision-making should ultimately take place, unless the Prime Minister wishes to refer that decision-making to it. This seems to me to be something in which the cabinet will have a first responsibility. The question is, how do you prepare that now?
ParlaMint-NL_2017-06-21-tweedekamer-6.u6	I'm joking about those meetups right now, but of course I'm very jealous that it's possible to get 10,000 people into the room. I think that's very handsome. I agree with Mr Van Ojik that this debate should be well conducted, but we are doing so primarily here. I have never been in favour of a cabinet that understands itself with the Lower House, with the People's Assembly, going on the road again. From the opposition, but not as opposition leader, that was Mrs Kant; then the SP was bigger than the VVD at the time I made a bit of a mockery of the 100-day tour: moving into the country and then talking to everyone, in the vein of "what do you really think about it and can we write it down again?" I cannot find a place, whether it be for employers and employees, for civil society organisations or for discussions with anyone, where it is not even about the future of Europe. So let me look at the form Mr Van Ojik is thinking of.
ParlaMint-NL_2017-06-21-tweedekamer-6.u7	Very briefly.
ParlaMint-NL_2017-06-21-tweedekamer-6.u8	Of course, Mr. Chairman. The point is that the cabinet must ultimately determine its position on the crucial questions for the future of Europe.
ParlaMint-NL_2017-06-21-tweedekamer-6.u9	Sure.
ParlaMint-NL_2017-06-21-tweedekamer-6.u10	And that shouldn't happen in a few years, but in a few months. The Prime Minister says: I don't see much in this and I actually do it every day, but what exactly are the moment, the place and the modality of having that discussion, which should guide the Dutch attitude?
ParlaMint-NL_2017-06-21-tweedekamer-6.u11	The cabinet finally determines its position in the Council of Ministers with regard to those reflection papers. That's what we're gonna do there, and it's gonna go to the room. There is a lot of social discussion about the reflection papers, including in the media. The cabinet position on this will undoubtedly lead to further discussion and then we will discuss it in the Chamber. I think that's okay by itself. I am open to suggestions, but I am a little afraid that only the very general call for "a social discussion" will sink into the books of halls and in: tell you what you think.
