ParlaMint-NL_2017-09-06-tweedekamer-3.u1	I welcome the Minister of Finance and give the floor to Mrs Leijten.
ParlaMint-NL_2017-09-06-tweedekamer-3.u2	Mr. Chairman. Whether you like it or not, most people think when they hear the word "accountants" from scandals, scandals where accountants played a role or where they failed. From care establishments to cattle slaughter. Also think of the purchase of Management Company the Optional, real estate, bribery even and checking the true picture of the financial statements and the items included therein. In each of these situations, the audit auditors' signature proved to be worthless or played a bad role in advice and appreciation. This year Deloitte and KPMG settled for millions with their prosecutors. KPMG did so after fraud had been committed with the construction of its own headquarters. Last autumn we were shocked by the so-called "Porsche director" of a healthcare institution. With the help of the accountant went bountiful money on luxury holidays and expensive cars instead of the care that is so badly needed. We will meet KPMG again in 2015. This time as an external accountant of a glorious collapsed service provider: Imtech. The falsely approved annual accounts resulted in a fine of more than a million. That is, by the way, a slap in the face for this organisation. In 2013, 7 million of them were fitted with justice due to fraud and the cover-up of Ballast Nedam's bribes around 2001 and 2002. In 2012 housing corporation Vestia and educational moloch Amarantis were not busy with their public task but making hard money at the expense of the public cause. When the music stopped, auditors of Deloitte, PwC and KPMG were co-responsible for the smoke-up of 3,000 jobs and the implementation of a billion-euro rescue plan. I can go on for a while. In 2010, Weyl's cattle abattoir went bankrupt due to accounting fraud. Over 900 employees lose their jobs. With suppliers, there are 150 million in unpaid bills. I'll mention another one. In 2007, transport company Rynart went bankrupt due to a paper sales increase of nearly 64 million, approved by accountant Ernst & Young, which is now called EY. Or what about the double role of the person who played for accountant in the valuation of Management Company the Optional? On the one hand, he knew the company well as an auditor and underappreciated it. On the other hand, he advised the buyer, who could buy the crematorium company for a shot. I can go on forever, but I won't. These are scandals with a lot of media attention. The image that emerges from it is not tender. It's also not nice that there's so many times the D.A.'s office gets fit when things go wrong. If fines are imposed by the Financial Markets Authority, they can actually be paid laughably. The Auditor's Supervision Act is a bit like the "law total failure." Since the introduction of supervision, criticism of the sector has only increased, including by regulators and by themselves. In 2010, the Authority for Financial Markets found that a fundamental change in behaviour in the sector is needed to improve the quality of controls. In the case of samples in files, it was found that the reporting of auditors was inadequate. In 2012, politics intervened with the Act on the Auditor's Occupation. This made a new attempt to help the desired change of behaviour in the sector with regulation, i.e. laws. The law stipulates that on paper there must be a separation between the control and advisory functions and that there is office rotation, so that you do not check someone's books for more than eight years. Some things were also improved within the Financial Markets Authority. The fact that the sector was not really serious was demonstrated by the massive abuse of a transitional regime introduced to separate control and advisory services. That's a sign. I learned one thing after six months as a spokesman for finance: that we, the Chamber, the Government, the legislator, are trying to close gaps in order to prevent bad floods from the financial sector that are damaging our society. But where we all want to keep dry feet and are therefore busy closing those holes, I have also learned that the financial world and also the accountants are constantly looking for those holes in the legislation that will put us back under water. Today we are discussing a law to improve audit. An annual accounts will now be drawn up by a management board with its internal auditor. Those accounts shall be audited by the external auditor. The external auditor is audited by an independent internal body, a supervisory board of its own. It's controlled by a supervisor. When you hear this list like this, it is becoming a bit of a grotesque mill of the inspector's control. The question is whether this is also the solution to what we have actually seen in recent years. Or can we wait again for new scandals because there is another weakest link in this chain? Like bankers, accountants have a professional oath these days. I quote the Minister, who said something at a meeting last year when the oath was taken. "The accountant must reinvent himself and the client must also get used to that role. Accountants must put the public interest first. They hold an important position of trust in society. Culture change cannot only be enforced through legislation, but must mainly come from the sector and accountants themselves." I ask the Minister whether he thinks that the desired change in behaviour and culture has now been achieved. It was then Minister of Finance Gerrit Zalm in the examination of the Supervisory Auditor Organisations Act, who discussed in detail in the First Chamber the perverse incentives that exist and the existence of an unhealthy oligopoly in the auditing world. Those are fundamental problems, which make it work in the bookkeeping world as it works. This law doesn't do anything about that. Philosophers try to think about what the depth of human motivation is. They have reflections to understand them. But there's one thing they agree on. The old wisdom is that it's a human behavior that you don't bite the hand that feeds you. This is, of course, one of the key problems we face: the financial incentives that exist, the loyalty to the client and, at the same time, the critical approach to the client. The proposed measures in this bill focus mainly on the personal integrity of the accountant, while the major looming error in the control system, especially the odd position of the client and the payer, is not actually discussed. These fundamental questions we continue to extend in front of us. I really don't believe the accountant doesn't want to do his job properly. I don't believe that. He does his job well and wants to honor his profession, but because it works as it works there are big pitfalls. We're not talking about that enough. The accountant carries out a social task. He supervises the truthful picture of an annual accounts. He thus has a social interest, as the Minister said when he was with the auditors. But it does rub when you have to approach your client as critically as you are paid by it; I have already said it. It is most helpful in the control of housing corporations, health institutions, municipalities and other organisations paid by tax or contribution money. That is where the social interest should be at the top and not the contractual interest. As far as I am concerned, we are going to think about reducing financial incentives, especially in the public domain. We are now pretending that if you do a good report, have finished well all kinds of check-ups, have properly checked the auditor's inspector and so on, it will be okay. However, it is precisely the question of why, in this case, public money should be controlled by an expensive outside auditor. Can't the money spent on it be used in a different way? Isn't there another way we can arrange for those proud accountants not to sit on the bacon like a cat and have an interest in that contract? The establishment of control of the correct use of money is, of course, necessary, as well as public control of public money. But it is not the buying-in of expensive auditors, but the setting up of good supervisory bodies and local audit offices that could do this work. The Minister of Finance considers it undesirable to switch to another earning model, and I have put that forward in the written preparation of this bill, because it would take time and energy. But when I look at the introduction and the discussion about the Auditor Organisations Act and where we are now, eleven years later, it has resulted in a lot of time, a lot of consultation, reports, good intentions and 53 measures from the sector itself. It was all difficult to implement and there should not be too many rules. I wonder when the border has been reached. When are you gonna have to do it? Can the Minister go into that sometime? When should the moral change be made or will we continue to extend this issue for us?
ParlaMint-NL_2017-09-06-tweedekamer-3.u3	Mr. Chairman. There must be confidence in the accountant and the auditor's statement, including from investors, but also from, for example, taxpayers in municipalities. Trust in the market and also in the government is in the interest of the economy. The trust of the accountants is under pressure after several scandals. The VVD believes it is important that confidence in the accountant should be restored. Therefore, the VVD also supports the measures in the present law. Several legal measures have already been taken in recent years to ensure better quality and greater independence, such as mandatory office rotation and separation of control and advice. The package also includes, at the request of the VVD, an extension of the limitation period for disciplinary proceedings and an arrangement that only the supervisory board and shareholders can appoint the auditor in relation to independence. The VVD is pleased that these points are now really getting a legal effect. However, the VVD believes that the new measures should be given the opportunity and time to take effect. The auditors themselves are now the most important party and they are committed to regaining confidence. There's a lot of work to be done right now. It is a good thing that the sector has already started its own work in recent years and has presented 53 measures, but they are certainly not there yet. As far as I am concerned, cultural change is the biggest challenge and the biggest job for the accounting industry. Unfortunately, changing the route is still too slow here and there. Especially in small oblast offices there is still a lot of work to be done. The quality of statutory audits carried out by the auditors is still too often assessed by the AFM as insufficient. The AFM report of June 2017 did not show any improvement either. 19 of the 32 statutory audits examined were insufficient. How many of these cases have an unauthorized auditor's clearance been issued? When does the Minister expect the measures that have been launched to be effective? The VVD sees the risk of a compliance culture: just ticking lists and looking at what the supervisor thinks is important. That would not be a good thing as far as we are concerned, because the accountant needs to look more broadly. How can we prevent that? Let us be clear, the quality of these statutory audits absolutely must be improved. That is in the interests of confidence and of the market. It is striking, however, that the AFM and the American supervisor, not the least strict, do not always come to the same judgment. The AFM considers a file insufficient and the PCAOB considers the same file sufficient. Differences also appear to exist with the United Kingdom. What's the reason for that? There has been a debate on the criteria for the quality of controls, and we do not think that is a good thing. To what extent is that unclear? How can we ensure that people are aligned, including internationally? I'll be on legal protection. At the request of the VVD and D66, the Minister drew up a letter on legal protection in relation to the supervisors. In fact, this letter pays little attention to the concentration of different tasks in the supervisory authority as a regulator and enforcer. How does the Minister view that? Furthermore, the VVD considers that the AFM's objection procedure in the fitness test should be more independent and should be more independent, as is the case in neighbouring countries. So more as is the case now, an independent President who has no substantive role. What is the Minister's response to this? Is he willing to set this thing in motion? In 2016 the VVD submitted an amendment to the Implementation Act for statutory audits that did not reach the net. The vote was suspended and the roll-call vote was wrong once. The VVD now wants to table that amendment again. The Directive states that the competent authorities may initiate proceedings before a national court for dismissal. The VVD feels that a tough decision that really belongs in a court of law. The amendment provides that the AFM cannot decide independently to dismiss auditors. Instead, the AFM may apply to the Business Chamber of the Court which has the most relevant expertise. So it's still possible. I hope, of course, for the support of the parties who supported the amendment at the time. Regulation often affects the market: competition, diversity and consolidation. To what extent does the regulation that we have put in place have negative effects? What risks does the Minister see in this respect for the accounting sector in the coming years? Some municipalities are already unable to find an accountant, while they have to provide an approved statement. A shortage of auditors has also been reported. The Minister points out market forces in the report. Of course it is, but that is not complete. After all, the market has changed because of all the institutions that have gained obe status in a short period of time, such as the corporations. How does the Minister view that? The VVD has previously asked questions about the costs of the audit as a result of the new regulation. The auditors have said: we will accept them as much as possible. Is there any indication of the development of audit costs for companies and institutions? We are dealing with a law today, which we might sometimes forget, and ask for clarification in the note on the report. They are also important for the legislative process. Among other things, the VVD asked about the audit committee's possible obligation to report the main findings and conclusions in serious cases. The report states that shareholders can request information from the accountant themselves. But what you don't know, you can't ask. How does the Minister view that? How does he look at the possibility of legally enabling auditors to make interim communications about their audit when a company encounters difficulties in obtaining the annual accounts? The response in the note to the report does not make it any clearer as regards the implementation of recovery measures. On the one hand, there is no consideration of proportionality, on the other hand, the regulator does balance interests. That's confusing for us. Can the Minister clarify that? A suspension procedure for the Lower House of an AMvB is deleted. In the report, we asked how the Chamber would be informed. There was a very long answer to that, but it was not an answer to the question, so again the question of how the Chamber will be informed. Is it true that if the policy of an audit firm is determined primarily by the mother, the supervisory board set up by the daughter must supervise the management of the mother? What should be included in the draft decision of the Supervisory Board submitted to the shareholders? Is that a single nomination or is it two choices with a motivated preference of the audit committee? Finally, when can the Decision be expected to include additional measures for audit firms? This concerns the lower regulation of the system of independent internal supervision.
ParlaMint-NL_2017-09-06-tweedekamer-3.u4	Mr. Chairman. The two previous speakers said it: the auditor has a public task. He can build trust with that, but he can break it. This makes it very important that the auditor and the audit firm always carry out work of the same high level. Unfortunately, that is far from always the case. The various scandals have already been discussed at the beginning of this debate. The sector has been changing since 2014. Measures have been taken such as the mandatory office rotation mentioned above. Change projects have been launched by the sector itself with quality measures. And yes, in the end, the implementation of the cultural change will really have to take place at offices themselves. A cultural change can only be enforced to a very limited extent. The AFM's investigation also shows that we are far from there. More than half of the statutory audits examined do not receive sufficient from the supervisor. This applies to the control itself, but also to the justification of the opinion contained in the audit report. According to the AFM, the errors are of the same nature as before. The AFM indicates that quality is not sufficiently driven and that rewards in this sector are still not given on the basis of quality. It's a worrying picture. And yes, there are also some small points of light, such as the fact that a number of large offices generally guarantee the implementation of the change process. All in all, however, it appears that the sector still has a long way to go. It is sometimes about meters, but much more often they still have miles to go. In this context, I attach importance to a quick repetition of the AFM research with more up-to-date data. I am aware that the figures for 2014 and 2015 are now at stake and that this is a little back. Has another study been planned, for example next year about 2017? Then we can see if any steps have been taken in the last three years. Can the Minister also indicate how much time he thinks the sector should have? Of course, it's gonna be finite. Quite apart from the question of how to take further steps as legislators, it is of course true that we cannot go on indefinitely with this long journey, which we have felt should have accelerated since 2012, 2013, 2014. There's another bill in front of us today to take steps. What's the Minister's image? What does he think of the progress made? Is he confident that it will continue with force? If that is not the case, then I have a fear that we will have a debate here in three years' time that will be very similar to today's. I still have a number of specific questions about the present legislative proposal, which often means that measures already implemented by the large four offices are also protected by law. That's good. It is also a good thing to check whether those who determine policies on a daily basis really meet the eligibility requirements. For example, we have also seen in pension funds that this can make a huge difference. My first question concerns internal supervision. Mrs De Vries has already cut that point. Can it indeed be that a supervisory board set up with a daughter should supervise the management of her mother? That sounds like a complicated construct to me. How does the Minister see this? Is that a picture? And, if so, how will that take shape in practice? My second question concerns the use of open standards. The Council of State warns that when using too open standards, there is a risk that you will not guarantee sufficient legal protection, for example through differences in interpretation. I am a fan of customization, but also of clarity when it comes to supervision. The Minister is very positive about customisation, but the Council of State points out that this is sometimes vulnerable and that even legal protection may be compromised. Can the Minister explain that difference of opinion? How does he ensure that the use of open standards does not jeopardise clarity? Does the law allow the AFM to share information with the Tax Office, the FIOD and the Public Prosecutor's Office? The Financial Supervision Act and the way in which it is regulated have been applied. This is a broader point which I would like to draw attention to. The Council of State is actually asking whether this tightening-up is sufficiently focused on auditors. We can always join the Financial Supervision Act, but the audit role is also a very special one. I find it more striking in the legislative proposal that the Minister constantly refers to the Financial Supervision Act in many of the questions asked. I ask him to address the question of how he sees the differences between the role of an accountant and, more broadly, that of the financial sector. I think these are two really different roles. I like trying to get a line on other laws, but is that always appropriate? The Wft is referred to continuously very quickly and quite easily. I challenge the Minister to answer the question as to where the main differences lie. This is a point of interest to me.
ParlaMint-NL_2017-09-06-tweedekamer-3.u5	Mr. Chairman. We've been struggling with the banking crisis for over ten years now. Last Monday, the Financial Times announced that the number of banks facing financial problems is increasing again. It's to be desperate. But with the auditors, we have been working for a long time to tackle a sector that does not carry out the public task well enough. The major accounting scandals date from around the millennium change. Think of Enron. In our country, this led to the Auditor Organisations Act of 2006. We have to note that since then, all the stricter regulations and supervision of the AFM have not led to fewer discussions and fewer incidents. Today we are talking about the next round of stricter laws and regulations. Just before the summer, the AFM's report showed that despite new rules and agreements in the sector itself the controls are not in order. Of the 32 audit files examined, 19 did not meet. That's more than the 2014 investigation. In addition, the AFM concludes, the offices are not moving too fast with all the improvement measures they themselves have promised. It's to be desperate. I'm about to comment on the measures contained in the bill. Against the background of the AFM research, you only get the idea that even though these measures are a courageous attempt to change the culture of the accounting industry, the lack of culture, a culture which is not sufficiently focused on the sound and trustworthy performance of the public task, is too persistent for plastering. Maybe the time is coming when we need to talk about a bigger operation. In his letter in response to the AFM report, the Minister stated that all measures should be given the opportunity to achieve the desired cultural change and impact. If there are any signs of a cultural change, I ask the Minister. What can be seen from the fact that the public task of audit firms is carried out better than before? Is he optimistic about that? If so, what is optimism based on? According to the Minister, it is not yet time for fundamental discussions on the revenue model of accountancy; Mrs Leijten also spoke about this. It is first up to the sector to develop a cultural change, and it is also up to the sector itself to engage in more fundamental discussions. That is why we are waiting, for example, for a green paper from the sector itself, which is also about the earning model. I would be pleased if the Finance Minister, and his successor, would act more actively on this and, for example, at European level, encourage a more fundamental discussion. I understand very well that in the Netherlands we cannot simply introduce a completely different income model, but the Minister's answer that another earning model is not desirable because it takes a lot of time, resources and energy is too patient for me. The AFM also states, following the latest report, that it is not directly concerned with new measures, but it does not want to avoid that fundamental discussion. AFM director Gerben Everts believes that difficult questions should be asked and answered about the organisational structure, the collaboration between partners, seniors and juniors, which results in a lack of critical results internally, but also wider about the earning model of audit firms. Can you really be independent if you're paid by the company you have to control? This is what he asked himself in a speech for the sector he gave at the beginning of June, i.e. during the period of presentation of the report. Everts said that the AFM is going to look into alternative earning models. Then why doesn't the Minister do that? I'd like to get a reaction to that. I'll get on the bill. Of course, I support the measures contained in the bill. All these measures aim to contribute to the better performance of the public task of auditors. You can't argue with that. GroenLinks therefore supports these measures. I ask a few questions because the final implementation of the law is important for effectiveness. There will be a fitness test for policy makers, but the standards still have to be determined by the supervisor. The AFM has conducted an internet consultation on this subject. Is there any more clarity about the content and implementation of that test? There will also be a system of independent internal supervision. A General Measure of Management shall determine the organisation of such a measure. Can the Minister say more about how this supervision is going to work? When will we be able to understand the detailed rules for independence and the powers that determine how robust that internal supervision is? On the question of the enforcement of recovery measures, I would like to say the following. That proposal seems perfectly logical to me: you have not done your job properly, do it again and fix the mistakes. But especially now that the AFM has found that there are many faulty controls, this raises the question of whether there should be a bigger stick behind the door to stimulate accountants to better work and to ensure that the culture within oob accountants' offices will change. We now have these statutory rotation periods and I shall be doing so, and with my colleagues from the SP and the Labour Party, it would be a good idea to be able to impose the measure that a year later another partner in the office or even another office will carry out the control. So you could speak of a mandatory and accelerated rotation in case of defective work, imposed by the AFM. We ask the Minister to explore such a proposal together with the AFM legally and practically. I would like to receive a response, and I hereby announce that I have prepared a motion with colleagues Nijboer and Leijten containing this request.
ParlaMint-NL_2017-09-06-tweedekamer-3.u6	I have an enlightening question. Does Mr Snels emphasise the change of office or the exchange of the responsible accountant in person?
ParlaMint-NL_2017-09-06-tweedekamer-3.u7	I am primarily concerned with the accountant, the partner, because I do not only see such a proposal as a punishment, but perhaps it is too harsh an occasional penalty, so I am curious to see that exploration by the AFM....................................................................................................................................................................................................................................... I can imagine if there's such a stick behind the door that you lose your client if you don't do it right, the culture changes in an office like this. That is why I think it is an interesting idea and I would like to see the exploration of it by real lawyers. Finally, this. There is a debate on a European directive............................................................................................................................................................... The Netherlands is in favour of regulating this also legally. But shouldn't this reporting also apply to accountants rather than just to tax advisors within the offices? What is the government's view of this proposal?
ParlaMint-NL_2017-09-06-tweedekamer-3.u8	Mr. Chairman. The discussion of this bill has been somewhat overshadowed by the AFM report on accountants, which came to us just before the summer, but in fact that report shows even more the need for the measures now in force in this law. To be honest, the CDA supports the bill. That's not so crazy either. Accountants play a very important role in our country. They are important for the reliability of our financial system, for the control and loyalty of public expenditure or expenditure of other public institutions. It is therefore important that the credibility of auditors is beyond doubt. Unfortunately, things are going wrong there and not quite so. Internationally, of course, there was the Enron scandal, which eventually led to us not speaking of the big five in the international accounting world, but of the big four. The famous Arthur Andersen went bankrupt, but it's been a while. In recent years there have been several accounting scandals in the Netherlands in which auditors have played a negative role. This is detrimental to confidence in the sector. It is not for nothing that the sector itself put forward proposals for improvement in 2014. The AFM has been monitoring the sector very closely for several years now. It's not just trouble and torment. We do not, of course, hear about the checks where nothing goes wrong. In most cases, things are just going well, but "just right" is not good enough for the accounting industry. After this introduction, the most important questions are, of course, whether this law will ultimately ensure the desired quality stroke and whether that quality stroke will be made. In other words, what is the impact of the measures? Every year, the General Court reminds us that it is often unclear whether policies achieve the desired effect. We therefore asked the Minister in the written round when he felt that the legislation could be described as a success. The Minister was right to say that not only this law determines the quality of statutory audits. Soon new AFM reports will have to tell us if the intended quality has been achieved, but what happens if that quality is still disappointing? The last interim report wasn't encouraging. What instruments does the Minister have in his pocket to bring about change? I would like a response from the Minister. The following comment concerns the suitability test for auditors' directors. The CDA strongly supports this measure. However, we still have some hesitation about the fact that the AFM is not only allowed to formulate the requirements that drivers have to meet, but is also responsible for their enforcement. The Minister pointed out that it was ultimately up to the Administrative Court to assess whether the general principles of good administration were being complied with. Our question is whether this is in any way better to guarantee in advance. We believe that referring to the court should be the final part of the discussion and not the beginning. As far as disciplinary law is concerned, two weeks ago it was announced that the Dutch Professional Organisation of Accountants has filed 35 disciplinary complaints about not taking the professional oath. That sounds like a lot, but 17,000 accountants are lucky enough to have that number. However, it is not clear to us why, as with the banker's oath, a legal hook has not come. What exactly is the difference between the bankers and the accountants? A legal anchor can give such an oath even more prestige. However, we also understand that it is not necessary at the moment, since many people have taken the oath introduced by the sector. So we don't want it to be legal at the moment. However, I would like to hear an explanation from the Minister on the differences in approach.
ParlaMint-NL_2017-09-06-tweedekamer-3.u9	Mr. Chairman. We're talking about the accountancy sector today. This sector has gone through a deep decline in recent years. Affected by one scandal after another, the sector fell through the ice. For a list of all these scandals, I would like to refer to Mrs Leijten's contribution. She went into it in detail. The confidence in the good image of the public referee disappeared like snow for the sun, but the sector promised to get better. They were going to reinvent themselves, as promised. An improvement plan was put in place with 53 measures and a Monitoring Committee on Accounting was set up to monitor progress. That was three years ago. Where are we now? Disappointing to speak with the Minister's words. The Minister is right to ask whether the sector is on the right track. Does the sector deserve the confidence to make improvements itself? Is the package of measures at the heart of the problem? These questions were answered in writing by the Minister. I would like him to answer those questions today. Can he answer these questions? Because the AFM concludes that the changes are far too slow: too little, too slow. The quality of controls has even deteriorated compared to three years ago. The quality of 59% of the files is insufficient. Three years ago, that was 45%. Does the sector want to change? Or is it symbolic politics? How is it possible that the accountancy sector is performing worse than three years ago? Hasn't the sector learned anything at all? Isn't the bill too thin, given the knowledge of today? Don't you think it's time to step in a lot harder? The Minister sits on his hands and gives the sector even more time. The PVV does not understand this lax attitude. Does the Minister still have faith in it or does he leave this hot potato for his successor? The MCA even concludes that 53 measures in the improvement plan do not contribute sufficiently to solving the real problems, the real structural problems. They call them the wicked problems, like the earning model and the partner model. How do we tackle the problem of fraud? How do we restore the balance between public interest and client interest and the tension between social function and profit maximization? Those are all questions and all problems that remain unanswered. I read in the Minister's letter that the Public Interest Steering Group will pick up this end of this year in a green paper. Does the Minister really leave this to the sector itself? For us, it is incomprehensible that the date of entry into force has been postponed to 1 June 2018. The PVV wants to address the problems in the accountancy sector as soon as possible. We shouldn't reward bad behavior with a six-month delay. Therefore, as regards the PVV, the date of entry into force remains 1 January 2018. Finally, I would like to focus briefly on noises that point to the massive departure of the most risky customers, such as municipalities and housing corporations, as a result of the strict AFM supervision. Are these sounds true? What are the dangers of this? How is the Minister going to ensure that municipalities and housing corporations do not run out of accountants? 'Cause then we'll be even further away from home.
ParlaMint-NL_2017-09-06-tweedekamer-3.u10	Mr. Chairman. Here we are, more than three years after the first parliamentary debate. There have been many debates about accounting, but this was after a number of scandals. At that time, the Chamber said that it is enough; the sector really needs to improve, the quality is far below its size; that nonsense, for example, when partners buy an office and then rent it out to other partners of an office with a tax structure that turned out to be illegal in the past year, must really be over. I myself tabled a motion on this subject, which was widely supported. At that time, the majority of the Chamber said that we, as legislators, cannot enforce quality by law. So not: your quality is higher and therefore you have to take one or two measures, and then it has happened. We have given the sector the opportunity to introduce 53 measures, something they themselves have come up with; that was the result of improving quality. I think that three years later, we must conclude that this has not been enough. The AFM came up with a critical report. Of course, the sector has a point: that report is seen a year before, and in a year of course you have not been able to take all the measures. That is what the sector is right about. But the big four, and then the five other large offices that conduct the most important audits in the Netherlands, appear to perform far and far below the standard. And with that, we don't agree on the smaller offices. So we're really not there yet. Let us then look at the reaction of the sector to the committee which he himself set up to look at how he is doing. He says there are fundamental problems. There were several questions about the earning model and the quality, something the AFM is mainly on. But what does the public actually expect from auditors and an approved audit opinion; what is such a statement really worth? That is a fundamental discussion. The answer to that is a green paper. But this alarming report is from November, and says that these 53 things are not going well, but there really needs to be more. The answer: in the autumn we come up with a discussion piece, a green paper. It can't be. That is asking the legislator to take tough measures. The PvdA Group supports the legislative proposals before us, just like the other groups, if I have heard them correctly. However, there are more legislative proposals to improve the situation within these 53 measures: an independent supervisory board, which has, of course, already been partially introduced; the supervision of the AFM is strengthened; a fitness test. Those are all good things, which can really help to improve quality. The limitation period shall also be extended. However, I ask the Minister why it has not been extended to ten years, as is customary in the medical world. So why was it chosen for six years? After all, it is about complicated financial matters. Look at how long this case lasted around that KPMG office; we had the ruling on this last year. For ten years, I don't think it's that crazy for a sector like this. I am considering an amendment on this point, but I would first like to await the Minister's reply. However, all this is not an answer to the fundamental problems. The PvdA Group is now, quite frankly, ready to take legal action. If, in November, the sector receives a report from a committee that he himself set up, which says that it really has to be done in a fundamental way, that it really cannot go forward with that model of earning, with the expectations that people have of annual accounts, that the quality is below the mark, and that we actually have nothing at all almost a year after that, this cannot seem to be left to that sector. The PvdA continues to find the earning model one of the most pressing points, as well as the financial interests, the interests of the various groups within such an office. Several speakers have already said this: auditors serve the public interest, the figures must be correct. It's legally required for companies to have this, so it's really about a public function, like a notary who also has. That really is a fundamentally different function from management advice or, even more importantly, tax advice. I myself was allowed to chair a committee on behalf of this Chamber. In the findings we made some comments about the morals that fiscalists have in such offices. All this does not really relate to the public function of auditors. That is why the next question really arises. There are audit firms where fiscalists work who are only paying as little tax as possible and writing as many hours as possible. Do they still belong in an office that serves the public interest, with so little progress being made on the key functions that the accountant has? I'd like to put that question here. I see the sector in the Chamber now too. If the quality remains so inadequate, the wage model is so under discussion and so little progress is made, then at some point this question will also be answered by politics. Then it's asking for political intervention.
ParlaMint-NL_2017-09-06-tweedekamer-3.u11	Thank you. This brings us to the end of the Court's first term contribution. After the suspension, we're gonna listen to the minister in the first term.
